Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-17,15:35:00,0.59,0.59,0.59,0.59,200,0
2015-11-17,15:50:00,0.767,0.767,0.767,0.767,100,0
2015-11-17,18:35:00,0.595,0.6,0.595,0.6,1300,0
2015-11-20,21:25:00,0.8,0.8,0.8,0.8,1000,0
2015-11-27,19:00:00,0.75,0.75,0.75,0.75,7500,0
2015-11-30,16:35:00,0.9,0.9,0.9,0.9,500,0
2015-11-30,18:40:00,0.8,0.8,0.8,0.8,5000,0
2015-12-01,19:05:00,0.7,0.7,0.7,0.7,1000,0
2015-12-01,19:10:00,0.6,0.6,0.6,0.6,999,0
2015-12-02,17:25:00,0.85,0.85,0.85,0.85,600,0
2015-12-03,16:05:00,0.619,0.619,0.619,0.619,100,0
2015-12-04,15:35:00,0.6,0.6,0.6,0.6,2201,0
2015-12-04,17:25:00,0.5,0.5,0.5,0.5,7762,0
2015-12-04,21:55:00,0.6,0.6,0.6,0.6,5000,0
2015-12-08,15:35:00,0.47,0.47,0.47,0.47,100,0
2015-12-08,17:15:00,0.55,0.55,0.55,0.55,500,0
2015-12-08,19:10:00,0.55,0.55,0.5453,0.5453,14950,0
2015-12-08,19:45:00,0.53,0.53,0.53,0.53,151,0
2015-12-09,15:35:00,0.55,0.55,0.55,0.55,200,0
2015-12-09,15:40:00,0.55,0.6875,0.55,0.6875,5143,0
2015-12-09,19:55:00,0.6,0.6,0.6,0.6,3000,0
2015-12-09,21:50:00,0.57,0.57,0.57,0.57,5000,0
2015-12-10,16:10:00,0.57,0.57,0.57,0.57,1000,0
2015-12-10,17:40:00,0.55,0.55,0.55,0.55,2000,0
2015-12-10,20:55:00,0.55,0.55,0.55,0.55,200,0
2015-12-10,21:10:00,0.55,0.55,0.55,0.55,600,0
2015-12-10,21:25:00,0.55,0.55,0.55,0.55,800,0
2015-12-10,22:00:00,0.55,0.55,0.55,0.55,800,0
2015-12-11,21:55:00,0.55,0.55,0.55,0.55,144,0
2015-12-15,17:30:00,0.52,0.52,0.52,0.52,300,0
2015-12-15,17:55:00,0.5,0.5,0.5,0.5,600,0
2015-12-15,18:40:00,0.51,0.53,0.51,0.53,4700,0
2015-12-15,18:50:00,0.53,0.53,0.53,0.53,5000,0
2015-12-15,18:55:00,0.545,0.545,0.545,0.545,700,0
2015-12-15,19:05:00,0.545,0.545,0.545,0.545,300,0
2015-12-15,20:10:00,0.54,0.54,0.54,0.54,5000,0
2015-12-15,21:05:00,0.53,0.53,0.53,0.53,900,0
2015-12-15,21:25:00,0.53,0.53,0.53,0.53,600,0
2015-12-15,21:45:00,0.53,0.53,0.53,0.53,1500,0
2015-12-15,21:50:00,0.53,0.53,0.53,0.53,1000,0
2015-12-15,22:00:00,0.659,0.659,0.659,0.659,300,0
2015-12-16,16:15:00,0.55,0.55,0.55,0.55,200,0
2015-12-16,16:20:00,0.543,0.55,0.543,0.55,2800,0
2015-12-16,16:50:00,0.55,0.55,0.55,0.55,4500,0
2015-12-16,18:45:00,0.53,0.53,0.53,0.53,10000,0
2015-12-16,20:25:00,0.52,0.52,0.52,0.52,1000,0
2015-12-17,16:35:00,0.51,0.52,0.51,0.52,2000,0
2015-12-17,17:40:00,0.52,0.52,0.52,0.52,300,0
2015-12-17,17:50:00,0.52,0.52,0.52,0.52,200,0
2015-12-17,21:15:00,0.51,0.51,0.51,0.51,4900,0
2015-12-18,15:40:00,0.53,0.53,0.53,0.53,500,0
2015-12-18,15:55:00,0.53,0.53,0.53,0.53,2000,0
2015-12-18,21:00:00,0.73,0.73,0.73,0.73,1500,0
2015-12-18,21:35:00,0.6997,0.7,0.6997,0.7,3600,0
2015-12-18,21:45:00,0.71,0.71,0.71,0.71,4889,0
2015-12-18,22:00:00,0.71,0.71,0.71,0.71,200,0
2015-12-21,21:25:00,0.9,0.9,0.85,0.85,1000,0
2015-12-21,22:00:00,0.87,0.87,0.85,0.85,500,0
2015-12-23,16:50:00,1,1,1,1,311,0
2015-12-23,17:20:00,0.85,0.85,0.85,0.85,4811,0
2015-12-24,15:35:00,1.08,1.08,1.08,1.08,100,0
2015-12-24,15:50:00,1,1,1,1,2000,0
2015-12-24,15:55:00,1,1,1,1,2000,0
2015-12-24,16:15:00,1.77,2.5,1.77,2.5,1613,0
2015-12-24,16:20:00,2.39,2.39,2.39,2.39,600,0
2015-12-24,16:30:00,2.38,2.38,2.38,2.38,700,0
2015-12-24,16:40:00,2,2,2,2,600,0
2015-12-24,16:45:00,1.5,1.99,1.5,1.99,1500,0
2015-12-24,17:00:00,1.98,1.98,1.98,1.98,500,0
2015-12-24,17:05:00,1.25,1.25,1.25,1.25,1800,0
2015-12-24,17:15:00,1.214,1.5,1.214,1.5,2230,0
2015-12-24,17:25:00,1.48,1.5,1.48,1.5,600,0
2015-12-24,17:40:00,1.5,1.5,1.5,1.5,500,0
2015-12-24,17:45:00,1,1,1,1,3000,0
2015-12-24,17:50:00,1.5,1.5,1.5,1.5,799,0
2015-12-24,18:00:00,1.5,1.5,1.5,1.5,500,0
2015-12-24,18:10:00,1.5,1.5,1.5,1.5,600,0
2015-12-24,18:15:00,1.5,1.5,1.5,1.5,500,0
2015-12-24,18:25:00,1.5,1.5,1.5,1.5,500,0
2015-12-24,18:30:00,1.5,1.5,1.5,1.5,400,0
2015-12-24,18:35:00,1.5,1.5,1.5,1.5,400,0
2015-12-24,18:40:00,1.5,1.99,1.5,1.98,801,0
2015-12-24,18:45:00,1.7,1.7,1.7,1.7,500,0
2015-12-24,18:50:00,1.5,1.5,1.5,1.5,700,0
2015-12-24,18:55:00,1.5,1.5,1.5,1.5,700,0
2015-12-24,19:00:00,1.5,1.5,1.5,1.5,500,0
2015-12-28,15:35:00,1.95,1.95,1.95,1.95,100,0
2015-12-28,15:40:00,1.7,1.7,1.7,1.7,200,0
2015-12-28,16:00:00,1.7,1.7,1.7,1.7,600,0
2015-12-28,16:25:00,1.69,1.69,1.69,1.69,100,0
2015-12-28,16:30:00,1.7,1.7,1.7,1.7,600,0
2015-12-28,16:55:00,1.4,1.4,1.4,1.4,500,0
2015-12-28,17:50:00,1.4,1.4,1.3951,1.4,3312,0
2015-12-28,18:40:00,1.69,1.69,1.65,1.65,600,0
2015-12-28,19:20:00,1.66,1.7,1.64,1.64,500,0
2015-12-28,19:25:00,1.41,1.44,1.4,1.4,1000,0
2015-12-28,19:55:00,1.6,1.6,1.6,1.6,400,0
2015-12-28,20:20:00,1.6,1.6,1.6,1.6,299,0
2015-12-28,20:30:00,1.58,1.58,1.58,1.58,300,0
2015-12-28,20:45:00,1.58,1.58,1.58,1.58,300,0
2015-12-28,21:00:00,1.58,1.58,1.58,1.58,300,0
2015-12-28,21:10:00,1.56,1.56,1.56,1.56,300,0
2015-12-28,21:20:00,1.58,1.58,1.58,1.58,200,0
2015-12-28,21:25:00,1.58,1.58,1.58,1.58,200,0
2015-12-28,21:30:00,1.58,1.58,1.4888,1.55,1300,0
2015-12-28,21:35:00,1.55,1.55,1.55,1.55,200,0
2015-12-28,21:40:00,1.55,1.55,1.55,1.55,200,0
2015-12-28,21:45:00,1.55,1.55,1.55,1.55,200,0
2015-12-28,21:50:00,1.5,1.5,1.5,1.5,200,0
2015-12-28,21:55:00,1.5,1.5,1.5,1.5,200,0
2015-12-28,22:00:00,1.5,1.5,1.5,1.5,100,0
2015-12-29,15:45:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,16:15:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,16:45:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,17:25:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,18:10:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,19:00:00,1.45,1.45,1.45,1.45,100,0
2015-12-29,19:10:00,1.35,1.35,1.35,1.35,700,0
2015-12-29,20:20:00,1.3,1.3,1.3,1.3,300,0
2015-12-29,20:55:00,1.3,1.3,1.3,1.3,100,0
2015-12-29,21:50:00,1.284,1.3,1.284,1.284,900,0
2015-12-29,21:55:00,1.2756,1.3,1.2756,1.2999,3254,0
2015-12-30,17:45:00,1.27,1.27,1.2501,1.2501,330,0
2015-12-30,20:45:00,1.3,1.3,1.25,1.25,300,0
2015-12-30,21:00:00,1.2,1.2,1.2,1.2,800,0
2015-12-30,22:00:00,1.19,1.19,1.19,1.19,200,0
2015-12-31,16:15:00,1.3,1.3,1.3,1.3,100,0
2015-12-31,16:30:00,1.1701,1.1701,1.1701,1.1701,1000,0
2015-12-31,16:35:00,1.29,1.29,1.29,1.29,200,0
2015-12-31,16:45:00,1.23,1.23,1.23,1.23,20953,0
2015-12-31,21:50:00,1.3,1.3,1.3,1.3,100,0
2015-12-31,21:55:00,1.3,1.3,1.3,1.3,100,0
2016-01-04,18:45:00,1.3326,1.3326,1.3326,1.3326,300,0
2016-01-04,19:15:00,1.7,1.7,1.7,1.7,100,0
2016-01-04,20:55:00,1.4,1.4,1.35,1.35,1000,0
2016-01-04,21:50:00,1.326,1.326,1.326,1.326,430,0
2016-01-05,15:50:00,1.4,1.4,1.4,1.4,200,0
2016-01-05,16:00:00,1.69,1.69,1.69,1.69,100,0
2016-01-05,16:45:00,1.49,1.49,1.46,1.46,1500,0
2016-01-05,16:50:00,1.26,1.26,1.25,1.25,400,0
2016-01-05,17:15:00,1.4,1.4,1.35,1.35,45900,0
