Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-21,14:35:00,7.43,7.43,7.43,7.43,579,0
2017-03-21,14:40:00,7.42,7.42,7.42,7.42,4700,0
2017-03-21,14:45:00,7.42,7.42,7.411,7.42,5700,0
2017-03-21,14:50:00,7.42,7.42,7.42,7.42,3175,0
2017-03-21,14:55:00,7.42,7.42,7.42,7.42,200,0
2017-03-21,15:00:00,7.42,7.42,7.42,7.42,200,0
2017-03-21,15:05:00,7.42,7.42,7.417,7.4192,1700,0
2017-03-21,15:10:00,7.42,7.42,7.4193,7.42,1500,0
2017-03-21,15:15:00,7.42,7.42,7.42,7.42,200,0
2017-03-21,15:20:00,7.42,7.42,7.42,7.42,400,0
2017-03-21,15:25:00,7.42,7.42,7.42,7.42,400,0
2017-03-21,15:30:00,7.42,7.42,7.42,7.42,900,0
2017-03-21,15:35:00,7.42,7.43,7.42,7.4208,21878,0
2017-03-21,15:40:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,15:45:00,7.43,7.43,7.42,7.422,9600,0
2017-03-21,15:55:00,7.425,7.43,7.425,7.43,200,0
2017-03-21,16:00:00,7.43,7.43,7.43,7.43,500,0
2017-03-21,16:05:00,7.43,7.43,7.42,7.422,3222,0
2017-03-21,16:10:00,7.425,7.425,7.42,7.42,3841,0
2017-03-21,16:15:00,7.425,7.425,7.4237,7.4237,2000,0
2017-03-21,16:30:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,16:35:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,16:40:00,7.425,7.43,7.425,7.43,300,0
2017-03-21,16:45:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,16:50:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,16:55:00,7.43,7.43,7.4299,7.43,4200,0
2017-03-21,17:00:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,17:05:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,17:10:00,7.43,7.43,7.43,7.43,28600,0
2017-03-21,17:15:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,17:20:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,17:25:00,7.4278,7.43,7.4278,7.43,4900,0
2017-03-21,17:30:00,7.425,7.43,7.42,7.43,1200,0
2017-03-21,17:40:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,17:45:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,17:50:00,7.43,7.43,7.43,7.43,200,0
2017-03-21,17:55:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,18:00:00,7.43,7.44,7.43,7.435,32103,0
2017-03-21,18:05:00,7.44,7.44,7.435,7.435,300,0
2017-03-21,18:10:00,7.435,7.4393,7.435,7.4393,335,0
2017-03-21,18:15:00,7.435,7.44,7.435,7.44,200,0
2017-03-21,18:20:00,7.44,7.44,7.43,7.4384,13000,0
2017-03-21,18:25:00,7.4301,7.44,7.43,7.43,21000,0
2017-03-21,18:35:00,7.43,7.44,7.43,7.43,59300,0
2017-03-21,18:45:00,7.43,7.4301,7.43,7.4301,1100,0
2017-03-21,18:50:00,7.4293,7.44,7.4254,7.4254,21139,0
2017-03-21,18:55:00,7.43,7.44,7.42,7.43,13466,0
2017-03-21,19:00:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,19:05:00,7.43,7.43,7.425,7.425,200,0
2017-03-21,19:10:00,7.43,7.43,7.43,7.43,100,0
2017-03-21,19:15:00,7.425,7.425,7.425,7.425,100,0
2017-03-21,19:20:00,7.425,7.44,7.425,7.44,10000,0
2017-03-21,19:25:00,7.44,7.44,7.44,7.44,400,0
2017-03-21,19:30:00,7.435,7.44,7.435,7.44,300,0
2017-03-21,19:35:00,7.44,7.44,7.43,7.44,1900,0
2017-03-21,19:40:00,7.44,7.44,7.44,7.44,400,0
2017-03-21,19:45:00,7.43,7.44,7.43,7.44,15000,0
2017-03-21,19:50:00,7.435,7.435,7.43,7.43,200,0
2017-03-21,19:55:00,7.44,7.44,7.43,7.43,300,0
2017-03-21,20:00:00,7.43,7.44,7.4299,7.43,38500,0
2017-03-21,20:05:00,7.43,7.435,7.43,7.43,2500,0
2017-03-21,20:10:00,7.435,7.435,7.435,7.435,100,0
2017-03-21,20:15:00,7.435,7.44,7.435,7.44,300,0
2017-03-21,20:20:00,7.44,7.44,7.44,7.44,300,0
2017-03-21,20:25:00,7.435,7.435,7.43,7.43,13009,0
2017-03-21,20:30:00,7.435,7.435,7.42,7.43,9696,0
2017-03-21,20:35:00,7.4201,7.43,7.4201,7.4201,5200,0
2017-03-21,20:45:00,7.43,7.43,7.4202,7.4202,1700,0
2017-03-21,20:50:00,7.43,7.44,7.43,7.43,8509,0
2017-03-21,20:55:00,7.42,7.43,7.4184,7.42,5284,0
2017-03-21,21:00:00,7.42,7.44,7.42,7.43,46497,0
2017-03-22,14:35:00,7.42,7.42,7.42,7.42,1082,0
2017-03-22,14:40:00,7.4283,7.4283,7.42,7.42,200,0
2017-03-22,14:45:00,7.43,7.43,7.43,7.43,100,0
2017-03-22,14:50:00,7.43,7.43,7.43,7.43,100,0
2017-03-22,15:00:00,7.42,7.43,7.41,7.43,19840,0
2017-03-22,15:05:00,7.43,7.43,7.425,7.425,200,0
2017-03-22,15:10:00,7.43,7.43,7.43,7.43,100,0
2017-03-22,15:15:00,7.43,7.43,7.43,7.43,736,0
2017-03-22,15:25:00,7.43,7.43,7.425,7.43,300,0
