Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-04,17:10:00,0.1674,0.1674,0.1674,0.1674,100,0
2016-11-07,15:35:00,0.1696,0.1696,0.1696,0.1696,2064,0
2016-11-09,15:35:00,0.1201,0.16,0.1201,0.16,1185,0
2016-11-09,19:45:00,0.168,0.168,0.168,0.168,400,0
2016-11-10,19:30:00,0.125,0.125,0.125,0.125,200,0
2016-11-28,17:45:00,0.1101,0.1101,0.1004,0.1004,500,0
2016-12-02,19:30:00,0.1696,0.1696,0.1696,0.1696,200,0
2016-12-14,15:35:00,0.165,0.165,0.165,0.165,500,0
2016-12-16,15:35:00,0.1696,0.1696,0.1696,0.1696,312,0
2016-12-21,19:40:00,0.1676,0.1676,0.1676,0.1676,300,0
2016-12-21,20:45:00,0.11,0.11,0.0652,0.0652,16476,0
2016-12-21,20:50:00,0.068,0.068,0.0601,0.0601,14600,0
2016-12-21,21:50:00,0.0612,0.0612,0.0612,0.0612,100,0
2016-12-22,16:15:00,0.0568,0.0568,0.05,0.05,8650,0
2016-12-28,15:40:00,0.0623,0.0623,0.052,0.052,17287,0
2016-12-28,16:25:00,0.07,0.07,0.069,0.069,8225,0
2016-12-28,16:35:00,0.07,0.07,0.07,0.07,100,0
2016-12-28,16:40:00,0.0769,0.08,0.0769,0.08,400,0
2016-12-28,16:45:00,0.08,0.08,0.08,0.08,1151,0
2016-12-28,20:00:00,0.098,0.098,0.0968,0.0968,1500,0
2016-12-28,21:20:00,0.0808,0.0808,0.08,0.08,500,0
2016-12-28,21:30:00,0.0701,0.0729,0.07,0.0729,2775,0
2016-12-29,15:35:00,0.0729,0.0729,0.0729,0.0729,1000,0
2016-12-29,15:55:00,0.0729,0.0729,0.0729,0.0729,398,0
2016-12-29,17:00:00,0.0897,0.09,0.0835,0.0835,4200,0
2016-12-29,19:35:00,0.0876,0.0876,0.0876,0.0876,110,0
2016-12-29,20:55:00,0.0825,0.0825,0.0825,0.0825,100,0
2016-12-30,15:35:00,0.086,0.086,0.085,0.085,1053,0
2016-12-30,16:10:00,0.085,0.0853,0.085,0.0851,2500,0
2016-12-30,18:25:00,0.086,0.086,0.086,0.086,240,0
2016-12-30,18:50:00,0.086,0.086,0.086,0.086,1500,0
2016-12-30,19:45:00,0.086,0.086,0.086,0.086,800,0
2016-12-30,20:45:00,0.0861,0.0861,0.0861,0.0861,100,0
2016-12-30,21:20:00,0.0841,0.0841,0.0841,0.0841,100,0
2017-01-03,15:35:00,0.09,0.09,0.09,0.09,150,0
2017-01-03,17:00:00,0.0945,0.0945,0.0945,0.0945,394,0
2017-01-03,18:25:00,0.0895,0.0895,0.0895,0.0895,718,0
2017-01-04,15:35:00,0.0813,0.0813,0.0813,0.0813,205,0
2017-01-04,19:35:00,0.0853,0.0853,0.0853,0.0853,196,0
2017-01-06,15:35:00,0.0895,0.0895,0.0895,0.0895,110,0
2017-01-06,16:20:00,0.09,0.09,0.09,0.09,200,0
2017-01-06,17:20:00,0.0896,0.0896,0.0896,0.0896,500,0
2017-01-09,15:35:00,0.0604,0.0604,0.0604,0.0604,153,0
2017-01-10,16:55:00,0.09,0.09,0.09,0.09,100,0
2017-01-10,17:40:00,0.0897,0.0897,0.0897,0.0897,165,0
2017-01-10,17:50:00,0.0897,0.098,0.0897,0.098,3907,0
2017-01-11,15:35:00,0.0996,0.0996,0.0873,0.0873,2065,0
2017-01-11,15:40:00,0.1,0.1001,0.1,0.1,904,0
