Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-09,15:50:00,22.074,22.074,22.074,22.074,104,0
2016-11-09,16:20:00,21.532,21.532,21.532,21.532,312,0
2016-11-09,16:25:00,21.793,21.793,21.793,21.793,419,0
2016-11-09,16:30:00,22.042,22.042,22.042,22.042,260,0
2016-11-09,16:45:00,21.84,22.042,21.84,22.042,500,0
2016-11-09,16:50:00,22.052,22.084,21.888,21.888,605,0
2016-11-09,16:55:00,22.042,22.042,22.042,22.042,110,0
2016-11-09,17:00:00,21.888,22.084,21.888,22.084,406,0
2016-11-09,18:10:00,21.7,21.738,21.7,21.738,312,0
2016-11-09,19:20:00,21.732,21.732,21.732,21.732,198,0
2016-11-09,19:25:00,21.96,21.96,21.96,21.96,104,0
2016-11-09,19:55:00,21.752,21.752,21.752,21.752,416,0
2016-11-09,20:15:00,21.737,21.737,21.737,21.737,104,0
2016-11-09,20:25:00,21.728,21.728,21.728,21.728,208,0
2016-11-09,20:35:00,21.719,21.719,21.594,21.594,208,0
2016-11-09,20:45:00,21.517,21.517,21.517,21.517,208,0
2016-11-09,20:55:00,21.428,21.428,21.422,21.428,938,0
2016-11-09,21:00:00,21.517,21.959,21.393,21.959,416,0
2016-11-10,15:35:00,21.738,21.738,21.738,21.738,136,0
2016-11-10,16:10:00,21.489,21.489,21.489,21.489,416,0
2016-11-10,16:25:00,21.96,21.96,21.96,21.96,104,0
2016-11-10,17:00:00,21.379,21.379,21.379,21.379,1042,0
2016-11-10,17:10:00,21.93,21.93,21.93,21.93,104,0
2016-11-10,18:35:00,21.675,21.675,21.675,21.675,104,0
2016-11-10,19:25:00,21.892,21.892,21.892,21.892,104,0
2016-11-10,19:40:00,21.656,21.656,21.656,21.656,364,0
2016-11-10,19:45:00,21.69,21.69,21.67,21.67,386,0
2016-11-10,19:50:00,21.892,21.892,21.892,21.892,230,0
2016-11-10,20:35:00,21.671,21.844,21.662,21.844,416,0
2016-11-10,20:55:00,21.892,21.892,21.672,21.672,2168,0
2016-11-10,21:15:00,21.907,21.907,21.907,21.907,270,0
2016-11-10,21:20:00,21.786,21.786,21.786,21.786,208,0
2016-11-10,21:45:00,21.794,21.911,21.773,21.878,1250,0
2016-11-10,21:50:00,21.854,21.854,21.773,21.773,438,0
2016-11-10,22:00:00,21.863,21.863,21.652,21.652,208,0
2016-11-11,15:35:00,21.45,21.45,21.45,21.45,1042,0
2016-11-11,15:45:00,22.016,22.064,22.016,22.064,854,0
2016-11-11,15:55:00,22.618,22.618,22.618,22.618,136,0
2016-11-11,16:10:00,22.273,22.273,22.273,22.273,260,0
2016-11-11,16:15:00,22.481,22.481,22.481,22.481,135,0
2016-11-11,17:10:00,22.43,22.449,22.35,22.436,1566,0
2016-11-11,17:40:00,22.142,22.142,22.142,22.142,322,0
2016-11-11,17:55:00,22.41,22.41,22.41,22.41,104,0
2016-11-11,18:00:00,21.988,21.988,21.71,21.71,312,0
2016-11-11,18:05:00,21.71,21.738,21.71,21.738,1042,0
2016-11-11,18:10:00,21.738,21.758,21.71,21.71,587,0
2016-11-11,18:55:00,22,22,22,22,416,0
2016-11-11,20:05:00,22.208,22.382,22.208,22.382,416,0
2016-11-11,20:25:00,22.19,22.19,21.844,21.844,208,0
2016-11-11,20:45:00,21.844,21.844,21.789,21.789,847,0
2016-11-11,21:45:00,22.056,22.056,22.056,22.056,104,0
2016-11-14,15:35:00,22.026,22.026,22.026,22.026,104,0
2016-11-14,18:50:00,21.637,21.637,21.637,21.637,312,0
2016-11-14,19:45:00,21.844,21.844,21.844,21.844,104,0
2016-11-14,20:25:00,22.074,22.074,22.074,22.074,208,0
2016-11-14,21:00:00,21.66,22.064,21.66,22.064,272,0
2016-11-15,17:00:00,21.784,21.784,21.784,21.784,354,0
2016-11-15,17:30:00,21.786,21.786,21.786,21.786,1042,0
2016-11-15,20:20:00,22.026,22.026,22.026,22.026,104,0
2016-11-15,21:30:00,21.748,21.94,21.652,21.652,730,0
2016-11-15,21:50:00,21.94,21.94,21.94,21.94,104,0
2016-11-16,16:10:00,21.619,21.619,21.619,21.619,208,0
2016-11-16,16:30:00,21.986,21.986,21.986,21.986,458,0
2016-11-16,20:05:00,21.95,21.95,21.92,21.92,885,0
2016-11-16,20:10:00,21.959,21.959,21.959,21.959,104,0
2016-11-16,21:35:00,21.796,21.872,21.796,21.872,208,0
2016-11-17,15:55:00,21.854,21.854,21.854,21.854,120,0
2016-11-17,16:20:00,21.864,21.864,21.864,21.864,104,0
2016-11-17,17:25:00,21.987,21.987,21.987,21.987,1042,0
2016-11-17,17:40:00,22.026,22.036,22.014,22.036,3541,0
2016-11-17,19:50:00,21.957,21.957,21.957,21.957,260,0
2016-11-17,20:25:00,21.862,21.863,21.862,21.863,208,0
2016-11-17,21:10:00,21.871,21.871,21.871,21.871,208,0
2016-11-17,21:45:00,21.844,21.844,21.728,21.728,404,0
2016-11-17,22:00:00,21.844,21.844,21.844,21.844,208,0
2016-11-18,15:50:00,21.604,21.604,21.604,21.604,156,0
2016-11-18,15:55:00,21.636,21.636,21.636,21.636,208,0
2016-11-18,16:50:00,21.844,21.844,21.844,21.844,104,0
2016-11-18,18:25:00,21.844,21.844,21.844,21.844,104,0
2016-11-18,18:30:00,21.844,21.844,21.834,21.834,208,0
