Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-12,16:20:00,0.34,0.34,0.34,0.34,100,0
2016-12-12,17:00:00,0.3168,0.3168,0.3168,0.3168,1688,0
2016-12-12,17:15:00,0.33,0.33,0.33,0.33,10500,0
2016-12-12,17:25:00,0.33,0.33,0.33,0.33,9900,0
2016-12-12,17:30:00,0.33,0.33,0.33,0.33,900,0
2016-12-12,17:40:00,0.33,0.33,0.33,0.33,100,0
2016-12-12,21:40:00,0.3299,0.3299,0.3299,0.3299,2100,0
2016-12-13,16:00:00,0.31,0.31,0.3099,0.3099,5000,0
2016-12-13,16:05:00,0.31,0.31,0.2988,0.2988,2000,0
2016-12-13,16:25:00,0.31,0.31,0.31,0.31,100,0
2016-12-13,16:40:00,0.27,0.27,0.27,0.27,2500,0
2016-12-13,17:20:00,0.2701,0.2701,0.2701,0.2701,2000,0
2016-12-13,17:35:00,0.3,0.3,0.3,0.3,1000,0
2016-12-13,19:30:00,0.27,0.27,0.27,0.27,4000,0
2016-12-13,20:05:00,0.2701,0.2701,0.27,0.27,20000,0
2016-12-13,20:10:00,0.27,0.27,0.27,0.27,45000,0
2016-12-13,20:30:00,0.2701,0.2701,0.2701,0.2701,600,0
2016-12-13,21:10:00,0.3099,0.3099,0.3099,0.3099,100,0
2016-12-13,21:15:00,0.3099,0.3099,0.3099,0.3099,434,0
2016-12-13,21:55:00,0.3099,0.3099,0.3097,0.3097,12366,0
2016-12-13,22:00:00,0.2801,0.2801,0.2801,0.2801,1000,0
2016-12-14,15:40:00,0.31,0.31,0.31,0.31,100,0
2016-12-14,16:50:00,0.28,0.28,0.28,0.28,1688,0
2016-12-14,17:00:00,0.31,0.31,0.31,0.31,100,0
2016-12-14,20:40:00,0.2801,0.2801,0.28,0.28,4120,0
2016-12-14,21:45:00,0.31,0.31,0.31,0.31,100,0
2016-12-15,16:05:00,0.33,0.33,0.33,0.33,100,0
2016-12-15,16:30:00,0.3168,0.3168,0.3168,0.3168,1077,0
2016-12-15,16:35:00,0.32,0.335,0.32,0.335,29300,0
2016-12-15,16:55:00,0.335001,0.335001,0.335,0.335,1000,0
2016-12-15,17:00:00,0.335,0.34,0.331,0.34,8200,0
