Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-06,15:35:00,47.354,47.354,47.354,47.354,1427,0
2016-09-06,18:45:00,47.763,47.763,47.763,47.763,106,0
2016-09-06,21:10:00,47.822,47.822,47.822,47.822,222,0
2016-09-06,21:20:00,47.822,47.822,47.822,47.822,121,0
2016-09-06,22:00:00,47.582,47.582,47.582,47.582,106,0
2016-09-07,16:20:00,47.857,47.857,47.478,47.478,527,0
2016-09-07,16:40:00,47.26,47.26,47.26,47.26,169,0
2016-09-07,17:00:00,47.382,47.823,47.382,47.823,480,0
2016-09-07,19:25:00,47.572,47.572,47.572,47.572,173,0
2016-09-07,20:35:00,47.572,47.572,47.572,47.572,106,0
2016-09-07,20:55:00,47.714,47.714,47.714,47.714,421,0
2016-09-07,21:50:00,47.999,47.999,47.999,47.999,106,0
2016-09-08,17:00:00,47.596,47.703,47.525,47.703,315,0
2016-09-09,15:35:00,47.297,47.297,47.297,47.297,106,0
2016-09-09,19:30:00,47.629,47.629,47.629,47.629,106,0
2016-09-09,19:35:00,47.639,47.763,47.639,47.763,421,0
2016-09-09,19:40:00,47.81,47.81,47.81,47.81,133,0
2016-09-09,19:45:00,47.991,47.999,47.714,47.714,1579,0
2016-09-09,20:35:00,47.43,47.43,47.43,47.43,155,0
2016-09-09,20:45:00,47.496,47.496,47.458,47.458,421,0
2016-09-09,20:55:00,47.877,47.877,47.639,47.639,211,0
2016-09-09,21:20:00,47.478,47.478,47.458,47.458,211,0
2016-09-09,21:30:00,47.43,47.43,47.43,47.43,106,0
2016-09-09,22:00:00,47.43,47.43,47.43,47.43,106,0
2016-09-12,15:35:00,47.287,47.287,47.287,47.287,632,0
2016-09-12,19:05:00,47.478,47.478,47.468,47.478,948,0
2016-09-13,15:35:00,47.43,47.43,47.43,47.43,697,0
2016-09-13,16:40:00,47.43,47.43,47.43,47.43,357,0
2016-09-13,18:20:00,47.34,47.34,47.34,47.34,290,0
2016-09-13,19:10:00,47.696,47.696,47.696,47.696,106,0
2016-09-13,20:05:00,47.592,47.603,47.592,47.603,211,0
2016-09-13,21:50:00,47.706,47.706,47.706,47.706,106,0
2016-09-14,16:10:00,47.483,47.483,47.483,47.483,171,0
2016-09-14,16:35:00,47.544,47.544,47.544,47.544,315,0
2016-09-14,17:20:00,47.706,47.706,47.58,47.58,421,0
2016-09-14,19:05:00,47.691,47.691,47.691,47.691,421,0
2016-09-14,21:15:00,47.603,47.603,47.603,47.603,165,0
2016-09-14,21:50:00,47.572,47.572,47.572,47.572,106,0
2016-09-15,15:35:00,47.667,47.667,47.667,47.667,159,0
2016-09-15,15:55:00,47.666,47.714,47.666,47.714,421,0
2016-09-15,17:30:00,47.981,47.999,47.981,47.999,843,0
2016-09-15,17:35:00,48.095,48.095,48.076,48.076,412,0
2016-09-15,17:40:00,47.999,48.19,47.999,48.161,315,0
2016-09-15,17:50:00,47.976,47.976,47.971,47.971,545,0
2016-09-15,19:05:00,48.076,48.076,48.076,48.076,106,0
2016-09-15,19:10:00,48.227,48.227,48.227,48.227,106,0
2016-09-15,21:10:00,47.952,48.237,47.952,48.19,737,0
2016-09-15,22:00:00,48.199,48.237,48.199,48.237,211,0
2016-09-16,15:35:00,48.104,48.104,48.104,48.104,106,0
2016-09-16,15:50:00,47.934,47.934,47.934,47.934,106,0
2016-09-16,16:05:00,48.019,48.019,48.019,48.019,527,0
2016-09-16,18:15:00,48.019,48.085,48.019,48.085,632,0
2016-09-16,18:30:00,48.019,48.019,48.019,48.019,106,0
2016-09-16,18:35:00,48.019,48.019,48.019,48.019,527,0
2016-09-16,18:40:00,48.161,48.161,48.066,48.142,737,0
2016-09-16,18:45:00,48.095,48.161,48.095,48.152,421,0
2016-09-16,18:50:00,48.408,48.408,48.408,48.408,315,0
2016-09-16,19:00:00,48.323,48.323,48.323,48.323,211,0
2016-09-16,19:05:00,48.541,48.541,48.332,48.332,737,0
2016-09-16,19:10:00,48.256,48.256,48.256,48.256,211,0
2016-09-16,20:40:00,48.17,48.256,48.113,48.145,977,0
2016-09-16,21:45:00,48.104,48.104,48.104,48.104,211,0
2016-09-16,21:55:00,48.104,48.104,48.104,48.104,106,0
2016-09-19,16:50:00,47.999,47.999,47.999,47.999,421,0
2016-09-19,17:25:00,48.058,48.058,48.058,48.058,1053,0
2016-09-19,17:40:00,48.356,48.356,48.356,48.356,527,0
2016-09-19,17:50:00,48.323,48.323,48.275,48.275,421,0
2016-09-19,20:15:00,47.963,47.963,47.963,47.963,106,0
2016-09-19,20:50:00,48.418,48.418,48.418,48.418,106,0
2016-09-19,21:05:00,48.579,48.579,48.142,48.142,488,0
2016-09-19,21:10:00,48.19,48.418,48.19,48.332,594,0
2016-09-19,21:15:00,48.503,48.503,48.161,48.161,948,0
2016-09-20,16:25:00,48.19,48.19,48.19,48.19,211,0
2016-09-20,19:10:00,47.999,48.004,47.999,48.004,600,0
2016-09-20,20:00:00,48.153,48.153,48.153,48.153,227,0
2016-09-20,20:45:00,48.047,48.237,48.047,48.237,315,0
2016-09-20,21:25:00,48.095,48.18,48.095,48.18,684,0
2016-09-20,21:40:00,48.313,48.313,48.313,48.313,211,0
2016-09-20,21:45:00,48.113,48.113,48.096,48.096,211,0
2016-09-20,21:50:00,48.095,48.095,48.095,48.095,106,0
2016-09-20,22:00:00,48.076,48.361,48.076,48.361,842,0
2016-09-21,15:40:00,47.971,47.971,47.971,47.971,106,0
2016-09-21,20:05:00,48.199,48.199,48.199,48.199,275,0
2016-09-21,20:30:00,48.18,48.18,48.18,48.18,173,0
2016-09-21,21:10:00,48.493,48.493,48.323,48.323,315,0
2016-09-21,21:20:00,48.427,48.427,48.427,48.427,106,0
2016-09-22,18:15:00,47.714,48.056,47.478,47.478,4107,0
2016-09-22,18:20:00,47.838,47.838,47.811,47.811,421,0
2016-09-22,19:45:00,47.686,47.8,47.677,47.677,421,0
2016-09-22,21:50:00,47.592,47.857,47.592,47.857,1527,0
2016-09-22,22:00:00,47.857,47.857,47.857,47.857,211,0
2016-09-23,17:55:00,47.905,48.195,47.905,48.195,211,0
2016-09-23,18:10:00,47.905,47.905,47.905,47.905,735,0
2016-09-23,18:30:00,47.997,47.997,47.997,47.997,222,0
2016-09-23,20:15:00,48.161,48.161,48.161,48.161,106,0
2016-09-23,20:20:00,48.199,48.199,48.199,48.199,120,0
2016-09-23,21:45:00,48.332,48.332,47.999,47.999,421,0
2016-09-26,16:05:00,47.867,47.989,47.859,47.989,842,0
2016-09-26,17:40:00,47.952,47.952,47.857,47.857,632,0
2016-09-26,18:15:00,47.683,47.714,47.683,47.714,1685,0
2016-09-26,19:05:00,47.683,47.683,47.683,47.683,1053,0
2016-09-26,20:20:00,47.706,47.706,47.706,47.706,1053,0
2016-09-26,20:30:00,47.7,47.714,47.582,47.714,4566,0
2016-09-26,20:45:00,48.427,48.427,48.427,48.427,106,0
2016-09-26,20:50:00,47.905,47.905,47.905,47.905,106,0
2016-09-26,21:00:00,48.18,48.18,48.18,48.18,106,0
2016-09-26,21:05:00,47.952,48.142,47.942,48.047,527,0
2016-09-26,21:10:00,47.914,47.914,47.895,47.895,527,0
2016-09-26,21:15:00,47.895,47.952,47.895,47.952,459,0
2016-09-26,22:00:00,48.275,48.275,48.275,48.275,106,0
2016-09-27,17:45:00,48.163,48.163,48.163,48.163,106,0
2016-09-27,19:20:00,48.266,48.312,48.266,48.312,527,0
2016-09-27,19:45:00,48.427,48.427,48.427,48.427,126,0
2016-09-27,20:20:00,48.351,48.404,48.351,48.404,232,0
2016-09-27,20:25:00,48.351,48.351,48.351,48.351,211,0
2016-09-27,20:35:00,48.375,48.375,48.351,48.351,291,0
2016-09-28,18:40:00,47.999,47.999,47.999,47.999,106,0
2016-09-28,20:20:00,48.275,48.275,48.275,48.275,346,0
2016-09-28,20:50:00,48.088,48.088,48.088,48.088,211,0
2016-09-28,21:05:00,48.113,48.113,47.999,48.085,632,0
2016-09-28,21:10:00,48.043,48.043,48.043,48.043,280,0
2016-09-28,21:25:00,48.403,48.403,48.403,48.403,211,0
2016-09-28,21:50:00,48.19,48.19,47.838,47.905,1053,0
2016-09-28,21:55:00,47.991,47.991,47.991,47.991,106,0
2016-09-28,22:00:00,48.047,48.341,47.942,48.341,315,0
2016-09-29,15:35:00,48.294,48.294,48.294,48.294,211,0
2016-09-29,16:45:00,47.715,47.715,47.715,47.715,106,0
2016-09-29,18:55:00,48.11,48.11,48.11,48.11,159,0
2016-09-29,20:05:00,47.895,47.895,47.895,47.895,106,0
2016-09-29,20:30:00,47.905,48.095,47.905,48.095,421,0
2016-09-29,21:20:00,48.095,48.095,48.085,48.095,3475,0
2016-09-29,21:25:00,48.408,48.427,48.379,48.427,7089,0
2016-09-29,21:30:00,48.825,49.14,48.825,49.14,1791,0
2016-09-29,21:35:00,49.13,49.14,48.825,49.14,3475,0
2016-09-29,21:40:00,49.14,49.14,49.14,49.14,315,0
2016-09-29,21:45:00,49.14,49.14,48.902,48.902,632,0
2016-09-29,21:50:00,48.902,48.902,48.882,48.902,632,0
2016-09-29,21:55:00,48.902,49.14,48.864,49.14,1264,0
2016-09-29,22:00:00,49.1,49.14,49.1,49.14,405,0
2016-09-30,17:05:00,48.902,48.902,48.902,48.902,211,0
2016-09-30,17:10:00,48.902,48.902,48.902,48.902,106,0
2016-09-30,17:15:00,48.902,48.902,48.902,48.902,211,0
2016-09-30,17:30:00,48.864,48.864,48.845,48.845,668,0
2016-09-30,20:35:00,47.953,47.953,47.953,47.953,119,0
2016-09-30,21:20:00,48.427,48.427,48.27,48.27,632,0
2016-09-30,21:50:00,48.427,48.427,48.427,48.427,173,0
2016-09-30,22:00:00,48.427,48.427,48.427,48.427,737,0
2016-10-03,16:55:00,48.57,48.57,48.57,48.57,106,0
2016-10-03,18:30:00,48.721,48.721,48.721,48.721,106,0
2016-10-03,18:40:00,48.752,48.783,48.712,48.721,2527,0
2016-10-03,18:45:00,48.845,48.845,48.845,48.845,124,0
2016-10-03,19:55:00,48.768,48.768,48.768,48.768,106,0
2016-10-03,20:25:00,48.735,48.735,48.713,48.713,769,0
2016-10-03,20:35:00,48.711,48.711,48.617,48.617,842,0
