Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15:35:00,32.722,32.722,32.632,32.632,981,0
2017-01-03,16:05:00,32.849,32.849,32.849,32.849,1128,0
2017-01-03,16:20:00,32.822,32.851,32.822,32.851,400,0
2017-01-03,16:25:00,32.868,32.868,32.868,32.868,911,0
2017-01-03,16:35:00,32.871,32.871,32.871,32.871,200,0
2017-01-03,16:40:00,32.772,32.772,32.772,32.772,100,0
2017-01-03,17:20:00,32.881,32.881,32.881,32.881,149,0
2017-01-03,17:45:00,32.643,32.643,32.643,32.643,496,0
2017-01-03,18:10:00,32.831,32.831,32.831,32.831,307,0
2017-01-03,18:25:00,32.742,32.742,32.742,32.742,100,0
2017-01-03,19:20:00,32.697,32.699,32.697,32.699,515,0
2017-01-03,20:20:00,32.722,32.722,32.722,32.722,175,0
2017-01-03,21:30:00,32.781,32.781,32.781,32.781,228,0
2017-01-03,21:35:00,32.657,32.657,32.657,32.657,103,0
2017-01-03,21:50:00,32.772,32.772,32.772,32.772,248,0
2017-01-04,15:35:00,32.911,32.911,32.911,32.911,487,0
2017-01-04,15:45:00,32.971,32.971,32.971,32.971,175,0
2017-01-04,16:05:00,32.981,32.981,32.981,32.981,100,0
2017-01-04,16:45:00,32.915,32.915,32.915,32.915,850,0
2017-01-04,17:25:00,32.901,32.901,32.901,32.901,100,0
2017-01-04,17:45:00,32.947,32.947,32.947,32.947,112,0
2017-01-04,17:50:00,33.011,33.011,33.011,33.011,100,0
2017-01-04,18:25:00,32.991,32.991,32.991,32.991,123,0
2017-01-04,18:30:00,32.93,32.93,32.93,32.93,260,0
2017-01-04,19:05:00,32.995,32.995,32.995,32.995,400,0
2017-01-04,22:00:00,33.091,33.121,33.091,33.121,407,0
2017-01-05,15:35:00,33.321,33.321,33.321,33.321,1287,0
2017-01-05,15:50:00,33.571,33.571,33.571,33.571,205,0
2017-01-05,16:15:00,33.571,33.571,33.571,33.571,1046,0
2017-01-05,16:50:00,33.611,33.611,33.611,33.611,100,0
2017-01-05,17:10:00,33.451,33.486,33.451,33.486,600,0
2017-01-05,17:25:00,33.601,33.601,33.601,33.601,100,0
2017-01-05,17:35:00,33.471,33.471,33.471,33.471,150,0
2017-01-05,17:45:00,33.607,33.671,33.607,33.651,3002,0
2017-01-05,18:25:00,33.511,33.511,33.511,33.511,275,0
2017-01-05,18:40:00,33.691,33.741,33.691,33.721,10006,0
2017-01-05,19:35:00,33.783,33.783,33.783,33.783,598,0
2017-01-05,20:10:00,33.739,33.739,33.739,33.739,300,0
2017-01-05,20:30:00,33.749,33.749,33.749,33.749,148,0
2017-01-05,21:55:00,33.781,33.781,33.781,33.781,100,0
2017-01-05,22:00:00,33.781,33.831,33.781,33.831,385,0
2017-01-06,15:35:00,33.661,33.661,33.661,33.661,1890,0
2017-01-06,16:20:00,33.421,33.421,33.421,33.421,136,0
2017-01-06,16:50:00,33.48,33.48,33.48,33.48,150,0
2017-01-06,17:00:00,33.396,33.396,33.396,33.396,250,0
2017-01-06,17:20:00,33.43,33.43,33.43,33.43,275,0
2017-01-06,17:30:00,33.452,33.452,33.452,33.452,300,0
2017-01-06,17:50:00,33.346,33.346,33.346,33.346,142,0
2017-01-06,18:05:00,33.404,33.404,33.404,33.404,206,0
2017-01-06,18:10:00,33.301,33.301,33.301,33.301,500,0
2017-01-06,19:00:00,33.411,33.411,33.411,33.411,160,0
2017-01-06,20:05:00,33.366,33.366,33.366,33.366,117,0
2017-01-06,21:35:00,33.441,33.441,33.441,33.441,100,0
2017-01-06,22:00:00,33.441,33.441,33.351,33.351,480,0
2017-01-09,15:35:00,33.571,33.571,33.571,33.571,1901,0
2017-01-09,16:40:00,33.479,33.479,33.479,33.479,400,0
2017-01-09,16:50:00,33.578,33.578,33.578,33.578,173,0
2017-01-09,17:10:00,33.604,33.604,33.604,33.604,450,0
2017-01-09,17:35:00,33.663,33.663,33.561,33.561,600,0
2017-01-09,19:35:00,33.618,33.618,33.618,33.618,7662,0
2017-01-09,19:40:00,33.671,33.671,33.671,33.671,100,0
2017-01-09,20:00:00,33.681,33.681,33.681,33.681,400,0
2017-01-09,20:10:00,33.581,33.581,33.581,33.581,200,0
2017-01-09,20:55:00,33.61,33.61,33.61,33.61,118,0
2017-01-09,22:00:00,33.581,33.631,33.581,33.631,508,0
2017-01-10,15:35:00,33.831,33.831,33.831,33.831,386,0
2017-01-10,15:55:00,33.892,33.892,33.892,33.892,1001,0
2017-01-10,16:25:00,33.961,33.981,33.961,33.981,668,0
2017-01-10,16:35:00,33.938,33.938,33.938,33.938,1118,0
2017-01-10,16:40:00,33.981,33.981,33.981,33.981,389,0
2017-01-10,16:45:00,33.941,33.941,33.941,33.941,100,0
2017-01-10,17:00:00,33.981,33.981,33.981,33.981,1301,0
2017-01-10,17:05:00,33.981,33.981,33.981,33.981,1312,0
2017-01-10,17:10:00,34.061,34.061,34.061,34.061,100,0
2017-01-10,17:15:00,34.071,34.071,34.071,34.071,100,0
2017-01-10,18:05:00,34.076,34.081,34.076,34.081,224,0
2017-01-10,18:30:00,33.973,33.973,33.973,33.973,100,0
2017-01-10,18:35:00,34.031,34.031,34.001,34.001,1101,0
2017-01-10,19:15:00,34.041,34.041,34.041,34.041,100,0
2017-01-10,20:00:00,33.991,33.991,33.981,33.981,500,0
2017-01-10,20:05:00,33.951,33.951,33.951,33.951,100,0
2017-01-10,20:10:00,33.931,33.931,33.931,33.931,115,0
2017-01-10,21:25:00,33.883,33.883,33.883,33.883,350,0
2017-01-10,21:45:00,33.981,33.981,33.981,33.981,100,0
2017-01-10,21:55:00,33.981,33.981,33.971,33.971,200,0
2017-01-10,22:00:00,33.961,33.981,33.961,33.981,200,0
2017-01-11,15:35:00,33.891,33.891,33.891,33.891,1021,0
2017-01-11,15:55:00,33.921,33.921,33.921,33.921,300,0
2017-01-11,17:00:00,33.85,33.85,33.85,33.85,155,0
2017-01-11,17:55:00,33.905,33.905,33.905,33.905,120,0
2017-01-11,18:10:00,33.932,33.932,33.932,33.932,240,0
2017-01-11,18:15:00,33.866,33.866,33.866,33.866,150,0
2017-01-11,18:50:00,33.907,33.907,33.907,33.907,1185,0
2017-01-11,19:40:00,34.104,34.104,34.104,34.104,215,0
2017-01-11,20:50:00,34.146,34.146,34.146,34.146,300,0
2017-01-11,20:55:00,34.116,34.116,34.116,34.116,400,0
2017-01-11,21:00:00,34.125,34.125,34.125,34.125,700,0
2017-01-11,21:25:00,34.123,34.251,34.123,34.251,3927,0
2017-01-11,21:30:00,34.271,34.271,34.231,34.231,567,0
2017-01-11,21:50:00,34.231,34.371,34.231,34.371,3752,0
2017-01-11,22:00:00,34.301,34.381,34.301,34.351,785,0
2017-01-12,15:35:00,34.251,34.251,34.251,34.251,285,0
2017-01-12,15:55:00,34.321,34.321,34.321,34.321,200,0
2017-01-12,16:10:00,34.161,34.161,34.161,34.161,281,0
2017-01-12,16:20:00,34.199,34.199,34.199,34.199,548,0
2017-01-12,16:25:00,34.161,34.161,34.161,34.161,200,0
2017-01-12,16:30:00,34.101,34.101,34.091,34.091,500,0
2017-01-12,16:40:00,34.131,34.131,34.131,34.131,100,0
2017-01-12,16:55:00,34.071,34.071,34.071,34.071,350,0
2017-01-12,17:50:00,34.081,34.081,34.081,34.081,154,0
2017-01-12,17:55:00,34.179,34.179,34.179,34.179,111,0
2017-01-12,18:15:00,34.04,34.04,34.04,34.04,250,0
2017-01-12,18:20:00,34.091,34.091,34.091,34.091,111,0
2017-01-12,18:25:00,34.141,34.141,34.141,34.141,100,0
2017-01-12,19:25:00,34.151,34.151,34.151,34.151,300,0
2017-01-12,21:00:00,34.195,34.195,34.195,34.195,100,0
2017-01-12,21:10:00,34.181,34.181,34.181,34.181,100,0
2017-01-12,22:00:00,34.201,34.231,34.201,34.231,385,0
2017-01-13,15:35:00,34.251,34.251,34.181,34.181,727,0
2017-01-13,19:00:00,34.124,34.124,34.124,34.124,300,0
2017-01-13,19:55:00,34.186,34.186,34.186,34.186,100,0
2017-01-13,20:00:00,34.181,34.181,34.181,34.181,100,0
2017-01-13,20:20:00,34.151,34.151,34.151,34.151,100,0
