Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,14:35:00,33.155,33.155,33.155,33.155,1553,0
2017-03-23,14:45:00,33.168,33.168,33.135,33.135,278,0
2017-03-23,14:50:00,33.145,33.145,33.145,33.145,601,0
2017-03-23,15:10:00,33.141,33.141,33.141,33.141,100,0
2017-03-23,15:20:00,33.105,33.105,33.076,33.076,622,0
2017-03-23,15:25:00,33.124,33.124,33.124,33.124,1056,0
2017-03-23,15:30:00,33.127,33.127,33.093,33.093,550,0
2017-03-23,15:35:00,33.106,33.106,33.106,33.106,105,0
2017-03-23,15:55:00,33.159,33.159,33.159,33.159,301,0
2017-03-23,16:05:00,33.119,33.135,33.115,33.135,364,0
2017-03-23,16:20:00,33.182,33.182,33.182,33.182,250,0
2017-03-23,16:25:00,33.159,33.159,33.146,33.146,445,0
2017-03-23,16:35:00,33.175,33.175,33.125,33.125,253,0
2017-03-23,16:40:00,33.125,33.125,33.125,33.125,699,0
2017-03-23,16:45:00,33.125,33.15,33.125,33.15,345,0
2017-03-23,17:05:00,33.159,33.159,33.15,33.15,1291,0
2017-03-23,17:15:00,33.155,33.155,33.145,33.145,985,0
2017-03-23,17:20:00,33.134,33.134,33.133,33.133,2134,0
2017-03-23,17:30:00,33.125,33.161,33.125,33.161,3744,0
2017-03-23,17:50:00,33.121,33.153,33.121,33.144,800,0
2017-03-23,18:00:00,33.158,33.158,33.158,33.158,301,0
2017-03-23,18:05:00,33.175,33.175,33.175,33.175,116,0
2017-03-23,18:10:00,33.125,33.125,33.125,33.125,501,0
2017-03-23,18:20:00,33.155,33.155,33.155,33.155,315,0
2017-03-23,18:30:00,33.155,33.155,33.155,33.155,147,0
2017-03-23,18:35:00,33.141,33.141,33.141,33.141,180,0
2017-03-23,18:40:00,33.155,33.155,33.15,33.152,3013,0
2017-03-23,18:45:00,33.111,33.111,33.111,33.111,1428,0
2017-03-23,18:50:00,33.085,33.085,33.085,33.085,651,0
2017-03-23,18:55:00,33.146,33.146,33.146,33.146,1403,0
2017-03-23,19:10:00,33.105,33.105,33.105,33.105,200,0
2017-03-23,19:15:00,33.105,33.165,33.105,33.134,1930,0
2017-03-23,19:20:00,33.135,33.135,33.135,33.135,1003,0
2017-03-23,19:25:00,33.131,33.131,33.131,33.131,486,0
2017-03-23,19:30:00,33.145,33.145,33.145,33.145,100,0
2017-03-23,19:50:00,33.145,33.165,33.115,33.135,1358,0
2017-03-23,20:25:00,33.107,33.107,33.107,33.107,1123,0
2017-03-23,20:45:00,33.123,33.144,33.095,33.095,1043,0
2017-03-24,14:35:00,33.115,33.115,33.115,33.115,3335,0
2017-03-24,14:40:00,33.175,33.175,33.129,33.129,925,0
2017-03-24,14:55:00,33.155,33.155,33.155,33.155,218,0
2017-03-24,15:05:00,33.125,33.125,33.095,33.105,7485,0
2017-03-24,15:30:00,33.105,33.155,33.105,33.105,808,0
2017-03-24,15:40:00,33.124,33.124,33.124,33.124,618,0
2017-03-24,15:50:00,33.149,33.149,33.149,33.149,301,0
2017-03-24,16:05:00,33.182,33.182,33.182,33.182,125,0
2017-03-24,16:10:00,33.137,33.137,33.128,33.128,721,0
2017-03-24,16:25:00,33.155,33.155,33.155,33.155,1006,0
2017-03-24,16:30:00,33.141,33.141,33.141,33.141,686,0
2017-03-24,16:45:00,33.159,33.159,33.159,33.159,150,0
2017-03-24,17:00:00,33.135,33.156,33.135,33.156,1477,0
2017-03-24,17:05:00,33.184,33.184,33.14,33.14,1313,0
2017-03-24,17:10:00,33.145,33.159,33.145,33.159,712,0
2017-03-24,17:45:00,33.182,33.182,33.165,33.177,1954,0
2017-03-24,17:50:00,33.179,33.179,33.146,33.146,1259,0
2017-03-24,17:55:00,33.175,33.175,33.121,33.125,1158,0
2017-03-24,18:30:00,33.165,33.165,33.165,33.165,200,0
2017-03-24,18:35:00,33.155,33.155,33.155,33.155,200,0
2017-03-24,19:05:00,33.175,33.185,33.175,33.185,311,0
2017-03-24,19:20:00,33.169,33.169,33.169,33.169,1024,0
2017-03-24,19:35:00,33.16,33.18,33.16,33.18,1498,0
