Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-18,15:35:00,17.44,17.44,17.44,17.44,100,0
2016-11-18,17:25:00,17.3989,17.4,17.39,17.4,1410,0
2016-11-18,17:35:00,17.32,17.32,17.25,17.25,7900,0
2016-11-18,17:50:00,17.32,17.32,17.2659,17.2659,300,0
2016-11-18,18:00:00,17.32,17.32,17.32,17.32,600,0
2016-11-18,20:00:00,17.32,17.3459,17.32,17.3459,200,0
2016-11-18,20:25:00,17.2896,17.2896,17.2896,17.2896,2254,0
2016-11-18,22:00:00,17.37,17.38,17.25,17.32,1204,0
2016-11-21,17:25:00,17.33,17.33,17.32,17.32,575,0
2016-11-21,17:30:00,17.33,17.35,17.33,17.34,300,0
2016-11-21,18:40:00,17.33,17.33,17.33,17.33,100,0
2016-11-21,18:50:00,17.34,17.35,17.34,17.35,3000,0
2016-11-21,19:45:00,17.3211,17.3211,17.32,17.3211,1000,0
2016-11-21,19:50:00,17.3401,17.3401,17.34,17.34,4592,0
2016-11-21,20:10:00,17.3599,17.36,17.35,17.35,3990,0
2016-11-21,20:25:00,17.36,17.4,17.36,17.38,5446,0
2016-11-21,20:30:00,17.37,17.37,17.37,17.37,100,0
2016-11-21,20:35:00,17.37,17.37,17.36,17.37,500,0
2016-11-21,20:40:00,17.36,17.36,17.36,17.36,1217,0
2016-11-21,22:00:00,17.34,17.41,17.34,17.41,600,0
2016-11-22,16:05:00,17.3108,17.3108,17.3108,17.3108,2800,0
2016-11-22,17:25:00,17.387,17.4235,17.3717,17.3871,1400,0
2016-11-22,17:40:00,17.4399,17.4399,17.4399,17.4399,100,0
2016-11-22,18:50:00,17.42,17.42,17.42,17.42,250,0
2016-11-22,19:20:00,17.33,17.3474,17.33,17.3474,400,0
2016-11-22,20:10:00,17.37,17.38,17.37,17.38,404,0
2016-11-22,20:20:00,17.3753,17.4324,17.3753,17.4324,1052,0
2016-11-22,22:00:00,17.45,17.45,17.42,17.42,200,0
2016-11-23,16:20:00,17.33,17.33,17.33,17.33,300,0
2016-11-23,17:20:00,17.2481,17.2481,17.2481,17.2481,106,0
2016-11-23,18:25:00,17.2284,17.2284,17.2211,17.2211,580,0
2016-11-25,18:50:00,17.23,17.23,17.23,17.23,649,0
2016-11-25,19:05:00,17.29,17.29,17.29,17.29,649,0
2016-11-28,15:35:00,17.42,17.42,17.42,17.42,100,0
2016-11-28,15:45:00,17.28,17.306,17.28,17.306,400,0
2016-11-28,16:50:00,17.3,17.3,17.3,17.3,200,0
2016-11-28,18:00:00,17.32,17.32,17.32,17.32,200,0
2016-11-28,18:30:00,17.32,17.32,17.32,17.32,210,0
2016-11-28,19:30:00,17.33,17.33,17.33,17.33,200,0
2016-11-28,20:45:00,17.3822,17.3822,17.3822,17.3822,376,0
2016-11-28,22:00:00,17.4,17.41,17.4,17.41,200,0
2016-11-29,15:45:00,17.23,17.23,17.23,17.23,163,0
2016-11-29,17:45:00,17.37,17.37,17.36,17.3689,580,0
2016-11-29,18:40:00,17.33,17.33,17.33,17.33,135,0
2016-11-29,19:00:00,17.3298,17.3298,17.3298,17.3298,221,0
2016-11-29,19:10:00,17.3529,17.3529,17.3529,17.3529,200,0
2016-11-29,19:30:00,17.3351,17.3351,17.3351,17.3351,212,0
2016-11-29,19:50:00,17.335,17.335,17.31,17.3268,736,0
2016-11-29,20:05:00,17.32,17.335,17.32,17.32,914,0
2016-11-29,20:10:00,17.3402,17.3402,17.32,17.32,1940,0
2016-11-29,20:15:00,17.34,17.34,17.34,17.34,403,0
2016-11-29,20:25:00,17.32,17.36,17.32,17.36,248,0
2016-11-29,20:30:00,17.34,17.34,17.34,17.34,425,0
2016-11-29,20:40:00,17.3397,17.3397,17.3397,17.3397,166,0
2016-11-29,20:45:00,17.321,17.33,17.32,17.33,684,0
2016-11-29,20:50:00,17.348,17.348,17.348,17.348,281,0
2016-11-29,21:05:00,17.3602,17.3602,17.3602,17.3602,452,0
2016-11-29,21:10:00,17.3906,17.3906,17.3906,17.3906,463,0
2016-11-29,22:00:00,17.3208,17.3208,17.3208,17.3208,512,0
2016-11-30,17:10:00,17.31,17.31,17.31,17.31,2720,0
2016-11-30,19:25:00,17.3348,17.3348,17.3348,17.3348,275,0
2016-11-30,20:00:00,17.3222,17.3222,17.31,17.31,1800,0
2016-11-30,20:30:00,17.342,17.342,17.342,17.342,243,0
2016-11-30,20:40:00,17.3162,17.3285,17.3162,17.3285,303,0
2016-11-30,21:15:00,17.3202,17.3202,17.3201,17.3201,758,0
2016-11-30,21:35:00,17.3,17.3,17.3,17.3,2098,0
2016-11-30,22:00:00,17.296,17.3,17.29,17.3,3716,0
2016-12-01,15:35:00,17.28,17.28,17.28,17.28,445,0
2016-12-01,15:50:00,17.2934,17.2934,17.2934,17.2934,225,0
2016-12-01,16:10:00,17.25,17.26,17.25,17.25,700,0
2016-12-01,16:50:00,17.36,17.36,17.36,17.36,145,0
2016-12-01,17:50:00,17.37,17.37,17.3386,17.3386,485,0
2016-12-01,19:10:00,17.36,17.37,17.36,17.37,200,0
2016-12-01,20:15:00,17.31,17.31,17.31,17.31,200,0
2016-12-01,21:40:00,17.28,17.306,17.28,17.306,400,0
2016-12-01,21:50:00,17.32,17.32,17.32,17.32,100,0
2016-12-01,21:55:00,17.28,17.28,17.28,17.28,500,0
2016-12-01,22:00:00,17.28,17.31,17.28,17.31,1096,0
2016-12-02,16:15:00,17.3175,17.3175,17.2701,17.2701,1350,0
2016-12-02,16:35:00,17.35,17.35,17.35,17.35,3300,0
2016-12-02,17:55:00,17.3622,17.3622,17.3622,17.3622,194,0
2016-12-02,18:50:00,17.4,17.4,17.4,17.4,200,0
2016-12-02,20:00:00,17.388,17.388,17.388,17.388,700,0
2016-12-02,20:30:00,17.3752,17.3752,17.3752,17.3752,155,0
2016-12-02,22:00:00,17.32,17.37,17.32,17.37,1200,0
2016-12-05,16:10:00,17.38,17.38,17.38,17.38,800,0
2016-12-05,16:15:00,17.38,17.38,17.38,17.38,700,0
2016-12-05,17:30:00,17.4,17.4144,17.4,17.4,4280,0
2016-12-05,17:40:00,17.4052,17.4052,17.4052,17.4052,130,0
2016-12-05,18:55:00,17.42,17.43,17.42,17.43,1300,0
2016-12-05,19:00:00,17.46,17.47,17.46,17.47,200,0
2016-12-05,20:10:00,17.45,17.45,17.45,17.45,200,0
2016-12-05,20:25:00,17.4472,17.4472,17.4472,17.4472,109,0
2016-12-05,22:00:00,17.44,17.44,17.44,17.44,100,0
2016-12-06,16:20:00,17.58,17.58,17.58,17.58,100,0
2016-12-06,19:30:00,17.5611,17.5611,17.5611,17.5611,115,0
2016-12-06,19:55:00,17.53,17.5373,17.53,17.5373,3638,0
2016-12-06,21:05:00,17.5425,17.5425,17.5425,17.5425,325,0
2016-12-06,21:30:00,17.56,17.5789,17.56,17.5789,500,0
2016-12-06,22:00:00,17.52,17.52,17.5,17.5,12200,0
2016-12-07,15:35:00,17.54,17.54,17.54,17.54,700,0
2016-12-07,16:35:00,17.6051,17.662,17.595,17.662,2240,0
2016-12-07,17:15:00,17.61,17.6276,17.61,17.6276,200,0
2016-12-07,17:25:00,17.6,17.6,17.6,17.6,100,0
2016-12-07,18:50:00,17.61,17.61,17.61,17.61,100,0
2016-12-07,20:05:00,17.615,17.615,17.615,17.615,180,0
2016-12-07,20:10:00,17.6015,17.6015,17.5801,17.5801,842,0
2016-12-07,20:30:00,17.6064,17.6064,17.58,17.58,1300,0
2016-12-07,20:40:00,17.5899,17.5899,17.5899,17.5899,100,0
2016-12-07,20:45:00,17.6046,17.6046,17.6046,17.6046,300,0
2016-12-07,21:40:00,17.6341,17.6341,17.6341,17.6341,302,0
2016-12-07,22:00:00,17.58,17.58,17.58,17.58,250,0
2016-12-08,15:40:00,17.5368,17.5368,17.5091,17.5091,1268,0
2016-12-08,15:45:00,17.5163,17.5163,17.49,17.49,1350,0
