Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-31,15:35:00,58.9,58.9,58.9,58.9,1512,0
2017-03-31,15:40:00,58.85,58.85,58.85,58.85,282,0
2017-03-31,15:55:00,58.921,58.921,58.921,58.921,150,0
2017-03-31,16:05:00,58.95,58.95,58.9308,58.9308,1733,0
2017-03-31,16:10:00,58.95,58.95,58.95,58.95,200,0
2017-03-31,16:20:00,58.92,58.93,58.9,58.9,1560,0
2017-03-31,16:25:00,58.84,58.84,58.84,58.84,177,0
2017-03-31,16:30:00,58.8707,58.913,58.8707,58.913,600,0
2017-03-31,16:40:00,58.92,58.92,58.92,58.92,100,0
2017-03-31,16:45:00,58.97,58.9758,58.97,58.9758,330,0
2017-03-31,16:50:00,58.9799,58.98,58.9799,58.98,355,0
2017-03-31,16:55:00,58.98,58.98,58.98,58.98,100,0
2017-03-31,17:00:00,59,59.01,59,59.01,500,0
2017-03-31,17:05:00,59.05,59.05,59.05,59.05,100,0
2017-03-31,17:15:00,59.0785,59.11,59.0785,59.11,320,0
2017-03-31,17:25:00,59.1499,59.1499,59.14,59.14,1200,0
2017-03-31,17:40:00,59.11,59.22,59.11,59.22,1500,0
2017-03-31,17:45:00,59.205,59.205,59.152,59.152,1034,0
2017-03-31,17:50:00,59.189,59.189,59.189,59.189,176,0
2017-03-31,17:55:00,59.1799,59.1799,59.15,59.15,320,0
2017-03-31,18:05:00,59.16,59.18,59.16,59.18,300,0
2017-03-31,18:10:00,59.21,59.21,59.21,59.21,100,0
2017-03-31,18:15:00,59.1914,59.1914,59.1914,59.1914,180,0
2017-03-31,18:20:00,59.21,59.21,59.21,59.21,100,0
2017-03-31,18:30:00,59.2443,59.2443,59.2439,59.2439,872,0
2017-03-31,18:35:00,59.22,59.235,59.22,59.235,945,0
2017-03-31,18:40:00,59.24,59.24,59.24,59.24,200,0
2017-03-31,18:45:00,59.26,59.29,59.26,59.29,11700,0
2017-03-31,18:50:00,59.29,59.3,59.24,59.24,1415,0
