Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-28,15:35:00,84.487,84.487,84.378,84.378,527,0
2017-02-28,16:20:00,84.467,84.467,84.467,84.467,201,0
2017-02-28,16:40:00,84.358,84.358,84.288,84.288,602,0
2017-02-28,17:00:00,84.382,84.382,84.382,84.382,633,0
2017-02-28,17:15:00,84.348,84.348,84.348,84.348,303,0
2017-02-28,17:20:00,84.4,84.4,84.4,84.4,410,0
2017-02-28,17:55:00,84.422,84.422,84.422,84.422,100,0
2017-02-28,18:10:00,84.338,84.338,84.308,84.308,502,0
2017-02-28,18:25:00,84.312,84.312,84.238,84.238,318,0
2017-02-28,18:35:00,84.12,84.318,84.12,84.318,1095,0
2017-02-28,18:40:00,84.303,84.303,84.263,84.263,345,0
2017-02-28,19:00:00,84.297,84.297,84.297,84.297,502,0
2017-02-28,19:10:00,84.223,84.223,84.223,84.223,100,0
2017-02-28,19:30:00,84.223,84.223,84.223,84.223,802,0
2017-02-28,19:35:00,84.178,84.178,84.178,84.178,274,0
2017-02-28,19:50:00,84.258,84.258,84.258,84.258,100,0
2017-02-28,20:10:00,84.328,84.328,84.328,84.328,1292,0
2017-02-28,20:35:00,84.282,84.282,84.282,84.282,1094,0
2017-02-28,21:00:00,84.23,84.23,84.23,84.23,287,0
2017-02-28,21:10:00,84.288,84.288,84.288,84.288,176,0
2017-02-28,21:35:00,84.237,84.258,84.237,84.258,248,0
2017-02-28,21:45:00,84.238,84.238,84.238,84.238,100,0
2017-02-28,21:50:00,84.273,84.273,84.273,84.273,181,0
2017-03-01,15:35:00,84.966,84.966,84.966,84.966,2191,0
2017-03-01,15:45:00,84.84,84.84,84.84,84.84,125,0
2017-03-01,16:10:00,84.992,84.992,84.992,84.992,100,0
2017-03-01,16:20:00,85.052,85.052,85.052,85.052,835,0
2017-03-01,16:45:00,84.981,84.981,84.981,84.981,351,0
2017-03-01,16:55:00,84.986,84.996,84.986,84.996,201,0
2017-03-01,17:00:00,84.986,84.986,84.986,84.986,301,0
2017-03-01,17:15:00,85.095,85.095,85.095,85.095,401,0
2017-03-01,17:20:00,85.104,85.104,85.104,85.104,176,0
2017-03-01,18:05:00,85.235,85.325,85.166,85.325,524,0
2017-03-01,19:00:00,85.282,85.282,85.282,85.282,100,0
2017-03-01,19:20:00,85.255,85.255,85.255,85.255,124,0
2017-03-01,19:30:00,85.315,85.315,85.296,85.296,517,0
2017-03-01,19:45:00,85.315,85.315,85.315,85.315,201,0
2017-03-01,20:15:00,85.343,85.343,85.343,85.343,115,0
2017-03-01,20:20:00,85.385,85.385,85.385,85.385,100,0
2017-03-01,20:25:00,85.374,85.374,85.374,85.374,115,0
2017-03-01,20:45:00,85.434,85.434,85.388,85.388,728,0
2017-03-01,20:55:00,85.381,85.381,85.381,85.381,201,0
2017-03-01,21:10:00,85.393,85.393,85.355,85.355,602,0
2017-03-01,21:25:00,85.337,85.337,85.332,85.332,345,0
2017-03-01,21:50:00,85.335,85.335,85.335,85.335,1304,0
2017-03-01,21:55:00,85.305,85.305,85.305,85.305,401,0
2017-03-01,22:00:00,85.175,85.175,85.175,85.175,258,0
2017-03-02,15:35:00,85.245,85.245,85.245,85.245,1238,0
2017-03-02,15:40:00,84.993,84.993,84.993,84.993,236,0
2017-03-02,15:45:00,85.104,85.104,85.104,85.104,224,0
2017-03-02,16:45:00,85.006,85.006,85.006,85.006,100,0
2017-03-02,16:50:00,85.036,85.036,85.036,85.036,602,0
2017-03-02,16:55:00,85.068,85.068,85.061,85.061,401,0
2017-03-02,17:05:00,84.996,85.036,84.996,85.036,301,0
2017-03-02,17:10:00,84.956,85.011,84.956,85.011,502,0
2017-03-02,17:15:00,84.967,84.967,84.967,84.967,347,0
2017-03-02,17:30:00,84.996,84.996,84.996,84.996,414,0
2017-03-02,17:35:00,84.916,84.929,84.916,84.929,201,0
2017-03-02,17:45:00,84.868,84.868,84.868,84.868,178,0
2017-03-02,18:05:00,84.829,84.829,84.796,84.796,502,0
2017-03-02,18:15:00,84.937,84.937,84.937,84.937,117,0
2017-03-02,19:10:00,84.872,84.872,84.872,84.872,711,0
2017-03-02,19:40:00,85.02,85.02,85.02,85.02,100,0
2017-03-02,19:50:00,84.836,84.883,84.836,84.883,201,0
2017-03-02,20:05:00,84.875,84.875,84.875,84.875,125,0
2017-03-02,20:15:00,84.904,84.904,84.904,84.904,168,0
2017-03-02,20:35:00,84.976,84.976,84.976,84.976,100,0
2017-03-02,20:45:00,85.043,85.043,85.043,85.043,201,0
2017-03-02,20:55:00,85.001,85.001,85.001,85.001,249,0
2017-03-02,21:25:00,84.925,84.925,84.925,84.925,582,0
2017-03-02,21:30:00,84.896,84.896,84.896,84.896,124,0
2017-03-02,22:00:00,84.727,84.727,84.727,84.727,106,0
2017-03-03,15:35:00,84.786,84.786,84.786,84.786,470,0
2017-03-03,15:55:00,84.697,84.697,84.697,84.697,100,0
2017-03-03,16:25:00,84.537,84.547,84.537,84.547,201,0
2017-03-03,16:35:00,84.507,84.556,84.507,84.535,3009,0
2017-03-03,17:00:00,84.615,84.615,84.615,84.615,100,0
2017-03-03,17:35:00,84.537,84.537,84.537,84.537,201,0
2017-03-03,17:45:00,84.576,84.576,84.576,84.576,201,0
2017-03-03,17:55:00,84.575,84.697,84.575,84.697,2995,0
