Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-06,18:05:00,15.262,15.262,15.262,15.262,153,0
2016-12-08,15:40:00,15.429,15.429,15.429,15.429,100,0
2016-12-12,18:00:00,15.489,15.489,15.488,15.488,304,0
2016-12-13,20:30:00,15.636,15.636,15.636,15.636,210,0
2016-12-14,15:35:00,15.596,15.596,15.596,15.596,156,0
2016-12-14,20:05:00,15.606,15.606,15.606,15.606,100,0
2016-12-14,20:45:00,15.519,15.519,15.519,15.519,100,0
2017-01-11,15:35:00,15.704,15.704,15.704,15.704,203,0
2017-01-11,21:25:00,15.734,15.734,15.734,15.734,140,0
2017-01-23,19:50:00,15.862,15.862,15.844,15.844,403,0
2017-01-25,16:10:00,16.118,16.12,16.118,16.12,203,0
2017-01-27,17:40:00,16.021,16.021,16.021,16.021,100,0
2017-01-30,21:00:00,15.854,15.854,15.854,15.854,506,0
2017-01-31,20:50:00,15.931,15.931,15.931,15.931,403,0
2017-02-03,16:55:00,15.908,15.908,15.908,15.908,402,0
2017-02-03,17:55:00,15.938,15.938,15.938,15.938,1510,0
2017-02-03,18:00:00,15.938,15.938,15.938,15.938,574,0
2017-02-06,20:10:00,15.724,15.724,15.724,15.724,191,0
2017-02-06,20:50:00,15.73,15.75,15.73,15.73,504,0
2017-02-07,15:40:00,15.71,15.71,15.71,15.71,654,0
2017-02-07,20:25:00,15.73,15.73,15.73,15.73,411,0
2017-02-13,15:35:00,16.147,16.147,16.147,16.147,606,0
2017-02-13,15:50:00,16.012,16.012,16.012,16.012,202,0
2017-02-15,18:40:00,16.068,16.068,16.068,16.068,856,0
2017-02-16,21:30:00,16.088,16.088,16.088,16.088,1007,0
2017-02-17,15:35:00,16.038,16.038,16.038,16.038,1007,0
2017-02-17,17:05:00,15.918,15.918,15.918,15.918,100,0
2017-02-17,22:00:00,15.958,15.958,15.958,15.958,202,0
2017-02-22,16:15:00,15.85,15.85,15.85,15.85,269,0
2017-02-22,17:00:00,15.908,15.908,15.908,15.908,202,0
2017-02-23,15:50:00,16.028,16.028,16.028,16.028,202,0
2017-02-24,17:10:00,15.73,15.73,15.73,15.73,100,0
2017-02-27,20:35:00,15.79,15.79,15.79,15.79,331,0
2017-02-28,17:45:00,15.77,15.77,15.77,15.77,1510,0
2017-02-28,17:50:00,15.859,15.859,15.859,15.859,1510,0
2017-03-02,16:45:00,16.035,16.035,16.035,16.035,100,0
2017-03-02,20:50:00,15.975,15.975,15.975,15.975,100,0
2017-03-03,18:15:00,15.985,15.985,15.985,15.985,100,0
2017-03-06,20:20:00,16.045,16.045,16.01,16.01,502,0
2017-03-08,20:35:00,15.846,15.846,15.845,15.845,258,0
2017-03-10,17:15:00,16.094,16.094,16.094,16.094,502,0
2017-03-10,17:20:00,16.105,16.105,16.105,16.105,100,0
2017-03-10,21:20:00,16.145,16.145,16.145,16.145,452,0
2017-03-13,15:45:00,16.184,16.184,16.159,16.184,2007,0
2017-03-13,16:35:00,16.174,16.174,16.169,16.169,371,0
2017-03-13,20:25:00,16.184,16.184,16.184,16.184,502,0
2017-03-13,21:00:00,16.204,16.204,16.204,16.204,401,0
2017-03-15,19:00:00,16.214,16.214,16.214,16.214,100,0
2017-03-15,19:05:00,16.164,16.164,16.137,16.137,401,0
2017-03-15,20:40:00,16.189,16.189,16.189,16.189,100,0
2017-03-17,19:35:00,16.384,16.384,16.384,16.384,100,0
2017-03-17,19:45:00,16.424,16.424,16.424,16.424,1154,0
2017-03-20,15:40:00,16.334,16.334,16.334,16.334,171,0
2017-03-22,18:55:00,16.174,16.174,16.174,16.174,602,0
2017-03-23,20:55:00,16.184,16.224,16.184,16.224,502,0
2017-03-27,21:20:00,16.364,16.364,16.364,16.364,142,0
2017-03-28,16:40:00,16.483,16.483,16.483,16.483,201,0
2017-03-29,18:05:00,16.434,16.434,16.434,16.434,151,0
2017-03-31,15:35:00,16.434,16.453,16.434,16.453,2509,0
2017-03-31,17:15:00,16.463,16.463,16.463,16.463,100,0
2017-03-31,17:25:00,16.473,16.473,16.473,16.473,100,0
2017-03-31,18:20:00,16.473,16.473,16.473,16.473,100,0
2017-03-31,21:25:00,16.444,16.444,16.444,16.444,702,0
2017-04-04,17:45:00,16.359,16.38,16.359,16.38,200,0
2017-04-07,20:20:00,16.3999,16.3999,16.3999,16.3999,150,0
2017-04-07,20:35:00,16.43,16.43,16.43,16.43,450,0
2017-04-13,15:35:00,17.75,17.75,17.75,17.75,610,0
2017-04-17,16:15:00,16.42,16.42,16.4025,16.4025,200,0
2017-04-17,21:00:00,16.42,16.42,16.42,16.42,308,0
2017-04-17,21:45:00,16.43,16.43,16.405,16.405,2000,0
2017-04-17,21:50:00,16.43,16.45,16.4136,16.45,4000,0
2017-04-17,22:00:00,16.41,16.41,16.41,16.41,2000,0
2017-04-19,16:20:00,16.37,16.37,16.37,16.37,300,0
2017-04-20,19:50:00,16.47,16.47,16.47,16.47,1000,0
2017-04-25,15:35:00,16.94,16.94,16.94,16.94,100,0
2017-04-25,16:50:00,16.92,16.92,16.8601,16.8875,2500,0
2017-04-25,22:00:00,16.97,16.97,16.97,16.97,200,0
