Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,52,52.15,51.9,51.9398,103983,0
2017-04-10,15:40:00,51.91,51.96,51.88,51.89,45241,0
2017-04-10,15:45:00,51.89,51.96,51.89,51.96,46890,0
2017-04-10,15:50:00,51.96,51.97,51.87,51.8901,54332,0
2017-04-10,15:55:00,51.895,51.91,51.87,51.89,73345,0
2017-04-10,16:00:00,51.89,51.91,51.88,51.895,52749,0
2017-04-10,16:05:00,51.905,51.905,51.85,51.855,46408,0
2017-04-10,16:10:00,51.86,51.86,51.79,51.81,49444,0
2017-04-10,16:15:00,51.81,51.82,51.74,51.77,63882,0
2017-04-10,16:20:00,51.76,51.76,51.69,51.7,18890,0
2017-04-10,16:25:00,51.7,51.765,51.6902,51.75,38659,0
2017-04-10,16:30:00,51.75,51.76,51.72,51.75,23543,0
2017-04-10,16:35:00,51.755,51.845,51.75,51.79,36317,0
2017-04-10,16:40:00,51.79,51.81,51.78,51.78,18091,0
2017-04-10,16:45:00,51.8,51.845,51.79,51.845,25500,0
2017-04-10,16:50:00,51.83,51.885,51.83,51.85,14909,0
2017-04-10,16:55:00,51.86,51.88,51.85,51.85,14116,0
2017-04-10,17:00:00,51.85,51.89,51.81,51.81,29222,0
2017-04-10,17:05:00,51.81,51.83,51.81,51.81,14668,0
2017-04-10,17:10:00,51.81,51.81,51.755,51.78,15422,0
2017-04-10,17:15:00,51.78,51.825,51.77,51.81,23036,0
2017-04-10,17:20:00,51.815,51.85,51.81,51.84,11000,0
2017-04-10,17:25:00,51.85,51.92,51.85,51.88,20287,0
2017-04-10,17:30:00,51.88,51.93,51.88,51.91,21924,0
2017-04-10,17:35:00,51.91,51.91,51.8549,51.86,7188,0
2017-04-10,17:40:00,51.85,51.86,51.805,51.805,6059,0
2017-04-10,17:45:00,51.81,51.82,51.78,51.785,11100,0
2017-04-10,17:50:00,51.785,51.82,51.7843,51.82,8559,0
2017-04-10,17:55:00,51.82,51.84,51.82,51.84,13510,0
2017-04-10,18:00:00,51.84,51.84,51.82,51.82,7005,0
2017-04-10,18:05:00,51.81,51.835,51.81,51.82,6000,0
2017-04-10,18:10:00,51.81,51.825,51.775,51.79,9310,0
2017-04-10,18:15:00,51.795,51.8,51.705,51.715,18186,0
2017-04-10,18:20:00,51.71,51.72,51.695,51.715,12556,0
2017-04-10,18:25:00,51.715,51.72,51.69,51.72,27656,0
2017-04-10,18:30:00,51.72,51.72,51.67,51.68,33001,0
2017-04-10,18:35:00,51.68,51.82,51.68,51.82,18806,0
2017-04-10,18:40:00,51.82,51.855,51.82,51.84,30859,0
2017-04-10,18:45:00,51.84,51.875,51.84,51.86,17898,0
2017-04-10,18:50:00,51.8665,51.875,51.85,51.8711,14612,0
2017-04-10,18:55:00,51.88,51.9,51.88,51.89,8942,0
2017-04-10,19:00:00,51.885,51.895,51.865,51.87,8200,0
2017-04-10,19:05:00,51.865,51.9,51.86,51.86,7400,0
2017-04-10,19:10:00,51.87,51.9,51.87,51.885,7400,0
2017-04-10,19:15:00,51.88,51.88,51.85,51.85,9600,0
2017-04-10,19:20:00,51.85,51.86,51.84,51.855,13697,0
2017-04-10,19:25:00,51.86,51.91,51.85,51.895,7355,0
2017-04-10,19:30:00,51.8734,51.935,51.8734,51.92,7473,0
2017-04-10,19:35:00,51.93,52,51.93,51.989,14037,0
2017-04-10,19:40:00,51.99,52.05,51.98,52.0234,27209,0
2017-04-10,19:45:00,52.02,52.02,51.99,52.009,13901,0
2017-04-10,19:50:00,52.01,52.04,52,52.03,29100,0
2017-04-10,19:55:00,52.025,52.05,52.025,52.045,18353,0
