Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,24.82,24.82,24.77,24.77,4780,0
2017-04-07,15:40:00,24.708,24.8001,24.7,24.8001,1100,0
2017-04-07,15:45:00,24.79,24.8,24.75,24.75,4593,0
2017-04-07,15:50:00,24.75,24.79,24.7,24.71,8100,0
2017-04-07,15:55:00,24.71,24.73,24.63,24.64,44244,0
2017-04-07,16:00:00,24.62,24.62,24.59,24.59,4500,0
2017-04-07,16:05:00,24.6,24.64,24.6,24.6201,7915,0
2017-04-07,16:10:00,24.624,24.7,24.624,24.68,26927,0
2017-04-07,16:15:00,24.75,24.79,24.74,24.76,4450,0
2017-04-07,16:20:00,24.74,24.74,24.72,24.72,2700,0
2017-04-07,16:25:00,24.74,24.75,24.72,24.73,1617,0
2017-04-07,16:30:00,24.71,24.74,24.69,24.7029,800,0
2017-04-07,16:35:00,24.7,24.7,24.67,24.67,400,0
2017-04-07,16:40:00,24.665,24.75,24.66,24.75,1564,0
2017-04-07,16:45:00,24.74,24.76,24.731,24.74,2200,0
2017-04-07,16:50:00,24.72,24.72,24.69,24.69,402,0
2017-04-07,16:55:00,24.7,24.72,24.7,24.72,702,0
2017-04-07,17:00:00,24.74,24.74,24.74,24.74,300,0
2017-04-07,17:05:00,24.75,24.76,24.71,24.71,1600,0
2017-04-07,17:10:00,24.7,24.7,24.6722,24.6722,922,0
2017-04-07,17:15:00,24.67,24.685,24.67,24.67,1000,0
2017-04-07,17:20:00,24.6935,24.7,24.68,24.7,1734,0
2017-04-07,17:25:00,24.705,24.73,24.7,24.72,3100,0
2017-04-07,17:30:00,24.73,24.73,24.69,24.69,1100,0
2017-04-07,17:35:00,24.69,24.7,24.68,24.68,4305,0
2017-04-07,17:40:00,24.68,24.68,24.67,24.67,700,0
2017-04-07,17:45:00,24.69,24.71,24.68,24.7,1500,0
2017-04-07,17:50:00,24.73,24.73,24.7144,24.7144,960,0
2017-04-07,17:55:00,24.72,24.73,24.7045,24.73,1766,0
2017-04-07,18:00:00,24.73,24.73,24.73,24.73,200,0
2017-04-07,18:05:00,24.72,24.74,24.72,24.74,1000,0
2017-04-07,18:10:00,24.76,24.76,24.76,24.76,200,0
2017-04-07,18:15:00,24.7533,24.7533,24.74,24.74,919,0
2017-04-07,18:20:00,24.75,24.75,24.73,24.73,2500,0
2017-04-07,18:30:00,24.72,24.725,24.72,24.725,875,0
2017-04-07,18:35:00,24.74,24.74,24.74,24.74,600,0
2017-04-07,18:40:00,24.74,24.74,24.73,24.73,200,0
2017-04-07,18:45:00,24.73,24.73,24.72,24.73,1991,0
2017-04-07,18:50:00,24.7242,24.75,24.7242,24.75,2062,0
2017-04-07,18:55:00,24.75,24.76,24.75,24.755,4009,0
2017-04-07,19:05:00,24.7553,24.7553,24.74,24.75,2500,0
2017-04-07,19:10:00,24.76,24.76,24.74,24.74,700,0
2017-04-07,19:15:00,24.755,24.76,24.74,24.74,1400,0
2017-04-07,19:20:00,24.74,24.74,24.74,24.74,100,0
2017-04-07,19:25:00,24.76,24.78,24.76,24.78,400,0
2017-04-07,19:30:00,24.78,24.82,24.78,24.814,1391,0
2017-04-07,19:35:00,24.82,24.83,24.82,24.82,1288,0
2017-04-07,19:40:00,24.79,24.79,24.78,24.78,793,0
2017-04-07,19:45:00,24.78,24.78,24.78,24.78,500,0
2017-04-07,19:50:00,24.8,24.8,24.8,24.8,205,0
2017-04-07,20:00:00,24.8,24.8,24.8,24.8,200,0
