Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-23,15:50:00,43.468,43.468,43.468,43.468,119,0
2017-02-23,16:00:00,43.497,43.497,43.497,43.497,100,0
2017-02-23,16:10:00,43.487,43.487,43.487,43.487,401,0
2017-02-23,16:20:00,43.393,43.393,43.393,43.393,185,0
2017-02-23,16:30:00,43.277,43.277,43.268,43.268,502,0
2017-02-23,16:55:00,43.224,43.224,43.224,43.224,100,0
2017-02-23,17:10:00,43.148,43.148,43.148,43.148,207,0
2017-02-23,17:25:00,43.15,43.15,43.091,43.091,232,0
2017-02-23,17:35:00,43.208,43.261,43.208,43.261,602,0
2017-02-23,17:45:00,43.262,43.262,43.247,43.247,853,0
2017-02-23,18:05:00,43.248,43.248,43.248,43.248,100,0
2017-02-23,18:25:00,43.317,43.317,43.317,43.317,100,0
2017-02-23,19:00:00,43.437,43.437,43.387,43.397,6832,0
2017-02-23,19:05:00,43.347,43.347,43.347,43.347,374,0
2017-02-23,19:45:00,43.327,43.327,43.327,43.327,100,0
2017-02-23,20:00:00,43.383,43.383,43.383,43.383,434,0
2017-02-23,20:10:00,43.36,43.387,43.36,43.387,1745,0
2017-02-23,20:20:00,43.324,43.324,43.324,43.324,366,0
2017-02-23,20:30:00,43.377,43.377,43.325,43.325,622,0
2017-02-23,20:40:00,43.326,43.326,43.326,43.326,1655,0
2017-02-23,20:45:00,43.322,43.343,43.322,43.343,352,0
2017-02-23,21:05:00,43.327,43.377,43.327,43.377,217,0
2017-02-23,21:15:00,43.386,43.386,43.386,43.386,1315,0
2017-02-23,21:25:00,43.372,43.382,43.372,43.382,301,0
2017-02-23,21:30:00,43.387,43.387,43.387,43.387,201,0
2017-02-23,21:40:00,43.437,43.437,43.437,43.437,100,0
2017-02-23,21:50:00,43.42,43.42,43.412,43.412,201,0
2017-02-23,22:00:00,43.35,43.35,43.35,43.35,126,0
2017-02-24,15:35:00,43.058,43.058,43.058,43.058,369,0
2017-02-24,15:45:00,43.118,43.118,43.118,43.118,201,0
2017-02-24,16:00:00,43.157,43.168,43.157,43.158,1304,0
2017-02-24,16:05:00,43.168,43.168,43.128,43.148,12339,0
2017-02-24,16:10:00,43.148,43.202,43.148,43.158,341,0
2017-02-24,16:25:00,43.254,43.254,43.254,43.254,137,0
2017-02-24,16:35:00,43.168,43.168,43.168,43.168,100,0
2017-02-24,17:00:00,43.273,43.273,43.273,43.273,148,0
2017-02-24,17:55:00,43.235,43.235,43.235,43.235,177,0
2017-02-24,18:35:00,43.327,43.427,43.327,43.427,4893,0
2017-02-24,18:50:00,43.327,43.327,43.327,43.327,100,0
2017-02-24,18:55:00,43.327,43.327,43.327,43.327,201,0
2017-02-24,19:05:00,43.295,43.295,43.295,43.295,502,0
