Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-23,15:35:00,19.384,19.384,19.384,19.384,101,0
2016-11-23,17:25:00,19.311,19.311,19.311,19.311,944,0
2016-11-23,17:40:00,19.344,19.344,19.344,19.344,203,0
2016-11-23,19:35:00,19.382,19.382,19.382,19.382,274,0
2016-11-23,20:35:00,19.334,19.334,19.334,19.334,203,0
2016-11-23,21:55:00,19.403,19.403,19.403,19.403,786,0
2016-11-25,19:00:00,19.186,19.236,19.186,19.236,304,0
2016-11-28,16:45:00,19.125,19.125,19.125,19.125,118,0
2016-11-28,18:40:00,19.1,19.1,19.1,19.1,149,0
2016-11-28,20:35:00,19.195,19.195,19.191,19.191,1253,0
2016-11-28,22:00:00,18.96,18.96,18.96,18.96,456,0
2016-11-29,15:35:00,18.733,18.733,18.733,18.733,101,0
2016-11-29,20:30:00,18.812,18.812,18.812,18.812,507,0
2016-11-29,20:50:00,18.841,18.887,18.841,18.887,3943,0
2016-11-29,21:15:00,18.812,18.831,18.812,18.831,811,0
2016-11-30,15:35:00,19.275,19.275,19.275,19.275,101,0
2016-11-30,15:50:00,19.544,19.544,19.544,19.544,304,0
2016-11-30,16:10:00,19.493,19.493,19.493,19.493,162,0
2016-11-30,16:45:00,19.541,19.541,19.483,19.514,904,0
2016-11-30,17:10:00,19.62,19.62,19.62,19.62,780,0
2016-11-30,17:30:00,19.718,19.718,19.718,19.718,1521,0
2016-11-30,18:30:00,19.739,19.739,19.739,19.739,101,0
2016-11-30,18:40:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,18:45:00,19.703,19.703,19.703,19.703,378,0
2016-11-30,18:50:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,19:00:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,19:10:00,19.689,19.689,19.689,19.689,101,0
2016-11-30,19:20:00,19.66,19.709,19.65,19.66,2637,0
2016-11-30,19:25:00,19.689,19.689,19.65,19.679,4158,0
2016-11-30,19:30:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,19:40:00,19.702,19.709,19.679,19.699,2157,0
2016-11-30,19:45:00,19.699,19.709,19.699,19.709,1050,0
2016-11-30,19:50:00,19.699,19.709,19.699,19.707,1138,0
2016-11-30,20:00:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,20:10:00,19.689,19.739,19.689,19.739,203,0
2016-11-30,20:20:00,19.739,19.739,19.739,19.739,101,0
2016-11-30,20:25:00,19.709,19.709,19.709,19.709,304,0
2016-11-30,20:30:00,19.729,19.729,19.729,19.729,101,0
2016-11-30,20:40:00,19.726,19.729,19.719,19.719,786,0
2016-11-30,20:45:00,19.726,19.729,19.719,19.729,1448,0
2016-11-30,20:50:00,19.719,19.739,19.719,19.719,913,0
2016-11-30,20:55:00,19.719,19.724,19.709,19.709,5477,0
2016-11-30,21:00:00,19.709,19.709,19.709,19.709,101,0
2016-11-30,21:05:00,19.665,19.665,19.665,19.665,101,0
2016-11-30,21:10:00,19.719,19.719,19.719,19.719,101,0
2016-11-30,21:20:00,19.627,19.739,19.627,19.739,859,0
2016-11-30,21:30:00,19.748,19.748,19.748,19.748,101,0
2016-11-30,21:40:00,19.679,19.679,19.679,19.679,101,0
2016-11-30,21:45:00,19.701,19.701,19.701,19.701,101,0
2016-11-30,21:50:00,19.739,19.739,19.739,19.739,101,0
2016-11-30,22:00:00,19.591,19.591,19.591,19.591,101,0
2016-12-01,15:35:00,20.133,20.133,20.133,20.133,1431,0
2016-12-01,16:40:00,20.064,20.064,20.064,20.064,101,0
2016-12-01,17:05:00,20.05,20.054,20.05,20.054,1014,0
2016-12-01,17:15:00,20.054,20.054,20.054,20.054,2130,0
2016-12-01,17:25:00,20.054,20.054,20.029,20.029,406,0
2016-12-01,17:30:00,20.054,20.054,20.021,20.021,3374,0
2016-12-01,17:35:00,20.054,20.074,20.054,20.074,5173,0
2016-12-01,18:00:00,20.064,20.064,20.064,20.064,101,0
2016-12-01,19:00:00,20.064,20.101,20.064,20.101,304,0
2016-12-01,19:05:00,20.074,20.074,20.074,20.074,254,0
2016-12-01,20:45:00,20.026,20.026,20.026,20.026,748,0
2016-12-01,20:50:00,19.975,19.995,19.916,19.916,5274,0
2016-12-01,20:55:00,19.916,19.916,19.916,19.916,507,0
2016-12-01,21:40:00,19.837,19.837,19.837,19.837,203,0
2016-12-01,21:55:00,19.886,19.886,19.877,19.877,558,0
2016-12-01,22:00:00,19.848,19.878,19.817,19.817,1247,0
2016-12-02,16:10:00,19.788,19.788,19.788,19.788,304,0
2016-12-02,16:35:00,19.906,19.906,19.896,19.896,609,0
2016-12-02,16:40:00,19.906,19.946,19.906,19.916,1014,0
2016-12-02,16:55:00,19.955,20.015,19.955,19.985,2536,0
2016-12-02,17:25:00,19.867,19.896,19.867,19.896,913,0
2016-12-02,17:45:00,19.924,19.924,19.924,19.924,507,0
2016-12-02,18:10:00,19.946,19.946,19.946,19.946,254,0
2016-12-02,18:55:00,19.868,19.868,19.868,19.868,307,0
2016-12-02,19:55:00,19.845,19.845,19.845,19.845,493,0
2016-12-02,20:25:00,19.877,19.877,19.877,19.877,101,0
2016-12-02,20:35:00,19.877,19.877,19.877,19.877,203,0
2016-12-02,20:40:00,19.883,19.883,19.883,19.883,1561,0
2016-12-02,20:50:00,19.886,19.886,19.886,19.886,203,0
2016-12-02,21:00:00,19.847,19.886,19.837,19.852,5019,0
2016-12-02,21:55:00,19.877,19.877,19.877,19.877,101,0
2016-12-05,15:35:00,19.847,19.847,19.847,19.847,598,0
2016-12-05,15:45:00,19.995,19.995,19.995,19.995,101,0
2016-12-05,15:50:00,20.005,20.005,20.005,20.005,203,0
2016-12-05,16:55:00,20.103,20.103,20.103,20.103,101,0
2016-12-05,17:00:00,20.182,20.182,20.182,20.182,507,0
2016-12-05,17:25:00,20.183,20.183,20.183,20.183,710,0
2016-12-05,17:45:00,20.133,20.133,20.064,20.108,3423,0
2016-12-05,18:00:00,20.069,20.084,20.069,20.084,304,0
2016-12-05,18:25:00,20.093,20.093,20.034,20.034,710,0
2016-12-05,19:50:00,20.121,20.121,20.121,20.121,101,0
2016-12-05,20:35:00,20.015,20.068,20.015,20.064,801,0
2016-12-05,21:25:00,20.005,20.032,20.005,20.032,304,0
2016-12-05,21:45:00,20.039,20.039,20.039,20.039,101,0
2016-12-06,15:50:00,20.005,20.005,19.946,19.992,15053,0
2016-12-06,16:10:00,19.936,19.936,19.936,19.936,101,0
2016-12-06,16:15:00,19.916,19.916,19.916,19.916,259,0
2016-12-06,16:30:00,19.906,19.906,19.906,19.906,507,0
2016-12-06,16:35:00,19.906,19.906,19.906,19.906,203,0
2016-12-06,16:45:00,19.926,19.926,19.926,19.926,101,0
2016-12-06,16:55:00,19.926,19.926,19.926,19.926,101,0
2016-12-06,17:15:00,19.926,19.926,19.926,19.926,203,0
2016-12-06,17:25:00,19.965,19.965,19.965,19.965,609,0
2016-12-07,15:55:00,20.23,20.23,20.23,20.23,745,0
2016-12-07,16:15:00,20.155,20.155,20.155,20.155,507,0
2016-12-07,16:40:00,20.103,20.103,20.103,20.103,304,0
2016-12-07,17:40:00,20.192,20.192,20.16,20.16,970,0
2016-12-07,19:00:00,20.103,20.103,20.103,20.103,101,0
2016-12-07,19:35:00,20.23,20.23,20.23,20.23,172,0
2016-12-07,20:00:00,20.278,20.278,20.278,20.278,842,0
2016-12-07,20:25:00,20.247,20.247,20.247,20.247,304,0
2016-12-07,20:35:00,20.104,20.148,20.103,20.103,1217,0
2016-12-07,20:55:00,20.093,20.093,20.093,20.093,101,0
2016-12-07,21:00:00,20.094,20.094,20.094,20.094,507,0
2016-12-07,21:30:00,20.103,20.113,20.093,20.093,1684,0
2016-12-07,21:35:00,20.163,20.163,20.163,20.163,304,0
2016-12-07,21:55:00,20.143,20.143,20.113,20.113,1206,0
2016-12-07,22:00:00,20.172,20.172,20.172,20.172,101,0
2016-12-08,16:00:00,20.172,20.172,20.172,20.172,913,0
