Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-29,15:35:00,0.7446,0.7446,0.7095,0.7164,19330,0
2016-12-29,15:40:00,0.71,0.7129,0.71,0.7101,600,0
2016-12-29,16:05:00,0.7446,0.7446,0.7446,0.7446,1400,0
2016-12-29,16:10:00,0.7385,0.7385,0.7385,0.7385,1000,0
2016-12-29,16:15:00,0.702,0.7279,0.702,0.7279,1350,0
2016-12-29,16:35:00,0.743,0.7554,0.7287,0.7554,2414,0
2016-12-29,16:40:00,0.7204,0.7204,0.7204,0.7204,1250,0
2016-12-29,16:45:00,0.738,0.738,0.7099,0.7135,15000,0
2016-12-29,16:50:00,0.7001,0.735,0.7001,0.735,300,0
2016-12-29,17:00:00,0.7001,0.7001,0.696,0.7,15010,0
2016-12-29,17:05:00,0.7113,0.7113,0.6985,0.6985,2000,0
2016-12-29,17:15:00,0.6993,0.6993,0.6993,0.6993,2000,0
2016-12-29,17:20:00,0.6987,0.6987,0.6987,0.6987,500,0
2016-12-29,17:25:00,0.7,0.7,0.7,0.7,2000,0
2016-12-29,17:40:00,0.7011,0.716896,0.7011,0.716896,1300,0
2016-12-29,17:50:00,0.7129,0.7129,0.7129,0.7129,1350,0
2016-12-29,18:45:00,0.7,0.7001,0.7,0.7001,1200,0
2016-12-29,19:15:00,0.6963,0.6963,0.6963,0.6963,215,0
2016-12-29,19:30:00,0.6964,0.6964,0.6964,0.6964,241,0
2016-12-29,19:50:00,0.6966,0.6966,0.6963,0.6964,6000,0
2016-12-29,19:55:00,0.6966,0.6966,0.6966,0.6966,300,0
2016-12-29,20:55:00,0.7,0.7,0.7,0.7,4800,0
2016-12-29,21:10:00,0.7185,0.7185,0.7185,0.7185,1300,0
2016-12-29,21:25:00,0.6963,0.7021,0.6963,0.7021,2500,0
2016-12-29,21:30:00,0.6963,0.6963,0.6963,0.6963,1000,0
2016-12-29,21:55:00,0.7,0.7,0.7,0.7,3000,0
2016-12-29,22:00:00,0.7044,0.7044,0.7044,0.7044,300,0
