Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,16:05:00,25.13,25.13,25.13,25.13,200,0
2016-06-16,16:00:00,25.22,25.22,25.22,25.22,200,0
2016-06-27,17:25:00,25.19,25.19,25.19,25.19,300,0
2016-06-27,17:35:00,25.38,25.38,25.38,25.38,500,0
2016-06-29,18:50:00,26.7,26.7,26.7,26.7,900,0
2016-07-01,15:50:00,26.68,26.68,26.68,26.68,400,0
2016-07-06,15:55:00,26.1,26.1,26.1,26.1,400,0
2016-07-07,15:55:00,26.04,26.04,26.04,26.04,600,0
2016-07-07,17:25:00,25.69,25.69,25.69,25.69,200,0
2016-07-07,18:20:00,25.68,25.68,25.68,25.68,200,0
2016-07-12,18:00:00,26.27,26.27,26.27,26.27,200,0
2016-07-15,17:50:00,26.57,26.57,26.57,26.57,1200,0
2016-07-15,17:55:00,26.51,26.51,26.51,26.51,200,0
2016-07-18,16:40:00,26.26,26.26,26.26,26.26,500,0
2016-07-19,17:10:00,26.6,26.6,26.6,26.6,100,0
2016-08-01,17:30:00,26.18,26.18,26.18,26.18,1200,0
2016-08-02,18:45:00,25.83,25.83,25.83,25.83,600,0
2016-08-04,15:40:00,25.77,25.79,25.77,25.79,1100,0
2016-08-04,17:25:00,26.02,26.02,26.02,26.02,1100,0
2016-08-04,17:30:00,26.13,26.13,26.13,26.13,800,0
2016-08-10,17:55:00,26.33,26.33,26.33,26.33,100,0
2016-08-10,18:25:00,26.13,26.13,26.13,26.13,200,0
2016-08-12,18:45:00,25.97,25.97,25.97,25.97,200,0
2016-08-16,15:35:00,26.01,26.01,26.01,26.01,200,0
2016-08-16,15:45:00,25.92,25.92,25.92,25.92,400,0
2016-08-18,17:50:00,26.1,26.1,26.09,26.09,800,0
2016-08-22,16:20:00,26.41,26.41,26.41,26.41,600,0
2016-08-24,18:00:00,26.33,26.33,26.33,26.33,600,0
2016-09-02,18:55:00,26.7,26.7,26.7,26.7,500,0
2016-09-16,19:00:00,27.64,27.64,27.64,27.64,1000,0
2016-09-19,15:35:00,28.24,28.24,28.24,28.24,100,0
2016-09-22,18:00:00,28.87,28.87,28.87,28.87,600,0
2016-09-26,16:40:00,28.11,28.11,28.11,28.11,1000,0
2016-09-29,19:30:00,28.3388,28.3388,28.3388,28.3388,106,0
2016-10-11,18:20:00,28.3,28.3,28.3,28.3,1600,0
2016-10-12,16:40:00,28.2,28.2,28.2,28.2,1000,0
2016-10-17,17:25:00,28.6,28.6,28.6,28.6,800,0
2016-10-17,17:30:00,28.68,28.68,28.68,28.68,800,0
2016-10-17,18:00:00,28.74,28.74,28.74,28.74,200,0
2016-10-20,15:55:00,28.4016,28.4016,28.4016,28.4016,150,0
2016-10-27,21:20:00,28.8499,28.8499,28.8499,28.8499,150,0
2016-10-31,15:50:00,28.0912,28.0961,28.0912,28.0961,700,0
2016-10-31,19:20:00,27.9978,27.9978,27.9978,27.9978,300,0
2016-10-31,19:35:00,27.998,27.998,27.998,27.998,200,0
2016-11-02,17:45:00,27.98,28,27.98,28,3000,0
2016-11-04,17:10:00,28.51,28.51,28.51,28.51,150,0
2016-11-14,16:10:00,27.09,27.09,27.09,27.09,106,0
2016-11-15,18:10:00,27.56,27.56,27.56,27.56,1000,0
2016-11-15,18:35:00,27.73,27.73,27.73,27.73,200,0
2016-11-17,15:35:00,27.34,27.34,27.34,27.34,181,0
2016-11-17,19:20:00,27.18,27.18,27.18,27.18,124,0
2016-11-21,19:25:00,27.26,27.26,27.26,27.26,1400,0
2016-11-28,15:35:00,26.39,26.39,26.39,26.39,181,0
2016-11-28,15:40:00,26.4,26.4,26.4,26.4,100,0
2016-12-02,17:25:00,25.59,25.59,25.59,25.59,1000,0
2016-12-06,16:35:00,25.65,25.9,25.65,25.9,2000,0
2016-12-13,16:10:00,25.21,25.21,25.21,25.21,800,0
2016-12-27,16:55:00,24.8,24.8,24.8,24.8,200,0
2017-01-17,15:35:00,27.01,27.01,27.01,27.01,100,0
2017-01-17,16:20:00,27.13,27.13,27.13,27.13,200,0
2017-01-19,18:45:00,27.16,27.16,27.16,27.16,600,0
2017-01-19,18:50:00,27.01,27.01,27.01,27.01,600,0
2017-01-23,18:45:00,27.72,27.72,27.72,27.72,400,0
2017-01-26,17:05:00,27.37,27.37,27.37,27.37,400,0
2017-02-02,16:35:00,27.42,27.42,27.42,27.42,1000,0
2017-02-02,16:40:00,27.29,27.29,27.29,27.29,400,0
2017-02-28,18:20:00,26.1401,26.1401,26.1401,26.1401,100,0
2017-03-17,14:55:00,25.37,25.37,25.37,25.37,200,0
2017-03-17,17:55:00,25.52,25.52,25.52,25.52,1900,0
2017-03-20,16:05:00,25.71,25.71,25.71,25.71,1000,0
2017-03-24,18:20:00,25.1189,25.13,25.1189,25.1297,1000,0
2017-03-24,18:40:00,25.0946,25.0946,25.0946,25.0946,600,0
2017-04-12,18:20:00,24.44,24.44,24.41,24.41,1400,0
2017-04-18,19:15:00,24.88,24.88,24.88,24.88,1200,0
