Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15:35:00,32.65,32.65,32.65,32.65,681,0
2017-01-03,16:10:00,32.7799,32.7799,32.7799,32.7799,731,0
2017-01-03,16:20:00,32.7604,32.7604,32.7604,32.7604,106,0
2017-01-03,16:25:00,32.7765,32.82,32.7604,32.7604,1516,0
2017-01-03,16:30:00,32.78,32.78,32.7309,32.7504,483,0
2017-01-03,17:10:00,32.69,32.69,32.6311,32.6411,1198,0
2017-01-03,17:15:00,32.7,32.7,32.6655,32.6655,528,0
2017-01-03,17:35:00,32.67,32.67,32.6211,32.6211,400,0
2017-01-03,17:50:00,32.54,32.54,32.54,32.54,100,0
2017-01-03,18:30:00,32.5823,32.5823,32.5823,32.5823,200,0
2017-01-03,18:35:00,32.5335,32.5335,32.5335,32.5335,215,0
2017-01-03,18:45:00,32.5663,32.5663,32.5663,32.5663,185,0
2017-01-03,19:15:00,32.62,32.625,32.5923,32.5923,5934,0
2017-01-03,19:20:00,32.636,32.638,32.5971,32.62,4858,0
2017-01-03,19:25:00,32.61,32.63,32.6,32.63,800,0
2017-01-03,20:30:00,32.5401,32.5401,32.5401,32.5401,170,0
2017-01-03,20:40:00,32.62,32.62,32.62,32.62,730,0
2017-01-03,20:45:00,32.61,32.61,32.61,32.61,400,0
2017-01-03,21:05:00,32.66,32.66,32.66,32.66,1135,0
2017-01-03,21:15:00,32.66,32.6619,32.6556,32.6619,600,0
2017-01-03,22:00:00,32.72,32.73,32.72,32.73,1300,0
2017-01-04,15:35:00,32.74,32.74,32.74,32.74,394,0
2017-01-04,17:00:00,32.8261,32.85,32.8166,32.85,1091,0
2017-01-04,17:05:00,32.8654,32.88,32.8493,32.858,2855,0
2017-01-04,17:10:00,32.8472,32.87,32.8208,32.8208,575,0
2017-01-04,17:15:00,32.8472,32.8472,32.8472,32.8472,152,0
2017-01-04,17:20:00,32.87,32.88,32.8208,32.8308,4452,0
2017-01-04,17:55:00,32.905,32.93,32.905,32.9127,900,0
2017-01-04,18:30:00,32.9157,32.9157,32.9157,32.9157,400,0
2017-01-04,19:05:00,32.963,32.97,32.9206,32.9608,2898,0
2017-01-04,19:45:00,32.954,32.954,32.954,32.954,225,0
2017-01-04,20:25:00,32.99,32.99,32.9727,32.9727,342,0
2017-01-04,20:30:00,32.959,32.96,32.89,32.89,18709,0
2017-01-04,21:20:00,32.98,32.98,32.98,32.98,13297,0
2017-01-04,21:30:00,32.977,32.977,32.977,32.977,200,0
2017-01-04,22:00:00,33,33.01,33,33.01,565,0
2017-01-05,15:55:00,33.2193,33.2193,33.2193,33.2193,800,0
2017-01-05,16:15:00,33.24,33.24,33.24,33.24,200,0
2017-01-05,16:35:00,33.26,33.26,33.241,33.241,250,0
2017-01-05,17:15:00,33.188,33.188,33.188,33.188,106,0
2017-01-05,17:25:00,33.189,33.189,33.189,33.189,320,0
2017-01-05,17:30:00,33.21,33.21,33.2097,33.2097,1106,0
2017-01-05,17:35:00,33.2105,33.2299,33.1703,33.1703,2372,0
2017-01-05,17:40:00,33.2199,33.2199,33.2199,33.2199,330,0
2017-01-05,18:05:00,33.145,33.145,33.145,33.145,501,0
2017-01-05,18:20:00,33.16,33.16,33.16,33.16,200,0
2017-01-05,18:35:00,33.2399,33.2399,33.2299,33.2299,1200,0
2017-01-05,19:25:00,33.24,33.24,33.24,33.24,2200,0
2017-01-05,19:35:00,33.245,33.245,33.21,33.24,2029,0
2017-01-05,19:45:00,33.2204,33.2204,33.2204,33.2204,280,0
2017-01-05,20:30:00,33.201,33.3,33.201,33.23,19200,0
2017-01-05,20:35:00,33.221,33.235,33.201,33.23,13500,0
2017-01-05,20:40:00,33.21,33.21,33.195,33.21,9200,0
2017-01-05,20:45:00,33.2,33.2558,33.19,33.19,6023,0
2017-01-05,20:50:00,33.19,33.21,33.175,33.18,9100,0
2017-01-05,20:55:00,33.18,33.203,33.18,33.196,5200,0
2017-01-05,21:00:00,33.193,33.193,33.186,33.186,5000,0
2017-01-05,21:05:00,33.187,33.19,33.187,33.19,7500,0
2017-01-05,21:10:00,33.183,33.183,33.183,33.183,2500,0
2017-01-05,21:15:00,33.18,33.18,33.151,33.151,7500,0
2017-01-05,21:20:00,33.165,33.18,33.165,33.18,7500,0
2017-01-05,21:25:00,33.175,33.195,33.15,33.18,15263,0
2017-01-05,21:30:00,33.17,33.2132,33.15,33.2132,11698,0
2017-01-05,21:35:00,33.15,33.15,33.15,33.15,2500,0
2017-01-05,21:40:00,33.151,33.18,33.135,33.14,14700,0
2017-01-05,21:45:00,33.15,33.2,33.121,33.16,12700,0
2017-01-05,21:50:00,33.2,33.22,33.1201,33.19,8243,0
2017-01-05,21:55:00,33.21,33.21,33.121,33.1482,4126,0
2017-01-05,22:00:00,33.17,33.17,33.12,33.14,54743,0
2017-01-06,16:05:00,33.0257,33.0257,33.0257,33.0257,124,0
2017-01-06,16:40:00,32.97,32.97,32.97,32.97,100,0
2017-01-06,17:05:00,32.9896,32.9896,32.9896,32.9896,200,0
2017-01-06,17:25:00,32.9496,32.9496,32.9496,32.9496,436,0
2017-01-06,17:50:00,32.9778,32.9778,32.9778,32.9778,817,0
