Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-26,20:25:00,18.453,18.505,18.453,18.505,541,0
2016-05-26,21:15:00,18.658,18.658,18.497,18.497,772,0
2016-05-26,21:55:00,18.437,18.478,18.437,18.478,1612,0
2016-05-27,19:10:00,18.494,18.518,18.484,18.494,888,0
2016-05-27,21:55:00,18.513,18.513,18.513,18.513,2399,0
2016-05-27,22:00:00,18.513,18.513,18.513,18.513,628,0
2016-05-31,15:35:00,18.571,18.571,18.571,18.571,293,0
2016-05-31,19:35:00,18.504,18.537,18.504,18.537,1416,0
2016-06-01,17:45:00,18.474,18.474,18.459,18.459,4417,0
2016-06-01,17:50:00,18.428,18.428,18.428,18.428,1775,0
2016-06-01,17:55:00,18.469,18.469,18.469,18.469,1598,0
2016-06-01,18:35:00,18.437,18.437,18.437,18.437,210,0
2016-06-02,18:45:00,18.464,18.464,18.455,18.455,3131,0
2016-06-06,19:05:00,18.474,18.474,18.474,18.474,1043,0
2016-06-06,19:30:00,18.428,18.439,18.361,18.439,2922,0
2016-06-07,20:40:00,18.381,18.381,18.381,18.381,348,0
2016-06-08,15:40:00,18.455,18.455,18.455,18.455,2612,0
2016-06-08,21:20:00,18.504,18.513,18.504,18.513,520,0
2016-06-08,21:30:00,18.404,18.404,18.404,18.404,379,0
2016-06-09,17:25:00,18.397,18.46,18.391,18.401,4297,0
2016-06-15,15:40:00,18.361,18.361,18.361,18.361,521,0
2016-06-16,16:25:00,18.081,18.081,18.081,18.081,2090,0
2016-06-16,18:10:00,18.189,18.189,18.189,18.189,311,0
2016-06-17,15:35:00,18.053,18.053,18.053,18.053,112,0
2016-06-17,20:20:00,18.141,18.141,18.141,18.141,521,0
2016-06-20,15:35:00,18.126,18.126,18.126,18.126,937,0
2016-06-20,15:40:00,18.327,18.337,18.327,18.337,625,0
2016-06-20,16:40:00,18.397,18.415,18.397,18.415,937,0
2016-06-20,16:45:00,18.415,18.424,18.415,18.415,2183,0
2016-06-20,20:35:00,18.289,18.289,18.279,18.279,4161,0
2016-06-21,19:15:00,18.387,18.407,18.387,18.387,6239,0
2016-06-22,17:35:00,18.558,18.558,18.529,18.529,3033,0
2016-06-23,21:15:00,18.646,18.646,18.646,18.646,101,0
2016-06-29,15:40:00,18.106,18.106,18.106,18.106,1145,0
2016-06-29,15:45:00,18.039,18.039,18.039,18.039,519,0
2016-06-29,15:50:00,18.048,18.048,18.039,18.039,2599,0
2016-06-29,16:10:00,17.963,17.963,17.963,17.963,418,0
2016-06-29,20:40:00,18.011,18.011,18.011,18.011,101,0
2016-07-01,16:40:00,18.021,18.03,18.021,18.03,365,0
2016-07-01,21:20:00,17.977,17.977,17.977,17.977,802,0
2016-07-05,15:35:00,18.289,18.289,18.289,18.289,937,0
2016-07-05,16:35:00,17.865,17.875,17.865,17.875,209,0
2016-07-08,19:50:00,17.982,17.982,17.982,17.982,259,0
2016-07-12,17:30:00,18.415,18.415,18.415,18.415,1038,0
2016-07-12,20:15:00,18.24,18.24,18.24,18.24,1871,0
2016-07-14,15:35:00,18.415,18.415,18.415,18.415,3119,0
2016-07-15,21:10:00,18.508,18.508,18.508,18.508,214,0
2016-07-15,21:40:00,18.455,18.461,18.455,18.461,724,0
2016-07-15,21:45:00,18.506,18.506,18.506,18.506,447,0
2016-07-19,20:40:00,18.568,18.568,18.568,18.568,448,0
2016-07-22,21:30:00,18.52,18.52,18.52,18.52,418,0
2016-07-25,21:15:00,18.602,18.602,18.602,18.602,500,0
2016-07-26,21:40:00,18.721,18.721,18.419,18.419,3200,0
2016-07-26,22:00:00,18.429,18.448,18.419,18.448,1092,0
2016-07-28,19:50:00,18.675,18.675,18.675,18.675,154,0
2016-08-02,19:15:00,18.401,18.401,18.381,18.381,13771,0
2016-08-04,18:30:00,18.331,18.331,18.217,18.217,1736,0
2016-08-05,15:35:00,18.311,18.311,18.311,18.311,191,0
2016-08-05,21:15:00,18.724,18.724,18.724,18.724,869,0
2016-08-08,16:20:00,18.728,18.728,18.728,18.728,1601,0
2016-08-15,20:45:00,18.61,18.61,18.61,18.61,1000,0
2016-08-15,21:00:00,18.583,18.61,18.506,18.583,3331,0
2016-08-16,19:45:00,18.716,18.716,18.716,18.716,1554,0
2016-08-17,15:55:00,18.534,18.534,18.534,18.534,193,0
2016-08-18,17:40:00,18.626,18.626,18.626,18.626,517,0
2016-08-23,16:40:00,18.656,18.656,18.656,18.656,217,0
2016-08-23,17:35:00,18.648,18.648,18.648,18.648,270,0
2016-08-23,21:15:00,18.538,18.538,18.538,18.538,207,0
2016-08-24,16:40:00,18.563,18.563,18.563,18.563,323,0
2016-08-25,18:10:00,18.558,18.604,18.558,18.588,2063,0
2016-08-25,20:30:00,18.893,18.893,18.893,18.893,130,0
2016-09-01,22:00:00,18.661,18.661,18.661,18.661,101,0
2016-09-02,16:10:00,18.666,18.666,18.666,18.666,101,0
2016-09-02,18:15:00,18.652,18.652,18.652,18.652,308,0
2016-09-02,19:40:00,18.67,18.67,18.67,18.67,2224,0
2016-09-08,20:25:00,18.893,18.893,18.893,18.893,1116,0
2016-09-12,15:35:00,19.358,19.407,19.358,19.407,1030,0
2016-09-14,16:05:00,19.013,19.013,19.013,19.013,133,0
2016-09-15,15:35:00,18.912,18.912,18.912,18.912,308,0
2016-09-15,21:55:00,18.884,18.903,18.874,18.884,1886,0
2016-09-19,18:30:00,18.879,18.879,18.879,18.879,1230,0
2016-09-19,18:40:00,18.879,18.879,18.879,18.879,421,0
2016-09-20,17:45:00,18.874,18.955,18.865,18.955,1190,0
2016-09-22,17:00:00,19.038,19.058,19.038,19.058,362,0
2016-09-23,18:45:00,19.008,19.008,19.008,19.008,308,0
2016-09-26,15:35:00,18.932,18.932,18.912,18.912,2225,0
2016-09-27,17:05:00,18.929,18.929,18.929,18.929,206,0
2016-09-28,15:35:00,18.922,18.922,18.922,18.922,101,0
2016-09-28,15:50:00,18.99,18.99,18.99,18.99,156,0
2016-09-29,20:55:00,18.952,18.952,18.952,18.952,101,0
2016-09-30,22:00:00,18.971,18.99,18.971,18.99,719,0
2016-10-07,20:10:00,19.282,19.282,19.117,19.117,3578,0
2016-10-14,19:55:00,19.275,19.275,19.275,19.275,101,0
2016-10-17,15:35:00,19.224,19.224,19.224,19.224,683,0
2016-10-17,20:10:00,19.165,19.175,19.165,19.172,719,0
