Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-15,15:35:00,25.405,25.405,25.405,25.405,1966,0
2017-02-15,16:00:00,25.384,25.384,25.384,25.384,300,0
2017-02-15,16:20:00,25.427,25.427,25.427,25.427,100,0
2017-02-15,16:30:00,25.431,25.431,25.431,25.431,839,0
2017-02-15,17:05:00,25.43,25.43,25.43,25.43,1119,0
2017-02-15,17:10:00,25.404,25.404,25.404,25.404,250,0
2017-02-15,18:10:00,25.444,25.444,25.425,25.425,2941,0
2017-02-15,19:35:00,25.454,25.454,25.436,25.436,400,0
2017-02-15,20:30:00,25.444,25.444,25.444,25.444,3415,0
2017-02-15,20:35:00,25.39,25.39,25.39,25.39,260,0
2017-02-15,20:40:00,25.454,25.454,25.454,25.454,1568,0
2017-02-15,21:00:00,25.412,25.412,25.412,25.412,101,0
2017-02-15,21:30:00,25.454,25.454,25.454,25.454,2012,0
2017-02-16,15:35:00,25.444,25.454,25.444,25.454,1884,0
2017-02-16,15:50:00,25.453,25.453,25.453,25.453,116,0
2017-02-16,16:05:00,25.444,25.444,25.444,25.444,100,0
2017-02-16,16:10:00,25.44,25.44,25.44,25.44,100,0
2017-02-16,16:40:00,25.42,25.42,25.42,25.42,123,0
2017-02-16,17:35:00,25.45,25.45,25.45,25.45,602,0
2017-02-16,18:10:00,25.384,25.384,25.374,25.384,11120,0
2017-02-16,18:20:00,25.404,25.404,25.404,25.404,635,0
2017-02-16,19:10:00,25.409,25.409,25.409,25.409,155,0
2017-02-16,19:25:00,25.421,25.421,25.421,25.421,550,0
2017-02-16,19:50:00,25.444,25.444,25.444,25.444,100,0
2017-02-16,20:30:00,25.427,25.444,25.427,25.437,1865,0
2017-02-16,20:40:00,25.434,25.444,25.434,25.444,5168,0
2017-02-16,21:05:00,25.438,25.438,25.438,25.438,1954,0
2017-02-16,21:20:00,25.425,25.425,25.425,25.425,1753,0
2017-02-16,21:40:00,25.444,25.444,25.444,25.444,500,0
2017-02-16,21:50:00,25.444,25.444,25.444,25.444,300,0
2017-02-17,15:35:00,25.384,25.444,25.384,25.424,2394,0
2017-02-17,15:40:00,25.422,25.441,25.422,25.441,2504,0
2017-02-17,16:35:00,25.444,25.474,25.43,25.464,4127,0
2017-02-17,17:15:00,25.464,25.47,25.454,25.464,3867,0
2017-02-17,17:45:00,25.494,25.494,25.494,25.494,104,0
2017-02-17,18:15:00,25.454,25.464,25.454,25.454,2817,0
2017-02-17,18:35:00,25.468,25.468,25.468,25.468,727,0
2017-02-17,19:00:00,25.454,25.464,25.454,25.464,702,0
2017-02-17,19:05:00,25.464,25.464,25.454,25.454,1302,0
2017-02-17,19:40:00,25.466,25.466,25.466,25.466,406,0
2017-02-17,20:10:00,25.404,25.404,25.404,25.404,604,0
2017-02-17,21:05:00,25.412,25.454,25.412,25.454,2789,0
2017-02-17,21:10:00,25.454,25.454,25.454,25.454,300,0
2017-02-17,21:15:00,25.454,25.454,25.454,25.454,759,0
2017-02-17,21:30:00,25.443,25.443,25.443,25.443,500,0
2017-02-17,21:35:00,25.504,25.504,25.504,25.504,1176,0
2017-02-17,22:00:00,25.504,25.504,25.504,25.504,100,0
2017-02-21,15:35:00,25.464,25.464,25.464,25.464,445,0
2017-02-21,15:40:00,25.474,25.474,25.474,25.474,200,0
2017-02-21,16:05:00,25.458,25.458,25.458,25.458,1002,0
2017-02-21,16:35:00,25.444,25.444,25.444,25.444,100,0
2017-02-21,17:35:00,25.464,25.474,25.464,25.474,702,0
2017-02-21,17:55:00,25.474,25.479,25.464,25.474,831,0
2017-02-21,18:00:00,25.474,25.479,25.464,25.464,2723,0
2017-02-21,18:05:00,25.464,25.482,25.464,25.482,898,0
2017-02-21,18:10:00,25.464,25.464,25.464,25.464,602,0
2017-02-21,18:25:00,25.481,25.481,25.481,25.481,500,0
2017-02-21,18:35:00,25.464,25.464,25.464,25.464,500,0
2017-02-21,18:50:00,25.479,25.494,25.472,25.472,806,0
2017-02-21,19:00:00,25.479,25.479,25.464,25.476,5870,0
2017-02-21,19:25:00,25.481,25.481,25.481,25.481,500,0
2017-02-21,19:45:00,25.474,25.474,25.474,25.474,852,0
2017-02-21,19:55:00,25.474,25.482,25.454,25.474,4348,0
2017-02-21,20:20:00,25.494,25.494,25.464,25.464,1306,0
2017-02-21,21:15:00,25.484,25.484,25.464,25.464,1090,0
2017-02-21,21:40:00,25.477,25.477,25.474,25.474,2062,0
2017-02-21,21:50:00,25.474,25.474,25.474,25.474,400,0
2017-02-21,21:55:00,25.464,25.474,25.442,25.442,2996,0
2017-02-21,22:00:00,25.474,25.474,25.474,25.474,100,0
2017-02-22,16:05:00,25.449,25.449,25.449,25.449,1964,0
2017-02-22,16:35:00,25.474,25.504,25.474,25.504,1307,0
2017-02-22,16:40:00,25.494,25.494,25.475,25.475,602,0
2017-02-22,17:15:00,25.414,25.414,25.414,25.414,134,0
2017-02-22,18:15:00,25.439,25.439,25.439,25.439,555,0
2017-02-22,18:25:00,25.487,25.494,25.487,25.494,400,0
2017-02-22,18:30:00,25.485,25.485,25.485,25.485,1002,0
2017-02-22,18:35:00,25.489,25.494,25.484,25.489,1603,0
2017-02-22,18:40:00,25.47,25.47,25.47,25.47,200,0
2017-02-22,18:50:00,25.494,25.494,25.456,25.456,578,0
2017-02-22,19:05:00,25.497,25.497,25.497,25.497,1002,0
2017-02-22,19:10:00,25.477,25.494,25.414,25.494,506,0
2017-02-22,19:15:00,25.504,25.504,25.478,25.478,390,0
2017-02-22,20:05:00,25.406,25.406,25.406,25.406,271,0
2017-02-22,20:20:00,25.478,25.478,25.478,25.478,1403,0
2017-02-22,21:00:00,25.483,25.484,25.476,25.478,2604,0
2017-02-22,21:15:00,25.455,25.455,25.455,25.455,290,0
2017-02-22,21:20:00,25.461,25.461,25.461,25.461,157,0
2017-02-22,21:25:00,25.484,25.484,25.484,25.484,1502,0
2017-02-22,21:30:00,25.484,25.484,25.454,25.484,4064,0
2017-02-22,21:55:00,25.484,25.484,25.484,25.484,828,0
2017-02-22,22:00:00,25.484,25.484,25.484,25.484,300,0
2017-02-23,15:40:00,25.494,25.494,25.494,25.494,7012,0
2017-02-23,16:05:00,25.504,25.504,25.474,25.496,3525,0
2017-02-23,17:00:00,25.504,25.506,25.504,25.506,2454,0
2017-02-23,17:10:00,25.472,25.472,25.472,25.472,350,0
2017-02-23,18:30:00,25.499,25.504,25.499,25.499,3101,0
2017-02-23,19:15:00,25.504,25.504,25.504,25.504,702,0
2017-02-23,19:55:00,25.509,25.509,25.509,25.509,2153,0
2017-02-23,20:10:00,25.504,25.504,25.504,25.504,4704,0
2017-02-23,20:45:00,25.514,25.514,25.499,25.504,4734,0
2017-02-23,21:25:00,25.462,25.504,25.462,25.504,751,0
2017-02-23,21:40:00,25.514,25.514,25.477,25.504,5029,0
2017-02-23,22:00:00,25.514,25.514,25.514,25.514,100,0
2017-02-24,15:50:00,25.48,25.48,25.48,25.48,593,0
2017-02-24,15:55:00,25.514,25.524,25.476,25.52,3026,0
2017-02-24,16:05:00,25.514,25.514,25.504,25.514,1202,0
2017-02-24,16:25:00,25.525,25.525,25.525,25.525,390,0
2017-02-24,17:25:00,25.534,25.534,25.509,25.524,2669,0
2017-02-24,18:10:00,25.514,25.554,25.514,25.554,142288,0
2017-02-24,19:00:00,25.509,25.509,25.509,25.509,500,0
2017-02-24,19:40:00,25.514,25.534,25.514,25.519,792,0
2017-02-24,19:45:00,25.543,25.544,25.543,25.544,2602,0
2017-02-24,20:40:00,25.514,25.514,25.514,25.514,1202,0
2017-02-24,20:50:00,25.514,25.544,25.514,25.514,1954,0
2017-02-24,21:05:00,25.514,25.514,25.514,25.514,400,0
2017-02-24,21:10:00,25.549,25.549,25.549,25.549,1535,0
2017-02-24,21:30:00,25.518,25.534,25.518,25.534,802,0
2017-02-24,21:35:00,25.524,25.534,25.524,25.524,1202,0
2017-02-24,22:00:00,25.529,25.529,25.529,25.529,300,0
2017-02-27,15:55:00,25.506,25.506,25.506,25.506,100,0
2017-02-27,17:30:00,25.524,25.524,25.511,25.511,1653,0
2017-02-27,17:55:00,25.53,25.534,25.524,25.534,6104,0
2017-02-27,18:00:00,25.534,25.534,25.524,25.534,12708,0
2017-02-27,18:05:00,25.524,25.524,25.524,25.524,1290,0
2017-02-27,18:25:00,25.524,25.524,25.524,25.524,100,0
2017-02-27,18:35:00,25.524,25.524,25.524,25.524,301,0
2017-02-27,18:40:00,25.524,25.524,25.524,25.524,995,0
2017-02-27,18:55:00,25.524,25.534,25.524,25.534,3571,0
2017-02-27,19:15:00,25.524,25.533,25.524,25.533,200,0
2017-02-27,19:20:00,25.533,25.534,25.504,25.534,1202,0
2017-02-27,19:25:00,25.534,25.534,25.504,25.504,202,0
2017-02-27,19:35:00,25.534,25.534,25.534,25.534,1303,0
2017-02-27,19:55:00,25.524,25.534,25.524,25.534,5786,0
2017-02-27,20:00:00,25.532,25.532,25.532,25.532,783,0
2017-02-27,20:15:00,25.529,25.529,25.529,25.529,2004,0
2017-02-27,20:25:00,25.524,25.524,25.524,25.524,100,0
2017-02-27,20:30:00,25.527,25.527,25.514,25.514,2604,0
2017-02-27,20:35:00,25.534,25.534,25.53,25.53,3849,0
2017-02-27,20:40:00,25.514,25.518,25.514,25.518,1302,0
2017-02-27,21:10:00,25.514,25.514,25.514,25.514,100,0
2017-02-27,21:15:00,25.534,25.534,25.534,25.534,348,0
2017-02-27,21:30:00,25.49,25.49,25.49,25.49,313,0
2017-02-28,15:35:00,25.524,25.524,25.524,25.524,321,0
2017-02-28,17:00:00,25.524,25.534,25.524,25.534,3406,0
2017-02-28,17:10:00,25.524,25.524,25.524,25.524,702,0
2017-02-28,17:20:00,25.516,25.554,25.516,25.554,784,0
2017-02-28,17:50:00,25.545,25.545,25.534,25.534,464,0
2017-02-28,17:55:00,25.523,25.523,25.523,25.523,333,0
2017-02-28,18:10:00,25.524,25.524,25.524,25.524,602,0
2017-02-28,19:00:00,25.515,25.515,25.515,25.515,224,0
2017-02-28,19:10:00,25.514,25.534,25.454,25.464,28769,0
2017-02-28,19:25:00,25.464,25.464,25.454,25.464,3145,0
2017-02-28,19:45:00,25.474,25.474,25.467,25.467,400,0
2017-02-28,19:55:00,25.474,25.474,25.474,25.474,500,0
2017-02-28,20:50:00,25.474,25.474,25.474,25.474,1002,0
2017-02-28,20:55:00,25.474,25.474,25.474,25.474,100,0
2017-02-28,21:10:00,25.521,25.524,25.516,25.524,1883,0
2017-02-28,22:00:00,25.524,25.524,25.524,25.524,466,0
2017-03-01,15:35:00,25.508,25.508,25.508,25.508,1471,0
2017-03-01,15:40:00,25.498,25.498,25.498,25.498,601,0
2017-03-01,15:55:00,25.488,25.488,25.488,25.488,19617,0
2017-03-01,16:00:00,25.458,25.462,25.458,25.462,337,0
2017-03-01,16:10:00,25.518,25.518,25.518,25.518,2345,0
2017-03-01,16:15:00,25.508,25.508,25.498,25.498,2603,0
2017-03-01,16:25:00,25.498,25.508,25.498,25.498,2732,0
2017-03-01,17:40:00,25.497,25.498,25.497,25.498,703,0
2017-03-01,18:50:00,25.493,25.493,25.493,25.493,200,0
2017-03-01,19:05:00,25.477,25.477,25.477,25.477,148,0
2017-03-01,19:10:00,25.501,25.501,25.501,25.501,164,0
2017-03-01,19:15:00,25.508,25.508,25.498,25.498,1321,0
2017-03-01,19:20:00,25.508,25.508,25.498,25.498,2368,0
2017-03-01,19:25:00,25.503,25.503,25.503,25.503,2138,0
2017-03-01,20:10:00,25.498,25.508,25.498,25.498,1001,0
2017-03-01,20:20:00,25.503,25.503,25.503,25.503,200,0
2017-03-01,20:30:00,25.498,25.498,25.498,25.498,1411,0
2017-03-01,20:40:00,25.493,25.493,25.493,25.493,500,0
2017-03-01,20:55:00,25.465,25.465,25.465,25.465,565,0
2017-03-01,21:05:00,25.481,25.498,25.481,25.498,2242,0
2017-03-01,21:25:00,25.496,25.498,25.469,25.498,1179,0
2017-03-01,21:35:00,25.481,25.498,25.481,25.498,7807,0
2017-03-01,21:50:00,25.481,25.481,25.481,25.481,5823,0
2017-03-02,15:35:00,25.448,25.448,25.448,25.448,919,0
2017-03-02,16:00:00,25.501,25.501,25.501,25.501,247,0
2017-03-02,16:20:00,25.518,25.518,25.518,25.518,247,0
2017-03-02,16:30:00,25.458,25.458,25.458,25.458,313,0
2017-03-02,17:15:00,25.508,25.508,25.508,25.508,200,0
2017-03-02,17:35:00,25.458,25.458,25.458,25.458,100,0
2017-03-02,17:50:00,25.479,25.479,25.479,25.479,825,0
2017-03-02,17:55:00,25.481,25.481,25.481,25.481,112,0
2017-03-02,18:20:00,25.461,25.488,25.461,25.488,2202,0
2017-03-02,19:10:00,25.488,25.488,25.488,25.488,200,0
2017-03-02,19:15:00,25.478,25.478,25.478,25.478,120,0
2017-03-02,20:05:00,25.498,25.498,25.498,25.498,100,0
2017-03-02,20:10:00,25.498,25.498,25.498,25.498,200,0
2017-03-02,20:30:00,25.464,25.464,25.464,25.464,388,0
2017-03-02,20:40:00,25.458,25.458,25.448,25.458,1914,0
2017-03-02,21:05:00,25.459,25.459,25.459,25.459,1335,0
2017-03-02,21:10:00,25.468,25.473,25.468,25.473,200,0
2017-03-02,21:15:00,25.448,25.448,25.435,25.44,30350,0
2017-03-02,21:40:00,25.428,25.428,25.389,25.389,1539,0
2017-03-02,21:45:00,25.418,25.418,25.388,25.388,9908,0
2017-03-02,22:00:00,25.458,25.458,25.398,25.398,492,0
2017-03-03,15:35:00,25.478,25.478,25.478,25.478,1004,0
2017-03-03,16:15:00,25.488,25.488,25.488,25.488,589,0
2017-03-03,16:30:00,25.478,25.488,25.478,25.488,345,0
2017-03-03,16:35:00,25.408,25.478,25.408,25.478,328,0
2017-03-03,17:10:00,25.457,25.457,25.457,25.457,300,0
2017-03-03,17:15:00,25.468,25.488,25.468,25.488,20217,0
2017-03-03,17:30:00,25.465,25.465,25.465,25.465,4533,0
2017-03-03,17:40:00,25.418,25.418,25.418,25.418,13664,0
2017-03-03,17:50:00,25.488,25.488,25.488,25.488,100,0
2017-03-03,18:20:00,25.454,25.454,25.454,25.454,751,0
2017-03-03,18:25:00,25.46,25.46,25.408,25.408,1747,0
2017-03-03,18:35:00,25.478,25.478,25.478,25.478,100,0
2017-03-03,18:40:00,25.459,25.459,25.459,25.459,200,0
2017-03-03,18:55:00,25.478,25.488,25.478,25.488,200,0
2017-03-03,19:10:00,25.475,25.475,25.475,25.475,701,0
2017-03-03,19:20:00,25.478,25.478,25.478,25.478,100,0
2017-03-03,19:25:00,25.443,25.443,25.443,25.443,235,0
2017-03-03,19:45:00,25.478,25.478,25.478,25.478,4454,0
2017-03-03,19:50:00,25.478,25.488,25.478,25.488,2754,0
2017-03-03,20:00:00,25.488,25.496,25.488,25.488,14132,0
2017-03-03,20:10:00,25.468,25.468,25.468,25.468,200,0
2017-03-03,20:15:00,25.488,25.488,25.465,25.488,2949,0
2017-03-03,20:45:00,25.438,25.438,25.438,25.438,100,0
2017-03-03,20:50:00,25.438,25.438,25.438,25.438,2182,0
2017-03-03,21:05:00,25.455,25.488,25.453,25.488,1802,0
2017-03-03,21:15:00,25.488,25.488,25.488,25.488,100,0
2017-03-03,21:45:00,25.488,25.488,25.488,25.488,100,0
2017-03-03,21:55:00,25.488,25.488,25.488,25.488,100,0
2017-03-03,22:00:00,25.488,25.488,25.488,25.488,300,0
2017-03-06,15:35:00,25.408,25.408,25.408,25.408,215,0
2017-03-06,16:20:00,25.448,25.448,25.448,25.448,641,0
2017-03-06,16:30:00,25.458,25.458,25.458,25.458,100,0
2017-03-06,16:45:00,25.454,25.454,25.454,25.454,2262,0
2017-03-06,17:35:00,25.446,25.468,25.446,25.468,1176,0
2017-03-06,17:45:00,25.468,25.468,25.468,25.468,500,0
2017-03-06,17:55:00,25.468,25.468,25.468,25.468,500,0
2017-03-06,18:00:00,25.438,25.438,25.438,25.438,112,0
2017-03-06,18:05:00,25.438,25.468,25.408,25.468,1088,0
2017-03-06,18:10:00,25.478,25.478,25.478,25.478,601,0
2017-03-06,18:20:00,25.468,25.468,25.438,25.438,801,0
2017-03-06,18:35:00,25.468,25.468,25.468,25.468,100,0
2017-03-06,18:40:00,25.468,25.468,25.468,25.468,601,0
2017-03-06,18:50:00,25.468,25.468,25.468,25.468,601,0
2017-03-06,19:00:00,25.468,25.468,25.468,25.468,200,0
2017-03-06,19:05:00,25.478,25.478,25.478,25.478,500,0
2017-03-06,19:10:00,25.478,25.508,25.478,25.508,1485,0
2017-03-06,19:20:00,25.508,25.508,25.508,25.508,601,0
2017-03-06,19:25:00,25.457,25.457,25.457,25.457,127,0
2017-03-06,19:30:00,25.508,25.508,25.508,25.508,500,0
2017-03-06,19:35:00,25.508,25.508,25.508,25.508,500,0
2017-03-06,19:40:00,25.467,25.508,25.467,25.508,620,0
2017-03-06,19:45:00,25.508,25.508,25.508,25.508,400,0
