Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,123.48,123.48,123.42,123.42,3005,0
2017-04-07,15:40:00,123.46,123.46,123.46,123.46,1100,0
2017-04-07,15:45:00,123.405,123.41,123.405,123.41,1600,0
2017-04-07,15:50:00,123.4265,123.4265,123.4,123.4,2690,0
2017-04-07,15:55:00,123.45,123.45,123.45,123.45,400,0
2017-04-07,16:00:00,123.4529,123.48,123.45,123.4599,2840,0
2017-04-07,16:05:00,123.45,123.46,123.3972,123.3972,5240,0
2017-04-07,16:10:00,123.3975,123.3975,123.39,123.39,371,0
2017-04-07,16:15:00,123.372,123.372,123.37,123.37,406,0
2017-04-07,16:25:00,123.3637,123.39,123.3637,123.39,758,0
2017-04-07,16:30:00,123.3899,123.3899,123.38,123.38,1113,0
2017-04-07,16:35:00,123.3902,123.4099,123.385,123.385,1823,0
2017-04-07,16:40:00,123.38,123.38,123.38,123.38,966,0
2017-04-07,16:45:00,123.3899,123.3899,123.38,123.38,520,0
2017-04-07,16:50:00,123.395,123.4,123.38,123.39,2305,0
2017-04-07,16:55:00,123.375,123.375,123.37,123.37,1335,0
2017-04-07,17:00:00,123.35,123.36,123.35,123.36,1018,0
2017-04-07,17:05:00,123.36,123.37,123.36,123.37,600,0
2017-04-07,17:10:00,123.3522,123.3522,123.33,123.34,10059,0
2017-04-07,17:15:00,123.3699,123.3699,123.34,123.34,797,0
2017-04-07,17:20:00,123.3321,123.34,123.2991,123.34,11607,0
2017-04-07,17:25:00,123.31,123.31,123.3,123.3,200,0
2017-04-07,17:30:00,123.2801,123.31,123.28,123.31,1307,0
2017-04-07,17:35:00,123.319,123.319,123.3,123.305,775,0
2017-04-07,17:40:00,123.3097,123.3097,123.3012,123.3012,422,0
2017-04-07,17:45:00,123.32,123.3295,123.31,123.31,4806,0
2017-04-07,17:50:00,123.32,123.325,123.32,123.325,850,0
2017-04-07,17:55:00,123.32,123.32,123.32,123.32,100,0
2017-04-07,18:00:00,123.33,123.34,123.325,123.34,10926,0
2017-04-07,18:10:00,123.3369,123.345,123.334,123.3361,8493,0
2017-04-07,18:15:00,123.345,123.345,123.345,123.345,673,0
2017-04-07,18:20:00,123.33,123.33,123.3,123.3,2918,0
2017-04-07,18:25:00,123.309,123.309,123.29,123.29,385,0
2017-04-07,18:30:00,123.31,123.31,123.3028,123.3028,522,0
2017-04-07,18:35:00,123.29,123.31,123.29,123.298,992,0
2017-04-07,18:40:00,123.2772,123.29,123.2772,123.29,491,0
2017-04-07,18:45:00,123.293,123.3,123.28,123.29,969,0
2017-04-07,18:50:00,123.3024,123.3024,123.29,123.29,570,0
2017-04-07,18:55:00,123.29,123.2934,123.2,123.22,53215,0
2017-04-07,19:00:00,123.21,123.21,123.15,123.16,575,0
2017-04-07,19:05:00,123.13,123.13,123.09,123.11,14400,0
2017-04-07,19:10:00,123.12,123.1222,123.11,123.1222,3430,0
2017-04-07,19:15:00,123.15,123.15,123.11,123.11,384,0
2017-04-07,19:20:00,123.09,123.114,123.09,123.114,427,0
2017-04-07,19:25:00,123.1166,123.1171,123.1166,123.1171,354,0
2017-04-07,19:30:00,123.11,123.11,123.09,123.11,1608,0
2017-04-07,19:35:00,123.11,123.1134,123.1001,123.1083,2175,0
2017-04-07,19:40:00,123.11,123.12,123.11,123.11,1821,0
2017-04-07,19:45:00,123.12,123.13,123.12,123.13,511,0
2017-04-07,19:50:00,123.1303,123.1303,123.12,123.12,1543,0
2017-04-07,19:55:00,123.1122,123.1122,123.08,123.08,1547,0
2017-04-07,20:00:00,123.055,123.075,123.055,123.07,4608,0
2017-04-07,20:05:00,123.06,123.08,123.06,123.075,11410,0
2017-04-07,20:10:00,123.06,123.0757,123.06,123.073,11301,0
2017-04-07,20:15:00,123.06,123.0652,123.05,123.0652,2968,0
2017-04-07,20:20:00,123.06,123.07,123.06,123.06,318,0
2017-04-07,20:25:00,123.06,123.07,123.06,123.07,3332,0
2017-04-07,20:30:00,123.07,123.07,123.07,123.07,306,0
2017-04-07,20:35:00,123.07,123.07,123.07,123.07,200,0
2017-04-07,20:40:00,123.0647,123.08,123.0643,123.08,1117,0
2017-04-07,20:45:00,123.07,123.0784,123.06,123.0695,4161,0
2017-04-07,20:50:00,123.0799,123.0799,123.06,123.06,1332,0
2017-04-07,20:55:00,123.05,123.0656,123.05,123.06,6537,0
2017-04-07,21:00:00,123.0568,123.06,123.04,123.045,2338,0
2017-04-07,21:05:00,123.04,123.0432,123.04,123.0432,1273,0
2017-04-07,21:10:00,123.02,123.0229,123.02,123.0229,274,0
2017-04-07,21:15:00,123.01,123.01,123.002,123.01,1952,0
2017-04-07,21:20:00,123.0072,123.01,123,123.0079,3665,0
2017-04-07,21:25:00,123.01,123.01,123,123,700,0
2017-04-07,21:30:00,123,123,123,123,263,0
2017-04-07,21:35:00,123,123.01,123,123.01,1747,0
2017-04-07,21:40:00,123.013,123.013,123.013,123.013,157,0
2017-04-07,21:45:00,123.0132,123.03,123.0002,123.0183,843,0
2017-04-07,21:50:00,123.015,123.0195,123,123,1078,0
2017-04-07,21:55:00,123.0057,123.0057,122.9801,123,1076,0
2017-04-07,22:00:00,122.99,123.01,122.97,122.97,7314,0
2017-04-10,15:35:00,123.07,123.1,123.07,123.1,2158,0
2017-04-10,15:40:00,123.1,123.1,123.0883,123.1,1295,0
2017-04-10,15:50:00,123.0748,123.0748,123.0748,123.0748,104,0
2017-04-10,15:55:00,123.05,123.05,123.05,123.05,345,0
2017-04-10,16:00:00,123.07,123.086,123.07,123.086,682,0
2017-04-10,16:05:00,123.08,123.0918,123.0764,123.0918,1802,0
2017-04-10,16:10:00,123.1087,123.1087,123.1087,123.1087,153,0
2017-04-10,16:15:00,123.085,123.1,123.085,123.1,2203,0
2017-04-10,16:20:00,123.12,123.12,123.12,123.12,1900,0
2017-04-10,16:25:00,123.13,123.13,123.1094,123.1094,400,0
2017-04-10,16:30:00,123.11,123.1199,123.1077,123.1199,1832,0
2017-04-10,16:35:00,123.1079,123.11,123.1079,123.11,1495,0
2017-04-10,16:40:00,123.1,123.11,123.1,123.11,200,0
2017-04-10,16:45:00,123.1113,123.1113,123.1,123.11,2461,0
2017-04-10,16:50:00,123.1034,123.1034,123.1034,123.1034,100,0
2017-04-10,16:55:00,123.1051,123.11,123.1,123.11,64625,0
2017-04-10,17:00:00,123.105,123.1249,123.1,123.1249,1175,0
2017-04-10,17:05:00,123.1203,123.1299,123.12,123.1201,3042,0
2017-04-10,17:10:00,123.1124,123.13,123.1124,123.125,1724,0
2017-04-10,17:15:00,123.123,123.1299,123.11,123.12,2815,0
2017-04-10,17:20:00,123.12,123.12,123.1,123.12,485,0
2017-04-10,17:25:00,123.13,123.13,123.12,123.12,2513,0
2017-04-10,17:30:00,123.11,123.12,123.1,123.106,22842,0
2017-04-10,17:35:00,123.12,123.13,123.12,123.13,8579,0
2017-04-10,17:40:00,123.12,123.139,123.12,123.139,765,0
2017-04-10,17:45:00,123.122,123.14,123.122,123.14,878,0
2017-04-10,17:50:00,123.14,123.1434,123.14,123.14,2327,0
2017-04-10,17:55:00,123.1599,123.1599,123.1599,123.1599,1217,0
2017-04-10,18:00:00,123.155,123.18,123.15,123.18,2972,0
2017-04-10,18:05:00,123.1603,123.17,123.16,123.16,500,0
2017-04-10,18:10:00,123.1568,123.165,123.15,123.165,406,0
2017-04-10,18:15:00,123.1832,123.2,123.1832,123.2,407,0
2017-04-10,18:20:00,123.1939,123.2,123.1939,123.2,300,0
2017-04-10,18:25:00,123.19,123.19,123.182,123.1889,2018,0
2017-04-10,18:30:00,123.18,123.18,123.18,123.18,100,0
2017-04-10,18:35:00,123.1747,123.18,123.1747,123.18,345,0
2017-04-10,18:40:00,123.18,123.18,123.18,123.18,1431,0
2017-04-10,18:45:00,123.17,123.17,123.15,123.1536,26170,0
2017-04-10,18:50:00,123.1551,123.1551,123.14,123.14,10521,0
2017-04-10,18:55:00,123.13,123.14,123.13,123.14,200,0
2017-04-10,19:00:00,123.14,123.14,123.14,123.14,300,0
2017-04-10,19:05:00,123.12,123.12,123.11,123.11,14451,0
2017-04-10,19:10:00,123.109,123.109,123.109,123.109,100,0
2017-04-10,19:15:00,123.1099,123.11,123.0901,123.11,786,0
2017-04-10,19:20:00,123.09,123.115,123.09,123.11,2711,0
2017-04-10,19:30:00,123.1099,123.11,123.1088,123.11,4946,0
2017-04-10,19:35:00,123.1,123.1169,123.1,123.1169,8175,0
2017-04-10,19:40:00,123.1056,123.1056,123.08,123.0903,747,0
2017-04-10,19:45:00,123.1022,123.1022,123.1022,123.1022,334,0
2017-04-10,19:55:00,123.12,123.1299,123.1001,123.1001,1974,0
2017-04-10,20:00:00,123.12,123.12,123.12,123.12,130,0
2017-04-10,20:05:00,123.13,123.13,123.1257,123.13,7000,0
2017-04-10,20:10:00,123.1301,123.1301,123.1248,123.125,4935,0
2017-04-10,20:15:00,123.1267,123.15,123.1267,123.1439,563,0
2017-04-10,20:20:00,123.135,123.135,123.135,123.135,461,0
2017-04-10,20:25:00,123.145,123.145,123.145,123.145,264,0
2017-04-10,20:30:00,123.1435,123.1599,123.1435,123.1485,2915,0
2017-04-10,20:35:00,123.1535,123.1535,123.15,123.1531,5239,0
2017-04-10,20:40:00,123.1415,123.1415,123.14,123.14,617,0
2017-04-10,20:45:00,123.11,123.1166,123.11,123.1166,913,0
2017-04-10,20:50:00,123.1232,123.1232,123.11,123.11,1367,0
2017-04-10,20:55:00,123.1232,123.1232,123.1193,123.1193,298,0
2017-04-10,21:05:00,123.11,123.11,123.1049,123.11,2409,0
2017-04-10,21:10:00,123.1004,123.1004,123.0884,123.0916,1784,0
2017-04-10,21:15:00,123.1068,123.1068,123.095,123.095,1752,0
2017-04-10,21:20:00,123.1,123.104,123.095,123.1,3244,0
2017-04-10,21:25:00,123.1117,123.123,123.1117,123.123,1334,0
2017-04-10,21:30:00,123.1266,123.1266,123.1144,123.1144,3788,0
2017-04-10,21:35:00,123.112,123.13,123.112,123.13,501,0
2017-04-10,21:40:00,123.11,123.1117,123.1022,123.1022,4493,0
2017-04-10,21:45:00,123.11,123.1117,123.106,123.106,917,0
2017-04-10,21:50:00,123.11,123.1118,123.11,123.1118,652,0
2017-04-10,21:55:00,123.1177,123.12,123.1101,123.1178,1941,0
2017-04-10,22:00:00,123.13,123.13,123.11,123.12,11309,0
2017-04-11,15:35:00,123.29,123.326,123.29,123.326,3603,0
2017-04-11,15:40:00,123.32,123.34,123.3183,123.3183,2910,0
2017-04-11,15:45:00,123.33,123.33,123.3189,123.3228,615,0
2017-04-11,15:50:00,123.317,123.36,123.317,123.36,877,0
2017-04-11,15:55:00,123.34,123.34,123.32,123.32,1088,0
2017-04-11,16:00:00,123.3412,123.35,123.3412,123.35,2387,0
2017-04-11,16:05:00,123.3471,123.3471,123.32,123.32,2828,0
2017-04-11,16:10:00,123.32,123.34,123.3103,123.3115,2738,0
2017-04-11,16:15:00,123.3278,123.36,123.3278,123.36,722,0
2017-04-11,16:20:00,123.36,123.37,123.355,123.36,6851,0
2017-04-11,16:25:00,123.36,123.39,123.36,123.38,3654,0
2017-04-11,16:30:00,123.38,123.39,123.375,123.38,3605,0
2017-04-11,16:35:00,123.39,123.43,123.39,123.43,3440,0
2017-04-11,16:40:00,123.43,123.43,123.405,123.41,10426,0
2017-04-11,16:45:00,123.4061,123.44,123.4,123.44,31045,0
2017-04-11,16:50:00,123.44,123.44,123.42,123.44,6250,0
2017-04-11,16:55:00,123.44,123.5,123.44,123.49,2699,0
2017-04-11,17:00:00,123.49,123.54,123.49,123.53,22082,0
2017-04-11,17:05:00,123.525,123.525,123.49,123.49,2452,0
2017-04-11,17:10:00,123.475,123.475,123.47,123.475,10462,0
2017-04-11,17:15:00,123.47,123.47,123.465,123.465,1370,0
2017-04-11,17:20:00,123.47,123.475,123.45,123.45,10693,0
2017-04-11,17:25:00,123.452,123.46,123.43,123.43,3323,0
2017-04-11,17:30:00,123.43,123.4467,123.43,123.445,3585,0
2017-04-11,17:35:00,123.44,123.44,123.41,123.415,2700,0
2017-04-11,17:40:00,123.41,123.4157,123.4,123.405,6441,0
2017-04-11,17:45:00,123.405,123.42,123.4,123.42,2300,0
2017-04-11,17:50:00,123.42,123.435,123.42,123.435,3423,0
2017-04-11,17:55:00,123.44,123.4499,123.43,123.44,2713,0
2017-04-11,18:00:00,123.431,123.4353,123.42,123.43,3051,0
2017-04-11,18:05:00,123.44,123.45,123.44,123.45,4094,0
2017-04-11,18:10:00,123.45,123.46,123.44,123.44,9071,0
2017-04-11,18:15:00,123.44,123.4405,123.43,123.44,2397,0
2017-04-11,18:20:00,123.43,123.43,123.42,123.42,1862,0
2017-04-11,18:25:00,123.41,123.411,123.405,123.41,1600,0
2017-04-11,18:30:00,123.405,123.41,123.405,123.41,1526,0
2017-04-11,18:35:00,123.415,123.415,123.39,123.39,2670,0
2017-04-11,18:40:00,123.3867,123.39,123.37,123.37,3974,0
2017-04-11,18:45:00,123.37,123.4,123.37,123.4,1961,0
2017-04-11,18:50:00,123.3934,123.3934,123.37,123.39,1602,0
2017-04-11,18:55:00,123.38,123.38,123.376,123.38,913,0
2017-04-11,19:00:00,123.38,123.39,123.38,123.39,1773,0
2017-04-11,19:05:00,123.37,123.37,123.29,123.3399,11504,0
2017-04-11,19:10:00,123.34,123.36,123.33,123.36,1415,0
2017-04-11,19:15:00,123.36,123.36,123.3401,123.35,1000,0
2017-04-11,19:20:00,123.365,123.38,123.365,123.375,1701,0
2017-04-11,19:25:00,123.37,123.37,123.34,123.36,1939,0
2017-04-11,19:30:00,123.37,123.3717,123.36,123.36,982,0
2017-04-11,19:35:00,123.37,123.41,123.37,123.41,2347,0
2017-04-11,19:40:00,123.4075,123.41,123.4,123.4,1200,0
2017-04-11,19:45:00,123.4,123.44,123.4,123.44,1141,0
2017-04-11,19:50:00,123.4375,123.445,123.4375,123.445,6167,0
2017-04-11,19:55:00,123.445,123.45,123.43,123.43,5268,0
2017-04-11,20:00:00,123.44,123.45,123.44,123.445,4843,0
2017-04-11,20:05:00,123.44,123.46,123.43,123.46,10923,0
2017-04-11,20:10:00,123.45,123.46,123.445,123.46,3229,0
2017-04-11,20:15:00,123.4501,123.48,123.4501,123.4732,7880,0
2017-04-11,20:20:00,123.47,123.48,123.46,123.4642,2109,0
2017-04-11,20:25:00,123.4675,123.47,123.46,123.47,2310,0
2017-04-11,20:30:00,123.461,123.485,123.46,123.48,4607,0
2017-04-11,20:35:00,123.47,123.48,123.47,123.4714,981,0
2017-04-11,20:40:00,123.475,123.48,123.47,123.47,5814,0
2017-04-11,20:45:00,123.48,123.49,123.48,123.49,1003,0
2017-04-11,20:50:00,123.49,123.49,123.471,123.471,1205,0
2017-04-11,20:55:00,123.48,123.49,123.4739,123.4739,1014,0
2017-04-11,21:00:00,123.475,123.51,123.475,123.51,4275,0
2017-04-11,21:05:00,123.5,123.5,123.4772,123.484,3434,0
2017-04-11,21:10:00,123.49,123.49,123.4768,123.49,1256,0
2017-04-11,21:15:00,123.49,123.49,123.48,123.49,29462,0
2017-04-11,21:20:00,123.49,123.5,123.48,123.48,2298,0
2017-04-11,21:25:00,123.495,123.51,123.495,123.51,1333,0
2017-04-11,21:30:00,123.4982,123.5,123.4978,123.4978,1432,0
2017-04-11,21:35:00,123.49,123.49,123.487,123.487,8191,0
2017-04-11,21:40:00,123.49,123.49,123.485,123.485,2184,0
2017-04-11,21:45:00,123.485,123.49,123.47,123.4814,9852,0
2017-04-11,21:50:00,123.48,123.49,123.47,123.488,14761,0
2017-04-11,21:55:00,123.48,123.48,123.4601,123.462,2308,0
2017-04-11,22:00:00,123.47,123.49,123.46,123.46,17552,0
2017-04-12,15:35:00,123.5,123.55,123.5,123.55,7139,0
2017-04-12,15:50:00,123.4863,123.4863,123.48,123.48,490,0
2017-04-12,15:55:00,123.49,123.4983,123.48,123.4983,1612,0
2017-04-12,16:00:00,123.495,123.51,123.495,123.51,1827,0
2017-04-12,16:05:00,123.51,123.51,123.51,123.51,100,0
2017-04-12,16:15:00,123.505,123.5089,123.4996,123.5089,1323,0
2017-04-12,16:20:00,123.52,123.52,123.52,123.52,2300,0
2017-04-12,16:25:00,123.5283,123.5371,123.52,123.5371,2108,0
2017-04-12,16:30:00,123.555,123.555,123.55,123.55,400,0
2017-04-12,16:35:00,123.55,123.57,123.55,123.57,1351,0
2017-04-12,16:40:00,123.55,123.56,123.55,123.5501,2337,0
2017-04-12,16:45:00,123.54,123.54,123.54,123.54,525,0
2017-04-12,16:50:00,123.5699,123.578,123.55,123.578,1258,0
2017-04-12,16:55:00,123.56,123.56,123.56,123.56,100,0
2017-04-12,17:00:00,123.56,123.56,123.56,123.56,4901,0
2017-04-12,17:05:00,123.57,123.58,123.57,123.58,3975,0
2017-04-12,17:10:00,123.575,123.5867,123.57,123.58,7167,0
2017-04-12,17:15:00,123.575,123.5765,123.575,123.5765,755,0
2017-04-12,17:20:00,123.5791,123.5999,123.5791,123.5999,4962,0
2017-04-12,17:25:00,123.5822,123.586,123.5822,123.586,915,0
2017-04-12,17:30:00,123.59,123.5932,123.58,123.58,636,0
2017-04-12,17:35:00,123.5901,123.5901,123.5901,123.5901,174,0
2017-04-12,17:40:00,123.59,123.62,123.59,123.62,430,0
2017-04-12,17:45:00,123.6,123.6053,123.59,123.6,1654,0
2017-04-12,17:55:00,123.6,123.61,123.6,123.6,29705,0
2017-04-12,18:00:00,123.6,123.6,123.57,123.575,10436,0
2017-04-12,18:05:00,123.5768,123.58,123.5768,123.58,261,0
2017-04-12,18:10:00,123.57,123.57,123.57,123.57,316,0
2017-04-12,18:25:00,123.58,123.58,123.56,123.5761,9174,0
2017-04-12,18:30:00,123.56,123.57,123.56,123.57,732,0
2017-04-12,18:35:00,123.57,123.5734,123.56,123.56,2391,0
2017-04-12,18:40:00,123.5654,123.5673,123.561,123.561,607,0
2017-04-12,18:45:00,123.58,123.58,123.58,123.58,100,0
2017-04-12,18:50:00,123.58,123.5825,123.58,123.5825,332,0
2017-04-12,18:55:00,123.5982,123.6166,123.5885,123.615,2923,0
2017-04-12,19:00:00,123.6,123.6,123.6,123.6,100,0
2017-04-12,19:05:00,123.62,123.6599,123.56,123.56,7190,0
2017-04-12,19:10:00,123.6,123.6,123.6,123.6,100,0
2017-04-12,19:15:00,123.575,123.587,123.57,123.57,1659,0
2017-04-12,19:20:00,123.5601,123.5601,123.5601,123.5601,225,0
2017-04-12,19:25:00,123.57,123.57,123.57,123.57,100,0
2017-04-12,19:40:00,123.57,123.57,123.5223,123.5223,1125,0
2017-04-12,19:45:00,123.4853,123.5085,123.4836,123.5085,2152,0
2017-04-12,19:50:00,123.48,123.48,123.4668,123.475,4622,0
2017-04-12,19:55:00,123.48,123.5,123.4722,123.5,407,0
2017-04-12,20:00:00,123.5,123.5,123.4871,123.4871,867,0
2017-04-12,20:05:00,123.48,123.49,123.48,123.4882,3283,0
2017-04-12,20:10:00,123.4814,123.5,123.4801,123.5,5003,0
2017-04-12,20:15:00,123.5,123.52,123.5,123.52,1939,0
2017-04-12,20:20:00,123.51,123.53,123.51,123.529,1665,0
2017-04-12,20:25:00,123.5218,123.5218,123.5162,123.5162,1695,0
2017-04-12,20:30:00,123.5136,123.5165,123.5135,123.5165,3528,0
2017-04-12,20:35:00,123.51,123.51,123.49,123.49,3380,0
2017-04-12,20:40:00,123.5,123.52,123.5,123.5115,13484,0
2017-04-12,20:45:00,123.52,123.53,123.52,123.52,2251,0
2017-04-12,20:50:00,123.52,123.53,123.52,123.53,3069,0
2017-04-12,20:55:00,123.53,123.53,123.505,123.505,1818,0
2017-04-12,21:00:00,123.5063,123.51,123.5043,123.5043,521,0
2017-04-12,21:05:00,123.51,123.535,123.51,123.535,1369,0
2017-04-12,21:10:00,123.54,123.54,123.51,123.51,17415,0
2017-04-12,21:15:00,123.53,123.545,123.5235,123.545,3474,0
2017-04-12,21:20:00,123.57,123.75,123.57,123.72,50080,0
2017-04-12,21:25:00,123.71,123.71,123.6344,123.7,5365,0
2017-04-12,21:30:00,123.69,123.69,123.591,123.6073,4716,0
2017-04-12,21:35:00,123.6134,123.6134,123.58,123.61,67060,0
2017-04-12,21:40:00,123.6387,123.64,123.6253,123.64,8048,0
2017-04-12,21:45:00,123.652,123.6614,123.652,123.66,7628,0
2017-04-12,21:50:00,123.6997,123.7073,123.6981,123.7,5165,0
2017-04-12,21:55:00,123.72,123.75,123.72,123.7436,3429,0
