Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-29,15:35:00,23.78,23.78,23.78,23.78,1667,0
2017-03-29,15:40:00,23.7612,23.7612,23.7612,23.7612,100,0
2017-03-29,16:00:00,23.77,23.77,23.77,23.77,100,0
2017-03-29,16:05:00,23.825,23.825,23.825,23.825,151,0
2017-03-29,16:10:00,23.8247,23.8247,23.8247,23.8247,100,0
2017-03-29,16:45:00,23.8788,23.8788,23.8788,23.8788,100,0
2017-03-29,16:50:00,23.865,23.865,23.865,23.865,150,0
2017-03-29,16:55:00,23.885,23.885,23.885,23.885,293,0
2017-03-29,17:00:00,23.8642,23.9,23.8642,23.9,1102,0
2017-03-29,17:05:00,23.885,23.885,23.87,23.8784,726,0
2017-03-29,17:10:00,23.9,23.9,23.9,23.9,1000,0
2017-03-29,17:15:00,23.8889,23.8889,23.8889,23.8889,500,0
2017-03-29,17:25:00,23.9,23.9,23.9,23.9,4909,0
2017-03-29,17:30:00,23.9,23.9,23.89,23.89,2566,0
2017-03-29,17:35:00,23.89,23.89,23.89,23.89,500,0
2017-03-29,17:40:00,23.872,23.88,23.872,23.88,1158,0
2017-03-29,18:00:00,23.87,23.87,23.87,23.87,274,0
2017-03-29,18:15:00,23.887,23.887,23.887,23.887,150,0
2017-03-29,18:30:00,23.8842,23.8842,23.872,23.872,2628,0
2017-03-29,18:35:00,23.87,23.87,23.87,23.87,200,0
2017-03-29,18:45:00,23.86,23.86,23.86,23.86,1200,0
2017-03-29,18:50:00,23.875,23.875,23.875,23.875,560,0
2017-03-29,19:00:00,23.86,23.86,23.86,23.86,400,0
2017-03-29,19:05:00,23.857,23.857,23.857,23.857,200,0
2017-03-29,19:10:00,23.845,23.845,23.845,23.845,1903,0
2017-03-29,19:15:00,23.8478,23.8478,23.8478,23.8478,165,0
2017-03-29,19:30:00,23.8843,23.8843,23.8843,23.8843,251,0
2017-03-29,19:40:00,23.91,23.91,23.91,23.91,140,0
2017-03-29,19:45:00,23.8871,23.8871,23.8871,23.8871,531,0
2017-03-29,20:00:00,23.91,23.9122,23.91,23.9122,350,0
2017-03-29,20:05:00,23.9099,23.9099,23.9099,23.9099,271,0
2017-03-29,20:10:00,23.9,23.9042,23.9,23.9,2320,0
2017-03-29,20:15:00,23.88,23.885,23.88,23.885,418,0
2017-03-29,20:20:00,23.885,23.885,23.8784,23.8784,544,0
2017-03-29,20:30:00,23.9,23.905,23.9,23.905,309,0
2017-03-29,20:35:00,23.9121,23.9121,23.9121,23.9121,125,0
2017-03-29,20:40:00,23.92,23.92,23.92,23.92,100,0
2017-03-29,20:55:00,23.915,23.915,23.915,23.915,1362,0
2017-03-29,21:00:00,23.92,23.945,23.92,23.945,291,0
2017-03-29,21:05:00,23.9237,23.9237,23.9237,23.9237,150,0
2017-03-29,21:30:00,23.945,23.945,23.945,23.945,418,0
2017-03-29,21:40:00,23.949,23.949,23.949,23.949,220,0
2017-03-29,21:45:00,23.946,23.946,23.946,23.946,140,0
2017-03-29,21:55:00,23.95,23.95,23.945,23.95,400,0
