Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,14:35:00,25.72,25.72,25.64,25.64,1793,0
2017-03-23,14:40:00,25.66,25.69,25.64,25.64,534,0
2017-03-23,14:45:00,25.64,25.675,25.64,25.675,300,0
2017-03-23,15:05:00,25.69,25.69,25.69,25.69,100,0
2017-03-23,15:40:00,25.755,25.76,25.755,25.76,300,0
2017-03-23,15:45:00,25.819,25.819,25.819,25.819,1000,0
2017-03-23,15:55:00,25.82,25.83,25.82,25.83,400,0
2017-03-23,16:05:00,25.8,25.8,25.8,25.8,1000,0
2017-03-23,16:40:00,25.809,25.8218,25.809,25.8215,2717,0
2017-03-23,16:55:00,25.82,25.82,25.82,25.82,3971,0
2017-03-23,17:00:00,25.8,25.81,25.79,25.7949,1735,0
2017-03-23,17:30:00,25.824,25.84,25.824,25.84,300,0
2017-03-23,17:35:00,25.82,25.82,25.82,25.82,135,0
2017-03-23,17:40:00,25.8103,25.8214,25.8103,25.8214,1757,0
2017-03-23,17:45:00,25.8299,25.84,25.8299,25.8316,950,0
2017-03-23,17:50:00,25.8292,25.8292,25.8292,25.8292,200,0
2017-03-23,17:55:00,25.825,25.825,25.8207,25.8207,650,0
2017-03-23,18:00:00,25.8246,25.8246,25.8246,25.8246,300,0
2017-03-23,18:05:00,25.84,25.84,25.84,25.84,100,0
2017-03-23,18:10:00,25.79,25.79,25.79,25.79,900,0
2017-03-23,18:15:00,25.76,25.765,25.7503,25.765,505,0
2017-03-23,18:20:00,25.75,25.75,25.75,25.75,400,0
2017-03-23,18:25:00,25.7899,25.7899,25.7899,25.7899,300,0
2017-03-23,18:30:00,25.78,25.78,25.78,25.78,100,0
2017-03-23,18:35:00,25.76,25.76,25.76,25.76,250,0
2017-03-23,18:40:00,25.7859,25.7859,25.7859,25.7859,100,0
2017-03-23,18:45:00,25.78,25.78,25.78,25.78,100,0
2017-03-23,18:55:00,25.7985,25.814,25.7985,25.814,632,0
2017-03-23,19:00:00,25.78,25.78,25.78,25.78,100,0
2017-03-23,19:05:00,25.7849,25.795,25.7849,25.795,525,0
2017-03-23,19:10:00,25.7966,25.7966,25.7966,25.7966,1000,0
2017-03-23,19:15:00,25.8098,25.8098,25.8098,25.8098,200,0
2017-03-23,19:20:00,25.8001,25.8001,25.8001,25.8001,650,0
2017-03-23,19:35:00,25.7999,25.7999,25.7999,25.7999,100,0
