Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-12,15:35:00,50.4,50.4,50.4,50.4,189,0
2017-01-12,15:45:00,50.26,50.29,50.26,50.29,200,0
2017-01-12,15:50:00,50.33,50.33,50.33,50.33,100,0
2017-01-12,15:55:00,50.19,50.19,50.19,50.19,100,0
2017-01-12,16:00:00,50.21,50.21,50.21,50.21,100,0
2017-01-12,16:05:00,50.22,50.22,50.07,50.07,200,0
2017-01-12,16:35:00,49.92,49.92,49.92,49.92,100,0
2017-01-12,16:50:00,49.97,49.97,49.97,49.97,100,0
2017-01-12,16:55:00,49.91,49.9268,49.91,49.9268,374,0
2017-01-12,17:00:00,49.87,49.87,49.87,49.87,200,0
2017-01-12,17:05:00,49.79,49.79,49.79,49.79,100,0
2017-01-12,17:10:00,49.78,49.78,49.78,49.78,100,0
2017-01-12,17:15:00,49.7501,49.79,49.7501,49.79,300,0
2017-01-12,17:30:00,49.82,49.82,49.82,49.82,200,0
2017-01-12,17:35:00,49.85,49.86,49.85,49.86,200,0
2017-01-12,17:40:00,49.87,49.87,49.85,49.85,200,0
2017-01-12,17:45:00,49.87,49.87,49.84,49.84,500,0
2017-01-12,18:00:00,49.84,49.84,49.84,49.84,100,0
2017-01-12,18:10:00,49.8409,49.8409,49.8409,49.8409,315,0
2017-01-12,18:30:00,50.01,50.01,50.01,50.01,100,0
2017-01-12,18:50:00,50.053,50.053,50.053,50.053,104,0
2017-01-12,19:10:00,50.14,50.14,50.14,50.14,104,0
2017-01-12,19:20:00,50.1,50.1,50.1,50.1,100,0
2017-01-12,19:30:00,50.1298,50.13,50.1298,50.13,700,0
2017-01-12,19:50:00,50.1767,50.1767,50.1767,50.1767,360,0
2017-01-12,20:35:00,50.25,50.25,50.25,50.25,100,0
2017-01-12,21:10:00,50.1707,50.1707,50.1707,50.1707,674,0
2017-01-12,21:35:00,50.2317,50.2317,50.2317,50.2317,350,0
2017-01-12,21:40:00,50.238,50.238,50.2205,50.23,300,0
2017-01-12,21:50:00,50.28,50.28,50.28,50.28,100,0
2017-01-12,22:00:00,50.25,50.28,50.25,50.28,250,0
2017-01-13,16:00:00,50.5369,50.5369,50.5369,50.5369,155,0
2017-01-13,16:25:00,50.6536,50.6536,50.6536,50.6536,250,0
2017-01-13,16:45:00,50.65,50.65,50.65,50.65,500,0
2017-01-13,17:10:00,50.6899,50.6899,50.6001,50.6755,769,0
2017-01-13,17:40:00,50.7,50.7,50.7,50.7,100,0
2017-01-13,18:15:00,50.6765,50.6765,50.6765,50.6765,360,0
2017-01-13,18:25:00,50.6492,50.6492,50.6492,50.6492,499,0
2017-01-13,19:35:00,50.6936,50.6936,50.6936,50.6936,129,0
2017-01-13,20:05:00,50.6504,50.6504,50.6504,50.6504,111,0
2017-01-13,21:10:00,50.6436,50.6436,50.6436,50.6436,147,0
2017-01-13,21:30:00,50.6236,50.6236,50.6236,50.6236,200,0
2017-01-13,21:35:00,50.62,50.62,50.6083,50.6083,350,0
2017-01-17,15:35:00,50.75,50.75,50.75,50.75,593,0
2017-01-17,16:10:00,50.15,50.15,50.15,50.15,500,0
2017-01-17,16:35:00,50.241,50.241,50.241,50.241,736,0
