Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-07-25,17:30:00,15.695,15.695,15.685,15.685,3532,0
2016-07-25,18:35:00,15.695,15.704,15.695,15.695,693,0
2016-07-25,18:50:00,15.723,15.723,15.723,15.723,104,0
2016-07-25,18:55:00,15.723,15.723,15.723,15.723,104,0
2016-07-25,20:05:00,15.733,15.733,15.714,15.714,312,0
2016-07-25,21:10:00,15.733,15.733,15.714,15.714,679,0
2016-07-25,21:30:00,15.699,15.699,15.699,15.699,344,0
2016-07-25,22:00:00,15.733,15.733,15.733,15.733,104,0
2016-07-26,15:35:00,15.753,15.753,15.753,15.753,1870,0
2016-07-26,15:45:00,15.743,15.743,15.743,15.743,415,0
2016-07-26,18:10:00,15.79,15.795,15.79,15.795,934,0
2016-07-26,18:35:00,15.81,15.815,15.81,15.815,1301,0
2016-07-26,19:45:00,15.773,15.785,15.772,15.785,831,0
2016-07-27,20:25:00,15.897,15.917,15.897,15.917,76165,0
2016-07-27,22:00:00,15.917,15.917,15.917,15.917,208,0
2016-07-28,17:35:00,15.869,15.869,15.849,15.849,239,0
2016-07-28,18:25:00,15.893,15.893,15.893,15.893,287,0
2016-07-28,18:45:00,15.839,15.839,15.839,15.839,208,0
2016-07-28,19:10:00,15.839,15.839,15.839,15.839,727,0
2016-07-28,19:45:00,15.893,15.893,15.893,15.893,2012,0
2016-07-28,19:50:00,15.849,15.849,15.849,15.849,312,0
2016-07-28,20:05:00,15.877,15.877,15.877,15.877,104,0
2016-07-28,22:00:00,15.858,15.858,15.858,15.858,104,0
2016-07-29,17:10:00,15.917,15.917,15.917,15.917,1483,0
2016-07-29,17:25:00,15.938,15.938,15.938,15.938,250,0
2016-07-29,17:35:00,15.902,15.902,15.902,15.902,104,0
2016-07-29,18:25:00,15.964,15.964,15.917,15.917,1143,0
2016-07-29,19:30:00,15.858,15.872,15.858,15.872,1135,0
2016-07-29,20:35:00,15.91,15.91,15.91,15.91,132,0
2016-07-29,21:15:00,15.897,15.897,15.897,15.897,104,0
2016-07-29,21:40:00,15.911,15.911,15.911,15.911,187,0
2016-08-01,16:40:00,15.858,15.866,15.858,15.858,934,0
2016-08-01,17:15:00,15.907,15.907,15.868,15.868,263,0
2016-08-01,19:50:00,15.82,15.82,15.82,15.82,104,0
2016-08-02,20:25:00,15.666,15.666,15.666,15.666,159,0
2016-08-02,21:50:00,15.666,15.666,15.666,15.666,104,0
2016-08-03,18:05:00,15.714,15.714,15.714,15.714,156,0
2016-08-03,19:30:00,15.743,15.743,15.743,15.743,104,0
2016-08-03,19:40:00,15.772,15.772,15.772,15.772,312,0
2016-08-03,20:55:00,15.743,15.743,15.743,15.743,519,0
2016-08-03,22:00:00,15.772,15.79,15.772,15.79,1246,0
2016-08-04,18:20:00,15.811,15.811,15.811,15.811,214,0
2016-08-04,21:00:00,15.802,15.802,15.79,15.79,624,0
2016-08-05,15:35:00,15.907,15.907,15.815,15.815,472,0
2016-08-05,15:45:00,15.868,15.868,15.868,15.868,887,0
2016-08-05,17:00:00,15.964,15.964,15.964,15.964,887,0
2016-08-05,17:20:00,15.945,15.945,15.945,15.945,104,0
2016-08-05,17:50:00,15.983,15.983,15.983,15.983,104,0
2016-08-05,19:15:00,16.003,16.003,15.998,15.998,208,0
2016-08-05,20:20:00,15.988,15.988,15.975,15.975,1311,0
2016-08-05,20:30:00,15.983,15.983,15.983,15.983,104,0
2016-08-05,20:35:00,15.983,15.989,15.974,15.974,1143,0
2016-08-05,21:50:00,15.983,15.983,15.983,15.983,1039,0
2016-08-08,15:35:00,16.041,16.041,16.041,16.041,1416,0
2016-08-08,15:40:00,16.022,16.031,16.022,16.031,415,0
2016-08-08,15:45:00,16.031,16.041,16.013,16.036,25752,0
2016-08-08,15:50:00,16.022,16.022,16.022,16.022,1246,0
2016-08-08,15:55:00,15.983,16.003,15.954,15.954,6232,0
2016-08-08,16:05:00,16.022,16.022,16.022,16.022,104,0
2016-08-08,16:30:00,15.945,15.945,15.945,15.945,312,0
2016-08-08,17:35:00,16.013,16.013,16.013,16.013,187,0
2016-08-08,20:05:00,15.975,15.975,15.975,15.975,630,0
2016-08-08,20:25:00,15.964,15.964,15.945,15.945,2597,0
2016-08-08,21:00:00,16.061,16.061,16.061,16.061,104,0
2016-08-09,18:35:00,15.926,15.926,15.926,15.926,312,0
2016-08-09,19:40:00,16.003,16.022,16.003,16.022,3324,0
2016-08-09,21:55:00,16,16,16,16,519,0
2016-08-11,18:05:00,16.013,16.031,16.013,16.031,727,0
2016-08-11,19:50:00,15.945,16.003,15.945,16.003,208,0
2016-08-11,21:10:00,15.935,15.935,15.935,15.935,831,0
2016-08-11,21:20:00,15.954,15.954,15.954,15.954,104,0
2016-08-11,21:30:00,16.016,16.016,16.016,16.016,152,0
2016-08-15,18:35:00,16.08,16.08,16.08,16.08,208,0
2016-08-15,19:55:00,16.08,16.08,16.08,16.08,831,0
2016-08-15,20:15:00,16.003,16.013,15.993,16.003,4646,0
2016-08-15,21:35:00,16.013,16.08,15.993,16.08,1974,0
2016-08-17,17:30:00,15.979,15.979,15.979,15.979,284,0
2016-08-17,19:00:00,15.888,15.888,15.888,15.888,1521,0
2016-08-17,19:10:00,15.93,15.93,15.93,15.93,258,0
2016-08-18,17:30:00,16.099,16.114,16.067,16.067,784,0
2016-08-18,17:45:00,15.983,15.983,15.983,15.983,104,0
2016-08-18,21:20:00,15.974,15.974,15.974,15.974,968,0
2016-08-18,21:35:00,16.023,16.023,16.023,16.023,121,0
2016-08-19,19:20:00,16.003,16.003,16.003,16.003,312,0
2016-08-19,21:20:00,16.017,16.017,16.017,16.017,208,0
2016-08-22,20:05:00,15.974,15.974,15.964,15.964,415,0
2016-08-23,16:50:00,16.122,16.122,16.122,16.122,954,0
2016-08-23,17:05:00,16.118,16.191,16.118,16.118,624,0
2016-08-23,22:00:00,16.128,16.128,16.128,16.128,153,0
2016-08-24,15:35:00,16.137,16.137,16.137,16.137,104,0
2016-08-24,17:10:00,16.185,16.185,16.185,16.185,478,0
2016-08-25,15:40:00,15.935,15.935,15.935,15.935,468,0
2016-08-25,15:45:00,16.09,16.09,16.09,16.09,415,0
2016-08-25,15:55:00,15.964,15.964,15.954,15.954,514,0
2016-08-25,16:00:00,16.061,16.118,16.051,16.051,415,0
2016-08-25,16:05:00,15.993,16.066,15.993,16.008,2386,0
2016-08-26,15:40:00,16.191,16.191,16.191,16.191,1184,0
2016-08-26,19:15:00,16.013,16.013,16.013,16.013,634,0
2016-08-29,19:35:00,16.128,16.128,16.128,16.128,220,0
2016-08-29,19:45:00,16.136,16.136,16.136,16.136,850,0
2016-08-29,19:55:00,16.157,16.157,16.157,16.157,749,0
2016-08-30,15:35:00,16.137,16.137,16.137,16.137,120,0
2016-08-30,15:40:00,16.099,16.099,16.099,16.099,3894,0
2016-08-30,15:50:00,16.171,16.171,16.171,16.171,415,0
2016-08-30,16:05:00,16.176,16.185,16.176,16.185,208,0
2016-08-30,20:55:00,16.11,16.11,16.11,16.11,831,0
2016-08-30,21:15:00,16.215,16.215,16.215,16.215,260,0
2016-08-30,22:00:00,16.176,16.176,16.176,16.176,519,0
2016-08-31,20:40:00,16.071,16.071,16.041,16.041,3209,0
2016-08-31,21:20:00,16.076,16.076,16.076,16.076,312,0
2016-09-01,21:25:00,16.046,16.046,16.046,16.046,104,0
2016-09-01,22:00:00,16.147,16.147,16.147,16.147,831,0
2016-09-02,15:35:00,16.137,16.137,16.137,16.137,1815,0
2016-09-02,15:40:00,16.176,16.176,16.176,16.176,519,0
2016-09-02,16:05:00,16.244,16.244,16.244,16.244,455,0
2016-09-02,20:10:00,16.311,16.311,16.311,16.311,110,0
2016-09-02,21:35:00,16.269,16.269,16.269,16.269,312,0
2016-09-06,20:35:00,16.359,16.359,16.359,16.359,208,0
2016-09-06,22:00:00,16.311,16.369,16.311,16.369,415,0
2016-09-07,15:35:00,16.321,16.321,16.321,16.321,223,0
2016-09-07,16:05:00,16.369,16.369,16.369,16.369,208,0
2016-09-07,21:55:00,16.465,16.465,16.465,16.465,415,0
2016-09-08,19:15:00,16.449,16.449,16.449,16.449,519,0
2016-09-08,19:20:00,16.561,16.571,16.561,16.571,312,0
2016-09-08,20:55:00,16.426,16.474,16.426,16.426,727,0
2016-09-09,15:45:00,16.426,16.426,16.426,16.426,104,0
2016-09-09,18:10:00,16.149,16.149,16.149,16.149,107,0
2016-09-09,21:45:00,16.094,16.094,16.094,16.094,367,0
2016-09-12,15:35:00,16.031,16.031,16.031,16.031,136,0
2016-09-12,22:00:00,16.185,16.185,16.185,16.185,104,0
2016-09-13,15:35:00,16.071,16.071,16.071,16.071,104,0
2016-09-13,19:25:00,15.917,15.917,15.917,15.917,415,0
2016-09-13,19:55:00,15.931,15.931,15.931,15.931,117,0
2016-09-14,19:30:00,15.907,15.954,15.892,15.954,1246,0
2016-09-14,19:35:00,15.917,15.917,15.917,15.917,415,0
2016-09-14,19:55:00,15.887,15.887,15.887,15.887,104,0
2016-09-14,21:40:00,15.849,15.849,15.82,15.82,38502,0
2016-09-15,18:55:00,16.039,16.039,15.908,15.908,2358,0
2016-09-19,19:35:00,16.019,16.019,16.019,16.019,207,0
2016-09-19,21:15:00,16.042,16.042,16.042,16.042,207,0
2016-09-19,21:50:00,16.036,16.062,16.036,16.042,1118,0
2016-09-20,20:45:00,16.009,16.009,16.009,16.009,207,0
2016-09-21,15:35:00,16.023,16.023,16.023,16.023,261,0
2016-09-21,16:05:00,16.171,16.171,16.171,16.171,153,0
2016-09-21,19:30:00,16.09,16.09,16.09,16.09,438,0
2016-09-23,16:15:00,16.455,16.455,16.455,16.455,692,0
2016-09-23,21:55:00,16.41,16.41,16.41,16.41,282,0
2016-09-26,15:35:00,16.294,16.294,16.294,16.294,516,0
2016-09-26,15:40:00,16.333,16.333,16.333,16.333,207,0
2016-09-26,15:45:00,16.324,16.324,16.324,16.324,310,0
2016-09-26,16:35:00,16.255,16.255,16.255,16.255,133,0
2016-09-26,17:10:00,16.275,16.275,16.265,16.265,2143,0
2016-09-26,19:15:00,16.227,16.227,16.227,16.227,103,0
2016-09-26,21:30:00,16.281,16.281,16.281,16.281,261,0
2016-09-26,21:45:00,16.187,16.187,16.187,16.187,103,0
2016-09-26,22:00:00,16.139,16.197,16.139,16.139,346,0
2016-09-27,15:35:00,16.275,16.275,16.275,16.275,327,0
2016-09-27,17:50:00,16.207,16.207,16.207,16.207,177,0
2016-09-27,19:05:00,16.197,16.197,16.197,16.197,103,0
2016-09-27,19:25:00,16.261,16.261,16.261,16.261,170,0
2016-09-27,21:00:00,16.232,16.232,16.232,16.232,103,0
2016-09-27,22:00:00,16.179,16.227,16.179,16.227,207,0
2016-09-28,17:15:00,16.187,16.187,16.187,16.187,207,0
2016-09-28,20:05:00,16.277,16.277,16.277,16.277,137,0
2016-09-28,20:30:00,16.333,16.333,16.333,16.333,103,0
2016-09-28,20:50:00,16.332,16.332,16.332,16.332,175,0
2016-09-29,16:20:00,16.384,16.384,16.384,16.384,214,0
2016-09-29,16:25:00,16.421,16.421,16.421,16.421,134,0
2016-09-29,19:40:00,16.227,16.245,16.227,16.245,1239,0
2016-09-29,20:40:00,16.275,16.275,16.275,16.275,207,0
2016-09-30,15:35:00,16.41,16.41,16.41,16.41,326,0
2016-09-30,18:50:00,16.362,16.362,16.362,16.362,189,0
2016-09-30,20:40:00,16.382,16.391,16.382,16.391,310,0
2016-09-30,20:45:00,16.391,16.391,16.391,16.391,207,0
2016-09-30,20:50:00,16.391,16.391,16.391,16.391,516,0
2016-09-30,21:35:00,16.41,16.41,16.401,16.41,1033,0
2016-09-30,22:00:00,16.362,16.362,16.362,16.362,310,0
2016-10-03,15:35:00,16.391,16.391,16.391,16.391,250,0
2016-10-03,17:30:00,16.372,16.372,16.372,16.372,140,0
2016-10-03,18:35:00,16.255,16.255,16.255,16.255,103,0
2016-10-03,22:00:00,16.284,16.314,16.284,16.284,929,0
2016-10-04,18:25:00,16.227,16.245,16.227,16.245,1540,0
2016-10-04,18:30:00,16.306,16.306,16.306,16.306,572,0
2016-10-05,16:50:00,16.346,16.346,16.346,16.346,387,0
2016-10-05,20:50:00,16.295,16.295,16.295,16.295,365,0
2016-10-07,17:05:00,16.227,16.227,16.227,16.227,723,0
2016-10-07,22:00:00,16.149,16.149,16.12,16.127,2580,0
2016-10-10,15:35:00,16.178,16.178,16.178,16.178,164,0
2016-10-10,17:00:00,16.372,16.372,16.372,16.372,1549,0
2016-10-10,17:45:00,16.304,16.304,16.304,16.304,200,0
2016-10-11,16:05:00,16.332,16.332,16.332,16.332,186,0
2016-10-11,16:25:00,16.197,16.197,16.187,16.197,1753,0
2016-10-11,17:30:00,16.149,16.149,16.149,16.149,103,0
2016-10-11,22:00:00,16.052,16.052,16.052,16.052,136,0
2016-10-12,16:35:00,16.178,16.178,16.178,16.178,207,0
2016-10-13,15:35:00,16.12,16.12,15.994,15.994,207,0
2016-10-13,18:45:00,16.114,16.114,16.114,16.114,103,0
2016-10-13,20:00:00,16.013,16.013,15.994,15.994,207,0
2016-10-13,21:35:00,16.004,16.018,15.994,15.994,2396,0
2016-10-14,16:25:00,16.042,16.042,16.042,16.042,504,0
2016-10-17,21:05:00,16.009,16.009,16.009,16.009,820,0
2016-10-17,21:10:00,16.009,16.032,16.004,16.009,6296,0
2016-10-18,17:40:00,16.12,16.12,16.12,16.12,516,0
2016-10-18,19:30:00,16.077,16.077,16.077,16.077,803,0
2016-10-18,19:40:00,16.072,16.072,16.052,16.052,708,0
2016-10-18,21:00:00,16.09,16.09,16.09,16.09,158,0
2016-10-18,21:35:00,16.076,16.076,16.076,16.076,413,0
2016-10-19,17:50:00,16.197,16.197,16.197,16.197,103,0
2016-10-19,20:25:00,16.257,16.257,16.257,16.257,516,0
2016-10-20,18:15:00,16.165,16.165,16.165,16.165,937,0
2016-10-20,18:25:00,16.11,16.11,16.11,16.11,140,0
2016-10-20,18:45:00,16.178,16.178,16.178,16.178,103,0
2016-10-20,20:10:00,16.149,16.158,16.149,16.149,7012,0
2016-10-20,20:30:00,16.149,16.174,16.149,16.174,652,0
2016-10-21,19:25:00,16.139,16.139,16.11,16.11,516,0
2016-10-24,15:35:00,16.236,16.236,16.236,16.236,103,0
2016-10-26,15:40:00,16.173,16.173,16.173,16.173,308,0
2016-10-26,17:20:00,16.134,16.134,16.134,16.134,174,0
2016-10-26,17:25:00,16.1,16.125,16.1,16.1,1811,0
2016-10-27,18:00:00,15.906,15.906,15.906,15.906,723,0
2016-10-28,16:45:00,15.877,15.877,15.854,15.854,537,0
2016-10-28,16:50:00,15.873,15.873,15.849,15.849,413,0
2016-10-31,15:05:00,15.732,15.732,15.732,15.732,207,0
2016-11-01,14:35:00,15.8,15.8,15.8,15.8,103,0
2016-11-01,15:15:00,15.762,15.762,15.762,15.762,263,0
2016-11-01,17:25:00,15.625,15.625,15.625,15.625,103,0
2016-11-01,18:30:00,15.581,15.581,15.581,15.581,671,0
2016-11-01,20:35:00,15.548,15.548,15.548,15.548,103,0
2016-11-02,14:35:00,15.5,15.5,15.5,15.5,555,0
2016-11-02,14:55:00,15.529,15.583,15.529,15.583,663,0
2016-11-02,16:00:00,15.519,15.519,15.51,15.51,705,0
2016-11-02,16:40:00,15.49,15.522,15.49,15.522,207,0
2016-11-02,18:55:00,15.47,15.47,15.47,15.47,1001,0
2016-11-02,19:00:00,15.437,15.437,15.437,15.437,103,0
2016-11-02,19:10:00,15.529,15.529,15.529,15.529,667,0
2016-11-03,17:10:00,15.524,15.524,15.5,15.5,404,0
2016-11-03,20:15:00,15.403,15.433,15.403,15.433,413,0
2016-11-03,20:25:00,15.459,15.459,15.412,15.412,413,0
2016-11-03,20:30:00,15.412,15.412,15.412,15.412,103,0
2016-11-03,21:00:00,15.374,15.374,15.374,15.374,103,0
2016-11-04,19:25:00,15.465,15.465,15.465,15.465,105,0
2016-11-04,20:00:00,15.452,15.452,15.452,15.452,207,0
2016-11-04,20:25:00,15.426,15.426,15.426,15.426,525,0
2016-11-07,16:10:00,15.607,15.727,15.607,15.727,479,0
2016-11-07,18:05:00,15.703,15.713,15.703,15.713,1239,0
2016-11-07,18:35:00,15.713,15.713,15.674,15.674,35913,0
2016-11-07,18:50:00,15.708,15.708,15.708,15.708,194,0
2016-11-07,19:05:00,15.669,15.689,15.669,15.684,988,0
2016-11-07,21:50:00,15.684,15.684,15.684,15.684,723,0
2016-11-08,16:10:00,15.616,15.616,15.616,15.616,103,0
2016-11-08,16:50:00,15.713,15.713,15.713,15.713,103,0
2016-11-08,17:15:00,15.732,15.732,15.732,15.732,723,0
2016-11-08,18:45:00,15.8,15.8,15.8,15.8,103,0
2016-11-08,18:50:00,15.8,15.8,15.8,15.8,723,0
2016-11-08,19:00:00,15.8,15.8,15.8,15.8,103,0
2016-11-08,19:35:00,15.79,15.8,15.79,15.8,516,0
2016-11-08,21:30:00,15.771,15.771,15.771,15.771,103,0
2016-11-08,21:35:00,15.771,15.771,15.771,15.771,207,0
2016-11-08,21:55:00,15.757,15.757,15.757,15.757,207,0
2016-11-09,16:30:00,15.81,15.81,15.762,15.762,413,0
2016-11-09,17:10:00,15.849,15.849,15.849,15.849,205,0
2016-11-09,19:50:00,16.129,16.129,16.129,16.129,516,0
2016-11-09,20:20:00,16.129,16.129,16.129,16.129,103,0
2016-11-09,21:45:00,16.11,16.11,16.11,16.11,537,0
2016-11-10,16:30:00,16.42,16.42,16.42,16.42,4875,0
2016-11-10,17:10:00,16.27,16.27,16.27,16.27,310,0
2016-11-10,18:00:00,16.459,16.459,16.459,16.459,413,0
2016-11-10,20:05:00,16.549,16.549,16.549,16.549,119,0
2016-11-10,21:45:00,16.488,16.488,16.488,16.488,119,0
2016-11-11,16:25:00,16.556,16.556,16.556,16.556,413,0
2016-11-11,16:40:00,16.507,16.546,16.507,16.546,1859,0
2016-11-11,17:00:00,16.556,16.556,16.556,16.556,207,0
2016-11-11,18:10:00,16.648,16.648,16.648,16.648,929,0
2016-11-11,19:20:00,16.735,16.735,16.735,16.735,103,0
2016-11-11,19:35:00,16.797,16.797,16.797,16.797,103,0
2016-11-11,21:55:00,16.824,16.824,16.824,16.824,103,0
2016-11-14,15:35:00,17.011,17.011,17.011,17.011,312,0
2016-11-14,15:45:00,16.952,16.952,16.952,16.952,103,0
2016-11-14,16:50:00,17.079,17.079,17.079,17.079,1495,0
2016-11-14,19:45:00,16.904,16.972,16.904,16.972,207,0
2016-11-14,19:55:00,16.918,16.918,16.918,16.918,926,0
2016-11-14,20:35:00,16.904,16.904,16.904,16.904,207,0
2016-11-14,21:00:00,16.924,16.934,16.924,16.934,596,0
2016-11-14,21:15:00,16.975,16.975,16.975,16.975,118,0
2016-11-15,15:35:00,17.03,17.03,17.03,17.03,126,0
2016-11-15,16:55:00,17.049,17.049,17.049,17.049,516,0
2016-11-15,18:05:00,16.943,16.943,16.943,16.943,103,0
2016-11-15,19:30:00,16.995,16.995,16.995,16.995,442,0
2016-11-15,19:35:00,17.006,17.006,17.001,17.001,331,0
2016-11-15,20:25:00,17.011,17.011,17.011,17.011,103,0
2016-11-15,22:00:00,17.03,17.03,17.03,17.03,103,0
2016-11-16,15:35:00,17.021,17.021,17.021,17.021,103,0
2016-11-16,15:40:00,17.079,17.079,17.079,17.079,516,0
2016-11-16,15:45:00,17.079,17.079,17.079,17.079,2064,0
2016-11-16,19:05:00,17.137,17.137,17.137,17.137,283,0
2016-11-16,19:20:00,17.04,17.04,17.04,17.04,207,0
2016-11-16,20:10:00,17.04,17.04,17.04,17.04,103,0
2016-11-16,22:00:00,17.099,17.099,17.099,17.099,103,0
2016-11-17,15:35:00,17.03,17.195,17.03,17.195,459,0
2016-11-17,15:40:00,17.282,17.282,17.277,17.277,1962,0
2016-11-17,15:55:00,17.25,17.25,17.25,17.25,1033,0
2016-11-17,18:25:00,17.155,17.155,17.155,17.155,1681,0
2016-11-17,19:40:00,17.122,17.122,17.108,17.108,826,0
2016-11-17,20:05:00,17.108,17.108,17.108,17.108,413,0
2016-11-17,20:20:00,17.108,17.108,17.108,17.108,516,0
2016-11-18,17:35:00,17.148,17.195,17.148,17.195,619,0
2016-11-18,20:25:00,17.255,17.255,17.255,17.255,103,0
2016-11-18,20:55:00,17.256,17.256,17.256,17.256,1156,0
2016-11-21,17:05:00,17.369,17.369,17.369,17.369,103,0
2016-11-21,17:10:00,17.314,17.314,17.314,17.314,103,0
2016-11-21,17:25:00,17.321,17.321,17.321,17.321,207,0
2016-11-21,17:30:00,17.379,17.379,17.379,17.379,649,0
