Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-08-26,16:05:00,35.54,35.54,35.54,35.54,205,0
2016-08-29,20:50:00,35.493,35.493,35.493,35.493,308,0
2016-08-29,21:55:00,35.531,35.531,35.531,35.531,716,0
2016-08-31,21:50:00,35.413,35.413,35.413,35.413,2865,0
2016-08-31,21:55:00,35.393,35.403,35.393,35.403,286,0
2016-09-02,21:10:00,35.557,35.557,35.557,35.557,153,0
2016-09-02,21:45:00,35.543,35.543,35.543,35.543,139,0
2016-09-06,18:35:00,35.506,35.506,35.506,35.506,103,0
2016-09-06,20:30:00,35.559,35.569,35.559,35.564,716,0
2016-09-06,21:55:00,35.588,35.588,35.588,35.588,2149,0
2016-09-07,20:55:00,35.686,35.686,35.686,35.686,2865,0
2016-09-07,22:00:00,35.677,35.677,35.677,35.677,103,0
2016-09-08,16:45:00,35.649,35.649,35.649,35.649,189,0
2016-09-08,17:15:00,35.704,35.704,35.691,35.691,308,0
2016-09-08,18:35:00,35.628,35.628,35.628,35.628,701,0
2016-09-08,19:50:00,35.638,35.638,35.638,35.638,205,0
2016-09-09,16:10:00,35.198,35.198,35.198,35.198,143,0
2016-09-09,22:00:00,34.8,34.8,34.728,34.728,921,0
2016-09-13,15:35:00,34.885,34.885,34.885,34.885,435,0
2016-09-13,16:45:00,34.782,34.782,34.782,34.782,1023,0
2016-09-13,16:50:00,34.774,34.774,34.774,34.774,1023,0
2016-09-13,17:30:00,34.65,34.65,34.65,34.65,103,0
2016-09-13,19:10:00,34.503,34.503,34.503,34.503,103,0
2016-09-13,20:20:00,34.543,34.543,34.543,34.543,103,0
2016-09-13,20:25:00,34.547,34.547,34.547,34.547,153,0
2016-09-13,21:50:00,34.587,34.587,34.587,34.587,103,0
2016-09-14,17:15:00,34.66,34.66,34.66,34.66,103,0
2016-09-14,21:50:00,34.543,34.543,34.543,34.543,103,0
2016-09-15,16:15:00,34.714,34.728,34.714,34.718,1232,0
2016-09-15,17:00:00,34.787,34.787,34.787,34.787,195,0
2016-09-15,17:30:00,34.836,34.836,34.836,34.836,30684,0
2016-09-15,21:50:00,34.904,34.904,34.904,34.904,103,0
2016-09-15,22:00:00,34.914,34.914,34.914,34.914,205,0
2016-09-16,19:10:00,34.719,34.719,34.709,34.709,308,0
2016-09-16,19:35:00,34.709,34.709,34.709,34.709,103,0
2016-09-19,15:40:00,34.985,34.995,34.985,34.995,3092,0
2016-09-20,15:35:00,35.055,35.065,35.055,35.065,3336,0
2016-09-20,19:25:00,34.799,34.799,34.799,34.799,203,0
2016-09-21,15:45:00,34.947,34.947,34.947,34.947,285,0
2016-09-21,17:15:00,34.927,34.927,34.927,34.927,102,0
2016-09-21,17:20:00,34.946,34.946,34.946,34.946,601,0
2016-09-21,20:45:00,34.995,34.995,34.995,34.995,1622,0
2016-09-21,21:10:00,35.065,35.065,35.065,35.065,140,0
2016-09-22,16:10:00,35.469,35.469,35.439,35.439,305,0
2016-09-22,16:45:00,35.479,35.479,35.479,35.479,811,0
2016-09-22,18:00:00,35.395,35.395,35.37,35.37,203,0
2016-09-22,19:35:00,35.439,35.439,35.439,35.439,102,0
2016-09-22,20:30:00,35.39,35.39,35.39,35.39,102,0
2016-09-22,22:00:00,35.449,35.479,35.449,35.469,469,0
2016-09-23,15:35:00,35.312,35.312,35.312,35.312,102,0
2016-09-26,15:55:00,35.055,35.055,35.055,35.055,122,0
2016-09-26,17:30:00,35.035,35.035,35.035,35.035,102,0
2016-09-26,17:35:00,35.025,35.025,35.025,35.025,989,0
2016-09-26,21:15:00,34.995,34.995,34.995,34.995,472,0
2016-09-26,22:00:00,34.957,34.957,34.951,34.951,1657,0
2016-09-27,17:20:00,34.938,34.938,34.938,34.938,493,0
2016-09-27,20:25:00,35.124,35.124,35.124,35.124,4563,0
2016-09-27,20:35:00,35.124,35.124,35.124,35.124,482,0
2016-09-27,20:45:00,35.124,35.124,35.124,35.124,305,0
2016-09-28,20:25:00,35.282,35.282,35.282,35.282,305,0
2016-09-29,16:00:00,35.41,35.41,35.41,35.41,132,0
2016-10-03,16:10:00,35.36,35.36,35.321,35.321,305,0
2016-10-03,17:05:00,35.302,35.302,35.302,35.302,141,0
2016-10-03,17:15:00,35.37,35.38,35.37,35.38,253,0
2016-10-03,17:55:00,35.312,35.312,35.302,35.302,203,0
2016-10-03,19:25:00,35.341,35.341,35.341,35.341,102,0
2016-10-03,20:30:00,35.252,35.252,35.252,35.252,353,0
2016-10-03,20:50:00,35.212,35.212,35.212,35.212,1135,0
2016-10-03,22:00:00,35.331,35.331,35.331,35.331,1120,0
2016-10-04,16:10:00,35.36,35.36,35.36,35.36,102,0
2016-10-04,16:15:00,35.331,35.331,35.312,35.312,1065,0
2016-10-04,16:35:00,35.242,35.331,35.242,35.331,363,0
2016-10-04,17:15:00,35.262,35.262,35.261,35.261,418,0
2016-10-04,17:20:00,35.151,35.151,35.151,35.151,431,0
2016-10-04,17:30:00,35.292,35.292,35.292,35.292,102,0
2016-10-04,17:35:00,35.282,35.282,35.282,35.282,203,0
2016-10-04,17:55:00,35.272,35.272,35.272,35.272,102,0
2016-10-04,18:55:00,35.222,35.222,35.222,35.222,102,0
