Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,79.08,79.08,78.87,78.98,11282,0
2017-04-10,15:40:00,78.98,79.05,78.96,79.02,14152,0
2017-04-10,15:45:00,79.01,79.013,78.96,78.99,18429,0
2017-04-10,15:50:00,79,79.06,78.99,79.06,19590,0
2017-04-10,15:55:00,79.084,79.084,78.99,79.08,33986,0
2017-04-10,16:00:00,79.08,79.09,79.03,79.07,24600,0
2017-04-10,16:05:00,79.07,79.07,78.98,79.01,12058,0
2017-04-10,16:10:00,79.01,79.08,79,79.04,9500,0
2017-04-10,16:15:00,79.04,79.05,78.96,79.01,10900,0
2017-04-10,16:20:00,78.98,79.03,78.94,79.03,9715,0
2017-04-10,16:25:00,79.01,79.03,78.945,78.98,4326,0
2017-04-10,16:30:00,78.98,78.98,78.86,78.88,66905,0
2017-04-10,16:35:00,78.89,78.99,78.88,78.94,116444,0
2017-04-10,16:40:00,78.95,78.98,78.89,78.9,97323,0
2017-04-10,16:45:00,78.88,78.89,78.86,78.87,40315,0
2017-04-10,16:50:00,78.87,78.89,78.79,78.79,21449,0
2017-04-10,16:55:00,78.795,78.805,78.71,78.73,75130,0
2017-04-10,17:00:00,78.76,78.77,78.575,78.58,104833,0
2017-04-10,17:05:00,78.58,78.64,78.565,78.64,17502,0
2017-04-10,17:10:00,78.64,78.64,78.58,78.64,33696,0
2017-04-10,17:15:00,78.67,78.71,78.67,78.7,8901,0
2017-04-10,17:20:00,78.72,78.7443,78.71,78.71,9662,0
2017-04-10,17:25:00,78.75,78.75,78.71,78.7382,5641,0
2017-04-10,17:30:00,78.74,78.75,78.68,78.68,24835,0
2017-04-10,17:35:00,78.68,78.68,78.5082,78.525,16630,0
2017-04-10,17:40:00,78.5,78.53,78.455,78.455,78187,0
2017-04-10,17:45:00,78.46,78.47,78.38,78.44,32073,0
2017-04-10,17:50:00,78.4149,78.44,78.38,78.44,5906,0
2017-04-10,17:55:00,78.44,78.48,78.41,78.46,6047,0
2017-04-10,18:00:00,78.47,78.47,78.4,78.42,33413,0
2017-04-10,18:05:00,78.43,78.44,78.405,78.43,27400,0
2017-04-10,18:10:00,78.44,78.45,78.42,78.4435,22835,0
2017-04-10,18:15:00,78.45,78.45,78.25,78.25,19949,0
2017-04-10,18:20:00,78.27,78.305,78.27,78.305,12057,0
2017-04-10,18:25:00,78.2953,78.3,78.25,78.28,13968,0
2017-04-10,18:30:00,78.28,78.355,78.27,78.3349,91764,0
2017-04-10,18:35:00,78.33,78.42,78.31,78.42,22112,0
2017-04-10,18:40:00,78.41,78.42,78.37,78.39,45052,0
2017-04-10,18:45:00,78.4,78.49,78.4,78.45,45587,0
2017-04-10,18:50:00,78.44,78.51,78.4,78.5,84029,0
2017-04-10,18:55:00,78.55,78.62,78.52,78.58,24954,0
2017-04-10,19:00:00,78.57,78.65,78.57,78.63,37595,0
2017-04-10,19:05:00,78.64,78.66,78.58,78.585,57600,0
2017-04-10,19:10:00,78.595,78.67,78.595,78.625,14795,0
2017-04-10,19:15:00,78.635,78.66,78.62,78.65,4932,0
2017-04-10,19:20:00,78.645,78.66,78.605,78.605,14650,0
2017-04-10,19:25:00,78.625,78.66,78.625,78.655,3135,0
2017-04-10,19:30:00,78.665,78.67,78.64,78.64,4585,0
2017-04-10,19:35:00,78.65,78.7,78.645,78.7,10100,0
2017-04-10,19:40:00,78.72,78.83,78.715,78.8101,27836,0
2017-04-10,19:45:00,78.8,78.81,78.79,78.79,4600,0
2017-04-10,19:50:00,78.79,78.79,78.76,78.77,1936,0
2017-04-10,19:55:00,78.77,78.77,78.73,78.76,3327,0
2017-04-10,20:00:00,78.76,78.81,78.76,78.7947,2939,0
2017-04-10,20:05:00,78.8,78.8,78.64,78.64,10528,0
2017-04-10,20:10:00,78.69,78.7,78.65,78.66,5115,0
2017-04-10,20:15:00,78.6699,78.74,78.6699,78.72,4274,0
2017-04-10,20:20:00,78.72,78.74,78.71,78.73,14799,0
2017-04-10,20:25:00,78.73,78.75,78.71,78.75,2776,0
2017-04-10,20:30:00,78.74,78.74,78.651,78.66,6150,0
2017-04-10,20:35:00,78.66,78.68,78.64,78.65,37836,0
2017-04-10,20:40:00,78.6559,78.6559,78.585,78.615,5073,0
2017-04-10,20:45:00,78.6,78.64,78.57,78.64,4600,0
2017-04-10,20:50:00,78.63,78.73,78.63,78.7,8960,0
2017-04-10,20:55:00,78.71,78.73,78.695,78.73,7100,0
2017-04-10,21:00:00,78.71,78.71,78.69,78.69,5000,0
2017-04-10,21:05:00,78.69,78.72,78.69,78.72,5848,0
2017-04-10,21:10:00,78.73,78.761,78.6789,78.6789,4607,0
2017-04-10,21:15:00,78.67,78.71,78.66,78.68,5800,0
2017-04-10,21:20:00,78.675,78.69,78.64,78.65,12426,0
2017-04-10,21:25:00,78.64,78.64,78.5,78.54,20350,0
2017-04-10,21:30:00,78.54,78.561,78.52,78.54,8400,0
