Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,37.3,37.35,37.145,37.16,73454,0
2017-04-10,15:40:00,37.16,37.18,37.03,37.04,63992,0
2017-04-10,15:45:00,37.04,37.08,37.01,37.05,79853,0
2017-04-10,15:50:00,37.04,37.07,37,37.04,38607,0
2017-04-10,15:55:00,37.04,37.12,37.04,37.0693,24260,0
2017-04-10,16:00:00,37.06,37.122,37.04,37.04,6100,0
2017-04-10,16:05:00,37.05,37.122,37.03,37.1175,7167,0
2017-04-10,16:10:00,37.1001,37.1001,37.02,37.054,30508,0
2017-04-10,16:15:00,37.04,37.12,37.03,37.0799,15475,0
2017-04-10,16:20:00,37.1,37.11,37.0599,37.07,3072,0
2017-04-10,16:25:00,37.08,37.089,37.05,37.05,7730,0
2017-04-10,16:30:00,37.05,37.085,37.04,37.07,6980,0
2017-04-10,16:35:00,37.06,37.06,36.92,36.94,77746,0
2017-04-10,16:40:00,36.94,36.97,36.9,36.96,365573,0
2017-04-10,16:45:00,36.96,37,36.95,36.97,23518,0
2017-04-10,16:50:00,36.98,37.01,36.95,37.01,61430,0
2017-04-10,16:55:00,36.99,37.0399,36.99,37.03,22284,0
2017-04-10,17:00:00,37.02,37.19,37.01,37.18,34948,0
2017-04-10,17:05:00,37.17,37.2,37.15,37.1521,47622,0
2017-04-10,17:10:00,37.151,37.21,37.151,37.18,24100,0
2017-04-10,17:15:00,37.16,37.16,37.11,37.11,13268,0
2017-04-10,17:20:00,37.1035,37.14,37.09,37.14,24420,0
2017-04-10,17:25:00,37.12,37.14,37.1,37.12,11727,0
2017-04-10,17:30:00,37.1,37.16,37.1,37.16,14130,0
2017-04-10,17:35:00,37.15,37.355,37.15,37.34,51353,0
2017-04-10,17:40:00,37.35,37.4,37.31,37.4,34714,0
2017-04-10,17:45:00,37.41,37.51,37.3862,37.44,71584,0
2017-04-10,17:50:00,37.461,37.49,37.41,37.41,35746,0
2017-04-10,17:55:00,37.41,37.44,37.37,37.39,19647,0
2017-04-10,18:00:00,37.4,37.45,37.39,37.42,7058,0
2017-04-10,18:05:00,37.41,37.421,37.37,37.37,5020,0
2017-04-10,18:10:00,37.38,37.426,37.36,37.4,15297,0
2017-04-10,18:15:00,37.39,37.66,37.39,37.65,86148,0
2017-04-10,18:20:00,37.64,37.64,37.56,37.58,35222,0
2017-04-10,18:25:00,37.59,37.6044,37.54,37.58,7297,0
2017-04-10,18:30:00,37.589,37.62,37.505,37.52,12600,0
2017-04-10,18:35:00,37.5432,37.56,37.43,37.449,11276,0
2017-04-10,18:40:00,37.44,37.4648,37.42,37.45,14719,0
2017-04-10,18:45:00,37.44,37.44,37.37,37.42,11100,0
2017-04-10,18:50:00,37.415,37.42,37.29,37.29,12330,0
