Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,20.61,20.62,20.58,20.62,341092,0
2017-04-10,15:40:00,20.61,20.63,20.581,20.6299,63860,0
2017-04-10,15:45:00,20.63,20.7,20.63,20.69,159882,0
2017-04-10,15:50:00,20.7,20.72,20.55,20.5604,415892,0
2017-04-10,15:55:00,20.57,20.6,20.52,20.59,119128,0
2017-04-10,16:00:00,20.59,20.61,20.58,20.61,169131,0
2017-04-10,16:05:00,20.61,20.65,20.61,20.624,216097,0
2017-04-10,16:10:00,20.62,20.66,20.62,20.66,79268,0
2017-04-10,16:15:00,20.654,20.6624,20.59,20.61,113598,0
2017-04-10,16:20:00,20.6,20.6,20.48,20.5,194018,0
2017-04-10,16:25:00,20.5,20.57,20.4936,20.57,56867,0
2017-04-10,16:30:00,20.56,20.59,20.5499,20.56,91540,0
2017-04-10,16:35:00,20.56,20.62,20.55,20.58,70171,0
2017-04-10,16:40:00,20.58,20.6032,20.57,20.6,37710,0
2017-04-10,16:45:00,20.6,20.65,20.6,20.635,51397,0
2017-04-10,16:50:00,20.64,20.663,20.62,20.63,47799,0
2017-04-10,16:55:00,20.64,20.68,20.64,20.67,36803,0
2017-04-10,17:00:00,20.67,20.692,20.64,20.64,39912,0
2017-04-10,17:05:00,20.63,20.69,20.63,20.69,17933,0
2017-04-10,17:10:00,20.68,20.68,20.57,20.58,111217,0
2017-04-10,17:15:00,20.58,20.64,20.57,20.6346,33552,0
2017-04-10,17:20:00,20.64,20.73,20.64,20.7101,124751,0
2017-04-10,17:25:00,20.72,20.75,20.71,20.71,54275,0
2017-04-10,17:30:00,20.71,20.74,20.68,20.74,32430,0
2017-04-10,17:35:00,20.74,20.77,20.6841,20.693,90733,0
2017-04-10,17:40:00,20.69,20.7,20.66,20.675,13782,0
2017-04-10,17:45:00,20.68,20.6937,20.67,20.69,16695,0
2017-04-10,17:50:00,20.69,20.7,20.68,20.6952,38467,0
2017-04-10,17:55:00,20.695,20.7,20.65,20.65,24337,0
2017-04-10,18:00:00,20.66,20.6842,20.649,20.68,39630,0
2017-04-10,18:05:00,20.6848,20.71,20.6848,20.7,25604,0
2017-04-10,18:10:00,20.7,20.71,20.68,20.695,18574,0
2017-04-10,18:15:00,20.7,20.71,20.65,20.65,37447,0
2017-04-10,18:20:00,20.65,20.68,20.65,20.68,11930,0
2017-04-10,18:25:00,20.68,20.6801,20.67,20.68,25695,0
2017-04-10,18:30:00,20.67,20.68,20.66,20.66,20541,0
2017-04-10,18:35:00,20.66,20.66,20.65,20.6537,4389,0
2017-04-10,18:40:00,20.6501,20.66,20.62,20.627,18768,0
2017-04-10,18:45:00,20.62,20.64,20.62,20.64,35948,0
2017-04-10,18:50:00,20.64,20.6633,20.63,20.6633,10200,0
2017-04-10,18:55:00,20.67,20.6936,20.67,20.69,33403,0
2017-04-10,19:00:00,20.68,20.69,20.67,20.67,14610,0
2017-04-10,19:05:00,20.67,20.68,20.66,20.67,11276,0
2017-04-10,19:10:00,20.68,20.68,20.66,20.66,3537,0
2017-04-10,19:15:00,20.6562,20.67,20.65,20.67,22987,0
2017-04-10,19:20:00,20.67,20.68,20.6558,20.66,39189,0
2017-04-10,19:25:00,20.6699,20.69,20.6699,20.69,40899,0
2017-04-10,19:30:00,20.6804,20.69,20.67,20.67,10920,0
2017-04-10,19:35:00,20.67,20.71,20.67,20.699,151117,0
2017-04-10,19:40:00,20.6962,20.725,20.69,20.72,26764,0
2017-04-10,19:45:00,20.72,20.73,20.71,20.72,26650,0
2017-04-10,19:50:00,20.73,20.73,20.7099,20.71,18101,0
2017-04-10,19:55:00,20.71,20.72,20.7,20.701,66726,0
2017-04-10,20:00:00,20.705,20.72,20.68,20.72,25097,0
2017-04-10,20:05:00,20.72,20.73,20.7,20.72,27230,0
2017-04-10,20:10:00,20.72,20.73,20.71,20.72,13315,0
2017-04-10,20:15:00,20.71,20.74,20.701,20.73,17344,0
2017-04-10,20:20:00,20.73,20.77,20.72,20.7584,47939,0
2017-04-10,20:25:00,20.7525,20.84,20.7401,20.8,195405,0
2017-04-10,20:30:00,20.8,20.86,20.78,20.83,143809,0
2017-04-10,20:35:00,20.82,20.82,20.799,20.8,33920,0
2017-04-10,20:40:00,20.7901,20.8,20.78,20.78,19725,0
2017-04-10,20:45:00,20.78,20.809,20.78,20.8,111429,0
2017-04-10,20:50:00,20.8,20.8094,20.79,20.79,36768,0
2017-04-10,20:55:00,20.79,20.8,20.78,20.79,106695,0
2017-04-10,21:00:00,20.78,20.79,20.78,20.78,18238,0
2017-04-10,21:05:00,20.77,20.79,20.77,20.79,56959,0
2017-04-10,21:10:00,20.8,20.8,20.78,20.781,7982,0
2017-04-10,21:15:00,20.78,20.78,20.74,20.74,19922,0
2017-04-10,21:20:00,20.75,20.76,20.7473,20.75,34347,0
2017-04-10,21:25:00,20.75,20.7584,20.7301,20.7501,43208,0
2017-04-10,21:30:00,20.76,20.78,20.7561,20.78,31679,0
2017-04-10,21:35:00,20.7741,20.7741,20.76,20.761,14139,0
2017-04-10,21:40:00,20.765,20.79,20.76,20.77,41094,0
2017-04-10,21:45:00,20.7799,20.783,20.76,20.78,68078,0
2017-04-10,21:50:00,20.78,20.81,20.78,20.791,29712,0
2017-04-10,21:55:00,20.7993,20.82,20.7993,20.81,55614,0
2017-04-10,22:00:00,20.8075,20.82,20.8,20.81,116007,0
2017-04-11,15:35:00,20.81,20.87,20.79,20.816,173850,0
2017-04-11,15:40:00,20.83,20.835,20.8,20.81,75193,0
2017-04-11,15:45:00,20.81,20.81,20.72,20.7538,128871,0
2017-04-11,15:50:00,20.75,20.78,20.75,20.75,117920,0
2017-04-11,15:55:00,20.74,20.74,20.66,20.69,265763,0
2017-04-11,16:00:00,20.7,20.72,20.64,20.72,439285,0
2017-04-11,16:05:00,20.71,20.725,20.68,20.725,142691,0
2017-04-11,16:10:00,20.73,20.76,20.73,20.74,202312,0
2017-04-11,16:15:00,20.7392,20.7392,20.57,20.5906,261747,0
2017-04-11,16:20:00,20.59,20.66,20.59,20.643,98250,0
2017-04-11,16:25:00,20.64,20.64,20.55,20.5848,219532,0
2017-04-11,16:30:00,20.58,20.6284,20.58,20.62,178880,0
2017-04-11,16:35:00,20.61,20.611,20.56,20.5635,54783,0
2017-04-11,16:40:00,20.56,20.627,20.54,20.621,82080,0
2017-04-11,16:45:00,20.62,20.63,20.57,20.61,60056,0
