Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-03,17:10:00,25.617,25.617,25.617,25.617,2345,0
2016-06-03,17:20:00,25.538,25.538,25.538,25.538,121,0
2016-06-06,16:10:00,25.734,25.734,25.705,25.705,1706,0
2016-06-06,18:00:00,25.696,25.696,25.696,25.696,407,0
2016-06-06,18:55:00,25.676,25.676,25.676,25.676,101,0
2016-06-06,19:55:00,25.714,25.714,25.714,25.714,507,0
2016-06-06,20:15:00,25.724,25.724,25.724,25.724,101,0
2016-06-06,21:40:00,25.754,25.754,25.754,25.754,457,0
2016-06-07,17:40:00,25.853,25.853,25.853,25.853,665,0
2016-06-07,17:45:00,25.882,25.882,25.882,25.882,1015,0
2016-06-07,20:10:00,25.902,25.912,25.902,25.912,1426,0
2016-06-07,20:55:00,25.833,25.833,25.833,25.833,889,0
2016-06-08,16:25:00,25.833,25.833,25.823,25.823,1442,0
2016-06-08,20:10:00,25.902,25.902,25.902,25.902,101,0
2016-06-08,20:15:00,25.872,25.872,25.872,25.872,101,0
2016-06-09,16:05:00,25.833,25.833,25.833,25.833,1553,0
2016-06-09,16:10:00,25.784,25.793,25.784,25.793,4913,0
2016-06-09,16:15:00,25.793,25.793,25.793,25.793,5076,0
2016-06-09,16:45:00,25.828,25.828,25.828,25.828,1898,0
2016-06-09,19:05:00,25.853,25.853,25.853,25.853,163,0
2016-06-09,21:00:00,25.892,25.892,25.892,25.892,101,0
2016-06-09,21:25:00,25.882,25.882,25.882,25.882,17756,0
2016-06-13,15:50:00,25.666,25.666,25.666,25.666,271,0
2016-06-14,18:40:00,25.42,25.42,25.42,25.42,2396,0
2016-06-14,19:55:00,25.37,25.37,25.37,25.37,4060,0
2016-06-15,17:20:00,25.558,25.558,25.558,25.558,812,0
2016-06-16,16:40:00,25.202,25.202,25.165,25.165,612,0
2016-06-16,20:10:00,25.365,25.365,25.365,25.365,143,0
2016-06-17,16:40:00,25.44,25.44,25.44,25.44,966,0
