Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-18,16:35:00,23.029,23.029,23.029,23.029,264,0
2014-12-18,17:25:00,22.974,22.974,22.974,22.974,525,0
2014-12-18,17:30:00,22.974,22.974,22.954,22.954,1260,0
2014-12-18,19:30:00,23.001,23.001,23.001,23.001,264,0
2014-12-18,21:15:00,23.001,23.001,22.993,22.993,439,0
2014-12-19,15:40:00,23.155,23.155,23.155,23.155,104,0
2014-12-19,16:55:00,23.203,23.203,23.203,23.203,104,0
2014-12-19,18:40:00,23.155,23.155,23.155,23.155,104,0
2014-12-19,20:25:00,23.184,23.184,23.184,23.184,104,0
2014-12-19,20:30:00,23.184,23.184,23.184,23.184,104,0
2014-12-19,20:35:00,23.184,23.193,23.184,23.193,210,0
2014-12-19,20:40:00,23.193,23.193,23.193,23.193,210,0
2014-12-19,20:45:00,23.193,23.193,23.193,23.193,104,0
2014-12-19,20:50:00,23.212,23.212,23.212,23.212,104,0
2014-12-19,20:55:00,23.232,23.232,23.232,23.232,104,0
2014-12-19,21:30:00,23.232,23.232,23.203,23.203,528,0
2014-12-19,22:00:00,23.165,23.165,23.165,23.165,104,0
2014-12-22,15:40:00,23.317,23.317,23.317,23.317,420,0
2014-12-22,16:40:00,23.326,23.326,23.326,23.326,104,0
2014-12-22,17:25:00,23.336,23.336,23.336,23.336,104,0
2014-12-22,18:50:00,23.326,23.326,23.326,23.326,104,0
2014-12-22,20:15:00,23.374,23.374,23.374,23.374,104,0
2014-12-22,21:05:00,23.346,23.346,23.346,23.346,104,0
2014-12-22,21:40:00,23.383,23.383,23.383,23.383,104,0
2014-12-23,15:35:00,23.222,23.222,23.222,23.222,314,0
2014-12-23,21:25:00,23.126,23.126,23.126,23.126,1836,0
2014-12-23,21:55:00,23.099,23.099,23.099,23.099,112,0
2014-12-24,16:10:00,23.126,23.126,23.126,23.126,104,0
2014-12-24,16:40:00,23.165,23.165,23.126,23.126,763,0
2014-12-24,17:00:00,23.146,23.146,23.146,23.146,104,0
2014-12-26,21:20:00,23.412,23.412,23.412,23.412,104,0
2014-12-29,19:30:00,23.288,23.288,23.288,23.288,420,0
2014-12-30,16:15:00,23.165,23.165,23.165,23.165,210,0
2014-12-30,20:20:00,23.193,23.193,23.193,23.193,104,0
2014-12-30,20:35:00,23.203,23.203,23.203,23.203,104,0
2014-12-30,20:45:00,23.203,23.203,23.203,23.203,104,0
2014-12-30,20:50:00,23.203,23.203,23.203,23.203,104,0
2014-12-30,21:35:00,23.232,23.232,23.232,23.232,630,0
2014-12-31,16:25:00,23.326,23.326,23.326,23.326,104,0
2014-12-31,16:45:00,23.308,23.308,23.308,23.308,104,0
2014-12-31,17:05:00,23.308,23.308,23.308,23.308,104,0
2014-12-31,17:30:00,23.308,23.308,23.308,23.308,104,0
2014-12-31,18:00:00,23.317,23.317,23.317,23.317,104,0
2014-12-31,18:25:00,23.288,23.288,23.288,23.288,104,0
2014-12-31,18:45:00,23.251,23.251,23.251,23.251,104,0
2014-12-31,19:30:00,23.288,23.288,23.288,23.288,311,0
2015-01-02,19:30:00,22.851,22.851,22.851,22.851,476,0
2015-01-05,16:45:00,22.649,22.649,22.649,22.649,714,0
2015-01-05,22:00:00,22.602,22.602,22.602,22.602,314,0
2015-01-06,16:00:00,22.679,22.679,22.679,22.679,314,0
2015-01-06,18:20:00,22.45,22.45,22.45,22.45,104,0
2015-01-12,21:10:00,23.174,23.174,23.174,23.174,104,0
2015-01-14,20:50:00,23.232,23.232,23.232,23.232,420,0
2015-01-16,17:25:00,23.326,23.326,23.326,23.326,104,0
2015-01-20,16:35:00,23.412,23.412,23.412,23.412,420,0
2015-01-20,20:00:00,23.441,23.441,23.441,23.441,1155,0
2015-01-20,22:00:00,23.479,23.479,23.479,23.479,104,0
2015-01-21,19:05:00,23.888,23.888,23.888,23.888,3149,0
2015-01-22,15:50:00,24.088,24.088,24.088,24.088,126,0
2015-01-22,15:55:00,24.051,24.051,24.051,24.051,1041,0
2015-01-22,16:00:00,24.051,24.051,24.051,24.051,104,0
2015-01-22,17:20:00,24.222,24.222,24.222,24.222,1049,0
2015-01-22,18:00:00,24.242,24.242,24.232,24.232,577,0
2015-01-22,19:10:00,24.232,24.232,24.232,24.232,104,0
2015-01-22,20:05:00,24.252,24.252,24.252,24.252,210,0
2015-01-22,22:00:00,24.394,24.394,24.394,24.394,126,0
