Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-29,15:35:00,22.411,22.411,22.411,22.411,222,0
2016-03-30,15:55:00,23.083,23.083,23.083,23.083,409,0
2016-03-30,16:10:00,23.075,23.075,23.075,23.075,102,0
2016-03-30,17:20:00,23.066,23.066,23.036,23.036,2966,0
2016-03-30,19:00:00,23.046,23.066,23.046,23.066,3989,0
2016-03-30,19:05:00,23.066,23.075,23.066,23.075,920,0
2016-03-31,15:45:00,23.144,23.144,23.089,23.089,433,0
2016-03-31,18:40:00,23.024,23.024,23.024,23.024,223,0
2016-03-31,20:35:00,23.039,23.039,23.039,23.039,220,0
2016-04-01,20:30:00,22.764,22.764,22.764,22.764,187,0
2016-04-05,18:35:00,22.323,22.323,22.313,22.313,1330,0
2016-04-05,18:40:00,22.323,22.342,22.323,22.342,1135,0
2016-04-05,18:55:00,22.303,22.303,22.303,22.303,614,0
2016-04-05,19:00:00,22.293,22.293,22.293,22.293,409,0
2016-04-05,19:05:00,22.254,22.287,22.254,22.287,358,0
2016-04-05,19:25:00,22.225,22.225,22.225,22.225,281,0
2016-04-06,15:55:00,22.347,22.347,22.347,22.347,102,0
2016-04-06,21:15:00,22.626,22.626,22.626,22.626,102,0
2016-04-07,17:55:00,22.381,22.391,22.371,22.391,1227,0
2016-04-08,15:40:00,22.811,22.811,22.811,22.811,137,0
2016-04-08,18:55:00,22.616,22.635,22.616,22.626,2148,0
2016-04-08,19:35:00,22.538,22.577,22.538,22.567,1125,0
2016-04-08,19:40:00,22.577,22.606,22.557,22.557,2830,0
2016-04-08,20:50:00,22.508,22.508,22.508,22.508,267,0
2016-04-11,15:35:00,22.86,22.86,22.86,22.86,307,0
2016-04-11,16:10:00,22.998,22.998,22.998,22.998,1129,0
2016-04-11,17:45:00,22.927,22.927,22.927,22.927,102,0
2016-04-11,19:05:00,23.007,23.007,23.007,23.007,307,0
2016-04-11,20:30:00,22.966,22.966,22.966,22.966,153,0
2016-04-11,20:55:00,22.968,22.968,22.968,22.968,102,0
2016-04-12,18:45:00,22.971,22.971,22.971,22.971,138,0
2016-04-12,19:00:00,23.017,23.11,23.017,23.066,6040,0
2016-04-12,19:05:00,23.066,23.066,23.066,23.066,102,0
2016-04-12,21:20:00,23.173,23.183,23.163,23.163,1945,0
2016-04-12,21:55:00,23.183,23.183,23.143,23.143,818,0
2016-04-13,17:45:00,23.691,23.691,23.682,23.682,2032,0
2016-04-13,18:25:00,23.74,23.76,23.74,23.75,1125,0
2016-04-13,19:30:00,23.76,23.779,23.74,23.74,2339,0
2016-04-13,19:35:00,23.779,23.789,23.75,23.75,1023,0
2016-04-13,21:10:00,23.753,23.753,23.753,23.753,1023,0
2016-04-13,21:40:00,23.74,23.74,23.74,23.74,102,0
2016-04-13,21:50:00,23.735,23.735,23.672,23.672,8182,0
2016-04-14,16:55:00,23.711,23.711,23.711,23.711,102,0
2016-04-14,17:00:00,23.711,23.755,23.701,23.755,6824,0
2016-04-14,17:55:00,23.77,23.838,23.76,23.838,7466,0
2016-04-14,18:00:00,23.828,23.828,23.819,23.819,2045,0
2016-04-14,18:05:00,23.819,23.819,23.819,23.819,102,0
2016-04-14,18:30:00,23.809,23.819,23.809,23.819,409,0
2016-04-14,18:35:00,23.789,23.789,23.789,23.789,409,0
2016-04-14,22:00:00,23.742,23.742,23.742,23.742,332,0
2016-04-15,16:40:00,23.643,23.643,23.633,23.633,511,0
2016-04-15,16:45:00,23.623,23.623,23.613,23.613,307,0
2016-04-15,19:00:00,23.545,23.545,23.545,23.545,105,0
2016-04-18,15:35:00,23.584,23.584,23.584,23.584,327,0
2016-04-18,19:45:00,23.639,23.639,23.639,23.639,192,0
2016-04-18,20:10:00,23.633,23.654,23.633,23.654,614,0
2016-04-19,16:45:00,23.779,23.838,23.779,23.828,2045,0
2016-04-19,16:50:00,23.809,23.809,23.809,23.809,156,0
2016-04-19,16:55:00,23.809,23.848,23.809,23.848,1330,0
2016-04-19,17:00:00,23.848,23.848,23.828,23.848,2864,0
2016-04-19,17:05:00,23.848,23.848,23.848,23.848,614,0
2016-04-19,17:30:00,23.838,23.838,23.76,23.76,5727,0
2016-04-19,21:30:00,23.799,23.838,23.789,23.819,13296,0
2016-04-19,22:00:00,23.76,23.76,23.76,23.76,307,0
2016-04-20,16:00:00,23.457,23.457,23.447,23.457,1023,0
2016-04-20,18:50:00,23.507,23.508,23.507,23.508,205,0
2016-04-20,19:50:00,23.574,23.574,23.574,23.574,307,0
2016-04-20,19:55:00,23.652,23.652,23.652,23.652,102,0
2016-04-20,20:25:00,23.682,23.711,23.682,23.711,307,0
2016-04-21,17:15:00,23.476,23.574,23.476,23.574,2250,0
2016-04-21,17:45:00,23.515,23.545,23.506,23.535,3886,0
2016-04-21,18:50:00,23.497,23.515,23.497,23.515,2864,0
2016-04-21,19:55:00,23.476,23.476,23.476,23.476,307,0
2016-04-21,20:05:00,23.437,23.447,23.437,23.447,1432,0
2016-04-21,20:10:00,23.437,23.486,23.437,23.476,1739,0
2016-04-22,21:00:00,23.339,23.339,23.222,23.222,538,0
2016-04-22,21:05:00,23.281,23.281,23.281,23.281,409,0
2016-04-25,19:20:00,23.115,23.115,23.115,23.115,102,0
2016-04-25,21:25:00,22.997,22.997,22.997,22.997,307,0
2016-04-26,21:40:00,23.066,23.075,23.066,23.066,716,0
2016-04-26,21:45:00,23.066,23.066,23.066,23.066,102,0
2016-04-27,15:35:00,22.723,22.723,22.723,22.723,277,0
2016-04-27,18:40:00,22.972,22.972,22.972,22.972,113,0
2016-04-27,21:20:00,23.154,23.222,23.134,23.222,3375,0
2016-04-27,21:25:00,23.261,23.271,23.222,23.232,2761,0
2016-04-27,21:30:00,23.193,23.222,23.193,23.222,511,0
2016-04-27,21:35:00,23.222,23.242,23.222,23.242,603,0
2016-04-28,16:15:00,23.211,23.211,23.211,23.211,205,0
2016-04-28,16:55:00,23.173,23.183,23.173,23.173,409,0
2016-04-28,17:05:00,23.173,23.271,23.173,23.193,5103,0
2016-04-28,17:25:00,23.193,23.251,23.193,23.251,1432,0
2016-04-28,17:30:00,23.242,23.251,23.242,23.242,2864,0
2016-04-28,17:40:00,23.251,23.281,23.242,23.281,3068,0
2016-04-28,21:15:00,23.027,23.134,23.017,23.037,2352,0
2016-04-29,15:35:00,22.596,22.596,22.596,22.596,248,0
2016-04-29,20:15:00,22.645,22.645,22.645,22.645,555,0
2016-04-29,20:35:00,22.622,22.622,22.622,22.622,353,0
2016-04-29,21:35:00,22.743,22.743,22.743,22.743,102,0
2016-04-29,21:50:00,22.802,22.802,22.802,22.802,102,0
2016-05-03,20:35:00,22.262,22.262,22.262,22.262,384,0
2016-05-04,19:15:00,22.13,22.13,22.13,22.13,102,0
2016-05-04,20:50:00,22.004,22.004,22.004,22.004,102,0
2016-05-05,15:35:00,22.225,22.225,22.225,22.225,103,0
2016-05-05,21:30:00,22.089,22.089,22.089,22.089,1074,0
2016-05-05,21:45:00,22.117,22.117,22.117,22.117,102,0
2016-05-05,21:50:00,22.156,22.156,22.156,22.156,205,0
2016-05-05,22:00:00,22.147,22.147,22.147,22.147,135,0
2016-05-06,15:35:00,21.843,21.843,21.843,21.843,1023,0
2016-05-06,15:50:00,22.039,22.059,22.039,22.059,1125,0
2016-05-06,16:50:00,21.892,21.946,21.892,21.946,636,0
2016-05-06,17:35:00,22.01,22.029,22.01,22.029,614,0
2016-05-06,19:15:00,22.029,22.039,22.029,22.029,450,0
2016-05-06,19:40:00,22.039,22.068,22.029,22.059,2864,0
2016-05-10,21:55:00,22.019,22.019,22.019,22.019,102,0
2016-05-10,22:00:00,22.019,22.019,22.019,22.019,102,0
2016-05-11,18:00:00,21.917,21.917,21.917,21.917,307,0
2016-05-11,21:25:00,21.765,21.765,21.697,21.765,4862,0
2016-05-11,21:30:00,21.785,21.785,21.785,21.785,102,0
2016-05-11,21:45:00,21.775,21.775,21.775,21.775,102,0
2016-05-12,16:10:00,21.755,21.755,21.726,21.755,1074,0
2016-05-12,19:15:00,21.641,21.641,21.641,21.641,102,0
2016-05-13,17:25:00,21.452,21.452,21.423,21.452,3067,0
2016-05-13,17:35:00,21.482,21.482,21.472,21.477,3068,0
2016-05-13,17:55:00,21.52,21.52,21.52,21.52,165,0
2016-05-13,19:45:00,21.345,21.355,21.345,21.355,205,0
2016-05-13,21:20:00,21.306,21.306,21.306,21.306,3252,0
2016-05-13,21:25:00,21.325,21.325,21.325,21.325,307,0
2016-05-13,21:40:00,21.325,21.335,21.315,21.315,1739,0
2016-05-13,22:00:00,21.306,21.306,21.306,21.306,908,0
2016-05-16,16:50:00,21.755,21.853,21.746,21.785,3886,0
2016-05-16,16:55:00,21.804,21.824,21.804,21.824,3682,0
2016-05-16,17:55:00,21.853,21.912,21.853,21.912,2250,0
2016-05-16,19:40:00,21.834,21.834,21.834,21.834,818,0
2016-05-16,20:10:00,21.892,21.941,21.892,21.941,2455,0
2016-05-17,15:35:00,21.892,21.892,21.892,21.892,102,0
2016-05-17,20:40:00,21.765,21.765,21.747,21.747,1125,0
2016-05-18,17:55:00,21.834,21.834,21.824,21.824,205,0
2016-05-18,18:00:00,21.824,21.843,21.824,21.843,2455,0
2016-05-18,19:45:00,21.824,21.824,21.824,21.824,1023,0
2016-05-18,19:55:00,21.838,21.853,21.838,21.853,637,0
2016-05-19,16:50:00,21.536,21.536,21.536,21.536,205,0
2016-05-19,18:05:00,21.443,21.462,21.443,21.462,205,0
2016-05-20,17:20:00,21.746,21.795,21.746,21.785,2250,0
2016-05-20,17:25:00,21.785,21.785,21.785,21.785,205,0
2016-05-23,19:50:00,21.732,21.764,21.672,21.672,511,0
2016-05-23,20:15:00,21.677,21.677,21.677,21.677,307,0
2016-05-23,21:50:00,21.658,21.667,21.658,21.667,205,0
2016-05-24,15:35:00,21.775,21.775,21.775,21.775,143,0
2016-05-24,18:05:00,22.105,22.105,22.105,22.105,246,0
2016-05-24,18:10:00,22.059,22.06,22.059,22.06,358,0
2016-05-24,19:00:00,22.143,22.143,22.143,22.143,205,0
2016-05-24,19:10:00,22.125,22.125,22.125,22.125,102,0
2016-05-24,20:50:00,22.186,22.195,22.186,22.195,1432,0
2016-05-24,20:55:00,22.195,22.205,22.195,22.195,1330,0
2016-05-25,16:00:00,22.246,22.246,22.246,22.246,153,0
2016-05-25,19:05:00,22.254,22.313,22.254,22.278,716,0
2016-05-25,20:40:00,22.225,22.225,22.225,22.225,134,0
2016-05-26,17:50:00,22.235,22.235,22.235,22.235,102,0
2016-05-26,18:05:00,22.244,22.264,22.244,22.264,1432,0
