Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,40,40,39.145,39.78,3457,0
2017-03-30,15:40:00,39.77,40,39.77,39.94,4325,0
2017-03-30,15:45:00,39.9491,39.97,39.83,39.83,2000,0
2017-03-30,15:50:00,39.83,39.91,39.83,39.91,900,0
2017-03-30,15:55:00,39.91,39.91,39.59,39.68,2213,0
2017-03-30,16:00:00,39.68,39.75,39.585,39.68,3900,0
2017-03-30,16:05:00,39.69,39.735,39.6894,39.715,1900,0
2017-03-30,16:10:00,39.74,39.78,39.71,39.755,2800,0
2017-03-30,16:15:00,39.755,39.78,39.745,39.755,1800,0
2017-03-30,16:20:00,39.755,39.9,39.755,39.83,14600,0
2017-03-30,16:25:00,39.79,39.9,39.76,39.85,3500,0
2017-03-30,16:30:00,39.85,39.85,39.845,39.85,800,0
2017-03-30,16:35:00,39.85,39.88,39.82,39.855,1900,0
2017-03-30,16:40:00,39.8,39.99,39.8,39.99,5230,0
2017-03-30,16:45:00,39.99,40.16,39.94,39.99,28585,0
2017-03-30,16:50:00,40,40.1,39.8501,39.8501,1100,0
2017-03-30,16:55:00,40.03,40.12,39.91,40.01,7700,0
2017-03-30,17:00:00,40,40.19,39.9901,40,10973,0
2017-03-30,17:05:00,39.99,40.13,39.99,39.99,6700,0
2017-03-30,17:10:00,40,40.15,39.99,40.02,7100,0
2017-03-30,17:15:00,40,40.01,39.9,39.9,3786,0
2017-03-30,17:20:00,39.9,40.1,39.9,39.94,4500,0
2017-03-30,17:25:00,40.04,40.04,39.95,39.98,1600,0
2017-03-30,17:30:00,40.03,40.04,39.91,39.91,3800,0
2017-03-30,17:35:00,39.91,39.982,39.91,39.94,1800,0
2017-03-30,17:40:00,39.95,40,39.95,39.99,1400,0
2017-03-30,17:45:00,40,40,39.993,40,800,0
2017-03-30,17:50:00,40.03,40.03,40,40,3400,0
2017-03-30,17:55:00,40.02,40.03,39.99,40,5600,0
2017-03-30,18:00:00,40.01,40.01,40,40,3200,0
2017-03-30,18:05:00,40,40.01,40,40,1700,0
2017-03-30,18:10:00,40,40.01,39.99,40,24700,0
2017-03-30,18:15:00,40.01,40.01,40,40.01,13200,0
2017-03-30,18:20:00,40.03,40.0915,40.03,40.05,2762,0
2017-03-30,18:25:00,40.05,40.1,40.02,40.06,2710,0
2017-03-30,18:30:00,40.05,40.1,40.03,40.05,1849,0
2017-03-30,18:35:00,40.04,40.0601,40.04,40.04,1020,0
2017-03-30,18:40:00,40.08,40.1,40.04,40.0402,3900,0
2017-03-30,18:45:00,40.04,40.05,39.995,40,4100,0
2017-03-30,18:50:00,40.01,40.024,39.99,40,6800,0
2017-03-30,18:55:00,40.031,40.031,40,40,3300,0
2017-03-30,19:00:00,40,40.006,39.98,40.006,3500,0
2017-03-30,19:05:00,40.01,40.02,39.99,39.99,3300,0
2017-03-30,19:10:00,40,40.01,40,40.01,2600,0
2017-03-30,19:15:00,40,40.01,40,40,1500,0
2017-03-30,19:20:00,40.01,40.01,39.985,39.985,1700,0
2017-03-30,19:25:00,39.985,40.01,39.985,40,700,0
2017-03-30,19:30:00,40.01,40.01,39.998,40,700,0
2017-03-30,19:35:00,40,40,39.999,39.999,1300,0
2017-03-30,19:40:00,40,40.01,39.85,39.85,6600,0
2017-03-30,19:45:00,39.955,39.955,39.955,39.955,100,0
2017-03-30,19:50:00,39.955,39.99,39.93,39.99,800,0
2017-03-30,19:55:00,40,40.01,39.99,39.99,400,0
2017-03-30,20:00:00,40.01,40.01,40,40,800,0
2017-03-30,20:05:00,40.01,40.01,39.98,39.98,1500,0
2017-03-30,20:10:00,40,40.01,40,40,400,0
2017-03-30,20:15:00,40,40.01,40,40,600,0
2017-03-30,20:20:00,40,40.01,40,40,41000,0
2017-03-30,20:25:00,40,40.01,39.99,40,29292,0
2017-03-30,20:30:00,40.01,40.15,40,40.15,4350,0
2017-03-30,20:35:00,40.15,40.15,40.112,40.15,740,0
2017-03-30,20:40:00,40.2,40.34,40.2,40.2495,7762,0
2017-03-30,20:45:00,40.27,40.35,40.27,40.35,1110,0
2017-03-30,20:50:00,40.35,40.35,40.3243,40.33,600,0
2017-03-30,20:55:00,40.35,40.92,40.34,40.9,3800,0
2017-03-30,21:00:00,40.745,40.76,40.52,40.749,2000,0
2017-03-30,21:05:00,40.739,40.739,40.65,40.7,6425,0
2017-03-30,21:10:00,40.79,40.8,40.7,40.75,7734,0
2017-03-30,21:15:00,40.8,40.8482,40.6,40.6,1514,0
2017-03-30,21:20:00,40.7881,40.7881,40.02,40.02,5980,0
2017-03-30,21:25:00,40,40.25,39.99,40,8000,0
2017-03-30,21:30:00,40,40.069,39.99,40.01,19633,0
2017-03-30,21:35:00,40,40.09,39.97,39.9827,7400,0
2017-03-30,21:40:00,40,40,40,40,500,0
2017-03-30,21:45:00,40.06,40.11,40,40,10749,0
2017-03-30,21:50:00,40.03,40.19,40.02,40.07,1800,0
2017-03-30,21:55:00,40.1,40.13,40,40,21683,0
2017-03-30,22:00:00,40,40.03,39.88,40,24607,0
2017-03-31,15:35:00,40,40,39.5703,39.75,1475,0
2017-03-31,15:40:00,39.79,39.99,39.5949,39.84,3300,0
2017-03-31,15:50:00,39.85,40,39.74,39.9,2500,0
2017-03-31,16:00:00,39.6394,39.87,39.59,39.87,1400,0
2017-03-31,16:05:00,39.79,39.87,39.67,39.75,1600,0
2017-03-31,16:10:00,39.69,39.8,39.68,39.8,3100,0
2017-03-31,16:20:00,39.83,39.8703,39.83,39.8703,600,0
2017-03-31,16:30:00,39.87,39.96,39.85,39.96,2400,0
2017-03-31,16:35:00,39.95,39.97,39.95,39.97,300,0
2017-03-31,16:40:00,39.99,40.05,39.9531,40,5500,0
2017-03-31,16:45:00,40,40,39.97,40,1500,0
2017-03-31,17:00:00,39.92,39.98,39.9,39.98,400,0
2017-03-31,17:05:00,39.9101,39.97,39.9101,39.97,300,0
2017-03-31,17:10:00,39.97,40,39.955,39.99,17800,0
2017-03-31,17:15:00,39.96,40,39.96,40,1400,0
2017-03-31,17:20:00,40,40,39.98,39.98,4300,0
2017-03-31,17:25:00,39.97,40,39.97,40,800,0
2017-03-31,17:30:00,40,40,39.975,39.98,1400,0
2017-03-31,17:35:00,39.9204,39.99,39.92,39.99,1800,0
2017-03-31,17:45:00,39.945,39.945,39.945,39.945,100,0
2017-03-31,17:50:00,39.99,39.99,39.95,39.95,2200,0
2017-03-31,17:55:00,39.98,40.03,39.97,40,3400,0
2017-03-31,18:00:00,39.99,40,39.99,40,1500,0
2017-03-31,18:05:00,39.95,39.975,39.95,39.975,200,0
2017-03-31,18:10:00,39.99,40,39.99,40,1100,0
2017-03-31,18:20:00,40,40,40,40,100,0
2017-03-31,18:25:00,40,40.05,40,40,2400,0
2017-03-31,18:30:00,39.995,40.02,39.995,40.02,400,0
2017-03-31,18:40:00,39.97,40.05,39.97,40.05,3000,0
2017-03-31,18:45:00,40.03,40.045,39.98,39.98,1700,0
2017-03-31,18:50:00,39.97,40,39.95,39.95,900,0
2017-03-31,18:55:00,39.95,39.95,39.95,39.95,100,0
2017-03-31,19:00:00,39.99,39.99,39.99,39.99,200,0
2017-03-31,19:05:00,39.95,39.95,39.95,39.95,400,0
2017-03-31,19:15:00,39.95,39.96,39.95,39.95,1000,0
2017-03-31,19:25:00,39.98,40,39.98,39.98,600,0
2017-03-31,19:30:00,39.95,39.97,39.95,39.97,300,0
2017-03-31,19:35:00,39.96,39.98,39.96,39.98,300,0
2017-03-31,19:40:00,39.95,39.95,39.95,39.95,100,0
2017-03-31,19:45:00,39.93,39.965,39.93,39.965,200,0
2017-03-31,19:50:00,39.95,39.99,39.95,39.975,500,0
2017-03-31,19:55:00,39.97,39.975,39.95,39.97,600,0
2017-03-31,20:00:00,39.95,39.975,39.95,39.975,500,0
2017-03-31,20:05:00,39.95,39.99,39.95,39.965,1500,0
2017-03-31,20:10:00,39.96,39.98,39.96,39.98,300,0
2017-03-31,20:15:00,39.96,39.98,39.96,39.96,300,0
2017-03-31,20:20:00,39.97,39.97,39.97,39.97,500,0
2017-03-31,20:25:00,39.97,39.97,39.97,39.97,100,0
2017-03-31,20:30:00,39.97,39.98,39.93,39.93,1500,0
2017-03-31,20:40:00,39.95,39.97,39.9475,39.97,600,0
2017-03-31,20:45:00,39.96,40,39.95,39.95,1500,0
2017-03-31,20:50:00,39.93,39.945,39.93,39.945,300,0
2017-03-31,20:55:00,39.94,40,39.94,40,700,0
2017-03-31,21:00:00,39.96,39.96,39.95,39.95,1700,0
2017-03-31,21:05:00,39.93,39.95,39.93,39.95,500,0
2017-03-31,21:10:00,39.96,39.96,39.93,39.93,400,0
2017-03-31,21:15:00,39.93,39.95,39.93,39.95,800,0
2017-03-31,21:20:00,39.95,40,39.86,39.9994,4077,0
2017-03-31,21:25:00,39.92,39.97,39.92,39.97,300,0
2017-03-31,21:30:00,39.94,39.94,39.92,39.92,400,0
2017-03-31,21:35:00,39.92,39.95,39.88,39.88,3100,0
2017-03-31,21:40:00,39.88,39.88,39.88,39.88,100,0
2017-03-31,21:45:00,39.9,39.9,39.9,39.9,200,0
2017-03-31,21:50:00,39.885,39.885,39.88,39.88,713,0
2017-03-31,21:55:00,39.88,39.88,39.78,39.86,7769,0
2017-03-31,22:00:00,39.86,39.915,39.85,39.86,9591,0
2017-04-03,15:35:00,39.9,39.9,39.9,39.9,2110,0
2017-04-03,15:40:00,39.9,39.97,39.9,39.945,1810,0
2017-04-03,15:45:00,39.94,39.98,39.9,39.9,1000,0
2017-04-03,15:50:00,39.9,39.9003,39.9,39.9003,300,0
2017-04-03,15:55:00,39.9,39.91,39.9,39.9,2402,0
2017-04-03,16:00:00,39.9,39.91,39.9,39.91,792,0
2017-04-03,16:05:00,39.9,39.96,39.9,39.96,3322,0
2017-04-03,16:10:00,40,40,40,40,600,0
2017-04-03,16:15:00,40.03,40.03,39.98,40,2000,0
2017-04-03,16:25:00,39.97,39.99,39.955,39.955,500,0
2017-04-03,16:35:00,40,40,39.91,39.91,2300,0
2017-04-03,16:40:00,39.94,39.94,39.94,39.94,100,0
2017-04-03,16:45:00,39.97,39.97,39.97,39.97,300,0
2017-04-03,16:50:00,39.93,39.93,39.91,39.91,4269,0
2017-04-03,16:55:00,39.88,39.89,39.67,39.73,5800,0
2017-04-03,17:00:00,39.76,39.77,39.72,39.72,300,0
2017-04-03,17:05:00,39.7201,39.75,39.7201,39.75,900,0
2017-04-03,17:10:00,39.79,39.79,39.79,39.79,200,0
2017-04-03,17:15:00,39.76,39.76,39.76,39.76,100,0
2017-04-03,17:25:00,39.78,39.781,39.69,39.69,2550,0
2017-04-03,17:30:00,39.66,39.6664,39.66,39.66,1895,0
2017-04-03,17:35:00,39.66,39.66,39.66,39.66,1000,0
2017-04-03,17:40:00,39.66,39.66,39.66,39.66,500,0
2017-04-03,17:50:00,39.66,39.66,39.66,39.66,300,0
2017-04-03,17:55:00,39.66,39.66,39.5,39.5,1300,0
2017-04-03,18:00:00,39.49,39.49,39.29,39.29,1700,0
2017-04-03,18:05:00,39.3473,39.36,39.29,39.36,800,0
2017-04-03,18:10:00,39.295,39.34,39.295,39.34,200,0
2017-04-03,18:15:00,39.35,39.41,39.35,39.41,3100,0
2017-04-03,18:20:00,39.51,39.58,39.51,39.57,3300,0
2017-04-03,18:25:00,39.55,39.55,39.51,39.52,2300,0
2017-04-03,18:30:00,39.63,39.75,39.63,39.69,1300,0
2017-04-03,18:35:00,39.68,39.73,39.68,39.68,1200,0
2017-04-03,18:40:00,39.69,39.69,39.65,39.67,900,0
2017-04-03,18:45:00,39.65,39.65,39.65,39.65,2200,0
2017-04-03,18:55:00,39.66,39.66,39.65,39.65,400,0
2017-04-03,19:00:00,39.65,39.65,39.65,39.65,100,0
2017-04-03,19:05:00,39.65,39.65,39.65,39.65,400,0
2017-04-03,19:10:00,39.65,39.65,39.61,39.61,500,0
2017-04-03,19:15:00,39.62,39.62,39.59,39.59,1860,0
2017-04-03,19:20:00,39.6,39.6,39.51,39.52,1100,0
2017-04-03,19:25:00,39.5,39.52,39.39,39.41,5200,0
2017-04-03,19:30:00,39.4,39.4,39.4,39.4,970,0
2017-04-03,19:35:00,39.4,39.59,39.4,39.59,450,0
2017-04-03,19:40:00,39.65,39.65,39.61,39.61,200,0
2017-04-03,19:50:00,39.53,39.53,39.53,39.53,300,0
2017-04-03,19:55:00,39.64,39.65,39.51,39.63,900,0
2017-04-03,20:00:00,39.54,39.54,39.54,39.54,900,0
2017-04-03,20:10:00,39.59,39.6,39.59,39.6,810,0
2017-04-03,20:15:00,39.61,39.61,39.61,39.61,500,0
2017-04-03,20:30:00,39.61,39.63,39.61,39.63,300,0
2017-04-03,20:35:00,39.63,39.64,39.63,39.64,400,0
2017-04-03,20:40:00,39.64,39.64,39.64,39.64,100,0
2017-04-03,20:45:00,39.67,39.67,39.65,39.65,300,0
2017-04-03,20:50:00,39.66,39.66,39.66,39.66,200,0
2017-04-03,20:55:00,39.64,39.64,39.64,39.64,100,0
2017-04-03,21:00:00,39.66,39.66,39.66,39.66,200,0
2017-04-03,21:05:00,39.65,39.6799,39.6395,39.6395,301,0
2017-04-03,21:10:00,39.66,39.66,39.66,39.66,100,0
2017-04-03,21:15:00,39.66,39.67,39.66,39.67,400,0
2017-04-03,21:25:00,39.61,39.62,39.6,39.6,2200,0
2017-04-03,21:30:00,39.61,39.64,39.59,39.6,2100,0
2017-04-03,21:35:00,39.6,39.6,39.6,39.6,700,0
2017-04-03,21:40:00,39.6,39.61,39.6,39.61,1000,0
2017-04-03,21:45:00,39.61,39.61,39.61,39.61,500,0
2017-04-03,21:50:00,39.62,39.62,39.61,39.61,1000,0
2017-04-03,21:55:00,39.61,39.61,39.55,39.55,1100,0
2017-04-03,22:00:00,39.56,39.85,39.5,39.69,16675,0
2017-04-04,15:35:00,39.4,39.4601,39.4,39.45,1589,0
2017-04-04,15:40:00,39.91,39.91,39.91,39.91,100,0
2017-04-04,16:10:00,39.63,39.63,39.41,39.43,1844,0
2017-04-04,16:25:00,39.67,39.67,39.67,39.67,1000,0
2017-04-04,16:30:00,39.58,39.59,39.5172,39.59,700,0
2017-04-04,16:35:00,39.51,39.52,39.51,39.52,600,0
2017-04-04,16:40:00,39.56,39.75,39.56,39.75,1500,0
2017-04-04,16:45:00,39.6013,39.6013,39.6013,39.6013,150,0
2017-04-04,17:05:00,39.66,39.66,39.59,39.59,600,0
2017-04-04,17:10:00,39.82,39.82,39.82,39.82,100,0
2017-04-04,17:20:00,39.75,39.76,39.75,39.76,300,0
2017-04-04,17:30:00,39.72,39.72,39.72,39.72,100,0
2017-04-04,17:35:00,39.66,39.69,39.66,39.69,700,0
2017-04-04,17:55:00,39.88,39.88,39.88,39.88,100,0
2017-04-04,18:35:00,39.81,39.81,39.74,39.74,200,0
2017-04-04,19:05:00,39.89,39.89,39.69,39.69,400,0
2017-04-04,19:10:00,39.6615,39.6615,39.6615,39.6615,161,0
2017-04-04,19:20:00,39.79,39.8,39.71,39.71,1000,0
2017-04-04,19:35:00,39.77,39.77,39.77,39.77,100,0
2017-04-04,19:50:00,39.77,39.78,39.72,39.72,3065,0
2017-04-04,20:00:00,39.83,39.83,39.83,39.83,100,0
2017-04-04,20:05:00,39.6289,39.82,39.6289,39.79,1025,0
2017-04-04,20:10:00,39.71,39.71,39.71,39.71,100,0
2017-04-04,20:20:00,39.71,39.71,39.71,39.71,100,0
2017-04-04,20:30:00,39.735,39.735,39.735,39.735,200,0
2017-04-04,20:35:00,39.78,39.83,39.78,39.83,200,0
2017-04-04,20:40:00,39.72,39.83,39.72,39.83,300,0
2017-04-04,20:45:00,39.85,39.85,39.85,39.85,300,0
2017-04-04,20:50:00,39.8203,39.8203,39.8203,39.8203,150,0
2017-04-04,20:55:00,39.78,39.78,39.76,39.76,900,0
2017-04-04,21:30:00,39.85,39.85,39.805,39.805,300,0
2017-04-04,21:35:00,39.82,39.82,39.69,39.77,2100,0
2017-04-04,21:40:00,39.67,39.67,39.67,39.67,100,0
2017-04-04,21:45:00,39.72,39.74,39.695,39.74,1000,0
2017-04-04,21:50:00,39.75,39.8,39.65,39.71,14327,0
2017-04-04,21:55:00,39.74,39.77,39.71,39.75,1140,0
2017-04-04,22:00:00,39.75,39.85,39.71,39.77,5540,0
2017-04-05,15:35:00,39.7,39.87,39.44,39.7,35226,0
2017-04-05,15:40:00,39.85,39.85,39.85,39.85,100,0
2017-04-05,15:50:00,39.53,39.84,39.47,39.84,1185,0
2017-04-05,16:10:00,39.81,39.9,39.67,39.81,5289,0
2017-04-05,16:15:00,39.84,39.91,39.76,39.76,8500,0
2017-04-05,16:25:00,39.8036,39.8036,39.73,39.73,600,0
2017-04-05,16:30:00,39.82,39.87,39.75,39.87,1008,0
2017-04-05,16:35:00,39.75,39.75,39.75,39.75,100,0
2017-04-05,16:40:00,39.7,39.75,39.55,39.75,1200,0
2017-04-05,16:45:00,39.74,39.75,39.74,39.75,200,0
2017-04-05,16:55:00,39.56,39.56,39.54,39.54,300,0
2017-04-05,17:00:00,39.53,39.53,39.53,39.53,300,0
2017-04-05,17:05:00,39.61,39.61,39.61,39.61,100,0
2017-04-05,17:10:00,39.52,39.5393,39.52,39.5393,404,0
2017-04-05,17:20:00,39.55,39.5593,39.5,39.5,749,0
2017-04-05,17:30:00,39.56,39.56,39.49,39.49,300,0
2017-04-05,17:35:00,39.45,39.45,39.41,39.41,200,0
2017-04-05,17:40:00,39.4,39.47,39.25,39.29,3177,0
2017-04-05,17:45:00,39.23,39.23,39.19,39.21,300,0
2017-04-05,17:50:00,39.19,39.19,39.19,39.19,100,0
2017-04-05,17:55:00,39.2099,39.2099,39.2099,39.2099,100,0
2017-04-05,18:00:00,39.13,39.13,39.1,39.1,400,0
2017-04-05,18:05:00,39.026,39.026,39.026,39.026,500,0
2017-04-05,18:20:00,39.0542,39.0542,39,39,730,0
2017-04-05,18:25:00,39.005,39.005,38.95,38.96,1800,0
2017-04-05,18:30:00,38.87,38.87,38.79,38.79,400,0
2017-04-05,18:35:00,38.79,38.798,38.79,38.798,200,0
2017-04-05,18:40:00,38.7107,38.7107,38.7107,38.7107,110,0
2017-04-05,18:45:00,38.71,38.71,38.59,38.59,420,0
2017-04-05,18:55:00,38.63,38.63,38.568,38.568,250,0
2017-04-05,19:00:00,38.52,38.5491,38.52,38.5491,350,0
2017-04-05,19:15:00,38.54,38.54,38.52,38.52,200,0
2017-04-05,19:30:00,38.52,38.52,38.4,38.4,876,0
2017-04-05,19:45:00,38.31,38.46,38.31,38.46,800,0
2017-04-05,19:55:00,38.69,38.7,38.55,38.55,4100,0
2017-04-05,20:00:00,38.86,38.86,38.86,38.86,100,0
2017-04-05,20:05:00,38.59,39.09,38.5101,38.5101,950,0
2017-04-05,20:10:00,39.02,39.02,38.98,38.98,200,0
2017-04-05,20:15:00,38.67,38.87,38.67,38.77,500,0
2017-04-05,20:20:00,38.75,38.77,38.69,38.69,2000,0
2017-04-05,20:25:00,38.69,38.69,38.67,38.67,400,0
2017-04-05,20:30:00,38.64,38.98,38.64,38.98,400,0
2017-04-05,20:35:00,39.1,39.1,39.1,39.1,100,0
2017-04-05,20:45:00,38.85,38.85,38.85,38.85,400,0
2017-04-05,20:55:00,38.96,39.0769,38.82,39.03,618,0
2017-04-05,21:00:00,38.86,38.93,38.81,38.84,1500,0
2017-04-05,21:05:00,38.87,39.04,38.81,39.04,2340,0
2017-04-05,21:15:00,38.93,38.96,38.93,38.96,800,0
2017-04-05,21:20:00,39.03,39.07,38.94,38.95,600,0
2017-04-05,21:25:00,38.94,38.94,38.72,38.85,2200,0
2017-04-05,21:30:00,38.8673,38.8673,38.78,38.78,300,0
2017-04-05,21:35:00,38.8382,38.8382,38.76,38.76,900,0
2017-04-05,21:40:00,38.71,38.84,38.625,38.75,1426,0
2017-04-05,21:45:00,38.79,39.25,38.79,39.25,9672,0
2017-04-05,21:50:00,39.27,39.43,39.25,39.36,4642,0
2017-04-05,21:55:00,39.36,39.51,39.36,39.44,9676,0
2017-04-05,22:00:00,39.56,39.765,39.47,39.47,8965,0
2017-04-06,15:35:00,39.77,39.77,39.51,39.74,1984,0
2017-04-06,15:45:00,39.58,39.58,39.33,39.33,600,0
2017-04-06,15:50:00,39.33,39.56,39.28,39.56,300,0
2017-04-06,16:00:00,39.33,39.35,39.29,39.29,400,0
2017-04-06,16:05:00,39.48,39.48,39.31,39.31,200,0
2017-04-06,16:10:00,39.29,39.29,39.29,39.29,100,0
2017-04-06,16:25:00,39.27,39.3,39.17,39.17,3400,0
2017-04-06,16:30:00,39.22,39.22,39.22,39.22,600,0
2017-04-06,16:35:00,39.25,39.25,39.25,39.25,100,0
2017-04-06,16:40:00,39.22,39.22,39.22,39.22,600,0
2017-04-06,16:45:00,39.22,39.22,39.13,39.13,600,0
2017-04-06,16:50:00,39.2,39.27,39.2,39.21,1500,0
2017-04-06,16:55:00,39.21,39.21,39.21,39.21,100,0
2017-04-06,17:00:00,39.21,39.21,39.21,39.21,100,0
2017-04-06,17:05:00,39.15,39.24,39.11,39.11,1900,0
2017-04-06,17:10:00,39.13,39.13,39.07,39.07,2441,0
2017-04-06,17:15:00,39.07,39.07,39.07,39.07,1800,0
2017-04-06,17:20:00,39.07,39.11,39.07,39.11,3860,0
2017-04-06,17:25:00,39.13,39.13,39.07,39.07,600,0
2017-04-06,17:35:00,39.15,39.15,39.15,39.15,100,0
2017-04-06,17:45:00,39.13,39.2,39.13,39.15,900,0
2017-04-06,17:50:00,39.17,39.17,39.17,39.17,300,0
2017-04-06,17:55:00,39.11,39.27,39.11,39.27,900,0
2017-04-06,18:00:00,39.2,39.33,39.2,39.33,200,0
2017-04-06,18:05:00,39.21,39.36,39.21,39.36,200,0
2017-04-06,18:20:00,39.36,39.36,39.26,39.26,900,0
2017-04-06,18:25:00,39.3599,39.36,39.27,39.27,1000,0
2017-04-06,18:30:00,39.37,39.54,39.37,39.53,1100,0
2017-04-06,18:35:00,39.39,39.55,39.38,39.4,600,0
2017-04-06,18:55:00,39.405,39.405,39.405,39.405,100,0
2017-04-06,19:00:00,39.4399,39.4399,39.335,39.335,200,0
2017-04-06,19:05:00,39.37,39.37,39.13,39.17,1521,0
2017-04-06,19:15:00,39.25,39.25,39.25,39.25,200,0
2017-04-06,19:20:00,39.15,39.22,39.1,39.22,300,0
2017-04-06,19:30:00,39.22,39.23,39.21,39.23,1000,0
2017-04-06,19:35:00,39.22,39.22,39.22,39.22,300,0
2017-04-06,19:40:00,39.22,39.3,39.11,39.11,2300,0
2017-04-06,19:45:00,39.1,39.1,39.1,39.1,100,0
2017-04-06,19:50:00,39.1,39.1,39.1,39.1,100,0
2017-04-06,20:00:00,39.15,39.15,39.08,39.08,300,0
2017-04-06,20:05:00,39.08,39.15,39.08,39.08,300,0
2017-04-06,20:15:00,39.03,39.03,39.03,39.03,100,0
2017-04-06,20:25:00,39.01,39.01,38.91,38.91,900,0
2017-04-06,20:35:00,38.96,38.96,38.96,38.96,200,0
2017-04-06,20:40:00,38.97,38.97,38.97,38.97,200,0
2017-04-06,20:45:00,38.97,38.97,38.97,38.97,100,0
2017-04-06,20:50:00,38.97,38.97,38.97,38.97,200,0
2017-04-06,21:05:00,38.98,38.99,38.97,38.97,300,0
2017-04-06,21:10:00,38.97,38.97,38.92,38.97,930,0
2017-04-06,21:25:00,38.99,38.99,38.99,38.99,200,0
