Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,45.32,45.578,45.2,45.33,54945,0
2017-04-10,15:40:00,45.43,46.1,45.34,45.6125,41080,0
2017-04-10,15:45:00,45.641,45.73,45.2,45.32,19016,0
2017-04-10,15:50:00,45.3,45.7366,45.2,45.6,27209,0
2017-04-10,15:55:00,45.6,45.655,45.46,45.52,26032,0
2017-04-10,16:00:00,45.48,45.76,45.2601,45.335,25672,0
2017-04-10,16:05:00,45.43,45.455,45,45.06,27255,0
2017-04-10,16:10:00,45.02,45.055,44.8,44.93,31704,0
2017-04-10,16:15:00,44.94,45.23,44.94,45.14,35947,0
2017-04-10,16:20:00,45.1518,45.16,44.91,45.09,7287,0
2017-04-10,16:25:00,45.09,45.09,44.9101,44.9101,8374,0
2017-04-10,16:30:00,44.92,44.92,44.7463,44.7852,16285,0
2017-04-10,16:35:00,44.77,45.04,44.7101,44.97,35037,0
2017-04-10,16:40:00,44.98,45.01,44.77,44.771,12389,0
2017-04-10,16:45:00,44.77,45.01,44.71,44.9605,10216,0
2017-04-10,16:50:00,45,45,44.8,44.84,13571,0
2017-04-10,16:55:00,44.79,44.92,44.7,44.88,18594,0
2017-04-10,17:00:00,44.87,44.87,44.44,44.44,32439,0
2017-04-10,17:05:00,44.4327,44.44,44.3,44.35,18907,0
2017-04-10,17:10:00,44.3972,44.65,44.3508,44.6076,18818,0
2017-04-10,17:15:00,44.5728,44.83,44.5728,44.8137,15880,0
2017-04-10,17:20:00,44.81,44.9004,44.7981,44.7981,5660,0
2017-04-10,17:25:00,44.79,44.824,44.62,44.639,3100,0
2017-04-10,17:30:00,44.63,44.7,44.5,44.58,21591,0
2017-04-10,17:35:00,44.56,44.58,44.37,44.37,16921,0
2017-04-10,17:40:00,44.36,44.3804,44.1,44.132,24865,0
2017-04-10,17:45:00,44.1588,44.1588,43.7,43.95,64268,0
2017-04-10,17:50:00,43.9332,43.96,43.79,43.91,20698,0
2017-04-10,17:55:00,43.9,44.28,43.7,44.01,32136,0
2017-04-10,18:00:00,44.0869,44.1299,43.93,44.0629,13015,0
2017-04-10,18:05:00,44.07,44.1393,43.9,44.08,14480,0
2017-04-10,18:10:00,44.12,44.21,44,44.12,11887,0
2017-04-10,18:15:00,44.071,44.15,43.98,44.02,13711,0
2017-04-10,18:20:00,44.02,44.08,43.98,43.99,7445,0
2017-04-10,18:25:00,43.99,43.99,43.82,43.82,20868,0
2017-04-10,18:30:00,43.82,43.98,43.775,43.9625,10233,0
2017-04-10,18:35:00,43.96,44.0201,43.88,44.0201,5632,0
2017-04-10,18:40:00,44.0247,44.21,44.0247,44.21,14235,0
2017-04-10,18:45:00,44.2246,44.45,44.17,44.3305,12259,0
2017-04-10,18:50:00,44.33,44.33,44.19,44.2506,4303,0
2017-04-10,18:55:00,44.2606,44.3734,44.24,44.3,6514,0
2017-04-10,19:00:00,44.29,44.35,44.21,44.29,6760,0
2017-04-10,19:05:00,44.29,44.29,44.22,44.25,3631,0
2017-04-10,19:10:00,44.22,44.31,44.1634,44.1865,8008,0
2017-04-10,19:15:00,44.21,44.21,44.14,44.19,7578,0
2017-04-10,19:20:00,44.14,44.14,44.0443,44.065,3053,0
2017-04-10,19:25:00,44.06,44.06,43.8601,43.89,12676,0
2017-04-10,19:30:00,43.91,43.92,43.86,43.89,2800,0
2017-04-10,19:35:00,43.89,43.9351,43.8601,43.9351,7611,0
2017-04-10,19:40:00,43.9273,44.07,43.9273,44.0427,5264,0
2017-04-10,19:45:00,44.05,44.15,44.0391,44.04,6895,0
2017-04-10,19:50:00,44,44.0079,43.931,43.97,10958,0
2017-04-10,19:55:00,43.95,44.01,43.95,43.998,1600,0
2017-04-10,20:00:00,44.0236,44.1136,44.0236,44.0806,5200,0
2017-04-10,20:05:00,44.05,44.06,43.93,43.97,6280,0
2017-04-10,20:10:00,43.97,44.1,43.96,44.07,12631,0
2017-04-10,20:15:00,44.0903,44.4399,44.05,44.435,15728,0
2017-04-10,20:20:00,44.4047,44.5,44.32,44.32,4880,0
2017-04-10,20:25:00,44.2581,44.2967,44.18,44.186,2813,0
2017-04-10,20:30:00,44.2,44.23,44.1783,44.2,2182,0
2017-04-10,20:35:00,44.22,44.29,44.2,44.2595,5810,0
2017-04-10,20:40:00,44.2353,44.25,44.1892,44.1892,2082,0
2017-04-10,20:45:00,44.1794,44.22,44.1465,44.19,2965,0
2017-04-10,20:50:00,44.1841,44.21,44.17,44.2096,7127,0
2017-04-10,20:55:00,44.2,44.2,44.16,44.2,6890,0
2017-04-10,21:00:00,44.19,44.2234,44.16,44.2234,3900,0
2017-04-10,21:05:00,44.2,44.37,44.2,44.32,8200,0
2017-04-10,21:10:00,44.33,44.3899,44.295,44.295,7909,0
2017-04-10,21:15:00,44.31,44.4,44.27,44.39,5360,0
2017-04-10,21:20:00,44.36,44.56,44.36,44.52,12448,0
2017-04-10,21:25:00,44.505,44.505,44.23,44.28,8381,0
2017-04-10,21:30:00,44.284,44.284,44.19,44.2275,6913,0
2017-04-10,21:35:00,44.22,44.25,44.07,44.1148,10624,0
2017-04-10,21:40:00,44.09,44.24,44.04,44.2,9550,0
2017-04-10,21:45:00,44.21,44.29,44.2,44.235,17785,0
2017-04-10,21:50:00,44.235,44.4499,44.21,44.4,33083,0
2017-04-10,21:55:00,44.395,44.54,44.395,44.45,31673,0
2017-04-10,22:00:00,44.44,44.475,44.39,44.46,101047,0
2017-04-11,15:35:00,44.43,44.7,44.21,44.53,39082,0
2017-04-11,15:40:00,44.69,44.69,43.35,43.6044,47164,0
2017-04-11,15:45:00,43.7228,43.7228,43.1,43.21,46902,0
2017-04-11,15:50:00,43.22,44.14,43.22,43.895,50536,0
2017-04-11,15:55:00,43.8762,44.37,43.8138,44.24,18175,0
2017-04-11,16:00:00,44.28,44.28,43.6801,43.854,16502,0
2017-04-11,16:05:00,43.874,44.02,43.7201,43.83,21226,0
2017-04-11,16:10:00,43.9657,43.98,43.68,43.814,32005,0
2017-04-11,16:15:00,43.81,43.86,43.67,43.67,18572,0
2017-04-11,16:20:00,43.67,43.76,43.57,43.76,9010,0
2017-04-11,16:25:00,43.725,43.725,43.36,43.42,17024,0
2017-04-11,16:30:00,43.42,43.48,43.11,43.48,23991,0
2017-04-11,16:35:00,43.44,43.44,43.1048,43.1625,20302,0
2017-04-11,16:40:00,43.15,43.155,42.64,42.7335,97161,0
2017-04-11,16:45:00,42.74,42.9,42.647,42.72,66897,0
2017-04-11,16:50:00,42.75,42.795,42.461,42.57,57115,0
2017-04-11,16:55:00,42.61,42.79,42.32,42.48,32007,0
2017-04-11,17:00:00,42.4899,42.72,42.42,42.72,13363,0
2017-04-11,17:05:00,42.6882,43,42.6737,42.825,36765,0
2017-04-11,17:10:00,42.82,42.82,42.63,42.66,28125,0
2017-04-11,17:15:00,42.66,42.73,42.5202,42.5202,13595,0
2017-04-11,17:20:00,42.55,42.66,42.4001,42.6,17463,0
2017-04-11,17:25:00,42.54,42.64,42.53,42.5502,5650,0
2017-04-11,17:30:00,42.53,42.6,42.44,42.6,10062,0
2017-04-11,17:35:00,42.6,42.73,42.525,42.7279,12992,0
2017-04-11,17:40:00,42.7399,42.8113,42.59,42.7999,17294,0
2017-04-11,17:45:00,42.76,42.77,42.62,42.65,3897,0
2017-04-11,17:50:00,42.68,42.7528,42.59,42.71,4770,0
2017-04-11,17:55:00,42.71,42.76,42.62,42.63,13401,0
2017-04-11,18:00:00,42.62,42.68,42.5,42.51,22973,0
2017-04-11,18:05:00,42.56,42.63,42.51,42.5521,18566,0
2017-04-11,18:10:00,42.565,42.565,42.3,42.32,43044,0
2017-04-11,18:15:00,42.3597,42.65,42.32,42.65,16705,0
2017-04-11,18:20:00,42.73,42.865,42.63,42.82,11986,0
2017-04-11,18:25:00,42.86,43,42.6,42.6,17395,0
2017-04-11,18:30:00,42.55,42.73,42.55,42.6953,6700,0
2017-04-11,18:35:00,42.66,42.81,42.54,42.6206,20581,0
2017-04-11,18:40:00,42.61,42.69,42.59,42.66,13382,0
2017-04-11,18:45:00,42.6538,42.72,42.54,42.55,9109,0
2017-04-11,18:50:00,42.59,42.7372,42.59,42.64,9392,0
2017-04-11,18:55:00,42.64,42.7,42.59,42.68,4314,0
2017-04-11,19:00:00,42.6876,42.6876,42.53,42.55,4921,0
2017-04-11,19:05:00,42.51,42.65,42.46,42.65,12909,0
2017-04-11,19:10:00,42.69,42.8218,42.67,42.67,11258,0
2017-04-11,19:15:00,42.72,42.7799,42.59,42.6076,4900,0
2017-04-11,19:20:00,42.6181,42.706,42.56,42.68,8084,0
