Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,116.29,116.83,116.17,116.68,45437,0
2017-04-10,15:40:00,116.62,116.73,116.51,116.71,10867,0
2017-04-10,15:45:00,116.71,117.13,116.68,117.11,46716,0
2017-04-10,15:50:00,117.11,117.14,116.75,116.81,41296,0
2017-04-10,15:55:00,116.78,117.1,116.76,117.09,58387,0
2017-04-10,16:00:00,117.09,117.18,117.01,117.08,69701,0
2017-04-10,16:05:00,117.08,117.1,116.75,116.82,18302,0
2017-04-10,16:10:00,116.82,117.02,116.81,116.96,13973,0
2017-04-10,16:15:00,116.96,116.96,116.72,116.73,12388,0
2017-04-10,16:20:00,116.73,116.88,116.73,116.88,15116,0
2017-04-10,16:25:00,116.88,116.91,116.83,116.89,20846,0
2017-04-10,16:30:00,116.9,116.96,116.88,116.89,18665,0
2017-04-10,16:35:00,116.94,117.13,116.88,117.13,23818,0
2017-04-10,16:40:00,117.13,117.18,117.1,117.16,36123,0
2017-04-10,16:45:00,117.15,117.23,117.12,117.2,26870,0
2017-04-10,16:50:00,117.2,117.26,117.08,117.08,28918,0
2017-04-10,16:55:00,117.11,117.11,116.99,117.04,14430,0
2017-04-10,17:00:00,117.07,117.18,117.02,117.18,64525,0
2017-04-10,17:05:00,117.17,117.34,117.13,117.22,88086,0
2017-04-10,17:10:00,117.21,117.21,117,117.04,23064,0
2017-04-10,17:15:00,117.06,117.14,117.01,117.14,17281,0
2017-04-10,17:20:00,117.15,117.22,117.06,117.06,10308,0
2017-04-10,17:25:00,117.06,117.07,117,117.07,13365,0
2017-04-10,17:30:00,117.08,117.11,116.96,116.96,12714,0
2017-04-10,17:35:00,116.96,116.98,116.67,116.67,14046,0
2017-04-10,17:40:00,116.66,116.72,116.57,116.59,11487,0
2017-04-10,17:45:00,116.57,116.6,116.48,116.51,20234,0
2017-04-10,17:50:00,116.51,116.57,116.47,116.55,13093,0
2017-04-10,17:55:00,116.52,116.61,116.51,116.55,10643,0
2017-04-10,18:00:00,116.56,116.57,116.48,116.48,13305,0
2017-04-10,18:05:00,116.48,116.5,116.46,116.5,8447,0
2017-04-10,18:10:00,116.48,116.52,116.41,116.41,10502,0
2017-04-10,18:15:00,116.43,116.45,116.16,116.17,11081,0
2017-04-10,18:20:00,116.21,116.34,116.21,116.33,7228,0
2017-04-10,18:25:00,116.3,116.33,116.26,116.26,9248,0
2017-04-10,18:30:00,116.25,116.36,116.23,116.34,8654,0
2017-04-10,18:35:00,116.34,116.41,116.26,116.34,8873,0
2017-04-10,18:40:00,116.35,116.39,116.33,116.33,6334,0
2017-04-10,18:45:00,116.32,116.41,116.32,116.38,10889,0
2017-04-10,18:50:00,116.39,116.52,116.38,116.52,7854,0
2017-04-10,18:55:00,116.5,116.63,116.5,116.54,16545,0
2017-04-10,19:00:00,116.54,116.56,116.5,116.51,9821,0
2017-04-10,19:05:00,116.51,116.51,116.4,116.4,7239,0
2017-04-10,19:10:00,116.42,116.57,116.42,116.49,8117,0
2017-04-10,19:15:00,116.52,116.63,116.52,116.62,12306,0
2017-04-10,19:20:00,116.62,116.62,116.51,116.55,6973,0
2017-04-10,19:25:00,116.55,116.64,116.55,116.64,6918,0
2017-04-10,19:30:00,116.65,116.68,116.58,116.6,6860,0
2017-04-10,19:35:00,116.61,116.66,116.6,116.66,7845,0
2017-04-10,19:40:00,116.67,116.76,116.67,116.7,9493,0
2017-04-10,19:45:00,116.7,116.78,116.68,116.75,10630,0
2017-04-10,19:50:00,116.74,116.74,116.66,116.71,8178,0
2017-04-10,19:55:00,116.7,116.72,116.65,116.66,5834,0
2017-04-10,20:00:00,116.68,116.69,116.63,116.67,10303,0
2017-04-10,20:05:00,116.67,116.67,116.54,116.54,15600,0
2017-04-10,20:10:00,116.51,116.64,116.51,116.64,13740,0
2017-04-10,20:15:00,116.64,116.8,116.64,116.78,15050,0
2017-04-10,20:20:00,116.78,116.79,116.73,116.73,10894,0
2017-04-10,20:25:00,116.72,116.78,116.69,116.75,8471,0
2017-04-10,20:30:00,116.74,116.74,116.61,116.61,8476,0
2017-04-10,20:35:00,116.62,116.69,116.59,116.63,7679,0
2017-04-10,20:40:00,116.64,116.67,116.57,116.59,8544,0
2017-04-10,20:45:00,116.56,116.7,116.53,116.69,10296,0
2017-04-10,20:50:00,116.69,116.84,116.69,116.84,13492,0
2017-04-10,20:55:00,116.82,116.83,116.74,116.79,11131,0
2017-04-10,21:00:00,116.79,116.82,116.74,116.74,13512,0
2017-04-10,21:05:00,116.74,116.76,116.63,116.67,11676,0
2017-04-10,21:10:00,116.68,116.77,116.68,116.68,24227,0
2017-04-10,21:15:00,116.7,116.71,116.61,116.61,11050,0
2017-04-10,21:20:00,116.59,116.7,116.59,116.61,19089,0
2017-04-10,21:25:00,116.62,116.62,116.44,116.56,18361,0
2017-04-10,21:30:00,116.53,116.56,116.51,116.51,20935,0
2017-04-10,21:35:00,116.51,116.53,116.42,116.46,36973,0
2017-04-10,21:40:00,116.45,116.53,116.45,116.5,27969,0
2017-04-10,21:45:00,116.5,116.51,116.42,116.48,58040,0
2017-04-10,21:50:00,116.48,116.49,116.37,116.37,61021,0
2017-04-10,21:55:00,116.37,116.43,116.34,116.41,44313,0
2017-04-10,22:00:00,116.41,116.72,116.41,116.63,387664,0
2017-04-11,15:35:00,116.18,116.72,116.1,116.43,48928,0
2017-04-11,15:40:00,116.43,116.48,116.12,116.23,24276,0
2017-04-11,15:45:00,116.25,116.25,115.95,116.14,41586,0
2017-04-11,15:50:00,116.12,116.25,115.92,116.1,30685,0
2017-04-11,15:55:00,116.07,116.2,116.03,116.06,19839,0
2017-04-11,16:00:00,116.06,116.29,116.06,116.25,14434,0
2017-04-11,16:05:00,116.3,116.64,116.23,116.64,42797,0
2017-04-11,16:10:00,116.64,116.64,116.33,116.41,17068,0
2017-04-11,16:15:00,116.44,116.8,116.43,116.715,33649,0
2017-04-11,16:20:00,116.74,116.74,116.61,116.63,43764,0
2017-04-11,16:25:00,116.61,116.62,116.5,116.53,36436,0
2017-04-11,16:30:00,116.47,116.52,116.35,116.41,16964,0
2017-04-11,16:35:00,116.38,116.38,116.12,116.28,42620,0
2017-04-11,16:40:00,116.27,116.38,116.22,116.38,21907,0
2017-04-11,16:45:00,116.36,116.36,115.97,116.12,11015,0
