Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,11.42,11.54,11.42,11.495,26935,0
2017-04-10,15:40:00,11.495,11.53,11.47,11.5,7400,0
2017-04-10,15:45:00,11.5099,11.51,11.49,11.49,12886,0
2017-04-10,15:50:00,11.5,11.51,11.45,11.48,19407,0
2017-04-10,15:55:00,11.4899,11.55,11.48,11.545,22087,0
2017-04-10,16:00:00,11.545,11.55,11.54,11.55,7000,0
2017-04-10,16:05:00,11.545,11.55,11.54,11.54,15600,0
2017-04-10,16:10:00,11.54,11.6,11.54,11.6,22584,0
2017-04-10,16:15:00,11.59,11.6,11.59,11.595,7500,0
2017-04-10,16:20:00,11.6,11.6,11.59,11.59,19200,0
2017-04-10,16:25:00,11.595,11.6,11.57,11.575,10782,0
2017-04-10,16:30:00,11.57,11.59,11.54,11.54,32205,0
2017-04-10,16:35:00,11.54,11.57,11.51,11.51,20204,0
2017-04-10,16:40:00,11.51,11.53,11.5,11.51,19302,0
2017-04-10,16:45:00,11.515,11.56,11.51,11.56,11998,0
2017-04-10,16:50:00,11.56,11.57,11.5,11.5,31360,0
2017-04-10,16:55:00,11.5,11.52,11.5,11.51,23132,0
2017-04-10,17:00:00,11.51,11.55,11.49,11.545,75574,0
2017-04-10,17:05:00,11.54,11.56,11.52,11.52,30372,0
2017-04-10,17:10:00,11.52,11.545,11.52,11.54,12250,0
2017-04-10,17:15:00,11.54,11.55,11.53,11.53,9914,0
2017-04-10,17:20:00,11.535,11.54,11.52,11.52,14184,0
2017-04-10,17:25:00,11.525,11.54,11.52,11.54,13366,0
2017-04-10,17:30:00,11.535,11.54,11.53,11.535,10300,0
2017-04-10,17:35:00,11.53,11.54,11.51,11.51,14155,0
2017-04-10,17:40:00,11.51,11.52,11.51,11.52,5116,0
2017-04-10,17:45:00,11.515,11.52,11.51,11.51,4900,0
2017-04-10,17:50:00,11.515,11.53,11.51,11.51,15877,0
2017-04-10,17:55:00,11.51,11.53,11.51,11.52,10400,0
2017-04-10,18:00:00,11.525,11.53,11.52,11.525,11549,0
2017-04-10,18:05:00,11.53,11.53,11.52,11.525,5600,0
2017-04-10,18:10:00,11.525,11.54,11.52,11.53,12800,0
2017-04-10,18:15:00,11.535,11.54,11.49,11.495,17934,0
2017-04-10,18:20:00,11.5,11.5,11.49,11.495,3800,0
2017-04-10,18:25:00,11.495,11.5,11.49,11.495,3600,0
2017-04-10,18:30:00,11.49,11.5,11.49,11.5,6400,0
2017-04-10,18:35:00,11.5,11.52,11.5,11.515,19626,0
2017-04-10,18:40:00,11.52,11.52,11.51,11.51,6656,0
2017-04-10,18:45:00,11.52,11.52,11.49,11.5,14584,0
2017-04-10,18:50:00,11.495,11.525,11.49,11.525,12119,0
2017-04-10,18:55:00,11.525,11.55,11.525,11.53,37421,0
2017-04-10,19:00:00,11.53,11.54,11.53,11.535,3200,0
2017-04-10,19:05:00,11.535,11.55,11.53,11.54,15308,0
2017-04-10,19:10:00,11.54,11.55,11.54,11.545,7614,0
2017-04-10,19:15:00,11.54,11.55,11.54,11.545,39636,0
2017-04-10,19:20:00,11.55,11.55,11.54,11.545,33010,0
2017-04-10,19:25:00,11.55,11.55,11.54,11.55,6440,0
2017-04-10,19:30:00,11.55,11.55,11.54,11.55,5891,0
2017-04-10,19:35:00,11.545,11.55,11.54,11.545,14400,0
2017-04-10,19:40:00,11.55,11.55,11.54,11.55,16714,0
2017-04-10,19:45:00,11.55,11.55,11.54,11.55,18000,0
2017-04-10,19:50:00,11.55,11.55,11.54,11.55,10735,0
2017-04-10,19:55:00,11.55,11.55,11.54,11.545,10400,0
2017-04-10,20:00:00,11.55,11.55,11.54,11.55,8800,0
2017-04-10,20:05:00,11.545,11.55,11.545,11.55,9176,0
2017-04-10,20:10:00,11.55,11.55,11.54,11.55,9662,0
2017-04-10,20:15:00,11.55,11.55,11.545,11.55,5700,0
2017-04-10,20:20:00,11.55,11.61,11.545,11.575,113466,0
2017-04-10,20:25:00,11.575,11.61,11.575,11.605,12850,0
2017-04-10,20:30:00,11.605,11.62,11.59,11.595,16625,0
2017-04-10,20:35:00,11.6,11.62,11.595,11.6,31819,0
2017-04-10,20:40:00,11.6,11.62,11.6,11.62,9836,0
2017-04-10,20:45:00,11.62,11.65,11.62,11.64,13726,0
2017-04-10,20:50:00,11.64,11.65,11.635,11.65,13236,0
2017-04-10,20:55:00,11.65,11.65,11.645,11.65,6700,0
2017-04-10,21:00:00,11.65,11.65,11.645,11.65,5400,0
2017-04-10,21:05:00,11.65,11.7,11.645,11.68,40106,0
2017-04-10,21:10:00,11.68,11.74,11.68,11.715,10500,0
2017-04-10,21:15:00,11.71,11.72,11.685,11.685,14401,0
2017-04-10,21:20:00,11.69,11.69,11.68,11.69,4500,0
