Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,19.46,19.54,19.4,19.52,98133,0
2017-04-10,15:40:00,19.51,19.595,19.51,19.585,11612,0
2017-04-10,15:45:00,19.585,19.66,19.58,19.63,28777,0
2017-04-10,15:50:00,19.64,19.69,19.635,19.69,29698,0
2017-04-10,15:55:00,19.7,19.7,19.68,19.68,17573,0
2017-04-10,16:00:00,19.68,19.68,19.65,19.66,14284,0
2017-04-10,16:05:00,19.67,19.74,19.66,19.715,46268,0
2017-04-10,16:10:00,19.72,19.77,19.715,19.74,30048,0
2017-04-10,16:15:00,19.73,19.73,19.68,19.68,18866,0
2017-04-10,16:20:00,19.67,19.6701,19.65,19.665,23927,0
2017-04-10,16:25:00,19.66,19.66,19.64,19.65,24782,0
2017-04-10,16:30:00,19.65,19.66,19.63,19.63,16036,0
2017-04-10,16:35:00,19.64,19.655,19.635,19.65,26364,0
2017-04-10,16:40:00,19.655,19.655,19.615,19.62,36381,0
2017-04-10,16:45:00,19.62,19.645,19.605,19.64,36946,0
2017-04-10,16:50:00,19.645,19.67,19.645,19.65,18527,0
2017-04-10,16:55:00,19.65,19.65,19.61,19.62,29378,0
2017-04-10,17:00:00,19.62,19.62,19.57,19.57,24494,0
2017-04-10,17:05:00,19.57,19.59,19.56,19.58,43377,0
2017-04-10,17:10:00,19.58,19.58,19.55,19.56,17000,0
2017-04-10,17:15:00,19.565,19.58,19.565,19.575,11105,0
2017-04-10,17:20:00,19.58,19.59,19.575,19.585,22822,0
2017-04-10,17:25:00,19.585,19.6,19.585,19.595,16755,0
2017-04-10,17:30:00,19.59,19.6,19.58,19.5954,25194,0
2017-04-10,17:35:00,19.595,19.6,19.54,19.545,28373,0
2017-04-10,17:40:00,19.54,19.545,19.51,19.51,18280,0
2017-04-10,17:45:00,19.52,19.52,19.48,19.485,32661,0
2017-04-10,17:50:00,19.485,19.52,19.475,19.52,48615,0
2017-04-10,17:55:00,19.515,19.52,19.505,19.52,14028,0
2017-04-10,18:00:00,19.51,19.52,19.505,19.505,8404,0
2017-04-10,18:05:00,19.505,19.52,19.49,19.49,23163,0
2017-04-10,18:10:00,19.495,19.4987,19.475,19.475,7933,0
2017-04-10,18:15:00,19.475,19.48,19.405,19.405,35960,0
2017-04-10,18:20:00,19.405,19.43,19.405,19.41,30367,0
2017-04-10,18:25:00,19.4,19.415,19.38,19.39,28733,0
2017-04-10,18:30:00,19.4,19.435,19.395,19.435,11484,0
2017-04-10,18:35:00,19.43,19.465,19.42,19.46,13902,0
2017-04-10,18:40:00,19.46,19.49,19.46,19.485,17859,0
2017-04-10,18:45:00,19.48,19.53,19.48,19.52,15994,0
2017-04-10,18:50:00,19.525,19.55,19.51,19.55,8700,0
2017-04-10,18:55:00,19.545,19.58,19.545,19.57,20054,0
2017-04-10,19:00:00,19.57,19.58,19.57,19.58,6476,0
2017-04-10,19:05:00,19.58,19.59,19.55,19.585,27966,0
2017-04-10,19:10:00,19.59,19.6,19.58,19.6,21156,0
2017-04-10,19:15:00,19.595,19.6,19.57,19.59,27524,0
2017-04-10,19:20:00,19.59,19.6,19.58,19.585,25042,0
2017-04-10,19:25:00,19.585,19.6,19.585,19.59,7010,0
2017-04-10,19:30:00,19.6,19.6,19.59,19.595,12216,0
2017-04-10,19:35:00,19.595,19.63,19.59,19.625,25174,0
2017-04-10,19:40:00,19.63,19.66,19.62,19.64,21148,0
2017-04-10,19:45:00,19.64,19.64,19.62,19.62,9103,0
2017-04-10,19:50:00,19.62,19.63,19.6,19.615,44945,0
2017-04-10,19:55:00,19.61,19.62,19.6,19.605,12190,0
2017-04-10,20:00:00,19.61,19.62,19.6075,19.615,22401,0
2017-04-10,20:05:00,19.615,19.62,19.58,19.58,36965,0
2017-04-10,20:10:00,19.585,19.59,19.58,19.59,14305,0
2017-04-10,20:15:00,19.585,19.61,19.58,19.61,26238,0
2017-04-10,20:20:00,19.61,19.63,19.6,19.63,195444,0
2017-04-10,20:25:00,19.6297,19.67,19.625,19.67,35514,0
2017-04-10,20:30:00,19.67,19.68,19.64,19.655,37542,0
2017-04-10,20:35:00,19.659,19.66,19.64,19.64,19440,0
2017-04-10,20:40:00,19.645,19.66,19.62,19.62,18400,0
2017-04-10,20:45:00,19.625,19.64,19.61,19.63,25710,0
2017-04-10,20:50:00,19.64,19.68,19.635,19.68,27811,0
2017-04-10,20:55:00,19.675,19.68,19.66,19.665,13400,0
2017-04-10,21:00:00,19.665,19.67,19.66,19.67,16946,0
2017-04-10,21:05:00,19.665,19.67,19.66,19.665,16200,0
2017-04-10,21:10:00,19.665,19.68,19.665,19.675,45615,0
2017-04-10,21:15:00,19.675,19.68,19.67,19.675,18975,0
2017-04-10,21:20:00,19.675,19.71,19.67,19.69,225676,0
2017-04-10,21:25:00,19.69,19.695,19.65,19.66,57851,0
2017-04-10,21:30:00,19.655,19.66,19.65,19.65,19818,0
2017-04-10,21:35:00,19.655,19.66,19.62,19.63,140965,0
2017-04-10,21:40:00,19.635,19.65,19.63,19.645,96603,0
2017-04-10,21:45:00,19.645,19.645,19.61,19.61,110598,0
2017-04-10,21:50:00,19.61,19.63,19.61,19.61,117133,0
2017-04-10,21:55:00,19.615,19.62,19.61,19.61,112943,0
2017-04-10,22:00:00,19.61,19.615,19.58,19.58,383793,0
2017-04-11,15:35:00,19.48,19.53,19.41,19.495,38317,0
2017-04-11,15:40:00,19.51,19.525,19.48,19.5,19560,0
