Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,54.57,54.746,54.41,54.52,17897,0
2017-04-10,15:40:00,54.535,54.56,54.33,54.47,44284,0
2017-04-10,15:45:00,54.505,54.53,54.36,54.3601,5700,0
2017-04-10,15:50:00,54.4128,54.6241,54.3,54.39,12014,0
2017-04-10,15:55:00,54.49,54.55,54.462,54.462,3383,0
2017-04-10,16:00:00,54.47,54.52,54.47,54.49,3300,0
2017-04-10,16:05:00,54.4715,54.4772,54.3953,54.4026,6567,0
2017-04-10,16:10:00,54.44,54.5,54.22,54.49,13967,0
2017-04-10,16:15:00,54.5,54.5,54.31,54.3201,25997,0
2017-04-10,16:20:00,54.32,54.36,54.27,54.28,6955,0
2017-04-10,16:25:00,54.27,54.27,54.13,54.23,9970,0
2017-04-10,16:30:00,54.23,54.23,54.13,54.13,5773,0
2017-04-10,16:35:00,54.16,54.17,54.13,54.16,13559,0
2017-04-10,16:40:00,54.1792,54.195,54.13,54.14,6673,0
2017-04-10,16:45:00,54.13,54.29,54.02,54.02,24951,0
2017-04-10,16:50:00,54.01,54.19,54.01,54.08,26915,0
2017-04-10,16:55:00,54.08,54.185,53.9,53.9302,19113,0
2017-04-10,17:00:00,53.93,53.98,53.71,53.72,9257,0
2017-04-10,17:05:00,53.69,53.75,53.62,53.6567,11666,0
2017-04-10,17:10:00,53.7,53.74,53.57,53.61,3471,0
2017-04-10,17:15:00,53.62,53.7,53.54,53.58,11485,0
2017-04-10,17:20:00,53.59,53.73,53.59,53.73,9746,0
2017-04-10,17:25:00,53.74,53.74,53.65,53.705,3700,0
2017-04-10,17:30:00,53.705,53.705,53.62,53.66,7695,0
2017-04-10,17:35:00,53.59,53.6499,53.4,53.42,18367,0
2017-04-10,17:40:00,53.43,53.55,53.43,53.451,15760,0
2017-04-10,17:45:00,53.5,53.64,53.45,53.585,13158,0
2017-04-10,17:50:00,53.585,53.59,53.52,53.5788,3908,0
2017-04-10,17:55:00,53.55,53.65,53.55,53.61,2400,0
2017-04-10,18:00:00,53.6101,53.67,53.53,53.67,3191,0
2017-04-10,18:05:00,53.7,53.7,53.6128,53.67,1804,0
2017-04-10,18:10:00,53.58,53.66,53.58,53.6472,5315,0
2017-04-10,18:15:00,53.67,53.67,53.51,53.54,3165,0
2017-04-10,18:20:00,53.53,53.58,53.52,53.58,3200,0
2017-04-10,18:25:00,53.58,53.675,53.56,53.65,1822,0
2017-04-10,18:30:00,53.58,53.58,53.58,53.58,100,0
2017-04-10,18:35:00,53.6,53.7,53.6,53.6998,6725,0
2017-04-10,18:40:00,53.73,53.73,53.6401,53.656,2867,0
2017-04-10,18:45:00,53.66,53.73,53.64,53.7101,7000,0
2017-04-10,18:50:00,53.72,53.78,53.7,53.7412,9399,0
2017-04-10,18:55:00,53.8,53.96,53.8,53.96,6054,0
2017-04-10,19:00:00,53.9699,54.14,53.96,54.14,7401,0
2017-04-10,19:05:00,54.08,54.185,54.08,54.1,14951,0
2017-04-10,19:10:00,54.11,54.165,54.09,54.1626,4116,0
2017-04-10,19:15:00,54.15,54.34,54.13,54.16,6117,0
2017-04-10,19:20:00,54.11,54.3014,54.1,54.3014,2050,0
2017-04-10,19:25:00,54.25,54.33,54.25,54.3151,2340,0
2017-04-10,19:30:00,54.2601,54.2601,54.2038,54.2038,2250,0
2017-04-10,19:35:00,54.23,54.39,54.23,54.37,5350,0
2017-04-10,19:40:00,54.38,54.49,54.38,54.38,2850,0
2017-04-10,19:45:00,54.33,54.4,54.32,54.376,3700,0
2017-04-10,19:50:00,54.37,54.37,54.22,54.25,10916,0
2017-04-10,19:55:00,54.24,54.3,54.12,54.3,17162,0
2017-04-10,20:00:00,54.26,54.3,54.21,54.26,9445,0
2017-04-10,20:05:00,54.27,54.28,54.11,54.16,8175,0
2017-04-10,20:10:00,54.11,54.13,54.05,54.0853,6219,0
2017-04-10,20:15:00,54.11,54.18,54.1,54.17,3385,0
2017-04-10,20:20:00,54.14,54.22,54.1053,54.22,1734,0
2017-04-10,20:25:00,54.21,54.2499,54.2,54.2499,1200,0
2017-04-10,20:30:00,54.24,54.3,54.24,54.2999,3000,0
2017-04-10,20:35:00,54.26,54.26,54.19,54.21,1519,0
2017-04-10,20:40:00,54.2599,54.49,54.21,54.365,48524,0
2017-04-10,20:45:00,54.35,54.38,54.27,54.27,8177,0
2017-04-10,20:50:00,54.3,54.31,54.27,54.28,7950,0
2017-04-10,20:55:00,54.27,54.315,54.27,54.29,9830,0
2017-04-10,21:00:00,54.285,54.3,54.2301,54.265,2699,0
2017-04-10,21:05:00,54.24,54.31,54.24,54.285,3444,0
2017-04-10,21:10:00,54.29,54.31,54.23,54.25,9585,0
2017-04-10,21:15:00,54.27,54.31,54.25,54.2602,8100,0
2017-04-10,21:25:00,54.23,54.23,54,54.05,10749,0
2017-04-10,21:30:00,54.07,54.111,54.01,54.06,3500,0
2017-04-10,21:35:00,54.04,54.09,53.96,54.02,15030,0
2017-04-10,21:40:00,54.02,54.04,53.96,54.005,14726,0
2017-04-10,21:45:00,54.005,54.01,53.78,53.8,21708,0
2017-04-10,21:50:00,53.8,53.94,53.79,53.89,15656,0
2017-04-10,21:55:00,53.88,53.92,53.87,53.875,12736,0
2017-04-10,22:00:00,53.87,53.88,53.77,53.86,69724,0
2017-04-11,15:35:00,53.57,53.8397,53.5,53.6601,35502,0
2017-04-11,15:40:00,53.82,53.82,53.7,53.714,1371,0
2017-04-11,15:45:00,53.72,53.72,53.5328,53.59,10057,0
2017-04-11,15:50:00,53.55,53.58,53.51,53.5101,7852,0
2017-04-11,15:55:00,53.52,53.8,53.51,53.74,8782,0
2017-04-11,16:00:00,53.73,53.74,53.5001,53.71,9650,0
2017-04-11,16:05:00,53.6,53.73,53.57,53.71,5600,0
2017-04-11,16:10:00,53.72,53.87,53.55,53.82,12925,0
2017-04-11,16:15:00,53.86,53.86,53.71,53.76,5203,0
2017-04-11,16:20:00,53.745,53.745,53.425,53.501,17140,0
2017-04-11,16:25:00,53.465,53.465,52.92,53.0391,26903,0
2017-04-11,16:30:00,53.12,53.37,53.08,53.3332,6000,0
2017-04-11,16:35:00,53.29,53.3,53.14,53.14,3835,0
2017-04-11,16:40:00,53.17,53.21,53.045,53.1001,7029,0
2017-04-11,16:45:00,53.21,53.21,53.02,53.14,5510,0
2017-04-11,16:50:00,53.15,53.22,53.13,53.195,3550,0
2017-04-11,16:55:00,53.16,53.38,53.1,53.37,8285,0
2017-04-11,17:00:00,53.31,53.34,53.18,53.34,2675,0
2017-04-11,17:05:00,53.34,53.37,53.24,53.315,3304,0
2017-04-11,17:10:00,53.27,53.27,53.21,53.22,1322,0
2017-04-11,17:15:00,53.19,53.19,53.14,53.17,1067,0
2017-04-11,17:20:00,53.1,53.23,53.095,53.195,11550,0
2017-04-11,17:25:00,53.16,53.29,53.16,53.21,17898,0
2017-04-11,17:30:00,53.2,53.22,53.11,53.22,1311,0
2017-04-11,17:35:00,53.26,53.44,53.2175,53.44,11953,0
2017-04-11,17:40:00,53.44,53.51,53.39,53.445,5646,0
2017-04-11,17:45:00,53.41,53.4264,53.4069,53.4264,1091,0
2017-04-11,17:50:00,53.36,53.42,53.3,53.42,2600,0
2017-04-11,17:55:00,53.4108,53.53,53.4108,53.45,29880,0
2017-04-11,18:00:00,53.44,53.51,53.42,53.48,7200,0
2017-04-11,18:05:00,53.455,53.52,53.41,53.52,2423,0
2017-04-11,18:10:00,53.54,53.6,53.5,53.513,5990,0
2017-04-11,18:15:00,53.57,53.62,53.51,53.62,6700,0
2017-04-11,18:20:00,53.62,53.63,53.45,53.53,5935,0
2017-04-11,18:25:00,53.49,53.59,53.49,53.57,5100,0
2017-04-11,18:30:00,53.53,53.615,53.43,53.615,5476,0
2017-04-11,18:35:00,53.6,53.64,53.57,53.64,800,0
2017-04-11,18:40:00,53.64,53.67,53.5,53.54,5200,0
2017-04-11,18:45:00,53.5485,53.62,53.52,53.52,4315,0
2017-04-11,18:50:00,53.51,53.51,53.38,53.482,6336,0
2017-04-11,18:55:00,53.45,53.53,53.41,53.53,1600,0
2017-04-11,19:00:00,53.45,53.46,53.43,53.44,2723,0
2017-04-11,19:05:00,53.43,53.4544,53.32,53.396,3709,0
2017-04-11,19:10:00,53.39,53.44,53.3,53.3,5700,0
2017-04-11,19:15:00,53.38,53.38,53.185,53.185,3276,0
2017-04-11,19:20:00,53.17,53.23,53.16,53.23,7882,0
2017-04-11,19:25:00,53.17,53.17,53.05,53.12,5100,0
2017-04-11,19:30:00,53.1509,53.1509,53.1,53.14,7665,0
2017-04-11,19:35:00,53.13,53.14,53.06,53.06,7600,0
2017-04-11,19:40:00,53.11,53.25,53.11,53.15,3304,0
2017-04-11,19:45:00,53.15,53.15,53.01,53.04,7263,0
2017-04-11,19:50:00,53.02,53.08,53.02,53.05,2300,0
2017-04-11,19:55:00,53.055,53.14,53.04,53.06,2500,0
2017-04-11,20:00:00,53.04,53.1865,53.04,53.14,5230,0
2017-04-11,20:05:00,53.2099,53.2099,53.12,53.12,1400,0
2017-04-11,20:10:00,53.15,53.19,53.14,53.15,3275,0
2017-04-11,20:15:00,53.1159,53.13,53.0701,53.078,1000,0
2017-04-11,20:20:00,53.09,53.1,53.07,53.09,1300,0
2017-04-11,20:25:00,53.1,53.11,53.0501,53.11,570,0
2017-04-11,20:30:00,53.085,53.14,53.05,53.14,2260,0
2017-04-11,20:35:00,53.14,53.14,53.065,53.07,1950,0
2017-04-11,20:40:00,53.1,53.1082,53.03,53.03,3209,0
2017-04-11,20:45:00,53.02,53.03,52.97,52.98,8100,0
2017-04-11,20:50:00,53.02,53.02,52.95,52.9761,1350,0
2017-04-11,20:55:00,52.9668,53.09,52.94,53.09,5628,0
2017-04-11,21:00:00,53.1,53.14,53.041,53.08,3841,0
2017-04-11,21:05:00,53.06,53.06,53.02,53.02,1500,0
2017-04-11,21:10:00,53.01,53.01,52.97,52.97,1600,0
2017-04-11,21:15:00,53.04,53.09,52.98,53,2600,0
2017-04-11,21:20:00,53.02,53.07,53.01,53.05,1800,0
2017-04-11,21:25:00,53.08,53.09,53.02,53.06,3920,0
2017-04-11,21:30:00,53.01,53.04,53,53,1700,0
2017-04-11,21:35:00,53.05,53.0799,52.9601,53,8953,0
2017-04-11,21:40:00,53.01,53.04,52.89,52.92,23270,0
2017-04-11,21:45:00,52.9599,53.02,52.85,52.86,9824,0
2017-04-11,21:50:00,52.88,52.99,52.85,52.95,15552,0
2017-04-11,21:55:00,52.97,53.02,52.88,52.9,31491,0
2017-04-11,22:00:00,52.91,53.07,52.9,53.05,58278,0
2017-04-12,15:35:00,52.88,52.94,52.62,52.94,13532,0
2017-04-12,15:40:00,52.9677,52.9677,52.75,52.75,13400,0
2017-04-12,15:45:00,52.695,52.77,52.59,52.668,16093,0
2017-04-12,15:50:00,52.58,52.77,52.51,52.6606,18981,0
2017-04-12,15:55:00,52.5836,52.7679,52.5836,52.75,1426,0
2017-04-12,16:00:00,52.71,52.74,52.65,52.71,2050,0
2017-04-12,16:05:00,52.81,52.91,52.63,52.66,18513,0
2017-04-12,16:10:00,52.64,52.64,52.55,52.56,4085,0
2017-04-12,16:15:00,52.51,52.55,52.35,52.49,13602,0
2017-04-12,16:20:00,52.51,52.585,52.5,52.5454,2260,0
2017-04-12,16:25:00,52.548,52.548,52.442,52.5,1450,0
2017-04-12,16:30:00,52.4748,52.4748,52.01,52.076,10973,0
2017-04-12,16:35:00,52.1,52.18,52.07,52.1314,11400,0
2017-04-12,16:40:00,52.16,52.16,52.1,52.1599,2850,0
2017-04-12,16:45:00,52.16,52.49,52.16,52.29,23151,0
2017-04-12,16:50:00,52.2,52.24,52.11,52.19,3747,0
2017-04-12,16:55:00,52.17,52.25,52.142,52.25,1950,0
2017-04-12,17:00:00,52.22,52.33,52.21,52.21,3500,0
2017-04-12,17:05:00,52.29,52.37,52.2416,52.25,4528,0
2017-04-12,17:10:00,52.23,52.31,52.23,52.2408,1570,0
2017-04-12,17:15:00,52.2904,52.2904,52.14,52.16,13008,0
2017-04-12,17:20:00,52.15,52.18,52.08,52.14,6641,0
2017-04-12,17:25:00,52.16,52.16,52.02,52.02,1300,0
