Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,23.75,23.75,23.7,23.73,6535,0
2017-04-10,15:40:00,23.68,23.68,23.59,23.61,10402,0
2017-04-10,15:45:00,23.61,23.62,23.55,23.6,10330,0
2017-04-10,15:50:00,23.59,23.6,23.55,23.58,49875,0
2017-04-10,15:55:00,23.59,23.63,23.59,23.63,6445,0
2017-04-10,16:00:00,23.63,23.645,23.6,23.61,13095,0
2017-04-10,16:05:00,23.62,23.625,23.59,23.61,31960,0
2017-04-10,16:10:00,23.605,23.66,23.6,23.6432,13774,0
2017-04-10,16:15:00,23.65,23.65,23.635,23.635,1904,0
2017-04-10,16:20:00,23.63,23.63,23.59,23.59,30321,0
2017-04-10,16:25:00,23.58,23.585,23.555,23.585,9941,0
2017-04-10,16:30:00,23.59,23.6,23.575,23.58,3476,0
2017-04-10,16:35:00,23.59,23.59,23.57,23.575,6094,0
2017-04-10,16:40:00,23.58,23.58,23.54,23.54,12103,0
2017-04-10,16:45:00,23.54,23.56,23.54,23.545,8275,0
2017-04-10,16:50:00,23.54,23.56,23.54,23.56,3621,0
2017-04-10,16:55:00,23.555,23.56,23.54,23.56,48634,0
2017-04-10,17:00:00,23.555,23.57,23.55,23.57,16188,0
2017-04-10,17:05:00,23.555,23.56,23.55,23.5599,8554,0
2017-04-10,17:10:00,23.56,23.58,23.555,23.575,6031,0
2017-04-10,17:15:00,23.59,23.59,23.5575,23.56,29519,0
2017-04-10,17:20:00,23.56,23.6,23.56,23.6,32344,0
2017-04-10,17:25:00,23.6,23.6,23.59,23.6,1700,0
2017-04-10,17:30:00,23.59,23.59,23.555,23.57,8492,0
2017-04-10,17:35:00,23.57,23.61,23.56,23.57,46202,0
2017-04-10,17:40:00,23.56,23.56,23.515,23.515,33151,0
2017-04-10,17:45:00,23.51,23.53,23.51,23.53,6425,0
2017-04-10,17:50:00,23.525,23.53,23.5031,23.515,3703,0
2017-04-10,17:55:00,23.52,23.54,23.515,23.525,2800,0
2017-04-10,18:00:00,23.525,23.525,23.505,23.515,4625,0
2017-04-10,18:05:00,23.51,23.51,23.505,23.51,5354,0
