Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-25,16:10:00,113.8199,113.8199,113.8199,113.8199,402,0
2016-10-25,21:25:00,113.0001,113.0001,113,113.0001,817,0
2016-10-25,21:35:00,113.2011,113.2011,113.2011,113.2011,210,0
2016-10-26,16:00:00,112.9188,112.9188,112.9188,112.9188,183,0
2016-10-27,15:35:00,114.98,114.98,113.68,113.68,1300,0
2016-10-27,16:50:00,113.4,113.4,113.4,113.4,200,0
2016-10-27,20:10:00,113.0412,113.0412,113.0135,113.0135,650,0
2016-10-27,21:45:00,112.93,112.93,112.93,112.93,400,0
2016-10-28,15:35:00,111.44,111.44,111.44,111.44,450,0
2016-10-28,16:30:00,111.47,111.47,111.47,111.47,200,0
2016-10-28,18:05:00,111.56,111.56,111.3,111.42,11841,0
2016-10-31,14:35:00,109.78,111.41,109.78,111.29,1100,0
2016-10-31,15:25:00,111.938,111.938,111.938,111.938,100,0
2016-10-31,18:15:00,112.23,112.23,112.23,112.23,122,0
2016-10-31,18:30:00,112.2399,112.2399,112.2399,112.2399,391,0
2016-10-31,19:20:00,111.97,111.97,111.97,111.97,280,0
2016-10-31,19:55:00,111.84,111.84,111.84,111.84,100,0
2016-11-02,14:35:00,111,111,111,111,100,0
2016-11-02,15:05:00,109.6401,109.6401,109.6401,109.6401,390,0
2016-11-02,17:40:00,109.04,109.04,109.04,109.04,100,0
2016-11-02,17:50:00,109.17,109.17,109.17,109.17,150,0
2016-11-02,18:50:00,108.89,108.89,108.89,108.89,100,0
2016-11-02,19:50:00,108.99,108.99,108.99,108.99,100,0
2016-11-03,14:35:00,108.75,108.75,108.75,108.75,200,0
2016-11-03,16:10:00,109.33,109.33,109.33,109.33,100,0
2016-11-03,17:00:00,109.25,109.25,109.25,109.25,114,0
2016-11-03,18:35:00,109.45,109.46,109.45,109.46,321,0
2016-11-03,19:45:00,109.32,109.6599,109.32,109.6599,613,0
2016-11-04,18:00:00,109.39,109.39,109.25,109.39,1800,0
2016-11-04,18:25:00,109.4826,109.4826,109.4826,109.4826,165,0
2016-11-04,18:50:00,109.39,109.39,109.39,109.39,100,0
2016-11-04,18:55:00,109.39,109.3901,109.39,109.39,1147,0
2016-11-04,19:20:00,109.39,109.39,109.39,109.39,100,0
2016-11-04,20:05:00,109.6399,109.6399,109.6399,109.6399,115,0
2016-11-04,20:45:00,109.525,109.525,109.525,109.525,100,0
2016-11-04,20:50:00,109.51,109.51,109.51,109.51,100,0
2016-11-04,20:55:00,109.485,109.485,109.47,109.47,200,0
2016-11-04,21:00:00,109.47,109.47,109.35,109.35,1266,0
2016-11-07,15:35:00,108.75,108.75,108.75,108.75,200,0
2016-11-07,16:00:00,110.17,110.21,110.17,110.2,1130,0
2016-11-07,16:10:00,109.97,110,109.97,110,600,0
2016-11-07,16:55:00,110.27,110.27,110.27,110.27,100,0
2016-11-07,20:20:00,110.1701,110.1701,110.1701,110.1701,300,0
2016-11-07,20:35:00,110.22,110.22,110.22,110.22,441,0
2016-11-08,16:15:00,110.97,110.97,110.68,110.86,1600,0
2016-11-08,16:20:00,110.81,110.81,110.81,110.81,100,0
2016-11-08,16:50:00,110.88,110.88,110.88,110.88,100,0
2016-11-08,17:10:00,110.93,110.93,110.93,110.93,200,0
2016-11-08,18:00:00,110.82,110.82,110.82,110.82,300,0
2016-11-08,18:20:00,110.95,110.95,110.95,110.95,100,0
2016-11-08,19:10:00,110.8901,110.8901,110.8901,110.8901,133,0
2016-11-09,15:40:00,108.93,108.93,108.93,108.93,100,0
2016-11-09,17:30:00,107.03,107.09,107.03,107.03,3702,0
2016-11-09,17:35:00,107.13,107.25,106.98,106.98,2600,0
2016-11-09,17:50:00,106.87,106.88,106.87,106.88,1000,0
2016-11-09,17:55:00,107.0606,107.0606,107.0606,107.0606,300,0
2016-11-09,18:00:00,107.21,107.21,107.21,107.21,400,0
2016-11-09,20:15:00,106.7,106.7,106.7,106.7,500,0
2016-11-09,20:25:00,106.56,106.56,106.56,106.56,1100,0
2016-11-09,20:45:00,106.7,106.7,106.7,106.7,400,0
2016-11-09,20:55:00,106.46,106.5,106.16,106.5,3939,0
2016-11-09,21:05:00,106.78,106.78,106.78,106.78,400,0
2016-11-09,21:20:00,106.45,106.85,106.45,106.85,892,0
2016-11-09,21:25:00,107.05,107.08,107.05,107.08,1010,0
2016-11-09,22:00:00,106.74,106.74,106.74,106.74,101,0
2016-11-10,16:05:00,103.86,103.86,100.01,103.1,1910,0
2016-11-10,17:05:00,102.9971,102.9971,102.89,102.9971,400,0
2016-11-10,17:15:00,103.33,103.33,103.298,103.298,562,0
2016-11-10,17:40:00,103.25,103.33,102.885,102.885,3253,0
2016-11-10,18:20:00,103.8859,103.8859,103.8859,103.8859,110,0
2016-11-10,20:05:00,104.32,104.32,104.32,104.32,100,0
2016-11-10,22:00:00,104.38,104.38,104.09,104.09,379,0
2016-11-11,16:05:00,104.32,104.32,104.32,104.32,100,0
2016-11-11,19:05:00,104.271,104.271,104.271,104.271,23700,0
2016-11-11,19:40:00,104.44,104.45,104.11,104.42,2700,0
2016-11-11,19:45:00,104.42,104.42,104.41,104.42,1000,0
2016-11-11,21:25:00,104.2,104.3735,104.2,104.3735,385,0
2016-11-14,15:35:00,103,103,102.83,102.83,700,0
2016-11-14,15:55:00,101.56,101.7124,101.56,101.7124,400,0
2016-11-14,19:35:00,101.78,101.78,101.78,101.78,100,0
2016-11-14,19:40:00,101.78,101.78,101.78,101.78,500,0
2016-11-14,22:00:00,102.2,102.2,102.2,102.2,121,0
2016-11-15,16:35:00,104.1158,104.1158,104.1158,104.1158,120,0
2016-11-15,18:00:00,103.546,103.546,103.546,103.546,148,0
2016-11-16,15:35:00,103,103,103,103,100,0
2016-11-16,17:10:00,103.74,103.74,103.74,103.74,100,0
2016-11-16,21:00:00,103.74,103.74,103.74,103.74,1600,0
2016-11-16,22:00:00,104.05,104.05,103.35,103.35,3600,0
2016-11-17,17:25:00,104.07,104.25,104.07,104.24,3957,0
2016-11-17,17:30:00,104.24,104.29,104.24,104.29,1800,0
2016-11-17,17:45:00,103.97,103.97,103.97,103.97,100,0
2016-11-17,18:00:00,104.4847,104.4847,104.4847,104.4847,150,0
2016-11-17,18:10:00,104.88,104.9,104.88,104.9,2600,0
2016-11-17,18:30:00,105.24,105.34,105.24,105.34,925,0
2016-11-17,20:00:00,104.7533,104.7533,104.7533,104.7533,155,0
2016-11-18,19:10:00,104.05,104.05,104.05,104.05,101,0
2016-11-21,15:50:00,105.2,105.2,105.05,105.05,1000,0
2016-11-21,15:55:00,105.02,105.08,104.97,105,1000,0
2016-11-21,16:55:00,104.97,104.97,104.9501,104.9501,200,0
2016-11-21,19:25:00,104.71,104.71,104.71,104.71,200,0
2016-11-21,21:25:00,104.76,104.76,104.76,104.76,100,0
2016-11-21,21:30:00,104.51,104.51,104.09,104.09,1100,0
2016-11-22,15:50:00,104.72,104.75,104.72,104.75,300,0
2016-11-22,16:35:00,104.38,104.38,104.38,104.38,100,0
2016-11-22,17:25:00,104.49,104.49,104.49,104.49,800,0
2016-11-22,17:30:00,104.49,104.5,104.49,104.5,500,0
2016-11-22,17:55:00,104.9,104.9,104.9,104.9,100,0
2016-11-22,21:50:00,105.67,105.67,105.66,105.67,300,0
2016-11-23,18:45:00,105,105.08,102.49,105.07,2700,0
2016-11-23,19:10:00,105.07,105.07,105.07,105.07,100,0
2016-11-23,20:30:00,105.07,105.07,105.07,105.07,100,0
2016-11-28,16:20:00,104.82,104.82,104.81,104.81,550,0
2016-11-28,17:05:00,104.84,104.84,104.84,104.84,100,0
2016-11-28,19:45:00,104.97,104.97,104.97,104.97,178,0
2016-11-28,20:30:00,104.71,104.71,104.71,104.71,111,0
2016-11-28,20:35:00,104.9,104.9,104.9,104.9,130,0
2016-11-29,16:00:00,105.02,105.02,105,105,2600,0
2016-11-29,17:45:00,104.78,104.79,104.78,104.79,2057,0
2016-11-29,20:05:00,104.73,104.73,104.73,104.73,259,0
2016-11-30,16:45:00,104.07,104.11,104.07,104.11,604,0
2016-11-30,18:10:00,103.5007,103.5007,103.5007,103.5007,160,0
2016-11-30,18:15:00,103.3135,103.3135,103.3135,103.3135,300,0
2016-11-30,19:25:00,102.96,102.97,102.96,102.97,300,0
2016-11-30,19:30:00,102.95,102.95,102.95,102.95,366,0
2016-11-30,21:10:00,102.8,102.8,102.8,102.8,300,0
2016-11-30,21:15:00,102.95,102.95,102.95,102.95,200,0
2016-11-30,21:20:00,102.88,102.88,102.88,102.88,100,0
2016-11-30,21:30:00,102.69,102.69,102.69,102.69,180,0
2016-11-30,21:40:00,102.68,102.68,102.68,102.68,100,0
2016-11-30,21:50:00,102.69,102.69,102.69,102.69,100,0
2016-11-30,22:00:00,102.87,102.87,102.87,102.87,100,0
2016-12-01,15:35:00,101.0001,101.0001,101.0001,101.0001,100,0
2016-12-01,17:15:00,102.08,102.08,102.08,102.08,700,0
2016-12-01,18:05:00,101.77,101.77,101.77,101.77,200,0
2016-12-01,20:25:00,101.74,101.74,101.74,101.74,100,0
2016-12-01,22:00:00,102.15,102.15,102.15,102.15,824,0
2016-12-02,18:15:00,102.16,102.52,102.16,102.49,1550,0
2016-12-02,20:25:00,102.46,102.46,102.45,102.45,4200,0
2016-12-02,20:30:00,102.45,102.5,102.45,102.5,3900,0
2016-12-02,20:35:00,102.45,102.45,102.3,102.3,1357,0
2016-12-02,22:00:00,102.4,102.4,102.4,102.4,1200,0
2016-12-05,15:35:00,101.81,102.41,101.81,102.41,509,0
2016-12-05,16:25:00,102.4,102.4,102.4,102.4,100,0
2016-12-05,18:35:00,102.69,102.7,102.69,102.7,1700,0
2016-12-05,18:40:00,102.79,102.84,102.79,102.84,3900,0
2016-12-05,19:30:00,102.566,102.566,102.566,102.566,200,0
2016-12-05,19:35:00,102.5,102.5,102.5,102.5,100,0
2016-12-05,20:10:00,102.87,102.87,102.87,102.87,100,0
2016-12-05,21:20:00,102.3701,102.3701,102.3701,102.3701,465,0
2016-12-05,21:40:00,102.5366,102.5366,102.5366,102.5366,370,0
2016-12-05,22:00:00,102.52,102.52,102.03,102.39,900,0
2016-12-06,17:20:00,102.83,102.87,102.83,102.87,200,0
2016-12-06,20:10:00,102.4617,102.4617,102.4617,102.4617,200,0
2016-12-06,20:30:00,102.39,102.39,102.0001,102.0001,1240,0
2016-12-06,21:55:00,101.84,101.84,101.84,101.84,100,0
2016-12-06,22:00:00,101.83,101.84,101.47,101.55,1980,0
2016-12-07,18:45:00,101.65,101.6501,101.65,101.6501,850,0
2016-12-07,19:50:00,102.09,102.09,102.09,102.09,100,0
2016-12-07,20:50:00,102.25,102.25,102.25,102.25,200,0
2016-12-07,22:00:00,102.86,102.86,102.86,102.86,100,0
2016-12-08,20:10:00,102.9,102.9,102.9,102.9,399,0
2016-12-08,20:25:00,102.8,102.8,102.8,102.8,100,0
2016-12-08,20:50:00,102.971,102.971,102.971,102.971,200,0
2016-12-08,20:55:00,102.86,102.86,102.86,102.86,100,0
2016-12-08,21:05:00,102.87,103.25,102.87,103.25,1100,0
2016-12-08,21:10:00,102.84,102.84,102.84,102.84,200,0
2016-12-08,21:20:00,102.9672,102.9672,102.9672,102.9672,100,0
2016-12-09,18:40:00,103.229,103.229,103.229,103.229,100,0
2016-12-09,21:50:00,103.0018,103.0018,103.0018,103.0018,235,0
2016-12-12,15:40:00,102.9501,103.47,102.9501,103.47,318,0
2016-12-12,16:40:00,103.59,103.59,103.59,103.59,100,0
2016-12-12,16:55:00,104.22,104.22,104.22,104.22,100,0
2016-12-12,17:00:00,104.18,104.25,104.18,104.25,2665,0
2016-12-12,18:40:00,103.79,103.79,103.79,103.79,730,0
2016-12-12,19:00:00,103.9,103.9,103.9,103.9,330,0
2016-12-12,19:20:00,103.53,103.56,103.53,103.56,300,0
2016-12-12,19:25:00,103.56,103.5601,103.56,103.5601,200,0
2016-12-12,19:30:00,103.5501,103.5501,103.5501,103.5501,200,0
2016-12-12,19:35:00,103.53,103.6721,103.53,103.6721,231,0
2016-12-12,19:40:00,103.52,103.52,103.52,103.52,100,0
2016-12-12,20:00:00,103.46,103.46,103.46,103.46,103,0
2016-12-12,20:15:00,103.88,103.88,103.73,103.88,1000,0
2016-12-12,20:20:00,103.52,103.52,103.52,103.52,100,0
2016-12-12,20:35:00,103.6553,103.6553,103.5,103.5,240,0
2016-12-12,22:00:00,103.41,103.8,103.41,103.45,700,0
2016-12-13,15:35:00,104.56,104.56,104.24,104.24,2139,0
2016-12-13,15:40:00,104.61,104.64,104.61,104.64,1200,0
2016-12-13,17:25:00,104.6,104.7564,104.6,104.7564,273,0
2016-12-13,17:50:00,104.6101,104.6101,104.6101,104.6101,100,0
2016-12-13,19:45:00,104.83,104.83,104.83,104.83,100,0
2016-12-13,19:55:00,105.124,105.124,105.124,105.124,100,0
2016-12-13,21:35:00,105.1,105.11,105.1,105.11,500,0
2016-12-14,16:20:00,105.25,105.25,105.25,105.25,100,0
2016-12-14,16:30:00,105.245,105.25,105.245,105.25,500,0
2016-12-14,16:35:00,105.25,105.25,105.25,105.25,200,0
2016-12-14,18:20:00,105.29,105.29,105.28,105.28,500,0
2016-12-14,21:10:00,105,105,105,105,100,0
2016-12-14,22:00:00,105.15,105.15,105.15,105.15,193,0
2016-12-15,15:35:00,104.5,104.5,104.5,104.5,200,0
2016-12-15,16:15:00,105.25,105.25,105.25,105.25,200,0
