Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,15:35:00,7.75,7.8,7.6715,7.8,5493,0
2017-04-06,15:40:00,7.7944,7.8,7.75,7.7812,6474,0
2017-04-06,15:45:00,7.8,7.85,7.8,7.85,600,0
2017-04-06,15:50:00,7.85,7.85,7.85,7.85,100,0
2017-04-06,15:55:00,7.85,7.85,7.8,7.8,200,0
2017-04-06,16:00:00,7.8,7.8,7.75,7.75,1100,0
2017-04-06,16:15:00,7.8,7.8,7.795,7.8,3115,0
2017-04-06,16:20:00,7.8,7.8,7.8,7.8,700,0
2017-04-06,16:25:00,7.8,7.8,7.8,7.8,1900,0
2017-04-06,16:30:00,7.8,7.8,7.8,7.8,200,0
2017-04-06,16:35:00,7.8,7.8,7.8,7.8,3491,0
2017-04-06,16:40:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,16:50:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,16:55:00,7.85,7.85,7.85,7.85,100,0
2017-04-06,17:00:00,7.8,7.8,7.8,7.8,500,0
2017-04-06,17:05:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,17:10:00,7.8,7.8,7.8,7.8,300,0
2017-04-06,17:15:00,7.825,7.825,7.825,7.825,300,0
2017-04-06,17:25:00,7.85,7.85,7.85,7.85,100,0
2017-04-06,17:30:00,7.85,7.875,7.825,7.825,3130,0
2017-04-06,17:40:00,7.85,7.85,7.8,7.8,1600,0
2017-04-06,17:55:00,7.8,7.825,7.8,7.825,1100,0
2017-04-06,18:00:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,18:10:00,7.8,7.825,7.8,7.825,1667,0
2017-04-06,18:15:00,7.8,7.8,7.8,7.8,500,0
2017-04-06,18:20:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,18:30:00,7.825,7.825,7.825,7.825,300,0
2017-04-06,18:35:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,18:40:00,7.8,7.8,7.8,7.8,455,0
2017-04-06,18:50:00,7.825,7.825,7.8,7.8,500,0
2017-04-06,19:00:00,7.825,7.825,7.825,7.825,200,0
2017-04-06,19:10:00,7.8,7.825,7.8,7.825,600,0
2017-04-06,19:15:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,19:25:00,7.8,7.8,7.8,7.8,200,0
2017-04-06,19:30:00,7.8,7.825,7.8,7.825,300,0
2017-04-06,19:35:00,7.825,7.825,7.8,7.8,200,0
2017-04-06,19:40:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,19:45:00,7.825,7.825,7.825,7.825,200,0
2017-04-06,19:55:00,7.825,7.825,7.8,7.8,200,0
2017-04-06,20:00:00,7.825,7.825,7.8,7.8,300,0
2017-04-06,20:05:00,7.8,7.825,7.8,7.825,500,0
2017-04-06,20:10:00,7.825,7.825,7.8,7.8,500,0
2017-04-06,20:20:00,7.825,7.825,7.825,7.825,500,0
2017-04-06,20:30:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,20:40:00,7.8,7.8,7.8,7.8,100,0
2017-04-06,20:45:00,7.8,7.85,7.8,7.825,700,0
2017-04-06,20:50:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,20:55:00,7.825,7.825,7.8,7.8,200,0
2017-04-06,21:00:00,7.825,7.825,7.825,7.825,100,0
2017-04-06,21:10:00,7.825,7.825,7.8,7.8,200,0
2017-04-06,21:15:00,7.85,7.85,7.8,7.8,2100,0
2017-04-06,21:20:00,7.8,7.8,7.8,7.8,100,0
2017-04-06,21:25:00,7.8,7.8,7.8,7.8,100,0
2017-04-06,21:40:00,7.8,7.8,7.8,7.8,100,0
2017-04-06,21:45:00,7.825,7.85,7.8,7.825,1500,0
2017-04-06,21:50:00,7.8247,7.85,7.8247,7.825,1622,0
2017-04-06,21:55:00,7.85,7.85,7.825,7.85,5900,0
2017-04-06,22:00:00,7.85,7.85,7.825,7.85,1700,0
2017-04-07,15:35:00,7.85,7.85,7.8,7.8,1496,0
2017-04-07,15:40:00,7.84,7.84,7.84,7.84,2000,0
2017-04-07,15:45:00,7.8205,7.9,7.8205,7.9,2650,0
2017-04-07,15:50:00,7.8,7.851,7.8,7.851,900,0
2017-04-07,15:55:00,7.9,7.9,7.9,7.9,100,0
2017-04-07,16:05:00,7.9,7.95,7.9,7.95,2300,0
2017-04-07,16:10:00,7.95,8.1,7.925,8,15107,0
2017-04-07,16:15:00,8.05,8.05,8,8.05,2217,0
2017-04-07,16:20:00,8.025,8.1,8.025,8.025,2528,0
2017-04-07,16:25:00,8.05,8.05,8.05,8.05,1300,0
2017-04-07,16:30:00,8.05,8.05,8,8.05,1100,0
2017-04-07,16:35:00,8.05,8.05,8,8,2500,0
2017-04-07,16:40:00,8.025,8.025,8,8,1610,0
2017-04-07,16:45:00,8,8,8,8,300,0
2017-04-07,16:50:00,8,8,8,8,300,0
2017-04-07,16:55:00,8,8,8,8,865,0
2017-04-07,17:00:00,8,8,8,8,700,0
2017-04-07,17:10:00,7.9833,8,7.9833,8,2100,0
2017-04-07,17:15:00,8,8.05,8,8,3400,0
2017-04-07,17:25:00,8.025,8.025,8.016,8.016,200,0
2017-04-07,17:30:00,8,8,8,8,100,0
2017-04-07,17:35:00,8,8.026,8,8,1400,0
2017-04-07,17:40:00,8,8,8,8,100,0
2017-04-07,17:45:00,8,8,8,8,300,0
2017-04-07,17:50:00,8,8,8,8,100,0
2017-04-07,17:55:00,8.025,8.025,8,8.025,2400,0
2017-04-07,18:00:00,8,8.005,8,8.005,2300,0
2017-04-07,18:05:00,8.005,8.025,8,8.025,2100,0
2017-04-07,18:10:00,8,8,8,8,700,0
2017-04-07,18:20:00,8,8.025,8,8,400,0
2017-04-07,18:25:00,8,8,8,8,100,0
