Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,3.25,3.25,3.25,3.25,505,0
2017-04-05,15:40:00,3.25,3.25,3.25,3.25,532,0
2017-04-05,15:45:00,3.25,3.2587,3.2,3.2,1500,0
2017-04-05,15:50:00,3.2416,3.2416,3.2,3.2001,1900,0
2017-04-05,15:55:00,3.249,3.2748,3.249,3.2748,3075,0
2017-04-05,16:00:00,3.3,3.3,3.25,3.3,300,0
2017-04-05,16:10:00,3.25,3.25,3.25,3.25,100,0
2017-04-05,16:15:00,3.275,3.275,3.25,3.25,300,0
2017-04-05,16:20:00,3.2999,3.2999,3.25,3.25,4721,0
2017-04-05,16:25:00,3.25,3.275,3.25,3.275,700,0
2017-04-05,16:30:00,3.2501,3.275,3.25,3.25,300,0
2017-04-05,16:35:00,3.275,3.275,3.2501,3.2501,200,0
2017-04-05,16:40:00,3.27,3.27,3.25,3.25,3400,0
2017-04-05,16:45:00,3.2501,3.2501,3.25,3.25,600,0
2017-04-05,16:50:00,3.2501,3.275,3.25,3.25,1800,0
2017-04-05,16:55:00,3.25,3.275,3.25,3.25,3448,0
2017-04-05,17:00:00,3.25,3.275,3.25,3.2501,900,0
2017-04-05,17:05:00,3.281,3.281,3.2,3.25,7808,0
2017-04-05,17:10:00,3.25,3.25,3.2,3.2,600,0
2017-04-05,17:15:00,3.2,3.25,3.2,3.2,500,0
2017-04-05,17:20:00,3.225,3.25,3.2,3.2,5300,0
2017-04-05,17:25:00,3.2,3.25,3.2,3.2,600,0
2017-04-05,17:30:00,3.2,3.2,3.2,3.2,400,0
2017-04-05,17:35:00,3.225,3.225,3.2,3.2,400,0
2017-04-05,17:40:00,3.2,3.225,3.2,3.225,200,0
2017-04-05,17:45:00,3.2001,3.225,3.2001,3.225,200,0
2017-04-05,17:55:00,3.2,3.225,3.2,3.225,200,0
2017-04-05,18:00:00,3.225,3.225,3.225,3.225,100,0
2017-04-05,18:05:00,3.2,3.2,3.2,3.2,100,0
2017-04-05,18:10:00,3.225,3.225,3.225,3.225,500,0
2017-04-05,18:15:00,3.2,3.2002,3.2,3.2,400,0
2017-04-05,18:20:00,3.225,3.225,3.225,3.225,200,0
2017-04-05,18:25:00,3.2499,3.2499,3.2,3.2,1639,0
2017-04-05,18:30:00,3.2,3.2,3.2,3.2,200,0
2017-04-05,18:40:00,3.2001,3.2001,3.2001,3.2001,100,0
2017-04-05,18:55:00,3.2,3.2,3.2,3.2,200,0
2017-04-05,19:05:00,3.2,3.2,3.2,3.2,100,0
2017-04-05,19:15:00,3.225,3.225,3.225,3.225,100,0
2017-04-05,19:20:00,3.2001,3.225,3.2001,3.225,200,0
2017-04-05,19:25:00,3.2,3.2416,3.2,3.2416,355,0
2017-04-05,19:30:00,3.2,3.2,3.2,3.2,200,0
2017-04-05,19:35:00,3.2,3.2,3.2,3.2,100,0
2017-04-05,19:40:00,3.2001,3.2001,3.2001,3.2001,100,0
2017-04-05,19:45:00,3.2002,3.2002,3.2,3.2,2700,0
2017-04-05,19:50:00,3.2,3.225,3.2,3.2,2100,0
2017-04-05,19:55:00,3.2,3.21,3.2,3.2,3126,0
2017-04-05,20:00:00,3.2,3.225,3.175,3.2,14108,0
2017-04-05,20:05:00,3.2,3.215,3.2,3.2,5600,0
2017-04-05,20:10:00,3.2,3.21,3.2,3.2,3100,0
2017-04-05,20:15:00,3.2001,3.2001,3.2,3.2,1100,0
2017-04-05,20:20:00,3.2,3.2,3.15,3.15,2400,0
2017-04-05,20:25:00,3.15,3.1999,3.15,3.15,1900,0
2017-04-05,20:30:00,3.15,3.2,3.15,3.15,3300,0
2017-04-05,20:35:00,3.15,3.175,3.15,3.15,2000,0
2017-04-05,20:40:00,3.15,3.2,3.15,3.15,3228,0
2017-04-05,20:45:00,3.15,3.2,3.15,3.15,400,0
2017-04-05,20:50:00,3.15,3.2,3.15,3.15,1900,0
2017-04-05,20:55:00,3.15,3.15,3.1,3.145,12017,0
2017-04-05,21:00:00,3.1,3.135,3.1,3.1,1400,0
2017-04-05,21:05:00,3.15,3.15,3.1,3.1,799,0
2017-04-05,21:10:00,3.1,3.15,3.1,3.15,800,0
2017-04-05,21:15:00,3.1,3.15,3.1,3.1,2500,0
2017-04-05,21:20:00,3.1428,3.15,3.1,3.1,1800,0
2017-04-05,21:25:00,3.15,3.15,3.1,3.125,3370,0
2017-04-05,21:30:00,3.1,3.15,3.1,3.125,8224,0
2017-04-05,21:35:00,3.125,3.15,3.1,3.1,2512,0
2017-04-05,21:40:00,3.1,3.15,3.1,3.125,10070,0
2017-04-05,21:45:00,3.125,3.15,3.1,3.15,2000,0
2017-04-05,21:50:00,3.125,3.15,3.1,3.15,4500,0
2017-04-05,21:55:00,3.15,3.15,3.1,3.15,9220,0
2017-04-05,22:00:00,3.15,3.15,3.05,3.1,56844,0
2017-04-06,15:35:00,3.1,3.1,3.1,3.1,960,0
2017-04-06,15:40:00,3.1,3.1,3.05,3.05,5824,0
2017-04-06,15:45:00,3.05,3.05,3.05,3.05,400,0
2017-04-06,15:50:00,3.05,3.051,3,3.0495,13838,0
2017-04-06,15:55:00,3.025,3.05,3,3.05,3503,0
2017-04-06,16:00:00,3.05,3.0999,3,3,300,0
2017-04-06,16:05:00,3,3.0499,3,3,10850,0
2017-04-06,16:10:00,3,3.03,3,3.03,1400,0
2017-04-06,16:15:00,3,3,3,3,300,0
2017-04-06,16:20:00,3,3,3,3,300,0
2017-04-06,16:25:00,3.05,3.05,3,3,1200,0
2017-04-06,16:30:00,3,3,3,3,950,0
2017-04-06,16:35:00,3,3.0375,3,3,2320,0
2017-04-06,16:40:00,3,3,3,3,300,0
2017-04-06,16:45:00,3.0499,3.05,3,3,950,0
2017-04-06,16:50:00,3.049,3.05,3,3,6760,0
2017-04-06,16:55:00,3,3.009,3,3,870,0
2017-04-06,17:00:00,3,3,3,3,400,0
2017-04-06,17:05:00,3,3,2.9,2.925,44232,0
2017-04-06,17:10:00,2.925,2.9855,2.9,2.9,9764,0
2017-04-06,17:15:00,2.95,2.95,2.9,2.9,5580,0
2017-04-06,17:20:00,2.9,2.95,2.9,2.95,6130,0
2017-04-06,17:25:00,2.9221,2.9221,2.9221,2.9221,150,0
2017-04-06,17:30:00,2.9097,2.95,2.9097,2.95,3021,0
2017-04-06,17:35:00,2.9744,3,2.9539,3,3801,0
2017-04-06,17:45:00,2.95,2.95,2.95,2.95,200,0
2017-04-06,17:50:00,2.95,2.95,2.95,2.95,300,0
2017-04-06,17:55:00,2.95,3,2.95,2.975,1300,0
2017-04-06,18:00:00,2.95,2.95,2.95,2.95,300,0
2017-04-06,18:05:00,2.95,2.95,2.95,2.95,100,0
2017-04-06,18:10:00,2.999,3,2.95,3,7238,0
2017-04-06,18:15:00,3,3.05,2.985,3.0001,6861,0
2017-04-06,18:20:00,3.0445,3.0445,3.0445,3.0445,500,0
2017-04-06,18:25:00,3.0499,3.0499,3.0315,3.0315,4400,0
2017-04-06,18:30:00,3,3.045,3,3.0445,3300,0
2017-04-06,18:35:00,3,3,3,3,200,0
2017-04-06,18:45:00,3,3,3,3,400,0
2017-04-06,18:50:00,3.0499,3.0499,3.0499,3.0499,175,0
2017-04-06,18:55:00,3,3,3,3,200,0
2017-04-06,19:05:00,3,3,3,3,100,0
2017-04-06,19:10:00,3.0449,3.0449,3.03,3.03,200,0
2017-04-06,19:15:00,3.025,3.025,3,3,688,0
2017-04-06,19:25:00,3,3,3,3,300,0
