Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,1.44,1.4692,1.44,1.4692,153894,0
2017-04-10,15:40:00,1.47,1.48,1.455,1.46,23664,0
2017-04-10,15:45:00,1.46,1.47,1.46,1.46,13550,0
2017-04-10,15:50:00,1.46,1.46,1.46,1.46,3500,0
2017-04-10,15:55:00,1.46,1.47,1.46,1.46,1575,0
2017-04-10,16:00:00,1.46,1.47,1.46,1.46,8500,0
2017-04-10,16:05:00,1.46,1.52,1.46,1.485,66103,0
2017-04-10,16:10:00,1.485,1.49,1.48,1.485,11301,0
2017-04-10,16:15:00,1.48,1.4864,1.48,1.485,12250,0
2017-04-10,16:20:00,1.485,1.5,1.48,1.4973,30156,0
2017-04-10,16:25:00,1.495,1.5,1.47,1.475,19282,0
2017-04-10,16:30:00,1.475,1.48,1.475,1.475,8640,0
2017-04-10,16:35:00,1.47,1.48,1.47,1.4784,4230,0
2017-04-10,16:40:00,1.475,1.48,1.47,1.475,12017,0
2017-04-10,16:45:00,1.475,1.48,1.47,1.4791,2700,0
2017-04-10,16:50:00,1.47,1.48,1.47,1.475,6420,0
2017-04-10,16:55:00,1.475,1.48,1.47,1.475,5300,0
2017-04-10,17:00:00,1.475,1.48,1.47,1.475,13000,0
2017-04-10,17:05:00,1.475,1.48,1.47,1.48,4400,0
2017-04-10,17:10:00,1.475,1.48,1.47,1.475,9965,0
2017-04-10,17:15:00,1.475,1.48,1.47,1.47,2000,0
2017-04-10,17:20:00,1.47,1.48,1.47,1.47,4100,0
2017-04-10,17:25:00,1.48,1.48,1.46,1.4627,74411,0
2017-04-10,17:30:00,1.45,1.4588,1.44,1.4401,75886,0
2017-04-10,17:35:00,1.44,1.45,1.44,1.4453,27638,0
2017-04-10,17:40:00,1.44,1.445,1.42,1.43,86640,0
2017-04-10,17:45:00,1.43,1.435,1.43,1.43,10156,0
2017-04-10,17:50:00,1.43,1.4351,1.43,1.43,4460,0
2017-04-10,17:55:00,1.435,1.44,1.43,1.43,15057,0
2017-04-10,18:00:00,1.43,1.45,1.42,1.445,81437,0
2017-04-10,18:05:00,1.4475,1.4475,1.4475,1.4475,1570,0
2017-04-10,18:10:00,1.445,1.45,1.44,1.44,12210,0
2017-04-10,18:15:00,1.4458,1.45,1.445,1.45,2595,0
2017-04-10,18:20:00,1.45,1.45,1.44,1.45,12750,0
2017-04-10,18:25:00,1.445,1.45,1.4412,1.443,28100,0
2017-04-10,18:30:00,1.445,1.45,1.43,1.43,90851,0
2017-04-10,18:35:00,1.44,1.445,1.4393,1.445,7324,0
2017-04-10,18:40:00,1.445,1.45,1.44,1.445,4400,0
2017-04-10,18:45:00,1.44,1.45,1.44,1.44,1250,0
2017-04-10,18:50:00,1.44,1.45,1.44,1.44,2921,0
2017-04-10,18:55:00,1.44,1.45,1.44,1.44,11321,0
2017-04-10,19:00:00,1.44,1.445,1.44,1.44,6693,0
2017-04-10,19:05:00,1.44,1.4411,1.43,1.435,21542,0
2017-04-10,19:10:00,1.435,1.44,1.43,1.435,1900,0
2017-04-10,19:15:00,1.435,1.44,1.43,1.435,5300,0
2017-04-10,19:20:00,1.435,1.44,1.43,1.43,6300,0
2017-04-10,19:25:00,1.43,1.44,1.43,1.43,4170,0
2017-04-10,19:30:00,1.4361,1.44,1.43,1.435,5068,0
2017-04-10,19:35:00,1.43,1.44,1.43,1.43,6337,0
2017-04-10,19:40:00,1.43,1.44,1.43,1.435,2000,0
2017-04-10,19:45:00,1.43,1.44,1.43,1.436,10100,0
2017-04-10,19:50:00,1.43,1.44,1.43,1.435,9700,0
2017-04-10,19:55:00,1.435,1.44,1.43,1.435,23150,0
2017-04-10,20:00:00,1.435,1.44,1.43,1.435,7000,0
2017-04-10,20:05:00,1.435,1.44,1.43,1.44,8300,0
2017-04-10,20:10:00,1.435,1.44,1.43,1.43,2666,0
2017-04-10,20:15:00,1.43,1.44,1.43,1.43,9281,0
2017-04-10,20:20:00,1.435,1.44,1.43,1.435,8500,0
2017-04-10,20:25:00,1.435,1.44,1.43,1.43,4025,0
2017-04-10,20:30:00,1.43,1.44,1.43,1.4343,12026,0
2017-04-10,20:35:00,1.44,1.44,1.43,1.43,2600,0
2017-04-10,20:40:00,1.43,1.44,1.43,1.43,9100,0
2017-04-10,20:45:00,1.43,1.44,1.43,1.43,8695,0
2017-04-10,20:50:00,1.43,1.44,1.42,1.44,62373,0
2017-04-10,20:55:00,1.43,1.44,1.43,1.44,2000,0
2017-04-10,21:00:00,1.43,1.4381,1.43,1.43,2450,0
2017-04-10,21:05:00,1.43,1.44,1.43,1.44,7895,0
2017-04-10,21:10:00,1.43,1.435,1.43,1.43,9000,0
2017-04-10,21:15:00,1.43,1.44,1.43,1.43,7300,0
2017-04-10,21:20:00,1.4344,1.435,1.42,1.42,20183,0
2017-04-10,21:25:00,1.42,1.43,1.42,1.42,10400,0
2017-04-10,21:30:00,1.42,1.42,1.41,1.42,50583,0
2017-04-10,21:35:00,1.42,1.42,1.41,1.4107,5540,0
2017-04-10,21:40:00,1.415,1.42,1.41,1.41,7950,0
2017-04-10,21:45:00,1.42,1.42,1.415,1.42,5960,0
2017-04-10,21:50:00,1.42,1.42,1.415,1.42,4692,0
2017-04-10,21:55:00,1.415,1.42,1.41,1.42,19865,0
2017-04-10,22:00:00,1.42,1.42,1.41,1.41,57405,0
2017-04-11,15:35:00,1.39,1.4452,1.38,1.44,50274,0
2017-04-11,15:40:00,1.44,1.44,1.42,1.42,8400,0
