Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,49.5,49.58,49.42,49.4798,59459,0
2017-04-10,15:40:00,49.48,49.58,49.47,49.54,40058,0
2017-04-10,15:45:00,49.565,49.64,49.53,49.53,20666,0
2017-04-10,15:50:00,49.54,49.56,49.5,49.52,72361,0
2017-04-10,15:55:00,49.53,49.53,49.42,49.42,45118,0
2017-04-10,16:00:00,49.42,49.43,49.31,49.35,139316,0
2017-04-10,16:05:00,49.36,49.425,49.32,49.32,32509,0
2017-04-10,16:10:00,49.315,49.36,49.27,49.27,31115,0
2017-04-10,16:15:00,49.265,49.295,49.2301,49.2301,41761,0
2017-04-10,16:20:00,49.23,49.24,49.17,49.1899,69057,0
2017-04-10,16:25:00,49.19,49.24,49.12,49.23,105187,0
2017-04-10,16:30:00,49.23,49.24,49.2,49.215,49885,0
2017-04-10,16:35:00,49.22,49.29,49.22,49.24,30876,0
2017-04-10,16:40:00,49.245,49.3,49.22,49.225,41772,0
2017-04-10,16:45:00,49.225,49.23,49.165,49.195,134048,0
2017-04-10,16:50:00,49.1949,49.215,49.155,49.171,29095,0
2017-04-10,16:55:00,49.17,49.179,49.105,49.13,35957,0
2017-04-10,17:00:00,49.13,49.14,49.04,49.055,38793,0
2017-04-10,17:05:00,49.06,49.08,49.04,49.05,49962,0
2017-04-10,17:10:00,49.05,49.06,49,49.06,73024,0
2017-04-10,17:15:00,49.06,49.11,49.05,49.11,33061,0
2017-04-10,17:20:00,49.11,49.13,49.1,49.11,28856,0
2017-04-10,17:25:00,49.11,49.17,49.1,49.16,70704,0
2017-04-10,17:30:00,49.16,49.1699,49.04,49.04,48383,0
2017-04-10,17:35:00,49.05,49.054,48.94,48.96,49502,0
2017-04-10,17:40:00,48.95,48.99,48.9469,48.96,16657,0
2017-04-10,17:45:00,48.96,48.97,48.9,48.93,37426,0
2017-04-10,17:50:00,48.92,48.98,48.92,48.975,18720,0
2017-04-10,17:55:00,48.97,49.03,48.96,49.03,26974,0
2017-04-10,18:00:00,49.02,49.025,49,49.01,15025,0
2017-04-10,18:05:00,49.01,49.05,49.01,49.04,32640,0
2017-04-10,18:10:00,49.05,49.05,48.99,48.99,26019,0
2017-04-10,18:15:00,49,49.01,48.87,48.89,59138,0
2017-04-10,18:20:00,48.9,48.92,48.89,48.9,15089,0
2017-04-10,18:25:00,48.9,48.97,48.9,48.95,15641,0
2017-04-10,18:30:00,48.95,48.96,48.92,48.955,7034,0
2017-04-10,18:35:00,48.95,48.995,48.94,48.995,18065,0
2017-04-10,18:40:00,48.99,49,48.97,48.97,19034,0
2017-04-10,18:45:00,48.98,49,48.97,48.985,21013,0
2017-04-10,18:50:00,48.98,49.05,48.98,49.049,23309,0
2017-04-10,18:55:00,49.05,49.13,49.0443,49.1094,23023,0
2017-04-10,19:00:00,49.1,49.11,49.0701,49.08,15376,0
2017-04-10,19:05:00,49.07,49.1,49.07,49.08,77185,0
2017-04-10,19:10:00,49.09,49.17,49.085,49.16,34533,0
2017-04-10,19:15:00,49.15,49.19,49.14,49.17,25790,0
2017-04-10,19:20:00,49.18,49.18,49.13,49.16,28907,0
2017-04-10,19:25:00,49.17,49.23,49.16,49.23,60151,0
2017-04-10,19:30:00,49.22,49.23,49.175,49.19,28285,0
2017-04-10,19:35:00,49.19,49.2,49.165,49.18,26815,0
2017-04-10,19:40:00,49.18,49.23,49.175,49.18,49906,0
2017-04-10,19:45:00,49.18,49.19,49.14,49.15,21061,0
2017-04-10,19:50:00,49.15,49.18,49.135,49.1548,23763,0
2017-04-10,19:55:00,49.15,49.15,49.09,49.12,20109,0
2017-04-10,20:00:00,49.12,49.159,49.115,49.14,26007,0
2017-04-10,20:05:00,49.145,49.145,49.04,49.04,38319,0
2017-04-10,20:10:00,49.05,49.07,49.045,49.05,26985,0
2017-04-10,20:15:00,49.055,49.105,49.055,49.09,23903,0
2017-04-10,20:20:00,49.09,49.095,49.065,49.075,18584,0
2017-04-10,20:25:00,49.075,49.08,49.05,49.055,34469,0
2017-04-10,20:30:00,49.06,49.065,49,49.005,26634,0
2017-04-10,20:35:00,49,49.045,48.99,49,24828,0
2017-04-10,20:40:00,48.99,49.005,48.94,48.965,25875,0
2017-04-10,20:45:00,48.965,49.01,48.94,48.995,32769,0
2017-04-10,20:50:00,49,49.085,48.995,49.07,44126,0
2017-04-10,20:55:00,49.08,49.1,49.045,49.09,37211,0
2017-04-10,21:00:00,49.09,49.12,49.08,49.1,46454,0
2017-04-10,21:05:00,49.105,49.13,49.09,49.105,60462,0
2017-04-10,21:10:00,49.105,49.13,49.055,49.055,47946,0
2017-04-10,21:15:00,49.055,49.09,49.045,49.05,31992,0
2017-04-10,21:20:00,49.05,49.06,48.995,49,49770,0
2017-04-10,21:25:00,49.005,49.005,48.925,49,68552,0
2017-04-10,21:30:00,48.99,49,48.975,48.975,28342,0
2017-04-10,21:35:00,48.979,49,48.95,48.995,34497,0
2017-04-10,21:40:00,49,49.01,48.975,49.001,50091,0
2017-04-10,21:45:00,49,49.01,48.985,48.99,77617,0
2017-04-10,21:50:00,48.99,49,48.98,48.985,56421,0
2017-04-10,21:55:00,48.98,49.01,48.98,48.9999,93521,0
2017-04-10,22:00:00,48.99,49.045,48.99,49.04,620728,0
2017-04-11,15:35:00,48.9,49.14,48.73,49.04,86644,0
2017-04-11,15:40:00,49.06,49.11,48.99,49.1,21821,0
2017-04-11,15:45:00,49.09,49.09,48.98,49.01,18757,0
2017-04-11,15:50:00,48.99,48.99,48.84,48.87,17448,0
2017-04-11,15:55:00,48.8789,48.88,48.8101,48.88,26490,0
2017-04-11,16:00:00,48.88,48.89,48.8096,48.8401,15027,0
2017-04-11,16:05:00,48.86,48.97,48.8,48.97,100447,0
