Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,39.43,39.43,39.335,39.36,2232,0
2017-04-10,15:40:00,39.25,39.36,39.25,39.36,600,0
2017-04-10,15:45:00,39.38,39.46,39.35,39.46,9386,0
2017-04-10,15:50:00,39.43,39.46,39.41,39.45,3232,0
2017-04-10,15:55:00,39.47,39.51,39.47,39.51,2037,0
2017-04-10,16:00:00,39.52,39.53,39.48,39.52,8236,0
2017-04-10,16:05:00,39.53,39.63,39.53,39.62,3067,0
2017-04-10,16:10:00,39.63,39.66,39.605,39.605,2050,0
2017-04-10,16:15:00,39.63,39.655,39.605,39.65,1500,0
2017-04-10,16:20:00,39.64,39.69,39.63,39.68,1796,0
2017-04-10,16:25:00,39.69,39.72,39.66,39.66,2001,0
2017-04-10,16:30:00,39.66,39.71,39.66,39.68,2200,0
2017-04-10,16:35:00,39.69,39.71,39.69,39.71,1200,0
2017-04-10,16:40:00,39.73,39.74,39.68,39.7,2200,0
2017-04-10,16:45:00,39.66,39.66,39.61,39.61,2083,0
2017-04-10,16:50:00,39.625,39.68,39.625,39.67,2000,0
2017-04-10,16:55:00,39.6755,39.7,39.66,39.7,1100,0
2017-04-10,17:00:00,39.71,39.73,39.69,39.69,1000,0
2017-04-10,17:05:00,39.68,39.7,39.67,39.67,2414,0
2017-04-10,17:10:00,39.64,39.683,39.64,39.683,2228,0
2017-04-10,17:15:00,39.675,39.7,39.67,39.69,1342,0
2017-04-10,17:20:00,39.71,39.71,39.67,39.67,1700,0
2017-04-10,17:25:00,39.66,39.66,39.6201,39.65,700,0
2017-04-10,17:30:00,39.65,39.67,39.64,39.64,886,0
2017-04-10,17:35:00,39.65,39.65,39.54,39.54,1833,0
2017-04-10,17:40:00,39.5,39.54,39.47,39.47,1400,0
2017-04-10,17:45:00,39.46,39.5,39.46,39.47,1300,0
2017-04-10,17:50:00,39.47,39.47,39.43,39.43,1800,0
2017-04-10,17:55:00,39.44,39.47,39.44,39.46,642,0
2017-04-10,18:00:00,39.42,39.46,39.42,39.46,1522,0
2017-04-10,18:05:00,39.46,39.48,39.4101,39.4101,5646,0
2017-04-10,18:10:00,39.42,39.45,39.42,39.43,900,0
2017-04-10,18:15:00,39.41,39.41,39.35,39.35,1200,0
2017-04-10,18:20:00,39.35,39.36,39.33,39.36,1033,0
2017-04-10,18:25:00,39.37,39.4,39.36,39.36,1026,0
2017-04-10,18:30:00,39.37,39.4,39.36,39.39,1200,0
2017-04-10,18:35:00,39.39,39.415,39.39,39.415,1000,0
2017-04-10,18:40:00,39.415,39.42,39.41,39.41,400,0
2017-04-10,18:45:00,39.42,39.42,39.38,39.38,601,0
2017-04-10,18:50:00,39.41,39.42,39.41,39.4101,908,0
2017-04-10,18:55:00,39.43,39.47,39.43,39.43,1865,0
2017-04-10,19:00:00,39.455,39.48,39.43,39.45,4287,0
2017-04-10,19:05:00,39.45,39.46,39.44,39.44,1657,0
2017-04-10,19:10:00,39.44,39.46,39.44,39.46,600,0
2017-04-10,19:15:00,39.4401,39.4401,39.4401,39.4401,100,0
2017-04-10,19:20:00,39.46,39.47,39.445,39.45,4700,0
2017-04-10,19:25:00,39.45,39.48,39.4401,39.48,7432,0
2017-04-10,19:30:00,39.52,39.55,39.52,39.55,1100,0
2017-04-10,19:35:00,39.55,39.55,39.5101,39.52,2104,0
2017-04-10,19:40:00,39.54,39.54,39.48,39.48,4062,0
2017-04-10,19:45:00,39.46,39.46,39.45,39.4562,700,0
2017-04-10,19:50:00,39.4603,39.4603,39.435,39.44,1350,0
2017-04-10,19:55:00,39.45,39.45,39.44,39.44,400,0
2017-04-10,20:00:00,39.46,39.48,39.45,39.48,1400,0
2017-04-10,20:05:00,39.47,39.48,39.41,39.41,2355,0
2017-04-10,20:10:00,39.41,39.43,39.41,39.41,1164,0
2017-04-10,20:15:00,39.41,39.44,39.4,39.44,3053,0
2017-04-10,20:20:00,39.4301,39.45,39.4201,39.4201,885,0
2017-04-10,20:25:00,39.43,39.43,39.4,39.4,1250,0
2017-04-10,20:30:00,39.4,39.41,39.35,39.35,4800,0
2017-04-10,20:35:00,39.38,39.41,39.38,39.41,1666,0
2017-04-10,20:40:00,39.41,39.41,39.39,39.39,997,0
2017-04-10,20:45:00,39.39,39.41,39.39,39.4,1400,0
2017-04-10,20:50:00,39.39,39.49,39.39,39.49,1465,0
2017-04-10,20:55:00,39.48,39.49,39.45,39.46,1883,0
2017-04-10,21:00:00,39.463,39.48,39.45,39.47,1975,0
2017-04-10,21:05:00,39.48,39.52,39.48,39.52,2400,0
2017-04-10,21:10:00,39.53,39.55,39.5,39.5,6042,0
2017-04-10,21:15:00,39.52,39.52,39.49,39.5,5809,0
2017-04-10,21:20:00,39.51,39.51,39.48,39.49,2648,0
2017-04-10,21:25:00,39.475,39.52,39.46,39.52,1640,0
2017-04-10,21:30:00,39.51,39.52,39.51,39.51,1100,0
