Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,6,6.05,5.95,5.976,8315,0
2017-04-10,15:40:00,6,6,6,6,100,0
2017-04-10,15:45:00,6,6,5.975,6,7666,0
2017-04-10,15:50:00,5.95,6,5.9,5.905,7618,0
2017-04-10,15:55:00,5.925,5.95,5.9,5.95,1900,0
2017-04-10,16:00:00,5.95,6.025,5.95,6,16675,0
2017-04-10,16:05:00,6,6,5.9821,6,12600,0
2017-04-10,16:10:00,6,6,6,6,5000,0
2017-04-10,16:15:00,6,6,5.99,6,1300,0
2017-04-10,16:20:00,6,6,5.97,6,2070,0
2017-04-10,16:25:00,6,6.045,5.975,6.045,18719,0
2017-04-10,16:30:00,6.034,6.1,6.034,6.1,15443,0
2017-04-10,16:35:00,6.075,6.11,6.075,6.11,12100,0
2017-04-10,16:40:00,6.125,6.15,6.1,6.125,14073,0
2017-04-10,16:45:00,6.145,6.175,6.05,6.075,47729,0
2017-04-10,16:50:00,6.075,6.095,6.05,6.075,12590,0
2017-04-10,16:55:00,6.075,6.095,6.055,6.084,2300,0
2017-04-10,17:00:00,6.075,6.1,6.075,6.1,1000,0
2017-04-10,17:05:00,6.1,6.1,6.05,6.075,1300,0
2017-04-10,17:10:00,6.05,6.075,6.025,6.025,11327,0
2017-04-10,17:15:00,6.025,6.05,6.0247,6.05,9906,0
2017-04-10,17:20:00,6.05,6.1,6.05,6.075,7340,0
2017-04-10,17:25:00,6.1,6.1,6.075,6.075,800,0
2017-04-10,17:30:00,6.1,6.1,6.075,6.075,4390,0
2017-04-10,17:35:00,6.1,6.1,6,6.025,18420,0
2017-04-10,17:40:00,6.025,6.025,6,6,600,0
2017-04-10,17:45:00,6.045,6.05,6,6.05,2276,0
2017-04-10,17:50:00,6.029,6.05,6.025,6.025,3024,0
2017-04-10,17:55:00,6.05,6.05,6.05,6.05,300,0
2017-04-10,18:00:00,6.05,6.05,6,6.025,6500,0
2017-04-10,18:05:00,6,6.0252,5.975,5.975,21867,0
2017-04-10,18:10:00,5.975,6,5.95,5.95,1000,0
2017-04-10,18:15:00,5.9805,5.9805,5.95,5.95,4650,0
2017-04-10,18:20:00,5.95,5.95,5.9,5.9,6900,0
2017-04-10,18:25:00,5.9,5.95,5.9,5.925,2200,0
2017-04-10,18:30:00,5.95,5.95,5.925,5.95,600,0
2017-04-10,18:35:00,5.95,5.95,5.9,5.9167,1500,0
2017-04-10,18:40:00,5.925,5.925,5.9,5.925,1265,0
2017-04-10,18:45:00,5.9,5.9,5.8,5.8,44662,0
2017-04-10,18:50:00,5.8,5.825,5.75,5.775,15550,0
2017-04-10,18:55:00,5.775,5.795,5.75,5.75,9933,0
2017-04-10,19:00:00,5.75,5.8,5.75,5.75,7390,0
2017-04-10,19:05:00,5.775,5.775,5.75,5.75,1300,0
2017-04-10,19:10:00,5.75,5.79,5.7,5.7,10008,0
2017-04-10,19:15:00,5.725,5.725,5.65,5.725,29815,0
2017-04-10,19:20:00,5.725,5.725,5.65,5.7,17889,0
2017-04-10,19:25:00,5.675,5.6937,5.625,5.65,20463,0
2017-04-10,19:30:00,5.65,5.7,5.65,5.7,1400,0
2017-04-10,19:35:00,5.7,5.775,5.675,5.75,28099,0
2017-04-10,19:40:00,5.75,5.8,5.75,5.775,5400,0
2017-04-10,19:45:00,5.8,5.8,5.75,5.8,5725,0
2017-04-10,19:50:00,5.779,5.8,5.7,5.7,22761,0
2017-04-10,19:55:00,5.7,5.725,5.65,5.65,14200,0
2017-04-10,20:00:00,5.6821,5.7,5.65,5.7,4210,0
2017-04-10,20:05:00,5.7,5.725,5.7,5.725,9400,0
2017-04-10,20:10:00,5.7,5.75,5.7,5.725,1200,0
2017-04-10,20:15:00,5.725,5.725,5.7,5.725,7250,0
2017-04-10,20:20:00,5.725,5.75,5.7,5.725,3900,0
2017-04-10,20:25:00,5.745,5.745,5.7,5.725,1700,0
2017-04-10,20:30:00,5.725,5.745,5.7,5.74,13730,0
2017-04-10,20:35:00,5.7,5.725,5.7,5.725,6019,0
2017-04-10,20:40:00,5.725,5.725,5.7,5.7,5066,0
2017-04-10,20:45:00,5.7,5.7271,5.625,5.625,47870,0
2017-04-10,20:50:00,5.6,5.65,5.6,5.6,13831,0
2017-04-10,20:55:00,5.6,5.6,5.55,5.55,34024,0
2017-04-10,21:00:00,5.55,5.575,5.55,5.55,4500,0
2017-04-10,21:05:00,5.55,5.625,5.55,5.6,14575,0
2017-04-10,21:10:00,5.625,5.7,5.6,5.65,15380,0
2017-04-10,21:15:00,5.65,5.679,5.6,5.6,40847,0
2017-04-10,21:20:00,5.6,5.65,5.6,5.6,2700,0
2017-04-10,21:25:00,5.6,5.65,5.6,5.6,4040,0
2017-04-10,21:30:00,5.625,5.625,5.6,5.6,2890,0
2017-04-10,21:35:00,5.6,5.675,5.6,5.675,7613,0
2017-04-10,21:40:00,5.65,5.675,5.65,5.675,4950,0
2017-04-10,21:45:00,5.675,5.7,5.65,5.7,6720,0
2017-04-10,21:50:00,5.7,5.7,5.655,5.7,18200,0
2017-04-10,21:55:00,5.7,5.8,5.695,5.7,77612,0
2017-04-10,22:00:00,5.7,5.75,5.65,5.7,86140,0
2017-04-11,15:35:00,5.65,5.7344,5.65,5.65,9199,0
2017-04-11,15:40:00,5.6732,5.95,5.65,5.75,53771,0
2017-04-11,15:45:00,5.75,5.85,5.7,5.775,9400,0
2017-04-11,15:50:00,5.75,5.75,5.7,5.7,5772,0
2017-04-11,15:55:00,5.7,5.7,5.6,5.65,37366,0
2017-04-11,16:00:00,5.7,5.7,5.65,5.7,14928,0
2017-04-11,16:05:00,5.675,5.7,5.65,5.69,7330,0
2017-04-11,16:10:00,5.7,5.725,5.65,5.725,27743,0
2017-04-11,16:15:00,5.7186,5.725,5.7,5.725,2750,0
2017-04-11,16:20:00,5.725,5.725,5.7,5.7,8167,0
2017-04-11,16:25:00,5.725,5.725,5.6,5.6,10273,0
2017-04-11,16:30:00,5.625,5.625,5.55,5.55,48388,0
2017-04-11,16:35:00,5.575,5.6,5.55,5.575,2100,0
2017-04-11,16:40:00,5.575,5.6,5.55,5.575,13722,0
2017-04-11,16:45:00,5.575,5.6,5.55,5.575,10260,0
2017-04-11,16:50:00,5.575,5.59,5.55,5.575,9261,0
2017-04-11,16:55:00,5.55,5.575,5.55,5.575,1900,0
2017-04-11,17:00:00,5.575,5.5896,5.5,5.525,45085,0
2017-04-11,17:05:00,5.525,5.525,5.5,5.5,13337,0
2017-04-11,17:10:00,5.525,5.545,5.5,5.525,4150,0
2017-04-11,17:15:00,5.525,5.55,5.525,5.525,1000,0
2017-04-11,17:20:00,5.525,5.55,5.525,5.525,2800,0
2017-04-11,17:25:00,5.54,5.55,5.5,5.525,11572,0
2017-04-11,17:30:00,5.525,5.5304,5.5,5.5,2800,0
2017-04-11,17:35:00,5.525,5.6,5.525,5.575,16493,0
2017-04-11,17:40:00,5.575,5.625,5.5721,5.6,9454,0
2017-04-11,17:45:00,5.65,5.7,5.6,5.625,15600,0
2017-04-11,17:50:00,5.625,5.65,5.625,5.65,500,0
2017-04-11,17:55:00,5.65,5.7,5.65,5.7,3700,0
2017-04-11,18:00:00,5.7,5.7,5.6646,5.7,1890,0
2017-04-11,18:05:00,5.675,5.675,5.65,5.65,2300,0
2017-04-11,18:10:00,5.675,5.7,5.65,5.65,2120,0
2017-04-11,18:15:00,5.675,5.675,5.65,5.65,1000,0
2017-04-11,18:20:00,5.65,5.7,5.65,5.675,4100,0
2017-04-11,18:25:00,5.7,5.75,5.675,5.75,7100,0
2017-04-11,18:30:00,5.75,5.75,5.725,5.75,1100,0
2017-04-11,18:35:00,5.7121,5.75,5.7,5.7,11900,0
2017-04-11,18:40:00,5.7,5.75,5.7,5.75,2850,0
2017-04-11,18:45:00,5.75,5.75,5.7,5.75,4300,0
2017-04-11,18:50:00,5.75,5.75,5.7,5.75,2400,0
2017-04-11,18:55:00,5.75,5.75,5.7,5.725,5800,0
2017-04-11,19:00:00,5.75,5.75,5.7,5.725,2300,0
2017-04-11,19:05:00,5.725,5.725,5.675,5.7,16700,0
2017-04-11,19:10:00,5.7,5.7,5.65,5.7,7473,0
2017-04-11,19:15:00,5.675,5.7,5.675,5.675,1800,0
2017-04-11,19:20:00,5.675,5.7,5.675,5.675,900,0
2017-04-11,19:25:00,5.7,5.7,5.6617,5.6617,1600,0
2017-04-11,19:30:00,5.65,5.675,5.625,5.65,11643,0
2017-04-11,19:35:00,5.625,5.65,5.6,5.65,10300,0
2017-04-11,19:40:00,5.7,5.725,5.6815,5.7,22000,0
2017-04-11,19:45:00,5.7,5.7,5.6,5.65,21800,0
2017-04-11,19:50:00,5.65,5.675,5.65,5.675,2840,0
2017-04-11,19:55:00,5.65,5.65,5.625,5.65,13616,0
2017-04-11,20:00:00,5.65,5.65,5.65,5.65,200,0
2017-04-11,20:05:00,5.65,5.65,5.625,5.65,11300,0
2017-04-11,20:10:00,5.625,5.65,5.625,5.625,2400,0
2017-04-11,20:15:00,5.65,5.7,5.6248,5.675,36676,0
2017-04-11,20:20:00,5.675,5.6815,5.65,5.65,1000,0
2017-04-11,20:25:00,5.675,5.675,5.65,5.675,1500,0
2017-04-11,20:30:00,5.675,5.675,5.65,5.675,2200,0
2017-04-11,20:35:00,5.675,5.675,5.65,5.675,1900,0
2017-04-11,20:40:00,5.675,5.7,5.65,5.675,37610,0
2017-04-11,20:45:00,5.675,5.6761,5.6,5.65,52155,0
2017-04-11,20:50:00,5.625,5.65,5.625,5.65,11879,0
2017-04-11,20:55:00,5.65,5.65,5.622,5.65,30300,0
2017-04-11,21:00:00,5.65,5.65,5.625,5.65,7200,0
2017-04-11,21:05:00,5.65,5.675,5.6407,5.65,14797,0
2017-04-11,21:10:00,5.65,5.65,5.625,5.65,14700,0
2017-04-11,21:15:00,5.65,5.65,5.625,5.65,7200,0
2017-04-11,21:20:00,5.65,5.65,5.625,5.65,14609,0
2017-04-11,21:25:00,5.65,5.65,5.625,5.625,3277,0
2017-04-11,21:30:00,5.625,5.65,5.625,5.65,4300,0
2017-04-11,21:35:00,5.625,5.65,5.6,5.6,3900,0
2017-04-11,21:40:00,5.625,5.6268,5.6,5.6,3200,0
2017-04-11,21:45:00,5.625,5.625,5.6,5.6,3519,0
2017-04-11,21:50:00,5.625,5.64,5.6,5.6,25416,0
2017-04-11,21:55:00,5.6,5.65,5.6,5.6,24095,0
2017-04-11,22:00:00,5.6,5.65,5.6,5.6,48894,0
2017-04-12,15:35:00,5.65,5.65,5.625,5.6324,8768,0
2017-04-12,15:40:00,5.6325,5.65,5.6,5.6,2900,0
2017-04-12,15:45:00,5.6305,5.65,5.6,5.6,6300,0
2017-04-12,15:50:00,5.6,5.6275,5.55,5.55,23230,0
2017-04-12,15:55:00,5.6,5.645,5.575,5.6,14300,0
2017-04-12,16:00:00,5.6,5.6,5.575,5.5764,15800,0
2017-04-12,16:05:00,5.575,5.625,5.55,5.6,28389,0
2017-04-12,16:10:00,5.6,5.6,5.55,5.56,17200,0
2017-04-12,16:15:00,5.59,5.65,5.575,5.6316,12930,0
2017-04-12,16:20:00,5.625,5.65,5.6,5.6,154802,0
2017-04-12,16:25:00,5.6,5.64,5.6,5.6,16192,0
2017-04-12,16:30:00,5.6,5.605,5.575,5.575,25451,0
2017-04-12,16:35:00,5.55,5.625,5.55,5.6,7701,0
2017-04-12,16:40:00,5.625,5.625,5.575,5.575,12355,0
2017-04-12,16:45:00,5.575,5.6,5.575,5.575,10996,0
2017-04-12,16:50:00,5.595,5.6,5.5733,5.575,1898,0
2017-04-12,16:55:00,5.6,5.6,5.55,5.575,2612,0
2017-04-12,17:00:00,5.6,5.6,5.575,5.6,500,0
2017-04-12,17:05:00,5.575,5.6,5.55,5.575,800,0
2017-04-12,17:10:00,5.6,5.6,5.55,5.575,800,0
2017-04-12,17:15:00,5.575,5.6,5.55,5.575,4092,0
2017-04-12,17:20:00,5.575,5.6,5.5629,5.5629,825,0
2017-04-12,17:25:00,5.575,5.575,5.575,5.575,1700,0
2017-04-12,17:30:00,5.6,5.6,5.575,5.575,3700,0
2017-04-12,17:35:00,5.56,5.6,5.555,5.575,1430,0
2017-04-12,17:40:00,5.575,5.6,5.55,5.55,3100,0
2017-04-12,17:45:00,5.55,5.5816,5.55,5.575,565,0
2017-04-12,17:50:00,5.55,5.575,5.55,5.55,500,0
2017-04-12,17:55:00,5.55,5.575,5.55,5.55,5100,0
2017-04-12,18:00:00,5.55,5.575,5.55,5.55,71028,0
2017-04-12,18:05:00,5.55,5.575,5.55,5.575,1605,0
2017-04-12,18:10:00,5.575,5.635,5.55,5.625,19476,0
2017-04-12,18:15:00,5.625,5.625,5.5748,5.595,9900,0
2017-04-12,18:20:00,5.6,5.625,5.6,5.625,17748,0
2017-04-12,18:25:00,5.625,5.625,5.625,5.625,2600,0
2017-04-12,18:30:00,5.6261,5.6316,5.625,5.6316,1100,0
2017-04-12,18:35:00,5.65,5.65,5.625,5.65,2000,0
2017-04-12,18:40:00,5.625,5.645,5.625,5.645,900,0
2017-04-12,18:45:00,5.625,5.65,5.625,5.65,800,0
2017-04-12,18:50:00,5.625,5.65,5.6,5.65,700,0
2017-04-12,18:55:00,5.625,5.64,5.625,5.64,1215,0
2017-04-12,19:00:00,5.625,5.65,5.625,5.625,900,0
2017-04-12,19:05:00,5.65,5.7,5.65,5.65,16525,0
2017-04-12,19:10:00,5.6685,5.675,5.6657,5.675,1050,0
2017-04-12,19:15:00,5.6866,5.7,5.675,5.6815,1500,0
2017-04-12,19:20:00,5.7,5.7,5.69,5.7,945,0
2017-04-12,19:25:00,5.7,5.7,5.65,5.65,400,0
2017-04-12,19:30:00,5.65,5.7,5.65,5.675,20554,0
2017-04-12,19:35:00,5.675,5.7,5.65,5.65,400,0
2017-04-12,19:40:00,5.7,5.7,5.65,5.675,1200,0
2017-04-12,19:45:00,5.69,5.7,5.65,5.7,1610,0
2017-04-12,19:50:00,5.7,5.725,5.675,5.705,22092,0
2017-04-12,19:55:00,5.7,5.7363,5.7,5.7,26745,0
2017-04-12,20:00:00,5.725,5.75,5.705,5.75,2800,0
2017-04-12,20:05:00,5.7,5.75,5.7,5.725,1500,0
2017-04-12,20:10:00,5.725,5.725,5.7,5.725,1400,0
2017-04-12,20:15:00,5.7322,5.75,5.7,5.75,1700,0
2017-04-12,20:20:00,5.725,5.75,5.7,5.7,1285,0
2017-04-12,20:25:00,5.725,5.725,5.7,5.7,700,0
2017-04-12,20:30:00,5.725,5.75,5.725,5.725,745,0
2017-04-12,20:35:00,5.725,5.75,5.7,5.725,3517,0
2017-04-12,20:40:00,5.75,5.75,5.7,5.7343,1166,0
2017-04-12,20:45:00,5.725,5.75,5.7,5.75,650,0
2017-04-12,20:50:00,5.725,5.75,5.725,5.75,700,0
2017-04-12,20:55:00,5.725,5.75,5.725,5.7314,1600,0
2017-04-12,21:00:00,5.725,5.75,5.7157,5.725,1600,0
2017-04-12,21:05:00,5.725,5.75,5.7,5.75,2700,0
2017-04-12,21:10:00,5.725,5.75,5.725,5.725,4000,0
2017-04-12,21:15:00,5.725,5.75,5.725,5.75,1600,0
2017-04-12,21:20:00,5.725,5.75,5.725,5.75,1400,0
2017-04-12,21:25:00,5.75,5.8,5.725,5.8,25699,0
2017-04-12,21:30:00,5.775,5.825,5.75,5.8,39482,0
2017-04-12,21:35:00,5.775,5.8,5.775,5.775,1900,0
2017-04-12,21:40:00,5.8,5.8,5.75,5.775,1500,0
2017-04-12,21:45:00,5.775,5.8,5.75,5.75,4000,0
2017-04-12,21:50:00,5.8,5.8,5.75,5.75,5600,0
2017-04-12,21:55:00,5.75,5.8,5.75,5.75,7611,0
2017-04-12,22:00:00,5.75,5.8,5.75,5.75,44527,0
2017-04-13,15:35:00,5.8,5.8,5.7,5.725,13248,0
2017-04-13,15:40:00,5.725,5.745,5.725,5.725,950,0
2017-04-13,15:45:00,5.705,5.73,5.7,5.73,1700,0
2017-04-13,15:50:00,5.725,5.775,5.7,5.775,14845,0
2017-04-13,15:55:00,5.775,5.8,5.775,5.8,3803,0
2017-04-13,16:00:00,5.8,5.8,5.75,5.775,5008,0
2017-04-13,16:05:00,5.75,5.775,5.75,5.775,700,0
2017-04-13,16:10:00,5.775,5.775,5.75,5.75,300,0
2017-04-13,16:15:00,5.775,5.775,5.75,5.75,2500,0
2017-04-13,16:20:00,5.8,5.8,5.75,5.775,500,0
2017-04-13,16:25:00,5.775,5.8,5.775,5.795,2608,0
2017-04-13,16:30:00,5.8,5.8,5.75,5.775,1966,0
2017-04-13,16:35:00,5.75,5.8,5.75,5.775,2350,0
2017-04-13,16:40:00,5.75,5.775,5.75,5.75,1000,0
2017-04-13,16:45:00,5.7582,5.775,5.7582,5.775,633,0
2017-04-13,16:50:00,5.775,5.775,5.75,5.75,200,0
2017-04-13,16:55:00,5.775,5.8,5.75,5.75,1379,0
2017-04-13,17:00:00,5.779,5.79,5.75,5.775,3900,0
