Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,700.52,702.63,700.52,700.73,1896,0
2017-04-10,15:40:00,702.34,702.62,701.56,702.62,1265,0
2017-04-10,15:45:00,703.22,704.57,703.22,704.57,800,0
2017-04-10,15:50:00,704,704.73,703.05,704.73,2118,0
2017-04-10,15:55:00,706.03,706.4,705.655,705.725,2172,0
2017-04-10,16:00:00,705.79,706.865,705.79,706.865,1100,0
2017-04-10,16:05:00,706.706,706.93,706.26,706.48,3927,0
2017-04-10,16:10:00,706.78,707.45,706.29,706.78,1828,0
2017-04-10,16:15:00,707.05,707.41,706.58,707.25,5700,0
2017-04-10,16:20:00,706.765,707.05,706.34,706.34,1900,0
2017-04-10,16:25:00,706.3587,706.84,706.3587,706.84,300,0
2017-04-10,16:30:00,706.19,706.265,706.13,706.13,300,0
2017-04-10,16:35:00,706.45,706.99,706.45,706.9775,1371,0
2017-04-10,16:40:00,707.13,707.14,706.72,706.97,800,0
2017-04-10,16:45:00,706.86,706.91,706.33,706.33,4522,0
2017-04-10,16:50:00,706.11,706.32,705.71,705.71,1901,0
2017-04-10,16:55:00,705.35,705.96,705.35,705.645,3700,0
2017-04-10,17:00:00,705.37,705.41,703.99,703.99,1300,0
2017-04-10,17:05:00,704.05,704.48,703.91,704.48,1966,0
2017-04-10,17:10:00,704.95,705.45,704.9,705.45,513,0
2017-04-10,17:15:00,705.82,705.82,704.33,704.33,3309,0
2017-04-10,17:20:00,704.8,705.725,704.8,705.725,488,0
2017-04-10,17:25:00,705.58,705.72,704.76,705.59,900,0
2017-04-10,17:30:00,705.6,705.6,705.175,705.43,600,0
2017-04-10,17:35:00,705.72,705.82,703.9,703.9,5369,0
2017-04-10,17:40:00,704.04,704.53,703.81,703.81,2100,0
2017-04-10,17:45:00,703.4875,703.73,703.37,703.73,1400,0
2017-04-10,17:55:00,703.805,703.87,703.64,703.72,800,0
2017-04-10,18:00:00,703.74,704.04,703,703.095,1721,0
2017-04-10,18:05:00,703.185,703.185,702.525,702.525,2895,0
2017-04-10,18:10:00,702.57,702.73,702.14,702.38,2900,0
2017-04-10,18:15:00,702.17,702.3,700.76,700.76,2700,0
2017-04-10,18:20:00,701.175,701.175,701.175,701.175,100,0
2017-04-10,18:25:00,701.135,701.135,701.0281,701.0281,255,0
2017-04-10,18:30:00,700.96,700.96,700.96,700.96,100,0
2017-04-10,18:35:00,701.19,702.36,700.85,702.1,2726,0
2017-04-10,18:40:00,702.23,702.36,702.215,702.36,300,0
2017-04-10,18:45:00,702.18,702.58,702.08,702.58,3496,0
2017-04-10,18:50:00,702.9275,703.435,702.68,702.68,1400,0
2017-04-10,18:55:00,703.18,703.78,703.18,703.78,872,0
2017-04-10,19:00:00,703.92,703.92,703.92,703.92,100,0
2017-04-10,19:05:00,704.27,704.58,704.05,704.21,1400,0
2017-04-10,19:10:00,704.25,704.83,704.03,704.53,5318,0
2017-04-10,19:15:00,704.56,705.04,704.44,705.04,1510,0
2017-04-10,19:20:00,704.905,705.25,704.905,705.25,1400,0
2017-04-10,19:25:00,705.13,705.78,704.73,705.53,4800,0
2017-04-10,19:30:00,705.24,705.54,705.24,705.335,1100,0
