Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,32.96,32.98,32.86,32.9,116771,0
2017-04-10,15:40:00,32.9,33.03,32.85,33,106493,0
2017-04-10,15:45:00,33,33.06,33,33.04,118991,0
2017-04-10,15:50:00,33.05,33.06,32.93,32.95,124913,0
2017-04-10,15:55:00,32.95,33.06,32.93,33.04,126418,0
2017-04-10,16:00:00,33.04,33.0401,32.955,33,85471,0
2017-04-10,16:05:00,33,33.06,33,33.04,125025,0
2017-04-10,16:10:00,33.04,33.04,32.98,33.03,113435,0
2017-04-10,16:15:00,33.03,33.05,33.01,33.01,56088,0
2017-04-10,16:20:00,33.01,33.01,32.95,32.96,44913,0
2017-04-10,16:25:00,32.96,33.01,32.96,32.98,23600,0
2017-04-10,16:30:00,32.97,32.97,32.9499,32.95,21952,0
2017-04-10,16:35:00,32.94,33.05,32.925,33.04,85916,0
2017-04-10,16:40:00,33.04,33.04,32.98,32.98,16128,0
2017-04-10,16:45:00,32.98,33.01,32.96,32.97,16638,0
2017-04-10,16:50:00,32.964,32.995,32.964,32.98,20312,0
2017-04-10,16:55:00,32.99,33,32.97,32.99,8348,0
2017-04-10,17:00:00,32.98,33,32.955,32.96,12767,0
2017-04-10,17:05:00,32.96,32.98,32.94,32.94,21397,0
2017-04-10,17:10:00,32.94,32.9401,32.9,32.91,15226,0
2017-04-10,17:15:00,32.91,32.964,32.91,32.96,13178,0
2017-04-10,17:20:00,32.96,33,32.96,32.99,8797,0
2017-04-10,17:25:00,33,33.04,33,33.01,18671,0
2017-04-10,17:30:00,33.01,33.07,33.01,33.06,23442,0
2017-04-10,17:35:00,33.07,33.09,32.98,32.98,23181,0
2017-04-10,17:40:00,32.98,32.98,32.93,32.93,11515,0
2017-04-10,17:45:00,32.93,32.95,32.83,32.88,20804,0
2017-04-10,17:50:00,32.87,32.895,32.86,32.89,8483,0
2017-04-10,17:55:00,32.88,32.88,32.86,32.87,7060,0
2017-04-10,18:00:00,32.86,32.89,32.86,32.89,10540,0
2017-04-10,18:05:00,32.9,32.98,32.9,32.98,17846,0
2017-04-10,18:10:00,32.97,32.97,32.92,32.93,22317,0
2017-04-10,18:15:00,32.93,32.93,32.845,32.86,69011,0
2017-04-10,18:20:00,32.88,32.93,32.88,32.9042,22372,0
2017-04-10,18:25:00,32.91,32.93,32.89,32.91,7400,0
2017-04-10,18:30:00,32.9,32.94,32.89,32.92,12455,0
2017-04-10,18:35:00,32.91,32.955,32.9,32.95,10951,0
2017-04-10,18:40:00,32.95,32.97,32.94,32.96,7690,0
2017-04-10,18:45:00,32.96,33,32.96,32.97,11050,0
2017-04-10,18:50:00,32.975,33.01,32.975,33,8935,0
2017-04-10,18:55:00,32.99,33.04,32.99,33.04,13702,0
2017-04-10,19:00:00,33.04,33.06,33.04,33.04,11800,0
2017-04-10,19:05:00,33.04,33.06,33.04,33.06,6900,0
2017-04-10,19:10:00,33.06,33.095,33.055,33.09,15075,0
2017-04-10,19:15:00,33.08,33.1,33.07,33.1,11614,0
2017-04-10,19:20:00,33.11,33.11,33.04,33.04,21641,0
2017-04-10,19:25:00,33.04,33.09,33.03,33.08,17332,0
2017-04-10,19:30:00,33.08,33.08,33.06,33.06,6802,0
2017-04-10,19:35:00,33.0601,33.08,33.045,33.08,18510,0
2017-04-10,19:40:00,33.08,33.16,33.08,33.12,21539,0
2017-04-10,19:45:00,33.12,33.12,33.08,33.08,4800,0
2017-04-10,19:50:00,33.07,33.08,33.05,33.06,17213,0
2017-04-10,19:55:00,33.06,33.07,33.05,33.06,5269,0
2017-04-10,20:00:00,33.05,33.075,33.03,33.075,17165,0
2017-04-10,20:05:00,33.07,33.07,33.03,33.03,4600,0
2017-04-10,20:10:00,33.02,33.03,33.02,33.03,10995,0
2017-04-10,20:15:00,33.03,33.08,33.03,33.08,13020,0
2017-04-10,20:20:00,33.08,33.095,33.07,33.08,5300,0
2017-04-10,20:25:00,33.075,33.13,33.07,33.12,13600,0
2017-04-10,20:30:00,33.12,33.13,33.09,33.091,10500,0
2017-04-10,20:35:00,33.1,33.12,33.095,33.1,8700,0
2017-04-10,20:40:00,33.11,33.12,33.08,33.08,10981,0
2017-04-10,20:45:00,33.0801,33.0801,33.05,33.07,20829,0
2017-04-10,20:50:00,33.075,33.14,33.07,33.11,9730,0
2017-04-10,20:55:00,33.12,33.12,33.08,33.095,8070,0
2017-04-10,21:00:00,33.1,33.12,33.1,33.101,4165,0
2017-04-10,21:05:00,33.105,33.105,33.05,33.0652,12063,0
2017-04-10,21:10:00,33.07,33.085,33.03,33.03,17997,0
2017-04-10,21:15:00,33.0399,33.05,33.03,33.04,5041,0
2017-04-10,21:20:00,33.03,33.055,33.02,33.03,14857,0
2017-04-10,21:25:00,33.03,33.03,32.97,33.01,18114,0
2017-04-10,21:30:00,33.005,33.01,32.975,32.985,12845,0
2017-04-10,21:35:00,32.99,32.99,32.945,32.95,18831,0
2017-04-10,21:40:00,32.955,32.99,32.9501,32.98,23560,0
2017-04-10,21:45:00,32.975,32.99,32.965,32.965,15530,0
2017-04-10,21:50:00,32.97,32.98,32.955,32.96,34897,0
2017-04-10,21:55:00,32.955,33,32.955,32.975,27504,0
2017-04-10,22:00:00,32.97,32.99,32.95,32.97,123988,0
2017-04-11,15:35:00,33.32,33.34,33.25,33.27,155179,0
2017-04-11,15:40:00,33.27,33.29,33.245,33.26,143476,0
2017-04-11,15:45:00,33.26,33.26,33.2,33.23,130511,0
2017-04-11,15:50:00,33.22,33.22,33.12,33.17,68410,0
2017-04-11,15:55:00,33.16,33.165,33.07,33.08,27087,0
2017-04-11,16:00:00,33.07,33.11,33.0499,33.11,36242,0
2017-04-11,16:05:00,33.11,33.14,33.06,33.14,43994,0
2017-04-11,16:10:00,33.14,33.175,33.13,33.1353,35241,0
2017-04-11,16:15:00,33.14,33.17,33.105,33.105,47276,0
2017-04-11,16:20:00,33.1,33.105,33.01,33.06,78526,0
2017-04-11,16:25:00,33.0701,33.085,32.96,33.04,80608,0
2017-04-11,16:30:00,33.04,33.07,33.01,33.04,15870,0
2017-04-11,16:35:00,33.02,33.03,32.87,32.87,43325,0
2017-04-11,16:40:00,32.8725,32.91,32.82,32.9,66492,0
2017-04-11,16:45:00,32.895,32.91,32.72,32.79,69809,0
2017-04-11,16:50:00,32.79,32.81,32.77,32.8,72741,0
2017-04-11,16:55:00,32.79,32.85,32.79,32.8,85489,0
2017-04-11,17:00:00,32.79,32.9,32.77,32.9,23593,0
2017-04-11,17:05:00,32.9,32.98,32.9,32.955,69012,0
2017-04-11,17:10:00,32.95,32.99,32.94,32.95,84195,0
2017-04-11,17:15:00,32.95,32.97,32.91,32.93,15583,0
2017-04-11,17:20:00,32.93,33.06,32.9,33.05,46611,0
2017-04-11,17:25:00,33.06,33.12,33,33.1,155403,0
2017-04-11,17:30:00,33.1,33.15,33.09,33.14,179990,0
2017-04-11,17:35:00,33.14,33.14,33.0499,33.0499,40216,0
2017-04-11,17:40:00,33.06,33.095,33.06,33.07,17644,0
2017-04-11,17:45:00,33.08,33.08,33.03,33.045,10147,0
2017-04-11,17:50:00,33.04,33.05,33.0075,33.03,17190,0
2017-04-11,17:55:00,33.03,33.06,33.03,33.05,11143,0
2017-04-11,18:00:00,33.05,33.09,33.03,33.04,12550,0
2017-04-11,18:05:00,33.03,33.04,33,33.03,24002,0
2017-04-11,18:10:00,33.03,33.07,33.03,33.07,13013,0
2017-04-11,18:15:00,33.07,33.13,33.07,33.13,7000,0
2017-04-11,18:20:00,33.12,33.145,33.105,33.12,4923,0
2017-04-11,18:25:00,33.13,33.17,33.122,33.13,7182,0
2017-04-11,18:30:00,33.13,33.2325,33.13,33.23,52029,0
2017-04-11,18:35:00,33.2399,33.28,33.23,33.26,21991,0
2017-04-11,18:40:00,33.26,33.31,33.26,33.31,54192,0
2017-04-11,18:45:00,33.31,33.31,33.27,33.29,82468,0
2017-04-11,18:50:00,33.28,33.2899,33.25,33.2899,9621,0
2017-04-11,18:55:00,33.28,33.315,33.28,33.31,10188,0
2017-04-11,19:00:00,33.32,33.33,33.28,33.28,12676,0
2017-04-11,19:05:00,33.29,33.31,33.28,33.28,14501,0
2017-04-11,19:10:00,33.28,33.31,33.25,33.25,12888,0
2017-04-11,19:15:00,33.25,33.26,33.24,33.24,4000,0
2017-04-11,19:20:00,33.245,33.245,33.23,33.245,4390,0
2017-04-11,19:25:00,33.23,33.245,33.22,33.22,33308,0
2017-04-11,19:30:00,33.21,33.2191,33.2,33.21,3856,0
2017-04-11,19:35:00,33.21,33.23,33.2,33.2,5912,0
2017-04-11,19:40:00,33.2,33.28,33.2,33.275,9886,0
2017-04-11,19:45:00,33.28,33.31,33.27,33.31,81307,0
2017-04-11,19:50:00,33.3,33.32,33.3,33.3,32479,0
2017-04-11,19:55:00,33.3,33.33,33.29,33.32,30541,0
2017-04-11,20:00:00,33.32,33.34,33.3,33.34,17127,0
2017-04-11,20:05:00,33.345,33.37,33.3,33.31,27601,0
2017-04-11,20:10:00,33.3,33.3399,33.3,33.33,46023,0
2017-04-11,20:15:00,33.33,33.33,33.27,33.28,58877,0
2017-04-11,20:20:00,33.28,33.285,33.27,33.28,6825,0
2017-04-11,20:25:00,33.29,33.295,33.24,33.24,17841,0
2017-04-11,20:30:00,33.24,33.3154,33.24,33.3154,10105,0
2017-04-11,20:35:00,33.31,33.32,33.29,33.32,12258,0
2017-04-11,20:40:00,33.325,33.35,33.325,33.35,20532,0
2017-04-11,20:45:00,33.35,33.39,33.34,33.38,31850,0
2017-04-11,20:50:00,33.385,33.41,33.38,33.38,29471,0
2017-04-11,20:55:00,33.39,33.43,33.38,33.43,19451,0
2017-04-11,21:00:00,33.425,33.44,33.42,33.435,26203,0
2017-04-11,21:05:00,33.42,33.43,33.39,33.41,33939,0
2017-04-11,21:10:00,33.4,33.4,33.35,33.36,15102,0
2017-04-11,21:15:00,33.36,33.368,33.31,33.31,24822,0
2017-04-11,21:20:00,33.32,33.32,33.26,33.28,27637,0
2017-04-11,21:25:00,33.28,33.3,33.27,33.285,27531,0
2017-04-11,21:30:00,33.29,33.3,33.265,33.295,20251,0
2017-04-11,21:35:00,33.2975,33.335,33.27,33.33,45289,0
2017-04-11,21:40:00,33.325,33.34,33.31,33.34,31987,0
2017-04-11,21:45:00,33.34,33.345,33.3,33.305,22375,0
2017-04-11,21:50:00,33.3,33.305,33.27,33.295,35160,0
2017-04-11,21:55:00,33.29,33.3,33.28,33.3,33993,0
2017-04-11,22:00:00,33.3,33.33,33.29,33.32,120856,0
2017-04-12,15:35:00,32.27,32.3358,32.26,32.32,110997,0
2017-04-12,15:40:00,32.32,32.33,32.22,32.25,68760,0
2017-04-12,15:45:00,32.25,32.31,32.24,32.29,60005,0
2017-04-12,15:50:00,32.29,32.34,32.22,32.235,51487,0
2017-04-12,15:55:00,32.235,32.29,32.22,32.26,118042,0
2017-04-12,16:00:00,32.25,32.26,32.1701,32.2,81355,0
2017-04-12,16:05:00,32.21,32.22,32.17,32.21,43906,0
2017-04-12,16:10:00,32.21,32.21,32.11,32.12,27478,0
2017-04-12,16:15:00,32.12,32.12,32.065,32.09,23890,0
2017-04-12,16:20:00,32.09,32.145,32.09,32.12,32852,0
2017-04-12,16:25:00,32.12,32.17,32.12,32.16,56595,0
2017-04-12,16:30:00,32.15,32.16,32.09,32.09,177377,0
2017-04-12,16:35:00,32.11,32.22,32.08,32.14,66712,0
2017-04-12,16:40:00,32.13,32.17,32.05,32.09,62046,0
2017-04-12,16:45:00,32.1,32.1,32.03,32.06,39665,0
2017-04-12,16:50:00,32.04,32.055,32.015,32.03,25969,0
2017-04-12,16:55:00,32.02,32.03,31.98,31.99,29577,0
2017-04-12,17:00:00,32,32.06,31.99,32.02,23046,0
2017-04-12,17:05:00,32.02,32.05,31.99,32.01,49920,0
2017-04-12,17:10:00,32.01,32.06,32.01,32.03,24964,0
2017-04-12,17:15:00,32.01,32.02,31.99,32.01,25816,0
2017-04-12,17:20:00,32.01,32.0946,32.01,32.09,27115,0
2017-04-12,17:25:00,32.09,32.12,31.99,32.01,62726,0
2017-04-12,17:30:00,32.01,32.01,31.93,31.95,18647,0
2017-04-12,17:35:00,31.95,32.02,31.95,31.98,41323,0
2017-04-12,17:40:00,31.98,31.98,31.855,31.86,66563,0
2017-04-12,17:45:00,31.86,31.89,31.84,31.84,7495,0
2017-04-12,17:50:00,31.84,31.86,31.82,31.85,31325,0
2017-04-12,17:55:00,31.85,31.85,31.785,31.81,30702,0
2017-04-12,18:00:00,31.82,31.85,31.78,31.85,20101,0
2017-04-12,18:05:00,31.85,31.9,31.85,31.9,26559,0
2017-04-12,18:10:00,31.9,31.92,31.89,31.92,27537,0
2017-04-12,18:15:00,31.925,31.939,31.9,31.92,9895,0
2017-04-12,18:20:00,31.92,31.92,31.895,31.9,21089,0
2017-04-12,18:25:00,31.91,31.95,31.9,31.945,41562,0
2017-04-12,18:30:00,31.94,31.97,31.94,31.97,43633,0
2017-04-12,18:35:00,31.96,31.96,31.94,31.94,7902,0
2017-04-12,18:40:00,31.94,31.96,31.89,31.905,28389,0
2017-04-12,18:45:00,31.9054,31.91,31.88,31.91,26996,0
2017-04-12,18:50:00,31.91,31.92,31.88,31.88,11280,0
2017-04-12,18:55:00,31.88,31.88,31.83,31.83,18257,0
2017-04-12,19:00:00,31.83,31.84,31.79,31.83,8882,0
2017-04-12,19:05:00,31.84,31.91,31.84,31.9,10592,0
2017-04-12,19:10:00,31.9,31.93,31.845,31.93,35310,0
2017-04-12,19:15:00,31.92,31.94,31.88,31.88,34426,0
2017-04-12,19:20:00,31.87,31.89,31.835,31.84,15356,0
