Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,16.6,16.6,16.54,16.54,1697,0
2017-04-10,15:40:00,16.56,16.58,16.55,16.5601,1790,0
2017-04-10,15:45:00,16.57,16.59,16.57,16.59,6064,0
2017-04-10,15:50:00,16.59,16.59,16.55,16.56,3448,0
2017-04-10,15:55:00,16.57,16.59,16.57,16.59,4500,0
2017-04-10,16:00:00,16.59,16.66,16.59,16.66,21194,0
2017-04-10,16:05:00,16.66,16.68,16.64,16.675,9959,0
2017-04-10,16:10:00,16.68,16.72,16.68,16.6878,18664,0
2017-04-10,16:15:00,16.68,16.69,16.67,16.69,2677,0
2017-04-10,16:20:00,16.69,16.72,16.69,16.72,8966,0
2017-04-10,16:25:00,16.72,16.72,16.69,16.71,10907,0
2017-04-10,16:30:00,16.71,16.71,16.7025,16.71,4892,0
2017-04-10,16:35:00,16.7,16.72,16.7,16.72,6667,0
2017-04-10,16:40:00,16.72,16.72,16.69,16.69,7400,0
2017-04-10,16:45:00,16.685,16.71,16.68,16.71,12229,0
2017-04-10,16:50:00,16.7,16.705,16.69,16.705,4853,0
2017-04-10,16:55:00,16.7,16.7,16.68,16.7,7230,0
2017-04-10,17:00:00,16.7,16.7,16.68,16.68,4980,0
2017-04-10,17:05:00,16.67,16.67,16.66,16.66,3132,0
2017-04-10,17:10:00,16.66,16.68,16.66,16.68,5250,0
2017-04-10,17:15:00,16.68,16.69,16.68,16.69,4800,0
2017-04-10,17:20:00,16.695,16.7,16.69,16.7,2400,0
2017-04-10,17:25:00,16.695,16.71,16.695,16.705,8735,0
2017-04-10,17:30:00,16.705,16.71,16.685,16.685,9946,0
2017-04-10,17:35:00,16.685,16.69,16.65,16.65,5969,0
2017-04-10,17:40:00,16.65,16.65,16.64,16.6499,2715,0
2017-04-10,17:45:00,16.645,16.655,16.63,16.655,3900,0
2017-04-10,17:55:00,16.66,16.69,16.66,16.68,9001,0
2017-04-10,18:00:00,16.68,16.695,16.68,16.695,8648,0
2017-04-10,18:05:00,16.685,16.71,16.685,16.705,4400,0
2017-04-10,18:10:00,16.705,16.71,16.685,16.685,16163,0
2017-04-10,18:15:00,16.68,16.68,16.655,16.655,8870,0
2017-04-10,18:20:00,16.66,16.675,16.66,16.675,11431,0
2017-04-10,18:25:00,16.68,16.69,16.68,16.685,1200,0
2017-04-10,18:30:00,16.68,16.685,16.68,16.685,9028,0
2017-04-10,18:35:00,16.68,16.69,16.67,16.68,8521,0
2017-04-10,18:40:00,16.675,16.675,16.67,16.67,1200,0
2017-04-10,18:45:00,16.67,16.675,16.67,16.675,1877,0
2017-04-10,18:50:00,16.68,16.7,16.68,16.695,9608,0
2017-04-10,18:55:00,16.695,16.695,16.69,16.69,1700,0
2017-04-10,19:00:00,16.7,16.7,16.69,16.69,2400,0
2017-04-10,19:05:00,16.69,16.7,16.69,16.6901,3276,0
2017-04-10,19:10:00,16.695,16.7,16.69,16.695,400,0
2017-04-10,19:15:00,16.7,16.71,16.69,16.7,15200,0
2017-04-10,19:20:00,16.7,16.71,16.7,16.71,5278,0
2017-04-10,19:25:00,16.7001,16.71,16.7,16.71,3300,0
2017-04-10,19:30:00,16.7,16.705,16.7,16.705,300,0
2017-04-10,19:35:00,16.71,16.73,16.707,16.725,3542,0
2017-04-10,19:40:00,16.725,16.756,16.725,16.75,11856,0
2017-04-10,19:45:00,16.74,16.74,16.735,16.735,1000,0
2017-04-10,19:50:00,16.73,16.73,16.72,16.72,1000,0
2017-04-10,19:55:00,16.73,16.73,16.73,16.73,1947,0
2017-04-10,20:00:00,16.74,16.74,16.735,16.735,500,0
2017-04-10,20:05:00,16.73,16.735,16.71,16.71,4794,0
2017-04-10,20:10:00,16.71,16.72,16.71,16.7135,3591,0
