Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,19,19.45,19,19.1,3025,0
2017-04-05,15:40:00,19.0636,19.4,19.0636,19.3,1150,0
2017-04-05,15:45:00,19.29,19.45,19.27,19.43,3855,0
2017-04-05,15:50:00,19.38,19.43,19.27,19.42,1500,0
2017-04-05,15:55:00,19.41,19.42,19.22,19.23,2369,0
2017-04-05,16:05:00,19.2,19.2,19.2,19.2,700,0
2017-04-05,16:10:00,19.12,19.14,19.12,19.14,400,0
2017-04-05,16:20:00,19.11,19.14,19.11,19.14,722,0
2017-04-05,16:30:00,19.2,19.24,19.2,19.24,1500,0
2017-04-05,16:40:00,19.24,19.24,19.24,19.24,100,0
2017-04-05,16:45:00,19.22,19.22,19.22,19.22,100,0
2017-04-05,16:50:00,19.225,19.225,19.225,19.225,100,0
2017-04-05,16:55:00,19.2,19.2,19.2,19.2,100,0
2017-04-05,17:00:00,19.22,19.22,19.21,19.21,300,0
2017-04-05,17:05:00,19.24,19.24,19.2,19.215,704,0
2017-04-05,17:10:00,19.2,19.2,19.15,19.16,2603,0
2017-04-05,17:15:00,19.16,19.16,19.1,19.14,7500,0
2017-04-05,17:20:00,19.12,19.15,19.12,19.15,2586,0
2017-04-05,17:25:00,19.15,19.21,19.135,19.21,1750,0
2017-04-05,17:30:00,19.21,19.22,19.2,19.22,400,0
2017-04-05,17:35:00,19.224,19.33,19.165,19.33,5814,0
2017-04-05,17:40:00,19.35,19.35,19.32,19.32,800,0
2017-04-05,17:45:00,19.33,19.35,19.33,19.335,500,0
2017-04-05,17:50:00,19.35,19.35,19.335,19.35,600,0
2017-04-05,17:55:00,19.35,19.38,19.3,19.3,3358,0
2017-04-05,18:00:00,19.28,19.28,19.26,19.28,1400,0
2017-04-05,18:05:00,19.31,19.33,19.31,19.33,300,0
2017-04-05,18:10:00,19.33,19.35,19.315,19.35,2500,0
2017-04-05,18:15:00,19.35,19.35,19.325,19.35,1110,0
2017-04-05,18:20:00,19.31,19.37,19.31,19.345,806,0
2017-04-05,18:25:00,19.37,19.37,19.37,19.37,300,0
2017-04-05,18:30:00,19.37,19.41,19.36,19.36,600,0
2017-04-05,18:40:00,19.36,19.36,19.36,19.36,300,0
2017-04-05,18:50:00,19.36,19.36,19.285,19.31,3742,0
2017-04-05,19:00:00,19.33,19.33,19.32,19.33,700,0
2017-04-05,19:05:00,19.35,19.36,19.35,19.36,1913,0
2017-04-05,19:10:00,19.365,19.37,19.348,19.348,2240,0
2017-04-05,19:15:00,19.36,19.36,19.36,19.36,100,0
2017-04-05,19:20:00,19.36,19.36,19.335,19.335,1000,0
2017-04-05,19:25:00,19.335,19.335,19.335,19.335,100,0
2017-04-05,19:30:00,19.36,19.36,19.31,19.31,2500,0
2017-04-05,19:35:00,19.3,19.3,19.27,19.27,533,0
2017-04-05,19:40:00,19.295,19.295,19.25,19.25,618,0
2017-04-05,19:50:00,19.25,19.25,19.21,19.21,2900,0
2017-04-05,19:55:00,19.25,19.26,19.22,19.23,2300,0
2017-04-05,20:00:00,19.23,19.23,19.1807,19.1807,2200,0
2017-04-05,20:05:00,19.19,19.22,19.19,19.22,1800,0
2017-04-05,20:10:00,19.2,19.24,19.2,19.24,1300,0
2017-04-05,20:15:00,19.2397,19.25,19.22,19.25,3600,0
2017-04-05,20:20:00,19.24,19.25,19.21,19.21,2500,0
2017-04-05,20:25:00,19.21,19.22,19.2,19.21,5600,0
2017-04-05,20:30:00,19.22,19.23,19.215,19.22,5488,0
2017-04-05,20:35:00,19.22,19.22,19.2,19.2,2000,0
2017-04-05,20:40:00,19.22,19.22,19.2,19.2,1600,0
2017-04-05,20:45:00,19.22,19.22,19.22,19.22,200,0
2017-04-05,20:50:00,19.22,19.22,19.19,19.19,2000,0
2017-04-05,20:55:00,19.2,19.2,19.2,19.2,200,0
2017-04-05,21:00:00,19.21,19.21,19.09,19.17,16362,0
2017-04-05,21:05:00,19.14,19.22,19.14,19.22,2750,0
2017-04-05,21:10:00,19.22,19.22,19.22,19.22,600,0
2017-04-05,21:15:00,19.22,19.22,19.12,19.2,8204,0
2017-04-05,21:20:00,19.21,19.24,19.21,19.24,3750,0
2017-04-05,21:30:00,19.2,19.2,19.14,19.17,2700,0
2017-04-05,21:35:00,19.19,19.19,19.08,19.15,2900,0
2017-04-05,21:40:00,19.125,19.125,19.1235,19.1235,500,0
2017-04-05,21:45:00,19.16,19.16,19.125,19.16,800,0
2017-04-05,21:50:00,19.14,19.15,19.1,19.1,3850,0
2017-04-05,21:55:00,19.105,19.12,19.09,19.1,2900,0
2017-04-05,22:00:00,19.1072,19.12,19.01,19.06,8053,0
2017-04-06,15:35:00,19.27,19.3,19.27,19.3,3800,0
2017-04-06,15:40:00,19.33,19.34,19.17,19.17,400,0
2017-04-06,15:45:00,19.3,19.3,19.27,19.27,1400,0
2017-04-06,15:50:00,19.28,19.28,19.248,19.248,700,0
2017-04-06,15:55:00,19.28,19.28,19.26,19.27,400,0
2017-04-06,16:00:00,19.27,19.38,19.23,19.38,4013,0
2017-04-06,16:05:00,19.35,19.35,19.32,19.32,900,0
2017-04-06,16:10:00,19.315,19.37,19.315,19.35,1400,0
2017-04-06,16:15:00,19.35,19.35,19.35,19.35,1300,0
2017-04-06,16:20:00,19.35,19.4,19.35,19.35,1600,0
2017-04-06,16:25:00,19.31,19.31,19.27,19.27,1200,0
2017-04-06,16:35:00,19.21,19.21,19.21,19.21,200,0
2017-04-06,16:40:00,19.17,19.22,19.155,19.155,300,0
2017-04-06,16:45:00,19.13,19.24,19.13,19.24,2100,0
2017-04-06,16:50:00,19.34,19.34,19.27,19.27,650,0
2017-04-06,16:55:00,19.28,19.28,19.23,19.23,800,0
2017-04-06,17:00:00,19.27,19.27,19.23,19.25,1150,0
2017-04-06,17:10:00,19.24,19.27,19.24,19.27,300,0
2017-04-06,17:15:00,19.23,19.23,19.15,19.21,2500,0
2017-04-06,17:20:00,19.19,19.19,19.11,19.13,1100,0
2017-04-06,17:25:00,19.1348,19.15,19.04,19.15,2675,0
2017-04-06,17:30:00,19.17,19.29,19.17,19.175,2900,0
2017-04-06,17:40:00,19.215,19.25,19.215,19.25,200,0
2017-04-06,17:45:00,19.22,19.22,19.22,19.22,100,0
2017-04-06,17:50:00,19.17,19.17,19.17,19.17,100,0
2017-04-06,17:55:00,19.23,19.23,19.23,19.23,100,0
2017-04-06,18:00:00,19.19,19.2,19.17,19.17,1714,0
2017-04-06,18:10:00,19.23,19.34,19.23,19.34,400,0
2017-04-06,18:20:00,19.36,19.36,19.32,19.32,200,0
2017-04-06,18:30:00,19.36,19.36,19.36,19.36,100,0
2017-04-06,18:35:00,19.35,19.35,19.35,19.35,100,0
2017-04-06,18:40:00,19.29,19.29,19.29,19.29,200,0
2017-04-06,18:45:00,19.29,19.32,19.29,19.32,200,0
2017-04-06,18:50:00,19.31,19.31,19.31,19.31,200,0
2017-04-06,18:55:00,19.332,19.332,19.15,19.2,4350,0
2017-04-06,19:00:00,19.25,19.26,19.25,19.26,400,0
2017-04-06,19:05:00,19.23,19.26,19.23,19.24,1757,0
2017-04-06,19:10:00,19.19,19.28,19.19,19.28,200,0
2017-04-06,19:15:00,19.29,19.3,19.27,19.2755,1100,0
2017-04-06,19:25:00,19.29,19.29,19.29,19.29,100,0
2017-04-06,19:30:00,19.28,19.28,19.25,19.27,800,0
2017-04-06,19:35:00,19.28,19.28,19.28,19.28,100,0
2017-04-06,19:40:00,19.265,19.33,19.265,19.33,1100,0
2017-04-06,19:45:00,19.33,19.33,19.33,19.33,100,0
2017-04-06,19:50:00,19.31,19.32,19.31,19.32,200,0
2017-04-06,20:00:00,19.29,19.29,19.29,19.29,100,0
