Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,23.43,23.43,23.38,23.38,10965,0
2017-04-10,15:40:00,23.35,23.68,23.3,23.68,6076,0
2017-04-10,15:45:00,23.58,23.7257,23.58,23.68,8521,0
2017-04-10,15:50:00,23.695,23.81,23.67,23.8,6100,0
2017-04-10,15:55:00,23.85,24.0399,23.84,23.99,9378,0
2017-04-10,16:00:00,24.005,24.26,23.97,24.2212,10137,0
2017-04-10,16:05:00,24.22,24.22,24.04,24.07,23209,0
2017-04-10,16:10:00,24.07,24.08,24.01,24.0489,2800,0
2017-04-10,16:15:00,24.06,24.14,24.05,24.14,3100,0
2017-04-10,16:20:00,24.17,24.23,24.14,24.23,1900,0
2017-04-10,16:25:00,24.21,24.38,24.2,24.36,5501,0
2017-04-10,16:30:00,24.39,24.44,24.39,24.42,3587,0
2017-04-10,16:35:00,24.43,24.47,24.41,24.44,4211,0
2017-04-10,16:40:00,24.43,24.52,24.41,24.52,9300,0
2017-04-10,16:45:00,24.51,24.68,24.51,24.63,5900,0
2017-04-10,16:50:00,24.65,24.75,24.62,24.7,10629,0
2017-04-10,16:55:00,24.66,24.66,24.6,24.62,3861,0
2017-04-10,17:00:00,24.63,24.75,24.58,24.716,13476,0
2017-04-10,17:05:00,24.7,24.7,24.488,24.488,5710,0
2017-04-10,17:10:00,24.46,24.46,24.35,24.36,7496,0
2017-04-10,17:15:00,24.355,24.39,24.32,24.38,4700,0
2017-04-10,17:20:00,24.38,24.38,24.32,24.33,12646,0
2017-04-10,17:25:00,24.33,24.33,24.24,24.24,5330,0
2017-04-10,17:30:00,24.24,24.27,24.24,24.24,3000,0
2017-04-10,17:35:00,24.26,24.27,24.19,24.2,24849,0
2017-04-10,17:40:00,24.23,24.27,24.22,24.24,5300,0
2017-04-10,17:45:00,24.21,24.21,24.14,24.14,6733,0
2017-04-10,17:50:00,24.14,24.189,24.12,24.189,4000,0
2017-04-10,17:55:00,24.19,24.21,24.18,24.21,1100,0
2017-04-10,18:00:00,24.2458,24.25,24.21,24.23,10419,0
2017-04-10,18:05:00,24.21,24.21,24.14,24.14,2431,0
2017-04-10,18:10:00,24.11,24.14,24.11,24.125,4713,0
2017-04-10,18:15:00,24.12,24.13,24.1,24.12,13105,0
2017-04-10,18:25:00,24.15,24.18,24.14,24.18,1700,0
2017-04-10,18:30:00,24.15,24.22,24.15,24.2,2474,0
2017-04-10,18:35:00,24.2,24.2,24.13,24.16,4256,0
2017-04-10,18:40:00,24.1675,24.1799,24.14,24.1799,500,0
2017-04-10,18:45:00,24.14,24.1799,24.14,24.1799,1200,0
2017-04-10,18:50:00,24.15,24.21,24.13,24.21,10084,0
2017-04-10,18:55:00,24.22,24.25,24.21,24.2348,2600,0
2017-04-10,19:00:00,24.22,24.2287,24.2,24.2,3497,0
2017-04-10,19:05:00,24.2,24.2,24.15,24.18,8076,0
2017-04-10,19:10:00,24.18,24.19,24.17,24.18,900,0
2017-04-10,19:15:00,24.16,24.18,24.16,24.18,728,0
2017-04-10,19:20:00,24.17,24.18,24.1,24.11,4900,0
2017-04-10,19:25:00,24.1,24.12,24,24,14191,0
2017-04-10,19:30:00,24,24.03,23.98,24.03,3691,0
2017-04-10,19:35:00,24.05,24.09,23.98,23.98,4350,0
2017-04-10,19:40:00,23.97,24.05,23.95,24.05,4923,0
2017-04-10,19:45:00,24.05,24.1699,24.05,24.165,3400,0
2017-04-10,19:50:00,24.14,24.14,24.09,24.09,1342,0
2017-04-10,19:55:00,24.08,24.08,24.06,24.06,2000,0
2017-04-10,20:00:00,24.08,24.08,24.04,24.05,2381,0
2017-04-10,20:05:00,24.06,24.0799,24.01,24.01,2745,0
2017-04-10,20:10:00,24.05,24.05,24.01,24.01,2140,0
2017-04-10,20:15:00,24.02,24.07,24.02,24.06,4813,0
2017-04-10,20:20:00,24.06,24.08,24.05,24.08,1451,0
2017-04-10,20:25:00,24.08,24.1,24.0501,24.1,4500,0
2017-04-10,20:30:00,24.08,24.08,24.07,24.07,900,0
2017-04-10,20:35:00,24.05,24.1,24.05,24.09,2721,0
2017-04-10,20:40:00,24.1,24.14,24.1,24.14,1200,0
2017-04-10,20:45:00,24.11,24.11,24.08,24.11,700,0
2017-04-10,20:50:00,24.09,24.15,24.09,24.15,2968,0
2017-04-10,20:55:00,24.16,24.17,24.1,24.1,1700,0
2017-04-10,21:00:00,24.1,24.11,24.06,24.06,1045,0
2017-04-10,21:05:00,24.09,24.1,24.09,24.09,1532,0
2017-04-10,21:10:00,24.08,24.1199,24.08,24.08,3600,0
2017-04-10,21:15:00,24.06,24.0799,24.06,24.06,3700,0
2017-04-10,21:20:00,24.05,24.06,24.05,24.06,1000,0
2017-04-10,21:25:00,24.05,24.05,24.01,24.03,4987,0
2017-04-10,21:30:00,24.03,24.03,23.92,23.94,4950,0
2017-04-10,21:35:00,23.95,24.04,23.95,24.04,8060,0
2017-04-10,21:40:00,24.03,24.04,24.01,24.03,2100,0
2017-04-10,21:45:00,24.035,24.06,24.03,24.06,3554,0
2017-04-10,21:50:00,24.07,24.07,24.04,24.04,4224,0
2017-04-10,21:55:00,24.05,24.06,24.04,24.04,13943,0
2017-04-10,22:00:00,24.04,24.055,24.02,24.04,26449,0
2017-04-11,15:35:00,24,24.34,24,24.18,4278,0
2017-04-11,15:40:00,24.16,24.36,24.101,24.23,6800,0
2017-04-11,15:45:00,24.1,24.155,24.04,24.155,1063,0
2017-04-11,15:50:00,24.11,24.29,24.02,24.1299,13541,0
2017-04-11,15:55:00,23.79,23.93,23.79,23.89,2900,0
2017-04-11,16:00:00,23.855,23.96,23.685,23.91,12957,0
2017-04-11,16:05:00,23.83,23.84,23.83,23.835,423,0
2017-04-11,16:10:00,23.78,23.8,23.74,23.8,3788,0
2017-04-11,16:15:00,23.77,23.99,23.76,23.845,18290,0
2017-04-11,16:20:00,23.8,23.85,23.73,23.73,4987,0
2017-04-11,16:25:00,23.71,23.71,23.6,23.6,7311,0
2017-04-11,16:30:00,23.6,23.7,23.59,23.7,5437,0
2017-04-11,16:35:00,23.67,23.67,23.51,23.51,3700,0
2017-04-11,16:40:00,23.54,23.559,23.4,23.44,10904,0
2017-04-11,16:45:00,23.41,23.57,23.34,23.48,15988,0
2017-04-11,16:50:00,23.47,23.5,23.46,23.4969,1300,0
2017-04-11,16:55:00,23.49,23.49,23.4075,23.45,3600,0
2017-04-11,17:00:00,23.44,23.46,23.43,23.43,1200,0
2017-04-11,17:05:00,23.45,23.58,23.45,23.58,4920,0
2017-04-11,17:10:00,23.5635,23.81,23.5635,23.74,15221,0
2017-04-11,17:15:00,23.73,23.73,23.63,23.64,5650,0
2017-04-11,17:20:00,23.58,23.67,23.57,23.67,3450,0
2017-04-11,17:25:00,23.67,23.83,23.66,23.83,4400,0
2017-04-11,17:30:00,23.81,23.81,23.7492,23.77,2506,0
2017-04-11,17:35:00,23.79,23.93,23.79,23.93,5876,0
2017-04-11,17:40:00,23.93,23.95,23.87,23.95,2800,0
2017-04-11,17:45:00,23.95,23.99,23.95,23.95,2550,0
2017-04-11,17:50:00,23.98,24.03,23.97,24.03,4764,0
2017-04-11,17:55:00,23.99,24.09,23.98,24.09,3900,0
2017-04-11,18:00:00,24.08,24.09,23.99,23.99,8350,0
2017-04-11,18:05:00,23.94,23.94,23.94,23.94,200,0
2017-04-11,18:10:00,23.93,23.933,23.78,23.84,22662,0
2017-04-11,18:15:00,23.875,23.9,23.76,23.78,6200,0
2017-04-11,18:20:00,23.78,23.89,23.78,23.89,7692,0
2017-04-11,18:25:00,23.96,23.99,23.96,23.99,400,0
2017-04-11,18:30:00,23.99,24,23.965,24,3200,0
2017-04-11,18:35:00,24,24.03,23.95,23.95,2745,0
2017-04-11,18:40:00,23.93,23.93,23.91,23.92,1349,0
2017-04-11,18:45:00,23.9,23.92,23.89,23.9,1700,0
2017-04-11,18:50:00,23.93,24,23.93,24,800,0
2017-04-11,18:55:00,24,24.05,23.98,24.05,2200,0
2017-04-11,19:00:00,24.08,24.08,24.04,24.04,1988,0
2017-04-11,19:05:00,24.05,24.08,24.05,24.08,1200,0
2017-04-11,19:10:00,24.07,24.07,24.02,24.03,3178,0
2017-04-11,19:15:00,24.01,24.01,23.885,23.89,5070,0
2017-04-11,19:20:00,23.905,23.93,23.905,23.93,500,0
2017-04-11,19:25:00,23.9,23.96,23.88,23.92,1400,0
2017-04-11,19:30:00,23.88,23.96,23.88,23.95,600,0
2017-04-11,19:35:00,23.935,23.99,23.935,23.95,1100,0
2017-04-11,19:40:00,23.98,24,23.98,23.98,3000,0
2017-04-11,19:45:00,23.94,23.95,23.93,23.935,500,0
2017-04-11,19:50:00,23.94,23.99,23.94,23.99,800,0
2017-04-11,19:55:00,23.965,24.05,23.965,24.05,8948,0
2017-04-11,20:00:00,24.025,24.05,23.98,23.98,3900,0
2017-04-11,20:05:00,23.99,23.99,23.98,23.98,300,0
2017-04-11,20:10:00,23.975,24,23.95,23.95,4534,0
2017-04-11,20:15:00,23.97,23.97,23.87,23.87,2000,0
2017-04-11,20:20:00,23.91,23.94,23.87,23.905,1700,0
2017-04-11,20:25:00,23.9,23.93,23.9,23.92,900,0
2017-04-11,20:30:00,23.96,23.96,23.87,23.94,2880,0
2017-04-11,20:35:00,23.95,23.99,23.91,23.92,1500,0
2017-04-11,20:40:00,23.91,23.91,23.82,23.87,3070,0
2017-04-11,20:45:00,23.84,23.86,23.82,23.83,690,0
2017-04-11,20:50:00,23.84,23.95,23.82,23.83,2900,0
2017-04-11,20:55:00,23.82,23.89,23.79,23.89,1400,0
2017-04-11,21:00:00,23.93,23.96,23.83,23.86,2575,0
2017-04-11,21:05:00,23.86,23.86,23.79,23.79,1300,0
2017-04-11,21:10:00,23.83,23.87,23.83,23.83,2100,0
2017-04-11,21:15:00,23.82,23.82,23.81,23.81,700,0
2017-04-11,21:20:00,23.81,23.85,23.805,23.85,1834,0
2017-04-11,21:25:00,23.82,23.87,23.81,23.81,5600,0
2017-04-11,21:30:00,23.81,23.85,23.81,23.85,1400,0
2017-04-11,21:35:00,23.85,23.94,23.85,23.92,1600,0
2017-04-11,21:40:00,23.92,23.94,23.9,23.9,5482,0
2017-04-11,21:45:00,23.89,23.89,23.85,23.865,1700,0
2017-04-11,21:50:00,23.85,23.85,23.82,23.85,6943,0
2017-04-11,21:55:00,23.84,23.92,23.84,23.86,6050,0
2017-04-11,22:00:00,23.88,23.88,23.78,23.8,62477,0
2017-04-12,15:35:00,23.9,23.96,23.9,23.94,2839,0
2017-04-12,15:40:00,23.92,24.27,23.92,24.22,2900,0
2017-04-12,15:45:00,24.26,24.38,24.13,24.34,3400,0
2017-04-12,15:50:00,24.36,24.42,24.1552,24.3,10582,0
2017-04-12,15:55:00,24.24,24.35,24.06,24.2352,15709,0
2017-04-12,16:00:00,24.295,24.34,24.2,24.22,7100,0
2017-04-12,16:05:00,24.21,24.28,24.21,24.27,5489,0
2017-04-12,16:10:00,24.27,24.29,24.21,24.21,2700,0
2017-04-12,16:15:00,24.23,24.28,24.1678,24.28,2100,0
2017-04-12,16:20:00,24.28,24.29,24.22,24.27,3091,0
2017-04-12,16:25:00,24.28,24.34,24.27,24.3,4900,0
2017-04-12,16:30:00,24.32,24.35,24.25,24.26,8100,0
2017-04-12,16:35:00,24.27,24.4,24.26,24.38,2400,0
2017-04-12,16:40:00,24.34,24.355,24.26,24.28,3400,0
2017-04-12,16:45:00,24.3,24.34,24.26,24.33,2800,0
2017-04-12,16:50:00,24.26,24.29,24.16,24.16,3300,0
2017-04-12,16:55:00,24.19,24.24,24.17,24.17,3500,0
2017-04-12,17:00:00,24.16,24.19,24.14,24.17,2500,0
2017-04-12,17:05:00,24.13,24.16,24.12,24.12,3200,0
2017-04-12,17:10:00,24.12,24.14,24.08,24.1012,4184,0
2017-04-12,17:15:00,24.11,24.17,24.09,24.12,4100,0
2017-04-12,17:20:00,24.12,24.16,24.11,24.14,3400,0
2017-04-12,17:25:00,24.14,24.14,24.07,24.14,3400,0
2017-04-12,17:30:00,24.08,24.1,24.04,24.1,6966,0
2017-04-12,17:35:00,24.06,24.06,23.95,23.95,1969,0
2017-04-12,17:40:00,23.93,23.93,23.91,23.91,600,0
2017-04-12,17:45:00,23.85,23.97,23.85,23.97,800,0
2017-04-12,17:50:00,23.98,23.99,23.96,23.98,700,0
2017-04-12,17:55:00,23.99,24,23.92,23.95,3900,0
2017-04-12,18:00:00,23.99,23.99,23.89,23.89,1958,0
2017-04-12,18:05:00,23.91,23.98,23.88,23.9,7295,0
2017-04-12,18:10:00,23.95,23.96,23.9,23.9,1700,0
