Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-21,14:35:00,6.1139,6.1139,6.1139,6.1139,1082,0
2017-03-21,15:15:00,6.1039,6.1139,6.094,6.1139,3579,0
2017-03-21,15:30:00,6.1093,6.1093,6.1093,6.1093,1506,0
2017-03-21,15:45:00,6.1039,6.1053,6.1039,6.1053,603,0
2017-03-21,16:00:00,6.1139,6.1139,6.1139,6.1139,100,0
2017-03-21,16:10:00,6.0989,6.1138,6.0989,6.104,4652,0
2017-03-21,16:35:00,6.1039,6.1039,6.094,6.094,12421,0
2017-03-21,16:50:00,6.094,6.094,6.094,6.094,3676,0
2017-03-21,16:55:00,6.1032,6.1032,6.1032,6.1032,351,0
2017-03-21,17:00:00,6.1039,6.1121,6.1039,6.1121,2339,0
2017-03-21,17:35:00,6.1061,6.1061,6.1061,6.1061,100,0
2017-03-21,17:45:00,6.1069,6.1069,6.1039,6.1039,2308,0
2017-03-21,17:55:00,6.1089,6.1139,6.1089,6.1129,5021,0
2017-03-21,18:00:00,6.1089,6.1089,6.1089,6.1089,1306,0
2017-03-21,18:05:00,6.1139,6.1139,6.1139,6.1139,1506,0
2017-03-21,18:30:00,6.1139,6.1139,6.1139,6.1139,803,0
2017-03-21,18:55:00,6.1113,6.1117,6.1039,6.1039,13389,0
2017-03-21,19:05:00,6.1089,6.1089,6.1039,6.1039,12553,0
2017-03-21,19:10:00,6.1119,6.1119,6.1119,6.1119,351,0
2017-03-21,19:25:00,6.1138,6.1138,6.1039,6.1039,980,0
2017-03-21,19:30:00,6.1089,6.1089,6.1039,6.1039,383,0
2017-03-21,19:35:00,6.1039,6.1039,6.1006,6.1006,918,0
2017-03-21,19:50:00,6.0941,6.0972,6.094,6.094,11787,0
2017-03-21,20:05:00,6.1039,6.1039,6.1039,6.1039,402,0
2017-03-21,20:10:00,6.1039,6.1089,6.1039,6.1089,456,0
2017-03-21,20:20:00,6.1118,6.1118,6.1118,6.1118,502,0
2017-03-21,20:40:00,6.1139,6.1139,6.1039,6.1039,1837,0
2017-03-21,20:50:00,6.1089,6.1129,6.1089,6.1129,403,0
2017-03-21,20:55:00,6.1129,6.1129,6.1129,6.1129,502,0
2017-03-21,21:00:00,6.1139,6.1139,6.1039,6.1139,813,0
2017-03-22,14:35:00,6.1139,6.1139,6.1139,6.1139,292,0
2017-03-22,15:10:00,6.1238,6.1238,6.1238,6.1238,603,0
2017-03-22,15:15:00,6.1238,6.1238,6.1238,6.1238,1396,0
2017-03-22,15:20:00,6.1139,6.1139,6.1139,6.1139,2511,0
2017-03-22,15:25:00,6.1089,6.1139,6.1089,6.1139,1808,0
2017-03-22,15:30:00,6.1129,6.1139,6.1089,6.1138,7231,0
2017-03-22,15:35:00,6.1159,6.1159,6.1159,6.1159,455,0
2017-03-22,15:55:00,6.1238,6.1275,6.1237,6.1239,5222,0
2017-03-22,16:15:00,6.1238,6.1238,6.1238,6.1238,1406,0
2017-03-22,16:35:00,6.1288,6.1288,6.1288,6.1288,1004,0
2017-03-22,16:45:00,6.1288,6.1288,6.1288,6.1288,1180,0
2017-03-22,16:50:00,6.1288,6.1288,6.1187,6.1187,6714,0
2017-03-22,17:30:00,6.1211,6.1211,6.1208,6.1208,1127,0
2017-03-22,18:35:00,6.1238,6.1238,6.1238,6.1238,1591,0
2017-03-22,18:40:00,6.1238,6.1238,6.1238,6.1238,301,0
2017-03-22,18:55:00,6.1288,6.1288,6.1238,6.1288,718,0
2017-03-22,19:25:00,6.1238,6.1238,6.1238,6.1238,308,0
2017-03-22,19:35:00,6.1238,6.1288,6.1238,6.1246,703,0
2017-03-22,19:40:00,6.1288,6.1288,6.1238,6.1246,603,0
2017-03-22,19:45:00,6.1288,6.1315,6.1238,6.1315,1278,0
2017-03-22,19:50:00,6.1238,6.1238,6.1238,6.1238,1287,0
2017-03-22,20:00:00,6.1288,6.1288,6.1288,6.1288,100,0
2017-03-22,20:40:00,6.1288,6.1328,6.1288,6.1328,1004,0
2017-03-22,20:45:00,6.1266,6.1288,6.1039,6.1248,30958,0
2017-03-22,20:50:00,6.1238,6.1315,6.1039,6.1189,33529,0
2017-03-22,20:55:00,6.1139,6.1238,6.1139,6.1238,3347,0
2017-03-22,21:00:00,6.1238,6.1238,6.1183,6.1238,3735,0
2017-03-23,14:35:00,6.1238,6.1238,6.1238,6.1238,1051,0
2017-03-23,14:45:00,6.1288,6.1288,6.1238,6.1258,3716,0
2017-03-23,15:05:00,6.1338,6.1338,6.1239,6.1338,803,0
2017-03-23,15:10:00,6.1338,6.1338,6.114,6.114,2410,0
2017-03-23,15:30:00,6.1288,6.1288,6.1288,6.1288,1205,0
2017-03-23,15:35:00,6.1288,6.1288,6.1039,6.1139,10732,0
2017-03-23,15:40:00,6.1189,6.1238,6.1139,6.1238,2009,0
2017-03-23,15:45:00,6.1238,6.1338,6.1238,6.1238,1205,0
2017-03-23,15:50:00,6.1238,6.1238,6.1039,6.1139,13486,0
2017-03-23,15:55:00,6.1238,6.1338,6.1189,6.1338,5624,0
2017-03-23,16:00:00,6.1338,6.1338,6.1338,6.1338,402,0
2017-03-23,16:30:00,6.1338,6.1338,6.1338,6.1338,415,0
2017-03-23,16:50:00,6.1364,6.1364,6.1364,6.1364,2110,0
2017-03-23,16:55:00,6.1338,6.1338,6.1338,6.1338,748,0
2017-03-23,17:00:00,6.1338,6.1372,6.1338,6.1338,8109,0
2017-03-23,17:45:00,6.1278,6.1278,6.1278,6.1278,201,0
2017-03-23,17:55:00,6.1303,6.1303,6.1303,6.1303,1506,0
2017-03-23,18:15:00,6.1288,6.1288,6.1238,6.1288,2712,0
2017-03-23,18:20:00,6.1288,6.1288,6.1288,6.1288,1105,0
2017-03-23,19:10:00,6.1292,6.1292,6.1238,6.1238,1833,0
2017-03-23,19:20:00,6.1238,6.1288,6.1238,6.1282,5654,0
2017-03-23,19:25:00,6.1282,6.1282,6.1238,6.1238,4350,0
2017-03-23,19:30:00,6.1238,6.1238,6.1238,6.1238,301,0
2017-03-23,19:35:00,6.1288,6.1337,6.1288,6.1317,689,0
2017-03-23,20:05:00,6.1238,6.1239,6.1238,6.1239,1311,0
2017-03-23,20:40:00,6.1288,6.1288,6.1288,6.1288,2009,0
2017-03-23,20:45:00,6.1239,6.1239,6.1238,6.1238,1306,0
2017-03-23,20:50:00,6.1239,6.126,6.1238,6.1238,2282,0
2017-03-23,20:55:00,6.1329,6.1338,6.1238,6.1338,3048,0
2017-03-23,21:00:00,6.1238,6.1338,6.1238,6.1338,3214,0
2017-03-24,14:35:00,6.1338,6.1338,6.1338,6.1338,628,0
2017-03-24,14:45:00,6.1238,6.1338,6.1238,6.1338,486,0
2017-03-24,15:00:00,6.1388,6.1438,6.1388,6.1438,4519,0
2017-03-24,15:10:00,6.1388,6.1438,6.1388,6.1438,8838,0
2017-03-24,15:15:00,6.1388,6.1438,6.1338,6.1338,1242,0
2017-03-24,15:20:00,6.1388,6.1388,6.1346,6.1346,402,0
2017-03-24,15:30:00,6.1438,6.1438,6.1388,6.1388,3369,0
2017-03-24,15:35:00,6.1438,6.1467,6.1438,6.1446,1953,0
2017-03-24,15:40:00,6.1467,6.1537,6.1438,6.1537,5323,0
2017-03-24,15:45:00,6.1449,6.1467,6.1438,6.1438,1808,0
2017-03-24,16:25:00,6.1487,6.1487,6.1438,6.1438,703,0
2017-03-24,16:55:00,6.1487,6.1487,6.1438,6.1438,2862,0
2017-03-24,17:20:00,6.1487,6.1536,6.1487,6.1536,4993,0
2017-03-24,17:30:00,6.1487,6.1537,6.1487,6.1537,5021,0
