Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,66.65,66.65,66.5,66.61,4386,0
2017-04-10,15:40:00,66.61,66.81,66.6096,66.74,3849,0
2017-04-10,15:45:00,66.825,66.825,66.81,66.81,300,0
2017-04-10,15:50:00,66.74,66.81,66.74,66.79,1100,0
2017-04-10,15:55:00,66.82,66.87,66.82,66.87,1100,0
2017-04-10,16:00:00,66.86,66.91,66.86,66.9,600,0
2017-04-10,16:05:00,66.91,66.96,66.91,66.96,700,0
2017-04-10,16:10:00,66.97,66.975,66.95,66.95,800,0
2017-04-10,16:15:00,66.98,66.99,66.9196,66.96,828,0
2017-04-10,16:20:00,66.9344,66.99,66.92,66.98,1930,0
2017-04-10,16:25:00,66.99,66.99,66.84,66.8514,5075,0
2017-04-10,16:30:00,66.83,66.9,66.81,66.88,4223,0
2017-04-10,16:35:00,66.87,66.95,66.87,66.925,4821,0
2017-04-10,16:40:00,66.95,66.95,66.85,66.85,2136,0
2017-04-10,16:45:00,66.84,66.89,66.83,66.89,838,0
2017-04-10,16:50:00,66.94,66.94,66.89,66.89,400,0
2017-04-10,16:55:00,66.85,66.9,66.85,66.9,3473,0
2017-04-10,17:00:00,66.94,66.94,66.87,66.88,1900,0
2017-04-10,17:05:00,66.85,66.87,66.849,66.87,1217,0
2017-04-10,17:10:00,66.86,66.9399,66.86,66.925,2715,0
2017-04-10,17:15:00,66.92,66.96,66.89,66.89,9980,0
2017-04-10,17:20:00,66.9,66.92,66.83,66.83,4576,0
2017-04-10,17:25:00,66.85,66.86,66.84,66.8401,1796,0
2017-04-10,17:30:00,66.88,66.89,66.845,66.85,1050,0
2017-04-10,17:35:00,66.85,66.8799,66.81,66.8299,5904,0
2017-04-10,17:40:00,66.8,66.88,66.7937,66.8,5297,0
2017-04-10,17:45:00,66.8038,66.86,66.8038,66.86,6428,0
2017-04-10,17:50:00,66.8222,66.88,66.8222,66.86,2862,0
2017-04-10,17:55:00,66.85,66.92,66.85,66.9,1500,0
2017-04-10,18:00:00,66.87,66.87,66.87,66.87,200,0
2017-04-10,18:05:00,66.9,66.9,66.87,66.87,1112,0
2017-04-10,18:10:00,66.82,66.88,66.79,66.88,2108,0
2017-04-10,18:15:00,66.87,66.87,66.7652,66.79,3602,0
2017-04-10,18:20:00,66.81,66.81,66.789,66.79,1417,0
2017-04-10,18:25:00,66.81,66.81,66.72,66.72,2649,0
2017-04-10,18:30:00,66.7,66.76,66.66,66.7324,1272,0
2017-04-10,18:35:00,66.75,66.8,66.7365,66.79,4800,0
2017-04-10,18:40:00,66.78,66.785,66.72,66.74,8001,0
2017-04-10,18:45:00,66.765,66.78,66.73,66.75,2311,0
2017-04-10,18:50:00,66.75,66.76,66.71,66.71,5700,0
2017-04-10,18:55:00,66.71,66.84,66.71,66.84,6138,0
2017-04-10,19:00:00,66.84,66.92,66.84,66.89,2600,0
2017-04-10,19:05:00,66.86,66.86,66.8,66.8,2068,0
2017-04-10,19:10:00,66.82,66.865,66.82,66.865,1175,0
2017-04-10,19:15:00,66.88,66.94,66.88,66.94,1400,0
2017-04-10,19:20:00,66.92,66.93,66.8939,66.8939,687,0
2017-04-10,19:25:00,66.87,66.94,66.86,66.94,1716,0
2017-04-10,19:30:00,66.94,66.94,66.87,66.87,1701,0
2017-04-10,19:35:00,66.86,66.94,66.86,66.94,3327,0
2017-04-10,19:40:00,66.935,67,66.935,66.9721,11595,0
2017-04-10,19:45:00,66.99,67.01,66.98,66.98,1700,0
2017-04-10,19:50:00,66.98,67,66.96,66.965,1800,0
2017-04-10,19:55:00,66.96,66.96,66.94,66.94,200,0
