Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-19,17:35:00,25.862,25.872,25.862,25.872,12818,0
2016-12-19,17:40:00,25.872,25.872,25.872,25.872,4349,0
2016-12-19,18:00:00,25.862,25.891,25.862,25.891,111888,0
2016-12-19,18:35:00,25.879,25.879,25.879,25.879,263,0
2016-12-19,18:50:00,25.881,25.881,25.852,25.852,408,0
2016-12-19,20:50:00,25.862,25.862,25.862,25.862,3052,0
2016-12-19,21:20:00,25.852,25.852,25.852,25.852,20346,0
2016-12-19,21:40:00,25.901,25.911,25.896,25.911,2835,0
2016-12-19,22:00:00,25.919,25.919,25.919,25.919,408,0
2016-12-20,15:35:00,25.812,25.812,25.812,25.812,225,0
2016-12-20,16:25:00,25.872,25.872,25.872,25.872,508,0
2016-12-20,16:30:00,25.862,25.862,25.862,25.862,5163,0
2016-12-20,17:05:00,25.885,25.885,25.885,25.885,138,0
2016-12-20,18:30:00,25.862,25.862,25.862,25.862,717,0
2016-12-20,20:20:00,25.881,25.881,25.813,25.847,2657,0
2016-12-20,20:30:00,25.871,25.871,25.871,25.871,381,0
2016-12-20,21:10:00,25.881,25.881,25.865,25.881,11286,0
2016-12-20,21:15:00,25.881,25.881,25.881,25.881,1274,0
2016-12-20,22:00:00,25.881,25.881,25.881,25.881,100,0
2016-12-21,15:45:00,25.911,25.911,25.911,25.911,1526,0
2016-12-21,17:10:00,25.852,25.852,25.852,25.852,915,0
2016-12-21,19:15:00,25.929,25.929,25.929,25.929,1103,0
2016-12-21,20:05:00,25.872,25.891,25.872,25.891,15973,0
2016-12-21,20:10:00,25.881,25.881,25.881,25.881,304,0
2016-12-21,20:15:00,25.872,25.874,25.864,25.867,10988,0
2016-12-21,20:20:00,25.901,25.901,25.901,25.901,100,0
2016-12-21,20:35:00,25.881,25.881,25.881,25.881,6714,0
2016-12-21,20:40:00,25.929,25.929,25.929,25.929,100,0
2016-12-21,20:55:00,25.892,25.914,25.892,25.914,870,0
2016-12-21,21:35:00,25.91,25.939,25.91,25.939,3834,0
2016-12-21,21:40:00,25.929,25.929,25.929,25.929,100,0
2016-12-21,21:45:00,25.939,25.939,25.939,25.939,100,0
2016-12-21,21:55:00,25.939,25.939,25.939,25.939,100,0
2016-12-21,22:00:00,25.928,25.939,25.927,25.939,986,0
2016-12-22,17:10:00,25.939,25.939,25.939,25.939,304,0
2016-12-22,20:00:00,25.935,25.935,25.935,25.935,462,0
2016-12-22,20:15:00,25.924,25.949,25.924,25.949,1081,0
2016-12-22,20:20:00,25.911,25.949,25.911,25.949,1132,0
2016-12-22,20:55:00,25.929,25.929,25.929,25.929,397,0
2016-12-22,22:00:00,25.979,25.979,25.979,25.979,100,0
2016-12-23,15:50:00,25.939,25.989,25.939,25.989,7019,0
2016-12-23,17:55:00,25.979,25.979,25.979,25.979,154,0
2016-12-23,18:20:00,25.969,25.969,25.969,25.969,1526,0
2016-12-23,20:05:00,25.969,25.969,25.969,25.969,774,0
2016-12-23,20:25:00,25.99,25.99,25.99,25.99,122,0
2016-12-23,20:30:00,25.988,25.988,25.984,25.984,1035,0
2016-12-27,15:35:00,25.949,25.949,25.949,25.949,627,0
2016-12-27,16:30:00,26.039,26.039,26.039,26.039,304,0
2016-12-27,16:40:00,26.049,26.049,26.049,26.049,100,0
