Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-03,15:55:00,5.001,5.045,5.001,5.045,200,0
2017-03-03,16:15:00,5.05,5.1,5.05,5.1,200,0
2017-03-03,16:50:00,5.1,5.1,5.1,5.1,160,0
2017-03-03,17:20:00,5.05,5.05,5.05,5.05,200,0
2017-03-03,17:40:00,5.005,5.005,5,5,3000,0
2017-03-03,17:45:00,5.026,5.026,5.026,5.026,200,0
2017-03-03,18:10:00,5.1,5.1,5.1,5.1,100,0
2017-03-03,19:25:00,5.0001,5.1,5.0001,5.1,200,0
2017-03-03,19:55:00,5.1,5.1,5.1,5.1,100,0
2017-03-03,20:45:00,5,5.05,5,5,1100,0
2017-03-03,20:50:00,5.05,5.069,5.05,5.069,500,0
2017-03-03,20:55:00,5.05,5.1,5.05,5.1,500,0
2017-03-03,21:05:00,5.05,5.05,5.05,5.05,400,0
2017-03-03,21:10:00,5.1,5.1,5.0598,5.0598,300,0
2017-03-03,21:25:00,5.1,5.1,5.1,5.1,100,0
2017-03-03,21:30:00,5.1,5.1,5.1,5.1,100,0
2017-03-03,21:35:00,5.1,5.1,5.1,5.1,100,0
2017-03-03,21:40:00,5.0501,5.1,5.0501,5.1,760,0
2017-03-03,21:50:00,5.1,5.1,5.075,5.075,200,0
2017-03-03,21:55:00,5.075,5.075,5.075,5.075,100,0
2017-03-03,22:00:00,5.05,5.1,5.05,5.1,3800,0
2017-03-06,15:35:00,5.05,5.05,5.05,5.05,629,0
2017-03-06,15:40:00,5.06,5.06,5.06,5.06,400,0
2017-03-06,16:05:00,5.0425,5.0425,5,5,1000,0
2017-03-06,16:10:00,5,5.15,5,5.145,700,0
2017-03-06,16:30:00,5,5,5,5,100,0
2017-03-06,16:40:00,5,5,5,5,100,0
2017-03-06,16:50:00,5,5,5,5,496,0
2017-03-06,16:55:00,5,5,5,5,100,0
2017-03-06,17:15:00,5.019,5.019,5.019,5.019,200,0
2017-03-06,18:00:00,5.0144,5.0144,5.0144,5.0144,356,0
2017-03-06,18:05:00,5,5,5,5,200,0
2017-03-06,18:10:00,5.0182,5.0182,5,5,300,0
2017-03-06,18:20:00,5,5.019,5,5,500,0
2017-03-06,18:35:00,5,5,5,5,100,0
2017-03-06,18:45:00,5.05,5.05,5.05,5.05,100,0
2017-03-06,19:15:00,5.0125,5.0125,5,5,4100,0
2017-03-06,19:30:00,5.0237,5.0237,5.0237,5.0237,200,0
2017-03-06,19:40:00,5.05,5.05,5.05,5.05,100,0
2017-03-06,21:20:00,5,5.05,5,5,3440,0
2017-03-06,21:25:00,5.025,5.025,4.95,4.95,15048,0
2017-03-06,21:30:00,4.9841,4.9841,4.9841,4.9841,400,0
2017-03-06,21:40:00,4.95,4.95,4.95,4.95,200,0
2017-03-06,21:45:00,5,5,4.95,4.95,700,0
2017-03-06,21:55:00,5,5,4.9999,5,700,0
2017-03-06,22:00:00,5,5,4.95,5,625,0
2017-03-07,15:35:00,4.95,4.95,4.95,4.95,2500,0
2017-03-07,15:55:00,4.9,4.9,4.9,4.9,100,0
2017-03-07,16:05:00,4.9074,4.9074,4.9074,4.9074,500,0
2017-03-07,16:20:00,4.9,4.9002,4.85,4.85,4270,0
2017-03-07,16:25:00,4.95,4.95,4.95,4.95,100,0
2017-03-07,16:35:00,4.95,4.95,4.95,4.95,100,0
2017-03-07,16:40:00,4.95,4.95,4.9,4.9,300,0
