Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,28.09,28.1322,28.09,28.1322,4013,0
2017-03-30,15:45:00,28.112,28.13,28.11,28.115,2076,0
2017-03-30,15:55:00,28.1224,28.1224,28.1224,28.1224,113,0
2017-03-30,16:00:00,28.123,28.123,28.123,28.123,1000,0
2017-03-30,16:05:00,28.12,28.18,28.12,28.12,2509,0
2017-03-30,16:25:00,28.145,28.15,28.14,28.15,1300,0
2017-03-30,16:30:00,28.15,28.15,28.145,28.15,900,0
2017-03-30,16:40:00,28.17,28.17,28.1675,28.17,3024,0
2017-03-30,16:45:00,28.1953,28.1953,28.17,28.18,5624,0
2017-03-30,16:55:00,28.18,28.18,28.175,28.18,1600,0
2017-03-30,17:00:00,28.18,28.18,28.1718,28.1718,1087,0
2017-03-30,17:05:00,28.18,28.2,28.18,28.2,854,0
2017-03-30,17:20:00,28.1918,28.1918,28.1918,28.1918,1200,0
2017-03-30,17:25:00,28.2,28.2,28.1961,28.1961,707,0
2017-03-30,17:45:00,28.19,28.19,28.19,28.19,2500,0
2017-03-30,17:50:00,28.17,28.17,28.1469,28.1469,4138,0
2017-03-30,17:55:00,28.14,28.14,28.14,28.14,100,0
2017-03-30,18:00:00,28.14,28.15,28.14,28.15,300,0
2017-03-30,18:05:00,28.14,28.14,28.14,28.14,320,0
2017-03-30,18:10:00,28.13,28.13,28.12,28.13,3444,0
2017-03-30,18:15:00,28.13,28.13,28.13,28.13,233,0
2017-03-30,18:25:00,28.13,28.14,28.13,28.13,500,0
2017-03-30,18:35:00,28.13,28.138,28.13,28.138,267,0
2017-03-30,19:00:00,28.13,28.13,28.13,28.13,1168,0
2017-03-30,19:05:00,28.1293,28.1293,28.12,28.12,700,0
2017-03-30,19:10:00,28.12,28.12,28.12,28.12,100,0
2017-03-30,19:15:00,28.121,28.121,28.121,28.121,270,0
2017-03-30,19:20:00,28.12,28.13,28.12,28.13,1414,0
2017-03-30,19:25:00,28.12,28.1335,28.12,28.1335,441,0
2017-03-30,19:35:00,28.14,28.14,28.1265,28.1265,1150,0
2017-03-30,19:45:00,28.13,28.13,28.13,28.13,1000,0
2017-03-30,19:55:00,28.13,28.13,28.12,28.12,2928,0
2017-03-30,20:05:00,28.1245,28.1245,28.11,28.11,3586,0
2017-03-30,20:10:00,28.1193,28.1193,28.11,28.115,3300,0
2017-03-30,20:15:00,28.11,28.11,28.1001,28.1075,2458,0
2017-03-30,20:25:00,28.11,28.13,28.11,28.13,2998,0
2017-03-30,20:35:00,28.1322,28.14,28.1322,28.14,259,0
2017-03-30,20:45:00,28.1201,28.14,28.12,28.13,1875,0
2017-03-30,20:50:00,28.13,28.131,28.13,28.131,470,0
2017-03-30,20:55:00,28.14,28.14,28.1325,28.1325,624,0
2017-03-30,21:00:00,28.1371,28.1371,28.12,28.12,1666,0
2017-03-30,21:10:00,28.1221,28.13,28.1221,28.13,800,0
2017-03-30,21:15:00,28.13,28.14,28.13,28.13,1814,0
2017-03-30,21:20:00,28.13,28.13,28.12,28.13,2424,0
2017-03-30,21:25:00,28.12,28.12,28.12,28.12,1000,0
2017-03-30,21:30:00,28.13,28.13,28.13,28.13,800,0
2017-03-30,21:40:00,28.13,28.138,28.13,28.138,5197,0
2017-03-30,21:45:00,28.14,28.15,28.14,28.15,1125,0
2017-03-30,21:50:00,28.14,28.15,28.14,28.15,1205,0
2017-03-30,21:55:00,28.15,28.16,28.14,28.14,700,0
2017-03-30,22:00:00,28.15,28.16,28.14,28.16,2546,0
2017-03-31,15:35:00,28.17,28.17,28.17,28.17,1533,0
2017-03-31,15:40:00,28.14,28.14,28.11,28.12,4096,0
2017-03-31,15:45:00,28.12,28.13,28.12,28.13,1200,0
2017-03-31,15:50:00,28.13,28.13,28.11,28.11,300,0
2017-03-31,16:05:00,28.12,28.12,28.12,28.12,300,0
2017-03-31,16:10:00,28.12,28.15,28.12,28.15,3200,0
2017-03-31,16:15:00,28.13,28.1506,28.13,28.1506,765,0
2017-03-31,16:30:00,28.13,28.1425,28.13,28.14,3700,0
2017-03-31,16:35:00,28.13,28.1301,28.11,28.13,2500,0
2017-03-31,16:45:00,28.12,28.13,28.11,28.13,2139,0
2017-03-31,17:15:00,28.15,28.15,28.15,28.15,115,0
2017-03-31,17:20:00,28.1416,28.1416,28.1416,28.1416,183,0
2017-03-31,17:30:00,28.13,28.13,28.13,28.13,110,0
2017-03-31,17:40:00,28.1436,28.1436,28.1436,28.1436,100,0
2017-03-31,18:10:00,28.15,28.15,28.14,28.14,3100,0
2017-03-31,18:15:00,28.14,28.14,28.14,28.14,1100,0
2017-03-31,18:20:00,28.14,28.16,28.13,28.15,2221,0
2017-03-31,18:25:00,28.16,28.16,28.16,28.16,118,0
2017-03-31,18:30:00,28.1474,28.1474,28.1474,28.1474,185,0
2017-03-31,18:35:00,28.1316,28.1401,28.13,28.1401,3211,0
2017-03-31,18:45:00,28.14,28.14,28.12,28.13,2396,0
2017-03-31,18:55:00,28.1265,28.13,28.12,28.13,2500,0
2017-03-31,19:00:00,28.125,28.125,28.12,28.12,200,0
2017-03-31,19:50:00,28.13,28.13,28.13,28.13,100,0
2017-03-31,19:55:00,28.129,28.13,28.125,28.13,2300,0
2017-03-31,20:25:00,28.15,28.15,28.11,28.11,5988,0
2017-03-31,20:30:00,28.13,28.13,28.13,28.13,200,0
2017-03-31,20:35:00,28.14,28.16,28.14,28.16,1350,0
2017-03-31,20:40:00,28.15,28.15,28.15,28.15,100,0
2017-03-31,20:50:00,28.15,28.16,28.15,28.1508,443,0
2017-03-31,20:55:00,28.1593,28.16,28.155,28.1592,977,0
2017-03-31,21:00:00,28.1508,28.1791,28.1508,28.1791,1115,0
2017-03-31,21:10:00,28.16,28.16,28.16,28.16,700,0
2017-03-31,21:15:00,28.16,28.16,28.16,28.16,100,0
2017-03-31,21:30:00,28.18,28.18,28.17,28.17,1100,0
2017-03-31,21:35:00,28.18,28.2,28.18,28.2,4864,0
2017-03-31,21:45:00,28.19,28.19,28.19,28.19,100,0
2017-03-31,21:50:00,28.21,28.31,28.2,28.27,34454,0
2017-03-31,21:55:00,28.28,28.28,28.28,28.28,252,0
2017-03-31,22:00:00,28.29,28.37,28.26,28.33,112757,0
2017-04-03,15:35:00,28.33,28.33,28.33,28.33,2973,0
2017-04-03,15:45:00,28.33,28.37,28.33,28.35,3849,0
2017-04-03,15:50:00,28.34,28.34,28.34,28.34,1200,0
2017-04-03,16:10:00,28.3393,28.3393,28.32,28.32,6746,0
2017-04-03,16:15:00,28.31,28.31,28.29,28.31,4475,0
2017-04-03,16:20:00,28.32,28.33,28.32,28.33,1651,0
2017-04-03,16:25:00,28.33,28.34,28.33,28.33,3000,0
2017-04-03,16:30:00,28.33,28.33,28.33,28.33,115,0
2017-04-03,16:35:00,28.33,28.33,28.3233,28.3233,213,0
2017-04-03,16:40:00,28.33,28.34,28.33,28.34,1772,0
2017-04-03,16:45:00,28.368,28.37,28.368,28.37,1280,0
2017-04-03,16:55:00,28.37,28.37,28.37,28.37,262,0
2017-04-03,17:00:00,28.4,28.4,28.39,28.39,304,0
2017-04-03,17:05:00,28.4,28.43,28.4,28.42,5625,0
2017-04-03,17:15:00,28.43,28.44,28.43,28.43,1265,0
2017-04-03,17:20:00,28.43,28.45,28.43,28.4499,2885,0
2017-04-03,17:25:00,28.46,28.4759,28.455,28.4759,2108,0
2017-04-03,17:30:00,28.48,28.48,28.47,28.47,600,0
2017-04-03,17:35:00,28.49,28.5,28.49,28.5,500,0
2017-04-03,17:40:00,28.51,28.54,28.51,28.54,854,0
2017-04-03,17:45:00,28.55,28.55,28.54,28.54,2132,0
2017-04-03,17:50:00,28.53,28.6,28.53,28.6,2267,0
2017-04-03,18:00:00,28.5845,28.5845,28.5845,28.5845,188,0
2017-04-03,18:05:00,28.58,28.58,28.57,28.57,1660,0
2017-04-03,18:10:00,28.57,28.57,28.57,28.57,100,0
2017-04-03,18:15:00,28.56,28.56,28.56,28.56,100,0
2017-04-03,18:20:00,28.57,28.57,28.57,28.57,1695,0
2017-04-03,18:25:00,28.6,28.6,28.6,28.6,1357,0
2017-04-03,18:30:00,28.58,28.58,28.58,28.58,6500,0
2017-04-03,18:35:00,28.6,28.6,28.59,28.6,2110,0
2017-04-03,18:40:00,28.6,28.6,28.6,28.6,325,0
2017-04-03,18:45:00,28.6,28.6,28.6,28.6,2600,0
2017-04-03,18:50:00,28.6,28.6,28.5701,28.5701,6813,0
2017-04-03,18:55:00,28.57,28.57,28.56,28.56,300,0
2017-04-03,19:00:00,28.59,28.59,28.59,28.59,106,0
2017-04-03,19:05:00,28.57,28.57,28.56,28.56,1000,0
2017-04-03,19:10:00,28.57,28.57,28.57,28.57,700,0
2017-04-03,19:15:00,28.57,28.57,28.57,28.57,2000,0
2017-04-03,19:20:00,28.57,28.57,28.57,28.57,300,0
2017-04-03,19:30:00,28.57,28.59,28.5699,28.59,3311,0
2017-04-03,19:35:00,28.58,28.58,28.5666,28.5666,2642,0
2017-04-03,19:40:00,28.56,28.57,28.56,28.57,336,0
