Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-28,15:35:00,2.09,2.1,2.045,2.0601,31867,0
2017-02-28,15:40:00,2.0729,2.0729,2.0276,2.0488,13760,0
2017-02-28,15:45:00,2.0451,2.06,2.04,2.06,4250,0
2017-02-28,15:50:00,2.06,2.06,2.05,2.05,8505,0
2017-02-28,15:55:00,2.035,2.035,2.01,2.01,10647,0
2017-02-28,16:00:00,2,2.02,1.98,2.02,5250,0
2017-02-28,16:05:00,2,2.02,1.994,1.994,1370,0
2017-02-28,16:15:00,2.005,2.005,2.005,2.005,1000,0
2017-02-28,16:25:00,2.01,2.01,2.01,2.01,1000,0
2017-02-28,16:30:00,2.0001,2.0001,2,2,4420,0
2017-02-28,16:35:00,2,2,2,2,200,0
2017-02-28,16:40:00,2.0048,2.01,2.002,2.005,2750,0
2017-02-28,16:50:00,2,2,1.97,1.99,2612,0
2017-02-28,17:00:00,1.971,1.971,1.971,1.971,1000,0
2017-02-28,17:05:00,1.964,1.98,1.964,1.97,500,0
2017-02-28,17:15:00,1.965,1.965,1.965,1.965,300,0
2017-02-28,17:20:00,1.9755,1.9755,1.965,1.97,3800,0
2017-02-28,17:25:00,1.96,1.96,1.9586,1.9586,1640,0
2017-02-28,17:30:00,1.97,1.97,1.96,1.9626,500,0
2017-02-28,17:35:00,1.957,1.97,1.957,1.965,4920,0
2017-02-28,17:55:00,1.97,1.99,1.95,1.955,4980,0
2017-02-28,18:15:00,1.96,1.99,1.96,1.99,900,0
2017-02-28,18:25:00,1.99,1.99,1.99,1.99,600,0
2017-02-28,18:30:00,1.97,1.97,1.97,1.97,2000,0
2017-02-28,18:35:00,1.98,1.98,1.98,1.98,100,0
2017-02-28,18:50:00,1.9882,1.9882,1.98,1.98,800,0
2017-02-28,19:05:00,1.99,1.99,1.975,1.975,500,0
2017-02-28,19:15:00,1.975,1.975,1.975,1.975,2000,0
2017-02-28,19:40:00,1.975,1.975,1.97,1.975,320,0
2017-02-28,19:45:00,1.97,1.97,1.97,1.97,100,0
2017-02-28,20:00:00,1.9754,1.9754,1.97,1.97,1100,0
2017-02-28,20:15:00,1.9614,1.9614,1.9611,1.9611,800,0
2017-02-28,20:20:00,1.96,1.96,1.96,1.96,650,0
2017-02-28,20:30:00,1.97,1.98,1.965,1.9799,6018,0
2017-02-28,20:35:00,1.98,1.9848,1.98,1.9848,1780,0
2017-02-28,20:55:00,1.98,1.9896,1.98,1.9896,1150,0
2017-02-28,21:35:00,1.98,1.99,1.98,1.99,1000,0
2017-02-28,21:40:00,1.96,1.9999,1.96,1.9741,377,0
2017-02-28,21:45:00,1.96,1.96,1.91,1.91,8200,0
2017-02-28,21:50:00,1.91,1.915,1.91,1.91,1738,0
2017-02-28,21:55:00,1.9358,1.9358,1.91,1.92,1800,0
2017-02-28,22:00:00,1.95,1.95,1.932,1.95,7000,0
2017-03-01,15:35:00,1.94,1.98,1.94,1.98,6000,0
2017-03-01,15:45:00,1.9682,1.9682,1.9682,1.9682,300,0
2017-03-01,15:50:00,1.98,1.98,1.98,1.98,7050,0
2017-03-01,15:55:00,1.9614,1.98,1.9614,1.98,300,0
2017-03-01,16:00:00,1.98,1.98,1.98,1.98,300,0
2017-03-01,16:15:00,1.9752,1.9752,1.9752,1.9752,1750,0
2017-03-01,16:45:00,1.98,1.98,1.98,1.98,500,0
2017-03-01,16:50:00,1.97,1.97,1.96,1.96,2915,0
2017-03-01,17:00:00,1.98,1.98,1.98,1.98,600,0
2017-03-01,17:10:00,2.02,2.02,2,2,3411,0
2017-03-01,17:15:00,2.01,2.01,2.01,2.01,110,0
2017-03-01,17:20:00,2.01,2.016,2.01,2.01,2150,0
2017-03-01,17:30:00,1.9988,1.9988,1.9988,1.9988,1000,0
2017-03-01,17:40:00,2,2,2,2,200,0
2017-03-01,18:00:00,2,2,2,2,200,0
2017-03-01,18:05:00,2,2,2,2,1100,0
2017-03-01,18:10:00,2,2,2,2,400,0
2017-03-01,18:15:00,2,2,2,2,300,0
2017-03-01,18:20:00,2,2.02,1.999,2,13437,0
2017-03-01,18:25:00,2,2,2,2,200,0
2017-03-01,18:30:00,2.015,2.015,2.015,2.015,250,0
2017-03-01,19:15:00,2,2.01,2,2.01,1250,0
2017-03-01,20:30:00,1.9942,1.9942,1.9942,1.9942,1000,0
2017-03-01,21:10:00,1.99,1.99,1.99,1.99,1600,0
2017-03-01,21:20:00,1.99,1.99,1.99,1.99,200,0
2017-03-01,21:35:00,1.9865,1.9865,1.9865,1.9865,800,0
2017-03-01,21:50:00,1.99,1.99,1.986,1.986,3400,0
2017-03-01,21:55:00,2,2,1.99,1.99,1400,0
2017-03-01,22:00:00,2.01,2.01,2.01,2.01,600,0
2017-03-02,15:35:00,2,2.0009,2,2,2850,0
2017-03-02,15:40:00,1.99,1.99,1.99,1.99,190,0
2017-03-02,15:50:00,1.995,1.995,1.995,1.995,100,0
2017-03-02,15:55:00,2,2.005,2,2.005,3100,0
2017-03-02,16:00:00,2.01,2.01,2.005,2.005,3110,0
2017-03-02,16:05:00,2.005,2.01,2.005,2.0075,3255,0
2017-03-02,16:20:00,2.0503,2.0503,2.0503,2.0503,900,0
2017-03-02,16:25:00,2.065,2.0795,2.05,2.07,700,0
2017-03-02,16:45:00,2.06,2.06,2.06,2.06,300,0
2017-03-02,16:50:00,2.06,2.06,2,2,2700,0
2017-03-02,17:00:00,2.02,2.02,2.02,2.02,100,0
2017-03-02,17:05:00,2.02,2.0321,2.01,2.01,2570,0
2017-03-02,17:20:00,2.03,2.0302,2.03,2.03,3100,0
2017-03-02,17:35:00,2.0455,2.0455,2.03,2.03,1288,0
2017-03-02,17:50:00,2.02,2.02,2.02,2.02,200,0
2017-03-02,18:15:00,2.02,2.02,2.02,2.02,100,0
2017-03-02,18:40:00,2.02,2.02,2.01,2.01,1000,0
2017-03-02,18:45:00,2.0168,2.0168,2.0168,2.0168,1000,0
2017-03-02,18:50:00,2.02,2.025,2.02,2.025,3500,0
2017-03-02,19:00:00,2.0268,2.0268,2.0268,2.0268,5000,0
2017-03-02,19:05:00,2.03,2.03,2.03,2.03,300,0
2017-03-02,19:10:00,2.03,2.03,2.03,2.03,400,0
2017-03-02,19:25:00,2.025,2.025,2.02,2.02,200,0
2017-03-02,19:35:00,2.025,2.025,2,2,4500,0
2017-03-02,20:00:00,2.004,2.004,2.004,2.004,100,0
2017-03-02,20:20:00,2.02,2.03,2.02,2.02,5550,0
2017-03-02,20:25:00,2.015,2.015,2.015,2.015,1000,0
2017-03-02,20:30:00,2.02,2.02,2.02,2.02,5757,0
2017-03-02,21:25:00,2.03,2.03,2.03,2.03,100,0
2017-03-02,21:30:00,2.03,2.03,2.025,2.03,580,0
2017-03-02,21:40:00,2.03,2.03,2.02,2.025,1280,0
2017-03-02,21:45:00,2.025,2.03,2.025,2.03,200,0
2017-03-02,21:50:00,2.03,2.03,2.03,2.03,800,0
2017-03-02,21:55:00,2.02,2.02,2.02,2.02,1000,0
2017-03-02,22:00:00,2.02,2.06,2.02,2.06,2200,0
2017-03-03,15:35:00,2.03,2.03,2.03,2.03,1400,0
2017-03-03,15:40:00,2,2.05,1.96,2.05,4400,0
2017-03-03,15:50:00,2.0662,2.0662,2.05,2.05,3000,0
2017-03-03,15:55:00,2.0425,2.05,2.0425,2.05,600,0
2017-03-03,16:00:00,2.035,2.05,2.035,2.05,500,0
2017-03-03,16:05:00,2.0371,2.05,2.02,2.02,1900,0
2017-03-03,16:10:00,2.021,2.03,2.01,2.03,7600,0
2017-03-03,16:15:00,2.0178,2.0178,2.01,2.01,420,0
2017-03-03,16:20:00,2.01,2.01,2.01,2.01,100,0
2017-03-03,16:40:00,2.02,2.02,2.02,2.02,500,0
2017-03-03,17:20:00,2.0102,2.0102,2.0102,2.0102,250,0
2017-03-03,17:35:00,2.03,2.03,2.02,2.02,300,0
2017-03-03,17:50:00,2.03,2.03,2.02,2.02,395,0
2017-03-03,18:10:00,2.025,2.025,2.025,2.025,100,0
2017-03-03,19:00:00,2.04,2.04,2.04,2.04,100,0
2017-03-03,20:15:00,2.0202,2.04,2.0202,2.03,2400,0
2017-03-03,20:40:00,2.03,2.0399,2.03,2.0399,500,0
2017-03-03,20:45:00,2.0302,2.0302,2.03,2.03,300,0
2017-03-03,21:00:00,2.03,2.04,2.02,2.04,4300,0
2017-03-03,21:50:00,2.04,2.04,2.04,2.04,100,0
2017-03-03,21:55:00,2.04,2.04,2.03,2.04,600,0
2017-03-06,15:40:00,2,2,2,2,1915,0
2017-03-06,15:45:00,1.99,2,1.99,2,3785,0
2017-03-06,15:50:00,2,2,2,2,300,0
2017-03-06,16:00:00,2.0168,2.0168,2.0168,2.0168,400,0
2017-03-06,16:50:00,2.02,2.0201,2.01,2.0101,3010,0
2017-03-06,16:55:00,2.04,2.04,2.04,2.04,100,0
2017-03-06,17:35:00,2.0259,2.0259,2.01,2.01,2100,0
2017-03-06,18:25:00,2.01,2.01,2,2,4200,0
2017-03-06,19:45:00,2.0124,2.0124,2.0124,2.0124,265,0
2017-03-06,19:55:00,2.01,2.01,2.01,2.01,100,0
2017-03-06,20:30:00,2.01,2.01,2.01,2.01,1000,0
2017-03-06,20:55:00,2.015,2.015,2.01,2.01,300,0
2017-03-06,21:10:00,2.01,2.01,2.01,2.01,100,0
2017-03-06,21:35:00,2.005,2.005,2.0002,2.0008,1100,0
2017-03-06,21:45:00,2,2,2,2,1105,0
2017-03-06,21:50:00,2.0003,2.0003,1.99,1.99,300,0
2017-03-06,22:00:00,2.01,2.01,1.99,1.99,3000,0
2017-03-07,15:35:00,2.01,2.01,2.01,2.01,1500,0
2017-03-07,15:50:00,2,2,2,2,400,0
2017-03-07,16:00:00,1.99,1.99,1.99,1.99,125,0
2017-03-07,16:15:00,1.99,2.003,1.99,2.003,6500,0
2017-03-07,17:10:00,1.995,1.995,1.995,1.995,500,0
2017-03-07,17:15:00,2,2,2,2,1300,0
2017-03-07,17:35:00,1.9983,1.9983,1.9983,1.9983,1000,0
2017-03-07,18:05:00,1.994,1.994,1.994,1.994,5000,0
2017-03-07,20:10:00,1.9997,1.9997,1.9997,1.9997,500,0
2017-03-07,20:40:00,2.0016,2.0016,2.0016,2.0016,100,0
2017-03-07,21:10:00,2.0016,2.0016,2.0016,2.0016,100,0
2017-03-07,21:30:00,2,2,2,2,1000,0
2017-03-07,22:00:00,2.0099,2.0099,2,2,628,0
2017-03-08,15:35:00,2.01,2.01,1.98,1.98,1025,0
2017-03-08,15:40:00,1.9502,1.98,1.95,1.98,779,0
2017-03-08,15:45:00,1.9937,2,1.9937,2,3563,0
2017-03-08,15:50:00,1.99,1.99,1.99,1.99,100,0
2017-03-08,15:55:00,1.9948,1.9948,1.9948,1.9948,350,0
2017-03-08,16:00:00,1.99,1.99,1.99,1.99,200,0
2017-03-08,16:25:00,1.9752,1.9752,1.9752,1.9752,400,0
2017-03-08,16:40:00,1.98,1.98,1.98,1.98,1000,0
2017-03-08,16:45:00,1.98,1.98,1.98,1.98,250,0
2017-03-08,17:00:00,1.99,1.99,1.99,1.99,600,0
2017-03-08,17:05:00,1.985,1.985,1.985,1.985,700,0
2017-03-08,17:10:00,1.99,1.99,1.98,1.98,1800,0
2017-03-08,17:15:00,2,2,2,2,500,0
2017-03-08,17:25:00,2,2,2,2,1000,0
2017-03-08,18:05:00,1.9999,1.9999,1.9931,1.9931,1500,0
