Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,52.96,53.14,52.69,52.96,5682,0
2017-04-10,15:40:00,52.8,52.95,52.8,52.95,1400,0
2017-04-10,15:45:00,52.99,53.11,52.99,53.1,7304,0
2017-04-10,15:50:00,53.1,53.2,53.1,53.16,9358,0
2017-04-10,15:55:00,53.16,53.27,53.16,53.225,9256,0
2017-04-10,16:00:00,53.21,53.23,53.16,53.23,9994,0
2017-04-10,16:05:00,53.24,53.28,53.22,53.28,10143,0
2017-04-10,16:10:00,53.27,53.35,53.27,53.335,13201,0
2017-04-10,16:15:00,53.34,53.35,53.26,53.28,4936,0
2017-04-10,16:20:00,53.29,53.29,53.22,53.23,11065,0
2017-04-10,16:25:00,53.23,53.23,53.18,53.19,6796,0
2017-04-10,16:30:00,53.2,53.24,53.2,53.23,7401,0
2017-04-10,16:35:00,53.23,53.35,53.225,53.35,16455,0
2017-04-10,16:40:00,53.34,53.41,53.34,53.36,14908,0
2017-04-10,16:45:00,53.36,53.38,53.35,53.38,7141,0
2017-04-10,16:50:00,53.37,53.43,53.36,53.42,18912,0
2017-04-10,16:55:00,53.43,53.45,53.37,53.37,23388,0
2017-04-10,17:00:00,53.37,53.38,53.31,53.32,12510,0
2017-04-10,17:05:00,53.32,53.38,53.32,53.38,9882,0
2017-04-10,17:10:00,53.39,53.45,53.37,53.45,10980,0
2017-04-10,17:15:00,53.44,53.53,53.44,53.5,17211,0
2017-04-10,17:20:00,53.53,53.58,53.5271,53.58,11200,0
2017-04-10,17:25:00,53.58,53.64,53.575,53.63,11845,0
2017-04-10,17:30:00,53.63,53.64,53.59,53.59,7305,0
2017-04-10,17:35:00,53.59,53.59,53.4,53.4,5912,0
2017-04-10,17:40:00,53.43,53.44,53.39,53.43,6438,0
2017-04-10,17:45:00,53.43,53.45,53.35,53.4,8293,0
2017-04-10,17:50:00,53.41,53.41,53.35,53.37,2997,0
2017-04-10,17:55:00,53.36,53.45,53.36,53.45,7289,0
2017-04-10,18:00:00,53.44,53.5,53.43,53.48,12996,0
2017-04-10,18:05:00,53.52,53.52,53.49,53.49,5600,0
2017-04-10,18:10:00,53.49,53.49,53.44,53.45,7093,0
2017-04-10,18:15:00,53.44,53.45,53.29,53.3,7455,0
2017-04-10,18:20:00,53.3,53.37,53.3,53.36,5904,0
2017-04-10,18:25:00,53.36,53.37,53.32,53.35,8251,0
2017-04-10,18:30:00,53.35,53.39,53.34,53.37,12419,0
2017-04-10,18:35:00,53.37,53.41,53.37,53.41,3600,0
2017-04-10,18:40:00,53.42,53.46,53.41,53.44,9265,0
2017-04-10,18:45:00,53.44,53.48,53.41,53.43,11544,0
2017-04-10,18:50:00,53.4301,53.45,53.42,53.44,3054,0
2017-04-10,18:55:00,53.45,53.49,53.44,53.485,9565,0
2017-04-10,19:00:00,53.49,53.54,53.49,53.53,11364,0
2017-04-10,19:05:00,53.51,53.51,53.4,53.41,4149,0
2017-04-10,19:10:00,53.41,53.44,53.41,53.41,1642,0
2017-04-10,19:15:00,53.42,53.42,53.4,53.41,800,0
2017-04-10,19:20:00,53.41,53.44,53.41,53.44,2802,0
2017-04-10,19:25:00,53.44,53.44,53.43,53.43,900,0
2017-04-10,19:30:00,53.43,53.5,53.43,53.5,6099,0
2017-04-10,19:35:00,53.49,53.52,53.49,53.5,8944,0
2017-04-10,19:40:00,53.51,53.51,53.48,53.5,4045,0
2017-04-10,19:45:00,53.52,53.52,53.46,53.46,3600,0
2017-04-10,19:50:00,53.44,53.48,53.43,53.46,5451,0
2017-04-10,19:55:00,53.46,53.47,53.45,53.46,3724,0
2017-04-10,20:00:00,53.46,53.48,53.46,53.46,929,0
2017-04-10,20:05:00,53.46,53.47,53.36,53.36,5978,0
2017-04-10,20:10:00,53.35,53.39,53.35,53.38,7651,0
2017-04-10,20:15:00,53.39,53.47,53.385,53.47,7175,0
2017-04-10,20:20:00,53.49,53.5,53.46,53.5,6624,0
2017-04-10,20:25:00,53.49,53.545,53.48,53.53,9990,0
2017-04-10,20:30:00,53.53,53.53,53.49,53.49,4134,0
2017-04-10,20:35:00,53.49,53.49,53.48,53.48,2307,0
2017-04-10,20:40:00,53.48,53.5,53.48,53.5,6223,0
2017-04-10,20:45:00,53.49,53.555,53.4835,53.54,8516,0
2017-04-10,20:50:00,53.55,53.58,53.55,53.571,4517,0
2017-04-10,20:55:00,53.58,53.63,53.575,53.62,6207,0
2017-04-10,21:00:00,53.62,53.64,53.5925,53.5925,5875,0
2017-04-10,21:05:00,53.59,53.6,53.57,53.57,7271,0
2017-04-10,21:10:00,53.57,53.63,53.57,53.62,6685,0
2017-04-10,21:15:00,53.62,53.62,53.57,53.57,5127,0
2017-04-10,21:20:00,53.57,53.6,53.563,53.563,10194,0
2017-04-10,21:25:00,53.56,53.56,53.51,53.52,5545,0
2017-04-10,21:30:00,53.53,53.53,53.47,53.47,6223,0
2017-04-10,21:35:00,53.48,53.4941,53.46,53.46,7203,0
2017-04-10,21:40:00,53.47,53.525,53.47,53.525,17298,0
2017-04-10,21:45:00,53.52,53.525,53.46,53.46,13024,0
2017-04-10,21:50:00,53.465,53.465,53.4,53.4,22125,0
2017-04-10,21:55:00,53.42,53.43,53.39,53.41,16632,0
2017-04-10,22:00:00,53.41,53.445,53.38,53.41,72066,0
2017-04-11,15:35:00,53.21,53.32,53.21,53.32,4303,0
2017-04-11,15:40:00,53.36,53.37,53.28,53.34,4796,0
2017-04-11,15:45:00,53.34,53.58,53.3,53.57,16498,0
2017-04-11,15:50:00,53.56,53.64,53.53,53.6,7586,0
2017-04-11,15:55:00,53.6,53.61,53.53,53.55,6696,0
2017-04-11,16:00:00,53.53,53.6,53.53,53.59,9867,0
2017-04-11,16:05:00,53.595,53.6,53.49,53.57,16814,0
2017-04-11,16:10:00,53.57,53.66,53.57,53.59,18279,0
2017-04-11,16:15:00,53.6,53.71,53.575,53.575,13910,0
2017-04-11,16:20:00,53.58,53.71,53.54,53.67,55809,0
2017-04-11,16:25:00,53.6799,53.7,53.54,53.62,38849,0
2017-04-11,16:30:00,53.63,53.75,53.63,53.735,12519,0
2017-04-11,16:35:00,53.745,53.745,53.56,53.58,17229,0
2017-04-11,16:40:00,53.59,53.68,53.59,53.67,11754,0
2017-04-11,16:45:00,53.66,53.67,53.56,53.6,14256,0
2017-04-11,16:50:00,53.61,53.69,53.6,53.68,5788,0
2017-04-11,16:55:00,53.69,53.7,53.585,53.6243,9689,0
2017-04-11,17:00:00,53.63,53.68,53.59,53.68,5779,0
2017-04-11,17:05:00,53.68,53.7,53.63,53.66,8074,0
2017-04-11,17:10:00,53.67,53.68,53.58,53.58,5700,0
2017-04-11,17:15:00,53.6,53.6,53.545,53.57,11290,0
2017-04-11,17:20:00,53.58,53.65,53.58,53.62,10409,0
2017-04-11,17:25:00,53.61,53.63,53.58,53.61,3232,0
2017-04-11,17:30:00,53.6,53.62,53.585,53.6026,6657,0
2017-04-11,17:35:00,53.61,53.63,53.56,53.59,8204,0
2017-04-11,17:40:00,53.6,53.63,53.6,53.62,2211,0
2017-04-11,17:45:00,53.62,53.62,53.59,53.6015,3823,0
2017-04-11,17:50:00,53.59,53.62,53.59,53.615,6504,0
2017-04-11,17:55:00,53.62,53.7,53.62,53.68,10241,0
2017-04-11,18:00:00,53.69,53.695,53.68,53.685,6770,0
2017-04-11,18:05:00,53.68,53.685,53.65,53.67,8633,0
2017-04-11,18:10:00,53.67,53.72,53.67,53.72,8588,0
2017-04-11,18:15:00,53.72,53.805,53.72,53.7611,12196,0
2017-04-11,18:20:00,53.75,53.815,53.75,53.81,9650,0
2017-04-11,18:25:00,53.82,53.85,53.77,53.8,6932,0
2017-04-11,18:30:00,53.77,53.84,53.77,53.84,3731,0
2017-04-11,18:35:00,53.83,53.84,53.79,53.79,3390,0
2017-04-11,18:40:00,53.79,53.81,53.76,53.77,4370,0
2017-04-11,18:45:00,53.77,53.79,53.7619,53.79,3763,0
2017-04-11,18:50:00,53.78,53.8,53.76,53.76,4400,0
2017-04-11,18:55:00,53.75,53.79,53.75,53.79,3415,0
2017-04-11,19:00:00,53.7944,53.7944,53.76,53.76,3500,0
2017-04-11,19:05:00,53.76,53.8,53.76,53.8,7262,0
2017-04-11,19:10:00,53.8,53.83,53.76,53.76,4373,0
2017-04-11,19:15:00,53.76,53.79,53.75,53.79,4661,0
2017-04-11,19:20:00,53.775,53.805,53.76,53.805,7935,0
2017-04-11,19:25:00,53.81,53.82,53.77,53.77,7305,0
2017-04-11,19:30:00,53.775,53.79,53.76,53.76,2110,0
2017-04-11,19:35:00,53.78,53.82,53.78,53.79,9087,0
2017-04-11,19:40:00,53.78,53.83,53.78,53.83,2000,0
2017-04-11,19:45:00,53.84,53.84,53.79,53.8,7754,0
2017-04-11,19:50:00,53.8,53.8,53.7442,53.78,12546,0
2017-04-11,19:55:00,53.78,53.82,53.78,53.82,6496,0
2017-04-11,20:00:00,53.82,53.82,53.76,53.79,13350,0
2017-04-11,20:05:00,53.79,53.81,53.79,53.81,7348,0
2017-04-11,20:10:00,53.81,53.86,53.81,53.85,6710,0
2017-04-11,20:15:00,53.86,53.875,53.82,53.825,6135,0
2017-04-11,20:20:00,53.81,53.855,53.81,53.85,5233,0
2017-04-11,20:25:00,53.86,53.89,53.86,53.86,10117,0
2017-04-11,20:30:00,53.87,53.895,53.87,53.89,6912,0
2017-04-11,20:35:00,53.89,53.9,53.89,53.9,4790,0
2017-04-11,20:40:00,53.9,53.93,53.9,53.9,8379,0
2017-04-11,20:45:00,53.9,53.9,53.85,53.85,7773,0
2017-04-11,20:50:00,53.84,53.86,53.83,53.85,6626,0
2017-04-11,20:55:00,53.86,53.91,53.85,53.91,6703,0
2017-04-11,21:00:00,53.9,53.915,53.9,53.91,3811,0
2017-04-11,21:05:00,53.915,53.92,53.85,53.875,9242,0
2017-04-11,21:10:00,53.875,53.875,53.8,53.81,9633,0
2017-04-11,21:15:00,53.83,53.86,53.81,53.81,12258,0
2017-04-11,21:20:00,53.79,53.83,53.79,53.82,11692,0
2017-04-11,21:25:00,53.81,53.81,53.795,53.81,9209,0
2017-04-11,21:30:00,53.8,53.83,53.79,53.82,18679,0
2017-04-11,21:35:00,53.81,53.9,53.785,53.895,30807,0
2017-04-11,21:40:00,53.895,53.895,53.86,53.875,16400,0
2017-04-11,21:45:00,53.88,53.88,53.83,53.83,17253,0
2017-04-11,21:50:00,53.82,53.83,53.79,53.825,20415,0
2017-04-11,21:55:00,53.82,53.83,53.785,53.8,45825,0
2017-04-11,22:00:00,53.79,53.87,53.78,53.86,117270,0
2017-04-12,15:35:00,53.42,53.59,53.41,53.53,22624,0
2017-04-12,15:40:00,53.51,53.535,53.31,53.31,5943,0
2017-04-12,15:45:00,53.315,53.315,53.16,53.22,6865,0
2017-04-12,15:50:00,53.23,53.43,53.23,53.41,5519,0
2017-04-12,15:55:00,53.4,53.51,53.4,53.48,30028,0
2017-04-12,16:00:00,53.465,53.465,53.43,53.45,1603,0
2017-04-12,16:05:00,53.47,53.47,53.442,53.442,2463,0
2017-04-12,16:10:00,53.45,53.45,53.36,53.36,9451,0
2017-04-12,16:15:00,53.34,53.51,53.34,53.5,25868,0
2017-04-12,16:20:00,53.51,53.55,53.46,53.55,9830,0
2017-04-12,16:25:00,53.54,53.54,53.46,53.465,22200,0
2017-04-12,16:30:00,53.48,53.525,53.42,53.47,22986,0
2017-04-12,16:35:00,53.44,53.48,53.3,53.32,14293,0
2017-04-12,16:40:00,53.33,53.51,53.33,53.51,42474,0
2017-04-12,16:45:00,53.48,53.55,53.454,53.46,17488,0
2017-04-12,16:50:00,53.47,53.52,53.45,53.49,57294,0
2017-04-12,16:55:00,53.48,53.5,53.43,53.49,36811,0
2017-04-12,17:00:00,53.49,53.5,53.453,53.47,8352,0
2017-04-12,17:05:00,53.475,53.495,53.45,53.48,18460,0
2017-04-12,17:10:00,53.49,53.64,53.49,53.61,21964,0
2017-04-12,17:15:00,53.61,53.63,53.6,53.61,12051,0
2017-04-12,17:20:00,53.6,53.61,53.57,53.58,4100,0
2017-04-12,17:25:00,53.57,53.58,53.5,53.5,7096,0
2017-04-12,17:30:00,53.5,53.52,53.4701,53.49,7323,0
2017-04-12,17:35:00,53.5,53.54,53.47,53.47,18815,0
2017-04-12,17:40:00,53.46,53.5,53.46,53.49,12015,0
2017-04-12,17:45:00,53.49,53.5,53.46,53.48,12470,0
2017-04-12,17:50:00,53.47,53.5,53.47,53.49,13040,0
2017-04-12,17:55:00,53.49,53.5,53.47,53.49,10736,0
2017-04-12,18:00:00,53.49,53.51,53.47,53.495,8365,0
2017-04-12,18:05:00,53.49,53.49,53.44,53.47,19859,0
2017-04-12,18:10:00,53.45,53.495,53.43,53.48,14973,0
2017-04-12,18:15:00,53.47,53.51,53.46,53.495,7575,0
2017-04-12,18:20:00,53.5,53.53,53.475,53.49,6100,0
2017-04-12,18:25:00,53.51,53.52,53.45,53.455,3313,0
2017-04-12,18:30:00,53.455,53.51,53.45,53.49,16707,0
2017-04-12,18:35:00,53.5,53.5,53.47,53.5,11389,0
2017-04-12,18:40:00,53.5,53.525,53.465,53.48,9947,0
2017-04-12,18:45:00,53.49,53.51,53.48,53.51,4976,0
2017-04-12,18:50:00,53.52,53.58,53.51,53.58,3512,0
2017-04-12,18:55:00,53.59,53.59,53.47,53.48,8918,0
2017-04-12,19:00:00,53.47,53.475,53.37,53.42,28583,0
2017-04-12,19:05:00,53.411,53.48,53.411,53.46,5829,0
2017-04-12,19:10:00,53.46,53.52,53.44,53.52,11779,0
2017-04-12,19:15:00,53.53,53.535,53.49,53.5,3396,0
2017-04-12,19:20:00,53.49,53.505,53.47,53.48,5267,0
2017-04-12,19:25:00,53.475,53.49,53.44,53.48,8539,0
2017-04-12,19:30:00,53.46,53.5,53.45,53.49,16902,0
2017-04-12,19:35:00,53.51,53.52,53.47,53.52,7119,0
2017-04-12,19:40:00,53.53,53.54,53.5,53.54,4327,0
2017-04-12,19:45:00,53.5374,53.54,53.52,53.52,2328,0
2017-04-12,19:50:00,53.53,53.54,53.5,53.52,8209,0
2017-04-12,19:55:00,53.51,53.51,53.45,53.49,13626,0
2017-04-12,20:00:00,53.49,53.53,53.47,53.53,9483,0
2017-04-12,20:05:00,53.54,53.54,53.45,53.47,7481,0
2017-04-12,20:10:00,53.475,53.51,53.47,53.5,12157,0
2017-04-12,20:15:00,53.49,53.51,53.47,53.48,9551,0
2017-04-12,20:20:00,53.47,53.49,53.46,53.485,8011,0
2017-04-12,20:25:00,53.48,53.5,53.465,53.475,12043,0
2017-04-12,20:30:00,53.47,53.49,53.47,53.48,14220,0
2017-04-12,20:35:00,53.47,53.5,53.47,53.48,5951,0
