Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,62.8,62.8,62.8,62.8,491,0
2017-04-07,15:40:00,62.8,62.9,62.5,62.9,1297,0
2017-04-07,15:45:00,62.925,62.925,62.7,62.7,48600,0
2017-04-07,15:50:00,62.85,62.9,62.8,62.9,1631,0
2017-04-07,15:55:00,62.825,62.85,62.75,62.75,950,0
2017-04-07,16:00:00,62.7,62.725,62.7,62.725,1261,0
2017-04-07,16:05:00,62.7,62.7,62.55,62.55,2972,0
2017-04-07,16:10:00,62.6,62.7,62.55,62.6,2344,0
2017-04-07,16:15:00,62.7,62.7,62.7,62.7,100,0
2017-04-07,16:20:00,62.675,62.675,62.65,62.65,2100,0
2017-04-07,16:25:00,62.65,62.7,62.55,62.55,24220,0
2017-04-07,16:30:00,62.55,62.75,62.5,62.55,6595,0
2017-04-07,16:35:00,62.55,62.55,62.45,62.5,3940,0
2017-04-07,16:40:00,62.55,62.6,62.425,62.5,5184,0
2017-04-07,16:45:00,62.5,62.5,62.35,62.45,8462,0
2017-04-07,16:50:00,62.4,62.45,62.3,62.45,6803,0
2017-04-07,16:55:00,62.5,62.5,62.45,62.5,837,0
2017-04-07,17:00:00,62.5,62.55,62.5,62.55,200,0
2017-04-07,17:10:00,62.6,62.65,62.5,62.55,2390,0
2017-04-07,17:20:00,62.575,62.65,62.575,62.6,2887,0
2017-04-07,17:30:00,62.55,62.55,62.55,62.55,130,0
2017-04-07,17:35:00,62.55,62.6,62.45,62.45,4800,0
2017-04-07,17:40:00,62.4,62.45,62.3,62.325,3085,0
2017-04-07,17:45:00,62.325,62.325,62.25,62.3,1628,0
2017-04-07,17:50:00,62.3,62.35,62.3,62.35,1300,0
2017-04-07,17:55:00,62.35,62.375,62.3,62.375,650,0
2017-04-07,18:00:00,62.375,62.4,62.375,62.4,300,0
2017-04-07,18:10:00,62.45,62.45,62.4,62.45,650,0
2017-04-07,18:15:00,62.45,62.5,62.45,62.47,305,0
2017-04-07,18:20:00,62.5,62.5,62.45,62.5,2300,0
2017-04-07,18:25:00,62.45,62.45,62.4,62.45,1400,0
2017-04-07,18:30:00,62.45,62.45,62.45,62.45,1390,0
2017-04-07,18:45:00,62.495,62.5,62.495,62.5,721,0
2017-04-07,18:50:00,62.45,62.5,62.45,62.45,600,0
2017-04-07,18:55:00,62.45,62.45,62.35,62.35,2100,0
2017-04-07,19:00:00,62.45,62.45,62.45,62.45,200,0
2017-04-07,19:05:00,62.5,62.5,62.5,62.5,100,0
2017-04-07,19:10:00,62.475,62.475,62.475,62.475,100,0
2017-04-07,19:15:00,62.475,62.5,62.45,62.45,1570,0
2017-04-07,19:20:00,62.45,62.5,62.45,62.5,200,0
2017-04-07,19:25:00,62.5,62.5,62.5,62.5,1092,0
2017-04-07,19:30:00,62.5,62.5,62.5,62.5,200,0
2017-04-07,19:35:00,62.575,62.6,62.5,62.5,1050,0
2017-04-07,19:45:00,62.5,62.525,62.5,62.525,200,0
2017-04-07,19:50:00,62.55,62.55,62.55,62.55,500,0
2017-04-07,19:55:00,62.5441,62.6,62.5441,62.55,796,0
2017-04-07,20:00:00,62.6,62.6,62.575,62.575,300,0
2017-04-07,20:05:00,62.6,62.6,62.55,62.6,2061,0
2017-04-07,20:15:00,62.55,62.55,62.525,62.55,698,0
2017-04-07,20:20:00,62.6,62.6,62.55,62.55,300,0
2017-04-07,20:25:00,62.5,62.55,62.5,62.55,1667,0
2017-04-07,20:30:00,62.5635,62.5635,62.55,62.55,466,0
