Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,55.12,55.16,54.9628,55.02,24719,0
2017-04-10,15:40:00,55.04,55.08,55,55.02,6136,0
2017-04-10,15:45:00,55.03,55.05,55.01,55.05,4840,0
2017-04-10,15:50:00,55.08,55.08,55.02,55.03,4200,0
2017-04-10,15:55:00,55.03,55.03,55,55.02,4785,0
2017-04-10,16:00:00,55,55.0552,55,55.0552,1700,0
2017-04-10,16:05:00,55.03,55.09,55.03,55.0763,3794,0
2017-04-10,16:10:00,55.09,55.17,55.09,55.13,13069,0
2017-04-10,16:15:00,55.12,55.12,55.1,55.11,2400,0
2017-04-10,16:20:00,55.099,55.11,55.099,55.11,700,0
2017-04-10,16:25:00,55.09,55.12,55.09,55.1,2083,0
2017-04-10,16:30:00,55.09,55.1,55.08,55.1,1638,0
2017-04-10,16:35:00,55.1,55.12,55.095,55.12,1754,0
2017-04-10,16:40:00,55.1,55.12,55.1,55.1,1100,0
2017-04-10,16:45:00,55.09,55.1,55,55,3295,0
2017-04-10,16:50:00,55.03,55.03,55.0192,55.0282,1235,0
2017-04-10,16:55:00,55.02,55.03,55,55.025,4158,0
2017-04-10,17:00:00,55.03,55.04,55.01,55.01,858,0
2017-04-10,17:05:00,55.01,55.02,55.01,55.02,1100,0
2017-04-10,17:10:00,55.0152,55.03,55,55.01,1627,0
2017-04-10,17:15:00,55.05,55.05,55.04,55.04,300,0
2017-04-10,17:20:00,55.03,55.03,55.03,55.03,300,0
2017-04-10,17:25:00,55.0401,55.07,55.04,55.07,1625,0
2017-04-10,17:30:00,55.06,55.08,55.06,55.07,1100,0
2017-04-10,17:35:00,55.07,55.08,55.02,55.02,2626,0
2017-04-10,17:40:00,55.02,55.03,55,55,600,0
2017-04-10,17:45:00,55.01,55.02,54.99,55.02,1545,0
2017-04-10,17:50:00,55,55.05,55,55.03,900,0
2017-04-10,17:55:00,55.05,55.05,55,55.03,2528,0
2017-04-10,18:00:00,55.02,55.04,55.01,55.03,6832,0
2017-04-10,18:05:00,55.04,55.05,55.03,55.05,700,0
2017-04-10,18:10:00,55.04,55.04,55.02,55.03,1399,0
2017-04-10,18:15:00,55.0494,55.0494,55,55.03,1750,0
2017-04-10,18:20:00,55,55,54.97,54.99,3900,0
2017-04-10,18:25:00,54.98,54.99,54.9759,54.99,2860,0
2017-04-10,18:30:00,54.98,55,54.98,54.996,3143,0
2017-04-10,18:35:00,54.98,55.05,54.98,55.05,1475,0
2017-04-10,18:40:00,55.0298,55.03,55.02,55.02,500,0
2017-04-10,18:45:00,55.013,55.05,55.013,55.04,1358,0
2017-04-10,18:50:00,55.05,55.07,55.05,55.07,1484,0
2017-04-10,18:55:00,55.05,55.11,55.05,55.11,1100,0
2017-04-10,19:00:00,55.08,55.11,55.08,55.09,2600,0
2017-04-10,19:05:00,55.08,55.0927,55.08,55.09,2353,0
