Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-03,15:35:00,2.83,2.97,2.83,2.97,560,0
2017-04-03,15:40:00,2.832,3,2.83,2.9266,1905,0
2017-04-03,16:10:00,2.86,2.9081,2.7834,2.7834,1400,0
2017-04-03,16:15:00,2.9039,2.9039,2.9039,2.9039,200,0
2017-04-03,16:45:00,2.87,2.8701,2.7801,2.795,2660,0
2017-04-03,16:50:00,2.89,2.8937,2.845,2.8937,700,0
2017-04-03,17:00:00,2.87,2.87,2.87,2.87,100,0
2017-04-03,17:20:00,2.8,2.8714,2.8,2.8714,440,0
2017-04-03,19:15:00,2.86,2.86,2.86,2.86,100,0
2017-04-03,20:25:00,2.8,2.8,2.8,2.8,100,0
2017-04-03,20:30:00,2.8863,2.8863,2.8863,2.8863,120,0
2017-04-03,21:20:00,2.8,2.8063,2.8,2.8,1500,0
2017-04-03,21:25:00,2.8,2.8,2.7999,2.8,1400,0
2017-04-03,21:50:00,2.79,2.79,2.79,2.79,579,0
2017-04-03,21:55:00,2.79,2.79,2.77,2.77,2096,0
2017-04-03,22:00:00,2.78,2.8,2.78,2.79,1602,0
2017-04-04,15:50:00,2.89,2.89,2.89,2.89,119,0
2017-04-04,16:15:00,2.84,2.85,2.84,2.85,1300,0
2017-04-04,16:35:00,2.8,2.8,2.8,2.8,900,0
2017-04-04,17:25:00,2.79,2.79,2.79,2.79,100,0
2017-04-04,17:30:00,2.7801,2.79,2.7801,2.79,500,0
2017-04-04,19:25:00,2.8614,2.8845,2.8,2.88,17503,0
2017-04-04,19:35:00,2.93,3,2.892,3,14017,0
2017-04-04,19:40:00,3.0344,3.1,2.95,3.09,31150,0
2017-04-04,19:45:00,3.09,3.22,3.0899,3.2042,32101,0
2017-04-04,19:50:00,3.15,3.1501,3,3.06,5590,0
2017-04-04,19:55:00,3.14,3.14,3.0016,3.0016,4000,0
2017-04-04,20:00:00,3.01,3.0103,2.94,2.975,750,0
2017-04-04,20:05:00,2.97,2.97,2.97,2.97,200,0
2017-04-04,20:10:00,3,3.01,2.943,3.01,1300,0
2017-04-04,20:15:00,2.9573,2.9573,2.9573,2.9573,138,0
2017-04-04,20:20:00,3.01,3.01,2.94,2.9988,1400,0
2017-04-04,20:25:00,2.99,2.99,2.9427,2.9427,1500,0
2017-04-04,20:30:00,2.99,2.9989,2.94,2.9738,3100,0
2017-04-04,20:50:00,2.9407,2.9688,2.9401,2.9688,3300,0
2017-04-04,20:55:00,3.02,3.02,3.02,3.02,100,0
2017-04-04,21:10:00,2.9535,2.9644,2.9535,2.9644,2000,0
2017-04-04,21:45:00,2.95,2.96,2.94,2.942,6300,0
2017-04-04,21:50:00,2.95,2.95,2.95,2.95,200,0
2017-04-04,21:55:00,2.95,2.95,2.91,2.91,3850,0
2017-04-04,22:00:00,2.8943,2.8943,2.8943,2.8943,1250,0
2017-04-05,15:40:00,3,3,3,3,100,0
2017-04-05,15:50:00,2.9608,2.9608,2.9608,2.9608,1000,0
2017-04-05,15:55:00,2.97,3.14,2.97,3.03,21026,0
2017-04-05,16:00:00,3.044,3.044,2.98,3.02,4800,0
2017-04-05,16:05:00,3.01,3.01,3.01,3.01,100,0
2017-04-05,16:10:00,2.99,2.99,2.96,2.97,2100,0
2017-04-05,16:20:00,3,3,2.99,3,1100,0
2017-04-05,16:40:00,2.9006,2.9006,2.9006,2.9006,1000,0
2017-04-05,16:45:00,2.93,2.93,2.9,2.9,1403,0
2017-04-05,17:00:00,2.92,2.92,2.92,2.92,2000,0
2017-04-05,17:05:00,2.99,2.99,2.99,2.99,100,0
2017-04-05,17:20:00,2.92,2.9201,2.9,2.9,2880,0
2017-04-05,17:25:00,2.88,2.885,2.85,2.88,8076,0
2017-04-05,17:40:00,2.8335,2.9,2.83,2.9,3200,0
2017-04-05,17:45:00,3,3,3,3,100,0
2017-04-05,17:55:00,2.99,2.992,2.99,2.992,1600,0
2017-04-05,18:00:00,2.999,3.06,2.98,3.06,1650,0
2017-04-05,18:05:00,3.05,3.05,3.05,3.05,200,0
2017-04-05,18:15:00,3.03,3.05,3.03,3.05,2300,0
2017-04-05,18:25:00,2.99,2.993,2.97,2.973,400,0
2017-04-05,18:30:00,2.9507,2.9507,2.95,2.95,5000,0
2017-04-05,18:35:00,2.9992,2.9992,2.9992,2.9992,200,0
2017-04-05,19:20:00,2.9336,2.9336,2.9336,2.9336,185,0
2017-04-05,19:40:00,3,3,3,3,100,0
2017-04-05,19:45:00,3.0196,3.0196,3.0196,3.0196,1000,0
2017-04-05,21:20:00,2.96,2.9899,2.96,2.97,1899,0
2017-04-05,21:40:00,2.9,2.9,2.86,2.86,1300,0
2017-04-05,21:50:00,2.8944,2.977,2.8944,2.977,3900,0
2017-04-05,21:55:00,2.9201,2.96,2.9201,2.93,849,0
2017-04-06,15:35:00,2.95,2.9501,2.95,2.95,1305,0
2017-04-06,15:40:00,2.8888,2.8888,2.8888,2.8888,208,0
2017-04-06,15:50:00,2.8239,2.8239,2.8239,2.8239,1111,0
2017-04-06,15:55:00,2.84,2.87,2.84,2.87,1000,0
2017-04-06,16:00:00,2.8312,2.8312,2.8312,2.8312,500,0
2017-04-06,16:05:00,2.86,2.86,2.86,2.86,600,0
2017-04-06,16:10:00,2.89,2.89,2.89,2.89,400,0
2017-04-06,16:40:00,2.8401,2.8401,2.8401,2.8401,150,0
2017-04-06,16:45:00,2.8576,2.8576,2.8576,2.8576,1600,0
2017-04-06,17:05:00,2.87,2.87,2.87,2.87,228,0
2017-04-06,17:50:00,2.9207,2.9207,2.92,2.9201,1200,0
2017-04-06,18:05:00,2.87,2.8759,2.85,2.8701,2000,0
2017-04-06,19:25:00,2.88,2.88,2.88,2.88,1100,0
2017-04-06,19:40:00,2.86,2.86,2.86,2.86,128,0
2017-04-06,19:55:00,2.86,2.86,2.86,2.86,100,0
2017-04-06,20:15:00,2.88,2.91,2.88,2.91,800,0
2017-04-06,20:25:00,2.9,2.9,2.9,2.9,100,0
2017-04-06,21:05:00,2.8889,3.07,2.88,3.07,26962,0
2017-04-06,21:10:00,3.08,3.18,2.961,3.09,25995,0
2017-04-06,21:15:00,3.09,3.15,3.0676,3.1401,7963,0
2017-04-06,21:20:00,3.11,4.3,3.0992,4.23,218864,0
2017-04-06,21:25:00,4.23,4.63,3.87,4.0739,372193,0
2017-04-06,21:30:00,4.03,5.14,3.96,4.9567,542486,0
2017-04-06,21:35:00,4.8692,5.65,4.64,5.4882,469837,0
2017-04-06,21:40:00,5.47,5.94,5.35,5.84,404917,0
2017-04-06,21:45:00,5.87,6.087,5.4,5.61,429164,0
2017-04-06,21:50:00,5.64,6.4,5.55,6.22,489905,0
