Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,44.95,44.95,44.82,44.87,8330,0
2017-04-10,15:40:00,44.83,44.87,44.78,44.82,19739,0
2017-04-10,15:45:00,44.83,44.83,44.76,44.8,11328,0
2017-04-10,15:50:00,44.79,44.8,44.74,44.75,22863,0
2017-04-10,15:55:00,44.75,44.78,44.74,44.77,16150,0
2017-04-10,16:00:00,44.78,44.88,44.78,44.88,13683,0
2017-04-10,16:05:00,44.89,44.965,44.875,44.95,15654,0
2017-04-10,16:10:00,44.95,44.985,44.91,44.94,15122,0
2017-04-10,16:15:00,44.94,44.99,44.93,44.97,7097,0
2017-04-10,16:20:00,44.97,45,44.965,44.98,6574,0
2017-04-10,16:25:00,44.99,45.005,44.95,44.995,8218,0
2017-04-10,16:30:00,44.99,45.01,44.97,44.98,9636,0
2017-04-10,16:35:00,44.98,45.05,44.97,45.05,13715,0
2017-04-10,16:40:00,45.03,45.08,45.01,45.02,15624,0
2017-04-10,16:45:00,45.02,45.02,44.98,44.99,10444,0
2017-04-10,16:50:00,44.99,45.03,44.98,45.03,9703,0
2017-04-10,16:55:00,45.04,45.09,45.035,45.09,15666,0
2017-04-10,17:00:00,45.09,45.13,45.085,45.105,26746,0
2017-04-10,17:05:00,45.1,45.115,45.09,45.1,20768,0
2017-04-10,17:10:00,45.1,45.13,45.09,45.13,24070,0
2017-04-10,17:15:00,45.12,45.135,45.1,45.12,19849,0
2017-04-10,17:20:00,45.11,45.12,45.065,45.07,7731,0
2017-04-10,17:25:00,45.07,45.07,45.04,45.06,9430,0
2017-04-10,17:30:00,45.07,45.08,45.06,45.065,8899,0
2017-04-10,17:35:00,45.06,45.07,45,45,9408,0
2017-04-10,17:40:00,45,45.01,44.98,44.99,8291,0
2017-04-10,17:45:00,44.99,45.025,44.99,45.01,21508,0
2017-04-10,17:50:00,45.01,45.015,44.985,44.99,14412,0
2017-04-10,17:55:00,45,45.045,45,45.01,13798,0
2017-04-10,18:00:00,45.02,45.05,44.99,45.05,12186,0
2017-04-10,18:05:00,45.045,45.065,45.04,45.06,7329,0
2017-04-10,18:10:00,45.06,45.065,45.025,45.03,11335,0
2017-04-10,18:15:00,45.03,45.04,44.98,44.99,17241,0
2017-04-10,18:20:00,44.995,45.01,44.99,45.01,4429,0
2017-04-10,18:25:00,45.01,45.03,45.01,45.025,4541,0
2017-04-10,18:30:00,45.025,45.03,45.01,45.025,4591,0
2017-04-10,18:35:00,45.03,45.06,45.03,45.06,6278,0
2017-04-10,18:40:00,45.06,45.095,45.06,45.07,6440,0
2017-04-10,18:45:00,45.07,45.075,45.05,45.06,12830,0
2017-04-10,18:50:00,45.06,45.07,45.06,45.06,2908,0
2017-04-10,18:55:00,45.06,45.075,45.06,45.07,4900,0
2017-04-10,19:00:00,45.065,45.125,45.065,45.125,13542,0
2017-04-10,19:05:00,45.12,45.125,45.1,45.11,8309,0
2017-04-10,19:10:00,45.11,45.125,45.11,45.12,7660,0
2017-04-10,19:15:00,45.125,45.145,45.12,45.14,6054,0
2017-04-10,19:20:00,45.15,45.15,45.13,45.145,8313,0
2017-04-10,19:25:00,45.15,45.165,45.145,45.165,7149,0
2017-04-10,19:30:00,45.165,45.18,45.16,45.18,12704,0
2017-04-10,19:35:00,45.17,45.175,45.14,45.15,24520,0
2017-04-10,19:40:00,45.14,45.1838,45.14,45.16,23322,0
2017-04-10,19:45:00,45.17,45.17,45.15,45.15,10357,0
2017-04-10,19:50:00,45.15,45.155,45.14,45.14,2353,0
2017-04-10,19:55:00,45.14,45.15,45.14,45.14,8951,0
2017-04-10,20:00:00,45.145,45.16,45.14,45.155,6443,0
2017-04-10,20:05:00,45.155,45.17,45.13,45.15,23194,0
2017-04-10,20:10:00,45.14,45.15,45.11,45.13,8228,0
