Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,29.95,29.95,29.95,29.95,704,0
2017-04-07,15:45:00,30.03,30.09,30.03,30.09,200,0
2017-04-07,15:50:00,29.9,29.9,29.83,29.83,400,0
2017-04-07,15:55:00,29.83,29.83,29.81,29.81,200,0
2017-04-07,16:00:00,29.77,29.89,29.77,29.89,1100,0
2017-04-07,16:05:00,29.85,29.85,29.85,29.85,100,0
2017-04-07,16:10:00,29.93,29.93,29.88,29.88,400,0
2017-04-07,16:15:00,29.96,29.98,29.84,29.87,1900,0
2017-04-07,16:20:00,29.91,29.91,29.89,29.905,600,0
2017-04-07,16:25:00,29.92,29.92,29.92,29.92,200,0
2017-04-07,16:30:00,30.02,30.02,30,30,300,0
2017-04-07,16:35:00,29.96,29.97,29.96,29.97,200,0
2017-04-07,16:40:00,30,30.1,30,30.09,1200,0
2017-04-07,16:45:00,30.05,30.05,29.99,29.99,300,0
2017-04-07,16:50:00,29.98,29.98,29.89,29.89,600,0
2017-04-07,16:55:00,29.86,29.86,29.85,29.85,200,0
2017-04-07,17:00:00,29.85,29.85,29.83,29.83,400,0
2017-04-07,17:05:00,29.8,29.8,29.8,29.8,100,0
2017-04-07,17:10:00,29.81,29.82,29.8,29.8,500,0
2017-04-07,17:15:00,29.8,29.8,29.74,29.76,928,0
2017-04-07,17:20:00,29.82,29.82,29.79,29.79,200,0
2017-04-07,17:25:00,29.82,29.9,29.82,29.87,400,0
2017-04-07,17:30:00,29.8,29.8899,29.8,29.86,1000,0
2017-04-07,17:40:00,29.78,29.79,29.75,29.75,467,0
2017-04-07,17:45:00,29.76,29.76,29.76,29.76,100,0
2017-04-07,17:50:00,29.77,29.79,29.77,29.78,300,0
2017-04-07,17:55:00,29.8,29.8,29.79,29.79,200,0
2017-04-07,18:00:00,29.76,29.76,29.76,29.76,100,0
2017-04-07,18:15:00,29.83,29.83,29.79,29.8,600,0
2017-04-07,18:20:00,29.89,29.89,29.86,29.86,200,0
2017-04-07,18:25:00,29.895,29.895,29.895,29.895,100,0
2017-04-07,18:30:00,29.92,29.92,29.89,29.89,300,0
2017-04-07,18:40:00,29.87,29.87,29.86,29.86,200,0
2017-04-07,18:50:00,29.83,29.83,29.83,29.83,300,0
2017-04-07,18:55:00,29.87,29.93,29.85,29.91,2200,0
2017-04-07,19:00:00,29.89,29.94,29.88,29.9,1200,0
2017-04-07,19:05:00,29.91,29.91,29.91,29.91,400,0
2017-04-07,19:15:00,29.93,29.93,29.9,29.9,200,0
2017-04-07,19:20:00,29.92,29.93,29.91,29.91,1800,0
2017-04-07,19:25:00,29.93,29.94,29.89,29.94,700,0
2017-04-07,19:30:00,29.9,29.9,29.9,29.9,200,0
2017-04-07,19:35:00,29.88,29.9475,29.88,29.94,609,0
2017-04-07,19:40:00,29.89,29.89,29.86,29.86,600,0
2017-04-07,19:45:00,29.83,29.8301,29.83,29.8301,200,0
2017-04-07,19:55:00,29.83,29.84,29.83,29.84,400,0
2017-04-07,20:00:00,29.89,29.91,29.84,29.84,1106,0
2017-04-07,20:05:00,29.87,29.93,29.87,29.92,900,0
2017-04-07,20:10:00,29.915,29.9153,29.9,29.91,548,0
